sequence,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhFigBUiB5oBF?qBXrBGrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhF/lBVnB5oBK?rBGmBUqB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFVmBUiB5oBK?qBGlBTrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFzgBUiB5oB+?rBlqBaqB
JSILOTZ,X,X,O,X
JSILOZT,X,X,O,X
JSIZTLO,O,X,X,O
JSIZTOL,O,X,X,O
JSIZLTO,X,X,X,O
JSIZLOT,X,X,O,X
JSIZOTL,O,X,O,O
JSIZOLT,X,X,O,X
JSIOTLZ,O,X,O,O
JSIOTZL,O,X,O,O
JSIOLTZ,X,X,O,X
JSIOLZT,X,X,O,X
JSIOZTL,O,X,O,O
JSIOZLT,X,X,O,X
JSLTIZO,X,X,X,O
JSLTIOZ,X,X,X,O
JSLTZIO,X,X,X,O
JSLTZOI,X,X,X,O
JSLTOIZ,X,X,X,O
JSLTOZI,X,X,X,O
JSLITZO,X,X,X,O
JSLITOZ,X,X,X,O
JSLIZTO,X,X,X,O
JSLIZOT,X,X,O,X
JSLIOTZ,X,X,O,X
JSLIOZT,X,X,O,X
JSLZTIO,X,X,X,O
JSLZTOI,X,X,X,O
JSLZITO,X,X,X,O
JSLZIOT,X,X,O,X
JSLZOTI,X,X,O,X
JSLZOIT,X,X,O,X
JSLOTIZ,X,X,O,X
JSLOTZI,X,X,O,X
JSLOITZ,X,X,O,X
JSLOIZT,X,X,O,X
JSLOZTI,X,X,O,X
JSLOZIT,X,X,O,X
JSZTILO,O,X,X,O
JSZTIOL,O,X,X,O
JSZTLIO,O,X,X,O
JSZTLOI,O,X,X,O
JSZTOIL,O,X,X,O
JSZTOLI,O,X,X,O
JSZITLO,O,X,X,O
JSZITOL,O,X,X,O
JSZILTO,X,X,X,O
JSZILOT,X,X,O,X
JSZIOTL,O,X,O,O
JSZIOLT,X,X,O,X
JSZLTIO,X,X,X,O
JSZLTOI,X,X,X,O
JSZLITO,X,X,X,O
JSZLIOT,X,X,O,X
JSZLOTI,X,X,O,X
JSZLOIT,X,X,O,X
JSZOTIL,O,X,O,O
JSZOTLI,O,X,O,O
JSZOITL,O,X,O,O
JSZOILT,X,X,O,X
JSZOLTI,X,X,O,X
JSZOLIT,X,X,O,X
JSOTILZ,O,X,O,O
JSOTIZL,O,X,O,O
JSOTLIZ,O,X,O,O
JSOTLZI,O,X,O,O
JSOTZIL,O,X,O,O
JSOTZLI,O,X,O,O
JSOITLZ,O,X,O,O
JSOITZL,O,X,O,O
JSOILTZ,X,X,O,X
JSOILZT,X,X,O,X
JSOIZTL,O,X,O,O
JSOIZLT,X,X,O,X
JSOLTIZ,X,X,O,X
JSOLTZI,X,X,O,X
JSOLITZ,X,X,O,X
JSOLIZT,X,X,O,X
JSOLZTI,X,X,O,X
JSOLZIT,X,X,O,X
JSOZTIL,O,X,O,O
JSOZTLI,O,X,O,O
JSOZITL,O,X,O,O
JSOZILT,X,X,O,X
JSOZLTI,X,X,O,X
JSOZLIT,X,X,O,X
JZTILSO,X,O,X,O
JZTILOS,O,O,X,O
JZTISLO,O,O,X,O
JZTISOL,O,O,X,O
JZTIOLS,O,O,X,O
JZTIOSL,O,O,X,O
JZTLISO,X,O,X,O
JZTLIOS,O,O,X,O
JZTLSIO,X,O,X,O
JZTLSOI,X,O,X,O
JZTLOIS,O,O,X,O
JZTLOSI,X,O,X,O
JZTSILO,O,O,X,O
JZTSIOL,O,O,X,O
JZTSLIO,O,O,X,O
JZTSLOI,O,O,X,O
JZTSOIL,O,O,X,O
JZTSOLI,O,O,X,O
JZTOILS,O,O,X,O
JZTOISL,O,O,X,O
JZTOLIS,O,O,X,O
JZTOLSI,X,O,X,O
JZTOSIL,O,O,X,O
JZTOSLI,O,O,X,O
JZITLSO,X,O,X,O
JZITLOS,O,O,X,O
JZITSLO,O,O,X,O
JZITSOL,O,O,X,O
JZITOLS,O,O,X,O
JZITOSL,O,O,X,O
JZILTSO,X,O,X,O
JZILTOS,X,O,X,O
JZILSTO,X,O,X,O
JZILSOT,X,O,O,X
JZILOTS,X,O,O,X
JZILOST,X,O,O,X
JZISTLO,O,O,X,O
JZISTOL,O,O,X,O
JZISLTO,X,O,X,O
JZISLOT,X,O,O,X
JZISOTL,O,O,O,O
JZISOLT,X,O,O,X
JZIOTLS,O,O,O,O
JZIOTSL,O,O,O,O
JZIOLTS,X,O,O,X
JZIOLST,X,O,O,X
JZIOSTL,O,O,O,O
JZIOSLT,X,O,O,X
JZLTISO,X,O,X,O
JZLTIOS,X,O,X,O
JZLTSIO,X,O,X,O
JZLTSOI,X,O,X,O
JZLTOIS,X,O,X,O
JZLTOSI,X,O,X,O
JZLITSO,X,O,X,O
JZLITOS,X,O,X,O
JZLISTO,X,O,X,O
JZLISOT,X,O,O,X
JZLIOTS,X,O,O,X
JZLIOST,X,O,O,X
JZLSTIO,X,O,X,O
JZLSTOI,X,O,X,O
JZLSITO,X,O,X,O
JZLSIOT,X,O,O,X
JZLSOTI,X,O,O,X
JZLSOIT,X,O,O,X
JZLOTIS,X,O,O,X
JZLOTSI,X,O,O,X
JZLOITS,X,O,O,X
JZLOIST,X,O,O,X
JZLOSTI,X,O,O,X
JZLOSIT,X,O,O,X
JZSTILO,O,O,X,O
JZSTIOL,O,O,X,O
JZSTLIO,O,O,X,O
JZSTLOI,O,O,X,O
JZSTOIL,O,O,X,O
JZSTOLI,O,O,X,O
JZSITLO,O,O,X,O
JZSITOL,O,O,X,O
JZSILTO,X,O,X,O
JZSILOT,X,O,O,X
JZSIOTL,O,O,O,O
JZSIOLT,X,O,O,X
JZSLTIO,X,O,X,O
JZSLTOI,X,O,X,O
JZSLITO,X,O,X,O
JZSLIOT,X,O,O,X
JZSLOTI,X,O,O,X
JZSLOIT,X,O,O,X
JZSOTIL,O,O,O,O
JZSOTLI,O,O,O,O
JZSOITL,O,O,O,O
JZSOILT,X,O,O,X
JZSOLTI,X,O,O,X
JZSOLIT,X,O,O,X
JZOTILS,O,O,O,O
JZOTISL,O,O,O,O
JZOTLIS,O,O,O,O
JZOTLSI,X,O,O,O
JZOTSIL,O,O,O,O
JZOTSLI,O,O,O,O
JZOITLS,O,O,O,O
JZOITSL,O,O,O,O
JZOILTS,X,O,O,X
JZOILST,X,O,O,X
JZOISTL,O,O,O,O
JZOISLT,X,O,O,X
JZOLTIS,X,O,O,X
JZOLTSI,X,O,O,X
JZOLITS,X,O,O,X
JZOLIST,X,O,O,X
JZOLSTI,X,O,O,X
JZOLSIT,X,O,O,X
JZOSTIL,O,O,O,O
JZOSTLI,O,O,O,O
JZOSITL,O,O,O,O
JZOSILT,X,O,O,X
JZOSLTI,X,O,O,X
JZOSLIT,X,O,O,X
JOTILSZ,O,X,O,O
JOTILZS,O,O,O,O
JOTISLZ,O,X,O,O
JOTISZL,O,X,O,O
JOTIZLS,O,O,O,O
JOTIZSL,O,O,O,O
JOTLISZ,O,X,O,O
JOTLIZS,O,O,O,O
JOTLSIZ,O,X,O,O
JOTLSZI,O,X,O,O
JOTLZIS,O,O,O,O
JOTLZSI,X,O,O,O
JOTSILZ,O,X,O,O
JOTSIZL,O,X,O,O
JOTSLIZ,O,X,O,O
JOTSLZI,O,X,O,O
JOTSZIL,O,X,O,O
JOTSZLI,O,X,O,O
JOTZILS,O,O,O,O
JOTZISL,O,O,O,O
JOTZLIS,O,O,O,O
JOTZLSI,X,O,O,O
JOTZSIL,O,O,O,O
JOTZSLI,O,O,O,O
JOITLSZ,O,X,O,O
JOITLZS,O,O,O,O
JOITSLZ,O,X,O,O
JOITSZL,O,X,O,O
JOITZLS,O,O,O,O
JOITZSL,O,O,O,O
JOILTSZ,X,X,O,X
JOILTZS,X,O,O,X
JOILSTZ,X,X,O,X
JOILSZT,X,X,O,X
JOILZTS,X,O,O,X
JOILZST,X,O,O,X
JOISTLZ,O,X,O,O
JOISTZL,O,X,O,O
JOISLTZ,X,X,O,X
JOISLZT,X,X,O,X
JOISZTL,O,X,O,O
JOISZLT,X,X,O,X
JOIZTLS,O,O,O,O
JOIZTSL,O,O,O,O
JOIZLTS,X,O,O,X
JOIZLST,X,O,O,X
JOIZSTL,O,O,O,O
JOIZSLT,X,O,O,X
JOLTISZ,X,X,O,X
JOLTIZS,X,O,O,X
JOLTSIZ,X,X,O,X
JOLTSZI,X,X,O,X
JOLTZIS,X,O,O,X
JOLTZSI,X,O,O,X
JOLITSZ,X,X,O,X
JOLITZS,X,O,O,X
JOLISTZ,X,X,O,X
JOLISZT,X,X,O,X
JOLIZTS,X,O,O,X
JOLIZST,X,O,O,X
JOLSTIZ,X,X,O,X
JOLSTZI,X,X,O,X
JOLSITZ,X,X,O,X
JOLSIZT,X,X,O,X
JOLSZTI,X,X,O,X
JOLSZIT,X,X,O,X
JOLZTIS,X,O,O,X
JOLZTSI,X,O,O,X
JOLZITS,X,O,O,X
JOLZIST,X,O,O,X
JOLZSTI,X,O,O,X
JOLZSIT,X,O,O,X
JOSTILZ,O,X,O,O
JOSTIZL,O,X,O,O
JOSTLIZ,O,X,O,O
JOSTLZI,O,X,O,O
JOSTZIL,O,X,O,O
JOSTZLI,O,X,O,O
JOSITLZ,O,X,O,O
JOSITZL,O,X,O,O
JOSILTZ,X,X,O,X
JOSILZT,X,X,O,X
JOSIZTL,O,X,O,O
JOSIZLT,X,X,O,X
JOSLTIZ,X,X,O,X
JOSLTZI,X,X,O,X
JOSLITZ,X,X,O,X
JOSLIZT,X,X,O,X
JOSLZTI,X,X,O,X
JOSLZIT,X,X,O,X
JOSZTIL,O,X,O,O
JOSZTLI,O,X,O,O
JOSZITL,O,X,O,O
JOSZILT,X,X,O,X
JOSZLTI,X,X,O,X
JOSZLIT,X,X,O,X
JOZTILS,O,O,O,O
JOZTISL,O,O,O,O
JOZTLIS,O,O,O,O
JOZTLSI,X,O,O,O
JOZTSIL,O,O,O,O
JOZTSLI,O,O,O,O
JOZITLS,O,O,O,O
JOZITSL,O,O,O,O
JOZILTS,X,O,O,X
JOZILST,X,O,O,X
JOZISTL,O,O,O,O
JOZISLT,X,O,O,X
JOZLTIS,X,O,O,X
JOZLTSI,X,O,O,X
JOZLITS,X,O,O,X
JOZLIST,X,O,O,X
JOZLSTI,X,O,O,X
JOZLSIT,X,O,O,X
JOZSTIL,O,O,O,O
JOZSTLI,O,O,O,O
JOZSITL,O,O,O,O
JOZSILT,X,O,O,X
JOZSLTI,X,O,O,X
JOZSLIT,X,O,O,X
STILJZO,O,X,X,O
STILJOZ,O,X,X,O
STILZJO,O,O,X,X
STILZOJ,O,O,O,X
STILOJZ,O,X,O,O
STILOZJ,O,O,O,X
STIJLZO,O,X,X,O
STIJLOZ,O,X,X,O
STIJZLO,O,X,X,O
STIJZOL,O,X,X,O
STIJOLZ,O,X,X,O
STIJOZL,O,X,X,O
STIZLJO,O,O,X,X
STIZLOJ,O,O,O,X
STIZJLO,O,O,X,O
STIZJOL,O,O,X,O
STIZOLJ,O,O,O,X
STIZOJL,O,O,O,O
STIOLJZ,O,X,O,O
STIOLZJ,O,O,O,X
STIOJLZ,O,X,O,O
STIOJZL,O,X,O,O
STIOZLJ,O,O,O,X
STIOZJL,O,O,O,O
STLIJZO,O,X,X,O
STLIJOZ,O,X,X,O
STLIZJO,O,O,X,X
STLIZOJ,O,O,O,X
STLIOJZ,O,X,O,O
STLIOZJ,O,O,O,X
STLJIZO,O,X,X,O
STLJIOZ,O,X,X,O
STLJZIO,O,X,X,O
STLJZOI,O,X,X,O
STLJOIZ,O,X,X,O
STLJOZI,O,X,X,O
STLZIJO,O,O,X,X
STLZIOJ,O,O,O,X
STLZJIO,O,O,X,X
STLZJOI,O,O,X,X
STLZOIJ,O,O,O,X
STLZOJI,O,O,O,X
STLOIJZ,O,X,O,O
STLOIZJ,O,O,O,X
STLOJIZ,O,X,O,O
STLOJZI,O,X,O,O
STLOZIJ,O,O,O,X
STLOZJI,O,O,O,X
STJILZO,O,X,X,O
STJILOZ,O,X,X,O
STJIZLO,O,X,X,O
STJIZOL,O,X,X,O
STJIOLZ,O,X,X,O
STJIOZL,O,X,X,O
STJLIZO,O,X,X,O
STJLIOZ,O,X,X,O
STJLZIO,O,X,X,O
STJLZOI,O,X,X,O
STJLOIZ,O,X,X,O
STJLOZI,O,X,X,O
STJZILO,O,X,X,O
STJZIOL,O,X,X,O
STJZLIO,O,X,X,O
STJZLOI,O,X,X,O
STJZOIL,O,X,X,O
STJZOLI,O,X,X,O
STJOILZ,O,X,X,O
STJOIZL,O,X,X,O
STJOLIZ,O,X,X,O
STJOLZI,O,X,X,O
STJOZIL,O,X,X,O
STJOZLI,O,X,X,O
STZILJO,O,O,X,X
STZILOJ,O,O,O,X
STZIJLO,O,O,X,O
STZIJOL,O,O,X,O
STZIOLJ,O,O,O,X
STZIOJL,O,O,O,O
STZLIJO,O,O,X,X
STZLIOJ,O,O,O,X
STZLJIO,O,O,X,X
STZLJOI,O,O,X,X
STZLOIJ,O,O,O,X
STZLOJI,O,O,O,X
STZJILO,O,O,X,O
STZJIOL,O,O,X,O
STZJLIO,O,O,X,O
STZJLOI,O,O,X,O
STZJOIL,O,O,X,O
STZJOLI,O,O,X,O
STZOILJ,O,O,O,X
STZOIJL,O,O,O,O
STZOLIJ,O,O,O,X
STZOLJI,O,O,O,X
STZOJIL,O,O,O,O
STZOJLI,O,O,O,O
STOILJZ,O,X,O,O
STOILZJ,O,O,O,X
STOIJLZ,O,X,O,O
STOIJZL,O,X,O,O
STOIZLJ,O,O,O,X
STOIZJL,O,O,O,O
STOLIJZ,O,X,O,O
STOLIZJ,O,O,O,X
STOLJIZ,O,X,O,O
STOLJZI,O,X,O,O
STOLZIJ,O,O,O,X
STOLZJI,O,O,O,X
STOJILZ,O,X,O,O
STOJIZL,O,X,O,O
STOJLIZ,O,X,O,O
STOJLZI,O,X,O,O
STOJZIL,O,X,O,O
STOJZLI,O,X,O,O
STOZILJ,O,O,O,X
STOZIJL,O,O,O,O
STOZLIJ,O,O,O,X
STOZLJI,O,O,O,X
STOZJIL,O,O,O,O
STOZJLI,O,O,O,O
SITLJZO,O,X,X,O
SITLJOZ,O,X,X,O
SITLZJO,O,O,X,X
SITLZOJ,O,O,O,X
SITLOJZ,O,X,O,O
SITLOZJ,O,O,O,X
SITJLZO,O,X,X,O
SITJLOZ,O,X,X,O
SITJZLO,O,X,X,O
SITJZOL,O,X,X,O
SITJOLZ,O,X,X,O
SITJOZL,O,X,X,O
SITZLJO,O,O,X,X
SITZLOJ,O,O,O,X
SITZJLO,O,O,X,O
SITZJOL,O,O,X,O
SITZOLJ,O,O,O,X
SITZOJL,O,O,O,O
SITOLJZ,O,X,O,O
SITOLZJ,O,O,O,X
SITOJLZ,O,X,O,O
SITOJZL,O,X,O,O
SITOZLJ,O,O,O,X
SITOZJL,O,O,O,O
SILTJZO,O,X,X,O
SILTJOZ,O,X,X,O
SILTZJO,O,O,X,X
SILTZOJ,O,O,O,X
SILTOJZ,O,X,O,O
SILTOZJ,O,O,O,X
SILJTZO,X,X,X,O
SILJTOZ,X,X,X,O
SILJZTO,X,X,X,O
SILJZOT,X,X,O,X
SILJOTZ,X,X,O,X
SILJOZT,X,X,O,X
SILZTJO,O,O,X,X
SILZTOJ,O,O,O,X
SILZJTO,X,O,X,O
SILZJOT,X,O,O,X
SILZOTJ,O,O,O,X
SILZOJT,X,O,O,X
SILOTJZ,O,X,O,X
SILOTZJ,O,O,O,X
SILOJTZ,X,X,O,X
SILOJZT,X,X,O,X
SILOZTJ,O,O,O,X
SILOZJT,X,O,O,X
SIJTLZO,O,X,X,O
SIJTLOZ,O,X,X,O
SIJTZLO,O,X,X,O
SIJTZOL,O,X,X,O
SIJTOLZ,O,X,X,O
SIJTOZL,O,X,X,O
SIJLTZO,X,X,X,O
SIJLTOZ,X,X,X,O
SIJLZTO,X,X,X,O
SIJLZOT,X,X,O,X
SIJLOTZ,X,X,O,X
SIJLOZT,X,X,O,X
SIJZTLO,O,X,X,O
SIJZTOL,O,X,X,O
SIJZLTO,X,X,X,O
SIJZLOT,X,X,O,X
SIJZOTL,O,X,O,O
SIJZOLT,X,X,O,X
SIJOTLZ,O,X,O,O
SIJOTZL,O,X,O,O
SIJOLTZ,X,X,O,X
SIJOLZT,X,X,O,X
SIJOZTL,O,X,O,O
SIJOZLT,X,X,O,X
SIZTLJO,O,O,X,X
SIZTLOJ,O,O,O,X
SIZTJLO,O,O,X,O
SIZTJOL,O,O,X,O
SIZTOLJ,O,O,O,X
SIZTOJL,O,O,O,O
SIZLTJO,O,O,X,X
SIZLTOJ,O,O,O,X
SIZLJTO,X,O,X,O
SIZLJOT,X,O,O,X
SIZLOTJ,O,O,O,X
SIZLOJT,X,O,O,X
SIZJTLO,O,O,X,O
SIZJTOL,O,O,X,O
SIZJLTO,X,O,X,O
SIZJLOT,X,O,O,X
SIZJOTL,O,O,O,O
SIZJOLT,X,O,O,X
SIZOTLJ,O,O,O,X
SIZOTJL,O,O,O,X
SIZOLTJ,O,O,O,X
SIZOLJT,X,O,O,X
SIZOJTL,O,O,O,O
SIZOJLT,X,O,O,X
SIOTLJZ,O,X,O,O
SIOTLZJ,O,O,O,X
SIOTJLZ,O,X,O,O
SIOTJZL,O,X,O,O
SIOTZLJ,O,O,O,X
SIOTZJL,O,O,O,O
SIOLTJZ,O,X,O,X
SIOLTZJ,O,O,O,X
SIOLJTZ,X,X,O,X
SIOLJZT,X,X,O,X
SIOLZTJ,O,O,O,X
SIOLZJT,X,O,O,X
SIOJTLZ,O,X,O,O
SIOJTZL,O,X,O,O
SIOJLTZ,X,X,O,X
SIOJLZT,X,X,O,X
SIOJZTL,O,X,O,O
SIOJZLT,X,X,O,X
SIOZTLJ,O,O,O,X
SIOZTJL,O,O,O,X
SIOZLTJ,O,O,O,X
SIOZLJT,X,O,O,X
SIOZJTL,O,O,O,O
SIOZJLT,X,O,O,X
SLTIJZO,O,X,X,O
SLTIJOZ,O,X,X,O
SLTIZJO,O,O,X,X
SLTIZOJ,O,O,O,X
SLTIOJZ,O,X,O,O
SLTIOZJ,O,O,O,X
SLTJIZO,O,X,X,O
SLTJIOZ,O,X,X,O
SLTJZIO,O,X,X,O
SLTJZOI,O,X,X,O
SLTJOIZ,O,X,X,O
SLTJOZI,O,X,X,O
SLTZIJO,O,O,X,X
SLTZIOJ,O,O,O,X
SLTZJIO,O,O,X,X
SLTZJOI,O,O,X,X
SLTZOIJ,O,O,O,X
SLTZOJI,O,O,O,X
SLTOIJZ,O,X,O,O
SLTOIZJ,O,O,O,X
SLTOJIZ,O,X,O,O
SLTOJZI,O,X,O,O
SLTOZIJ,O,O,O,X
SLTOZJI,O,O,O,X
SLITJZO,O,X,X,O
SLITJOZ,O,X,X,O
SLITZJO,O,O,X,X
SLITZOJ,O,O,O,X
SLITOJZ,O,X,O,O
SLITOZJ,O,O,O,X
SLIJTZO,X,X,X,O
SLIJTOZ,X,X,X,O
SLIJZTO,X,X,X,O
SLIJZOT,X,X,O,X
SLIJOTZ,X,X,O,X
SLIJOZT,X,X,O,X
SLIZTJO,O,O,X,X
SLIZTOJ,O,O,O,X
SLIZJTO,X,O,X,O
SLIZJOT,X,O,O,X
SLIZOTJ,O,O,O,X
SLIZOJT,X,O,O,X
SLIOTJZ,O,X,O,X
SLIOTZJ,O,O,O,X
SLIOJTZ,X,X,O,X
SLIOJZT,X,X,O,X
SLIOZTJ,O,O,O,X
SLIOZJT,X,O,O,X
SLJTIZO,X,X,X,O
SLJTIOZ,X,X,X,O
SLJTZIO,X,X,X,O
SLJTZOI,X,X,X,O
SLJTOIZ,X,X,X,O
SLJTOZI,X,X,X,O
SLJITZO,X,X,X,O
SLJITOZ,X,X,X,O
SLJIZTO,X,X,X,O
SLJIZOT,X,X,O,X
SLJIOTZ,X,X,O,X
SLJIOZT,X,X,O,X
SLJZTIO,X,X,X,O
SLJZTOI,X,X,X,O
SLJZITO,X,X,X,O
SLJZIOT,X,X,O,X
SLJZOTI,X,X,O,X
SLJZOIT,X,X,O,X
SLJOTIZ,X,X,O,X
SLJOTZI,X,X,O,X
SLJOITZ,X,X,O,X
SLJOIZT,X,X,O,X
SLJOZTI,X,X,O,X
SLJOZIT,X,X,O,X
SLZTIJO,O,O,X,X
SLZTIOJ,O,O,O,X
SLZTJIO,O,O,X,X
SLZTJOI,O,O,X,X
SLZTOIJ,O,O,O,X
SLZTOJI,O,O,O,X
SLZITJO,O,O,X,X
SLZITOJ,O,O,O,X
SLZIJTO,X,O,X,O
SLZIJOT,X,O,O,X
SLZIOTJ,O,O,O,X
SLZIOJT,X,O,O,X
SLZJTIO,X,O,X,O
SLZJTOI,X,O,X,O
SLZJITO,X,O,X,O
SLZJIOT,X,O,O,X
SLZJOTI,X,O,O,X
SLZJOIT,X,O,O,X
SLZOTIJ,O,O,O,X
SLZOTJI,O,O,O,X
SLZOITJ,O,O,O,X
SLZOIJT,X,O,O,X
SLZOJTI,X,O,O,X
SLZOJIT,X,O,O,X
SLOTIJZ,O,X,O,X
SLOTIZJ,O,O,O,X
SLOTJIZ,O,X,O,X
SLOTJZI,O,X,O,X
SLOTZIJ,O,O,O,X
SLOTZJI,O,O,O,X
SLOITJZ,O,X,O,X
SLOITZJ,O,O,O,X
SLOIJTZ,X,X,O,X
SLOIJZT,X,X,O,X
SLOIZTJ,O,O,O,X
SLOIZJT,X,O,O,X
SLOJTIZ,X,X,O,X
SLOJTZI,X,X,O,X
SLOJITZ,X,X,O,X
SLOJIZT,X,X,O,X
SLOJZTI,X,X,O,X
SLOJZIT,X,X,O,X
SLOZTIJ,O,O,O,X
SLOZTJI,O,O,O,X
SLOZITJ,O,O,O,X
SLOZIJT,X,O,O,X
SLOZJTI,X,O,O,X
SLOZJIT,X,O,O,X
SJTILZO,O,X,X,O
SJTILOZ,O,X,X,O
SJTIZLO,O,X,X,O
SJTIZOL,O,X,X,O
SJTIOLZ,O,X,X,O
SJTIOZL,O,X,X,O
SJTLIZO,O,X,X,O
SJTLIOZ,O,X,X,O
SJTLZIO,O,X,X,O
SJTLZOI,O,X,X,O
SJTLOIZ,O,X,X,O
SJTLOZI,O,X,X,O
SJTZILO,O,X,X,O
SJTZIOL,O,X,X,O
SJTZLIO,O,X,X,O
SJTZLOI,O,X,X,O
SJTZOIL,O,X,X,O
SJTZOLI,O,X,X,O
SJTOILZ,O,X,X,O
SJTOIZL,O,X,X,O
SJTOLIZ,O,X,X,O
SJTOLZI,O,X,X,O
SJTOZIL,O,X,X,O
SJTOZLI,O,X,X,O
SJITLZO,O,X,X,O
SJITLOZ,O,X,X,O
SJITZLO,O,X,X,O
SJITZOL,O,X,X,O
SJITOLZ,O,X,X,O
SJITOZL,O,X,X,O
SJILTZO,X,X,X,O
SJILTOZ,X,X,X,O
SJILZTO,X,X,X,O
SJILZOT,X,X,O,X
SJILOTZ,X,X,O,X
SJILOZT,X,X,O,X
SJIZTLO,O,X,X,O
SJIZTOL,O,X,X,O
SJIZLTO,X,X,X,O
SJIZLOT,X,X,O,X
SJIZOTL,O,X,O,O
SJIZOLT,X,X,O,X
SJIOTLZ,O,X,O,O
SJIOTZL,O,X,O,O
SJIOLTZ,X,X,O,X
SJIOLZT,X,X,O,X
SJIOZTL,O,X,O,O
SJIOZLT,X,X,O,X
SJLTIZO,X,X,X,O
SJLTIOZ,X,X,X,O
SJLTZIO,X,X,X,O
SJLTZOI,X,X,X,O
SJLTOIZ,X,X,X,O
SJLTOZI,X,X,X,O
SJLITZO,X,X,X,O
SJLITOZ,X,X,X,O
SJLIZTO,X,X,X,O
SJLIZOT,X,X,O,X
SJLIOTZ,X,X,O,X
SJLIOZT,X,X,O,X
SJLZTIO,X,X,X,O
SJLZTOI,X,X,X,O
SJLZITO,X,X,X,O
SJLZIOT,X,X,O,X
SJLZOTI,X,X,O,X
SJLZOIT,X,X,O,X
SJLOTIZ,X,X,O,X
SJLOTZI,X,X,O,X
SJLOITZ,X,X,O,X
SJLOIZT,X,X,O,X
SJLOZTI,X,X,O,X
SJLOZIT,X,X,O,X
SJZTILO,O,X,X,O
SJZTIOL,O,X,X,O
SJZTLIO,O,X,X,O
SJZTLOI,O,X,X,O
SJZTOIL,O,X,X,O
SJZTOLI,O,X,X,O
SJZITLO,O,X,X,O
SJZITOL,O,X,X,O
SJZILTO,X,X,X,O
SJZILOT,X,X,O,X
SJZIOTL,O,X,O,O
SJZIOLT,X,X,O,X
SJZLTIO,X,X,X,O
SJZLTOI,X,X,X,O
SJZLITO,X,X,X,O
SJZLIOT,X,X,O,X
SJZLOTI,X,X,O,X
SJZLOIT,X,X,O,X
SJZOTIL,O,X,O,O
SJZOTLI,O,X,O,O
SJZOITL,O,X,O,O
SJZOILT,X,X,O,X
SJZOLTI,X,X,O,X
SJZOLIT,X,X,O,X
SJOTILZ,O,X,O,O
SJOTIZL,O,X,O,O
SJOTLIZ,O,X,O,O
SJOTLZI,O,X,O,O
SJOTZIL,O,X,O,O
SJOTZLI,O,X,O,O
SJOITLZ,O,X,O,O
SJOITZL,O,X,O,O
SJOILTZ,X,X,O,X
SJOILZT,X,X,O,X
SJOIZTL,O,X,O,O
SJOIZLT,X,X,O,X
SJOLTIZ,X,X,O,X
SJOLTZI,X,X,O,X
SJOLITZ,X,X,O,X
SJOLIZT,X,X,O,X
SJOLZTI,X,X,O,X
SJOLZIT,X,X,O,X
SJOZTIL,O,X,O,O
SJOZTLI,O,X,O,O
SJOZITL,O,X,O,O
SJOZILT,X,X,O,X
SJOZLTI,X,X,O,X
SJOZLIT,X,X,O,X
SZTILJO,O,O,X,X
SZTILOJ,O,O,O,X
SZTIJLO,O,O,X,O
SZTIJOL,O,O,X,O
SZTIOLJ,O,O,O,X
SZTIOJL,O,O,O,O
SZTLIJO,O,O,X,X
SZTLIOJ,O,O,O,X
SZTLJIO,O,O,X,X
SZTLJOI,O,O,X,X
SZTLOIJ,O,O,O,X
SZTLOJI,O,O,O,X
SZTJILO,O,O,X,O
SZTJIOL,O,O,X,O
SZTJLIO,O,O,X,O
SZTJLOI,O,O,X,O
SZTJOIL,O,O,X,O
SZTJOLI,O,O,X,O
SZTOILJ,O,O,O,X
SZTOIJL,O,O,O,O
SZTOLIJ,O,O,O,X
SZTOLJI,O,O,O,X
SZTOJIL,O,O,O,O
SZTOJLI,O,O,O,O
SZITLJO,O,O,X,X
SZITLOJ,O,O,O,X
SZITJLO,O,O,X,O
SZITJOL,O,O,X,O
SZITOLJ,O,O,O,X
SZITOJL,O,O,O,O
SZILTJO,O,O,X,X
SZILTOJ,O,O,O,X
SZILJTO,X,O,X,O
SZILJOT,X,O,O,X
SZILOTJ,O,O,O,X
SZILOJT,X,O,O,X
SZIJTLO,O,O,X,O
SZIJTOL,O,O,X,O
SZIJLTO,X,O,X,O
SZIJLOT,X,O,O,X
SZIJOTL,O,O,O,O
SZIJOLT,X,O,O,X
SZIOTLJ,O,O,O,X
SZIOTJL,O,O,O,X
SZIOLTJ,O,O,O,X
SZIOLJT,X,O,O,X
SZIOJTL,O,O,O,O
SZIOJLT,X,O,O,X
SZLTIJO,O,O,X,X
SZLTIOJ,O,O,O,X
SZLTJIO,O,O,X,X
SZLTJOI,O,O,X,X
SZLTOIJ,O,O,O,X
SZLTOJI,O,O,O,X
SZLITJO,O,O,X,X
SZLITOJ,O,O,O,X
SZLIJTO,X,O,X,O
SZLIJOT,X,O,O,X
SZLIOTJ,O,O,O,X
SZLIOJT,X,O,O,X
SZLJTIO,X,O,X,O
SZLJTOI,X,O,X,O
SZLJITO,X,O,X,O
SZLJIOT,X,O,O,X
SZLJOTI,X,O,O,X
