sequence,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeOEJvhFXgBaoBRmBc?sBlmBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeT/IvhFxgBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFiiBxkBfsBz?nBmkB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jex/IvhFXhB8mBziBl?pBisBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jel/IvhFUhBziB2pBR?sBasBXqB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeXAJvhFVmBziB2pBR?sBasB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUAJvhFRhBziBlmBm?pBisB/pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFmiBxkBfsB0?nBikBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFziB/pBFlBR?sBasBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JexAJvhFTkBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFeoBxkBXnBi?kBzpBFsB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFTiBeoBxkBf?sBypB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFxkBlnBikBf?sBmnBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Je0/IvhFziB/pBRmBO?qBlmBisB
TLSOZIJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TLSOZJI,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLZIJSO,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TLZIJOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TLZISOJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TLZIOJS,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TLZIOSJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TLZJISO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZJIOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZJSIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZJSOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZJOSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZSIJO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TLZOISJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
TLZOJIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZOJSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLOIZJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TLOIZSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLOJISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOJZSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLOSJIZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOSJZI,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOSZIJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TLOSZJI,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOZIJS,O,X,X,O,X,X,O,X,X,X,X,X,O,X
TLOZISJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TLOZJIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOZJSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
