sequence,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhF8mBziB5oBe?rBCmBXsB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhFXiB8nB5oBe?rBCmBzrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeKFJvhFzgBmiB5oBc?sBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KemAJvhFxiBTlBcsB6?tBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeXBJvhFziB5oB2qBC?sBdsB0qB
TZJLIOS,X,O,X,X,X
TZJLSIO,X,O,O,X,X
TZJLSOI,X,X,X,X,X
TZJLOIS,X,O,X,X,X
TZJLOSI,X,O,X,X,X
TZJSILO,O,O,O,X,X
TZJSIOL,O,O,X,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,O,X,X,X
TZJSOLI,O,O,X,X,X
TZJOILS,X,O,X,X,X
TZJOISL,O,O,X,X,X
TZJOLIS,X,O,X,X,X
TZJOLSI,X,O,X,X,X
TZJOSIL,O,O,X,X,X
TZJOSLI,O,O,X,X,X
TZSILJO,O,O,O,X,X
TZSILOJ,O,X,O,X,X
TZSIJLO,O,O,O,X,X
TZSIJOL,O,O,X,X,X
TZSIOLJ,O,O,X,X,X
TZSIOJL,O,O,X,X,X
TZSLIJO,O,O,O,X,X
TZSLIOJ,O,X,O,O,X
TZSLJIO,O,O,O,X,X
TZSLJOI,O,X,X,X,X
TZSLOIJ,O,X,O,O,X
TZSLOJI,O,X,X,O,X
TZSJILO,O,O,O,X,X
TZSJIOL,O,O,X,X,X
TZSJLIO,O,O,O,X,X
TZSJLOI,O,X,X,X,X
TZSJOIL,O,O,X,X,X
TZSJOLI,O,O,X,X,X
TZSOILJ,O,O,X,X,X
TZSOIJL,O,O,X,X,X
TZSOLIJ,O,O,X,O,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,O,X,X,X
TZSOJLI,O,O,X,O,X
TZOILJS,X,O,X,X,X
TZOILSJ,X,O,X,X,X
TZOIJLS,X,O,X,X,X
TZOIJSL,O,O,X,X,X
TZOISLJ,O,O,X,X,X
TZOISJL,O,O,X,X,X
TZOLIJS,X,O,X,X,X
TZOLISJ,X,O,X,O,X
TZOLJIS,X,O,X,X,X
TZOLJSI,X,O,X,X,X
TZOLSIJ,X,O,X,O,X
TZOLSJI,X,O,X,O,X
TZOJILS,X,O,X,X,X
TZOJISL,O,O,X,X,X
TZOJLIS,X,O,X,X,X
TZOJLSI,X,O,X,X,X
TZOJSIL,O,O,X,X,X
TZOJSLI,O,O,X,X,X
TZOSILJ,O,O,X,X,X
TZOSIJL,O,O,X,X,X
TZOSLIJ,O,O,X,O,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,O,X,X,X
TZOSJLI,O,O,X,O,X
TOILJSZ,O,X,X,X,O
TOILJZS,X,O,X,X,O
TOILSJZ,O,X,X,X,X
TOILSZJ,O,X,X,X,X
TOILZJS,X,O,X,X,X
TOILZSJ,X,O,X,X,X
TOIJLSZ,O,X,X,X,O
TOIJLZS,X,O,X,X,O
TOIJSLZ,O,X,X,X,X
TOIJSZL,O,O,X,X,X
TOIJZLS,X,O,X,X,X
TOIJZSL,O,O,X,X,X
TOISLJZ,O,X,X,X,X
TOISLZJ,O,X,X,X,X
TOISJLZ,O,X,X,X,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,O,X,X,X
TOISZJL,O,O,X,X,X
TOIZLJS,X,O,X,X,X
TOIZLSJ,X,O,X,X,X
TOIZJLS,X,O,X,X,X
TOIZJSL,O,O,X,X,X
TOIZSLJ,O,O,X,X,X
TOIZSJL,O,O,X,X,X
TOLIJSZ,O,X,X,X,O
TOLIJZS,X,O,X,X,O
TOLISJZ,O,X,X,X,X
TOLISZJ,O,X,X,X,X
TOLIZJS,X,O,X,X,X
TOLIZSJ,X,O,X,O,X
TOLJISZ,O,X,X,X,O
TOLJIZS,X,O,X,X,O
TOLJSIZ,O,X,X,X,X
TOLJSZI,O,X,X,O,X
TOLJZIS,X,O,X,X,X
TOLJZSI,X,O,X,X,X
TOLSIJZ,O,X,X,X,X
TOLSIZJ,O,X,X,X,X
TOLSJIZ,O,X,X,X,X
TOLSJZI,O,X,X,O,X
TOLSZIJ,O,X,X,O,X
TOLSZJI,O,X,X,O,X
TOLZIJS,X,O,X,X,X
TOLZISJ,X,O,X,O,X
TOLZJIS,X,O,X,X,X
TOLZJSI,X,O,X,X,X
TOLZSIJ,X,O,X,O,X
TOLZSJI,X,O,X,O,X
TOJILSZ,O,X,X,X,O
TOJILZS,X,O,X,X,O
TOJISLZ,O,X,X,X,X
