sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
OJTLISZ,X,X,O,O,O,X
OJTLIZS,X,O,X,X,O,X
OJTLSIZ,X,X,O,O,O,X
OJTLSZI,X,X,O,O,X,X
OJTLZIS,X,O,X,X,O,X
OJTLZSI,X,O,X,X,X,X
OJTSILZ,X,X,O,O,O,X
OJTSIZL,X,X,O,O,X,X
OJTSLIZ,X,X,O,O,O,X
OJTSLZI,X,X,O,O,X,X
OJTSZIL,X,X,O,O,X,X
OJTSZLI,X,X,O,X,X,X
OJTZILS,X,O,X,X,O,X
OJTZISL,X,O,O,X,X,X
OJTZLIS,X,O,X,X,O,X
OJTZLSI,X,O,X,X,X,X
OJTZSIL,X,O,O,X,X,X
OJTZSLI,X,O,O,X,X,X
OJITLSZ,X,X,O,O,O,X
OJITLZS,X,O,X,X,O,X
OJITSLZ,X,X,O,O,O,X
OJITSZL,X,X,O,O,X,X
OJITZLS,X,O,X,X,O,X
OJITZSL,X,O,O,X,X,X
OJILTSZ,X,X,O,O,O,X
OJILTZS,X,O,X,X,O,X
OJILSTZ,X,X,X,O,X,X
OJILSZT,X,X,O,O,X,X
OJILZTS,X,O,X,X,X,X
OJILZST,X,O,X,O,X,X
OJISTLZ,X,X,O,O,X,X
OJISTZL,X,X,O,O,X,X
OJISLTZ,X,X,X,O,X,X
OJISLZT,X,X,O,O,X,O
OJISZTL,X,X,O,O,X,O
OJISZLT,X,X,O,O,X,O
OJIZTLS,X,O,X,X,X,X
OJIZTSL,X,X,O,X,X,O
OJIZLTS,X,O,X,X,X,X
OJIZLST,X,O,X,O,X,O
OJIZSTL,X,X,O,O,X,O
OJIZSLT,X,O,O,O,X,O
OJLTISZ,X,X,O,O,O,X
OJLTIZS,X,O,X,X,O,X
OJLTSIZ,X,X,O,O,O,X
OJLTSZI,X,X,O,O,X,X
OJLTZIS,X,O,X,X,O,X
OJLTZSI,X,O,X,X,X,X
OJLITSZ,X,X,O,O,O,X
OJLITZS,X,O,X,X,O,X
OJLISTZ,X,X,X,O,X,X
OJLISZT,X,X,O,O,X,X
OJLIZTS,X,O,X,X,X,X
OJLIZST,X,O,X,O,X,X
OJLSTIZ,X,X,X,O,X,X
OJLSTZI,X,X,X,O,X,X
OJLSITZ,X,X,X,O,X,X
OJLSIZT,X,X,O,O,X,X
OJLSZTI,X,X,X,O,X,X
OJLSZIT,X,X,O,O,X,X
OJLZTIS,X,O,X,X,X,X
OJLZTSI,X,X,X,X,X,X
OJLZITS,X,O,X,X,X,X
OJLZIST,X,O,X,O,X,X
OJLZSTI,X,X,X,O,X,X
OJLZSIT,X,O,X,O,X,X
OJSTILZ,X,X,O,O,X,X
OJSTIZL,X,X,O,O,X,X
OJSTLIZ,X,X,O,O,X,X
OJSTLZI,X,X,O,O,X,X
OJSTZIL,X,X,O,O,X,X
OJSTZLI,X,X,O,X,X,X
OJSITLZ,X,X,O,O,X,X
OJSITZL,X,X,O,O,X,X
OJSILTZ,X,X,X,O,X,X
OJSILZT,X,X,O,O,X,O
OJSIZTL,X,X,O,O,X,O
OJSIZLT,X,X,O,O,X,O
OJSLTIZ,X,X,X,O,X,X
OJSLTZI,X,X,X,O,X,X
OJSLITZ,X,X,X,O,X,X
OJSLIZT,X,X,O,O,X,O
OJSLZTI,X,X,X,O,X,O
OJSLZIT,X,X,O,O,X,O
OJSZTIL,X,X,O,O,X,O
OJSZTLI,X,X,X,X,X,O
OJSZITL,X,X,O,O,X,O
OJSZILT,X,X,O,O,X,O
OJSZLTI,X,X,X,O,X,O
OJSZLIT,X,X,O,O,X,O
OJZTILS,X,O,X,X,X,X
OJZTISL,X,X,O,X,X,O
OJZTLIS,X,O,X,X,X,X
OJZTLSI,X,X,X,X,X,X
OJZTSIL,X,X,O,X,X,O
OJZTSLI,X,X,O,X,X,O
OJZITLS,X,O,X,X,X,X
OJZITSL,X,X,O,X,X,O
OJZILTS,X,O,X,X,X,X
OJZILST,X,O,X,O,X,O
OJZISTL,X,X,O,O,X,O
OJZISLT,X,O,O,O,X,O
OJZLTIS,X,O,X,X,X,X
OJZLTSI,X,X,X,X,X,X
OJZLITS,X,O,X,X,X,X
OJZLIST,X,O,X,O,X,O
OJZLSTI,X,X,X,O,X,O
OJZLSIT,X,O,X,O,X,O
OJZSTIL,X,X,O,O,X,O
OJZSTLI,X,X,X,X,X,O
OJZSITL,X,X,O,O,X,O
OJZSILT,X,O,O,O,X,O
OJZSLTI,X,X,X,O,X,O
OJZSLIT,X,O,O,O,X,O
OSTILJZ,O,X,O,O,X,X
OSTILZJ,O,X,O,O,X,X
OSTIJLZ,O,X,O,O,X,X
OSTIJZL,O,X,O,O,X,X
OSTIZLJ,O,X,O,X,X,X
OSTIZJL,O,X,O,O,X,X
OSTLIJZ,O,X,O,O,X,X
OSTLIZJ,O,X,O,O,X,X
OSTLJIZ,O,X,O,O,X,X
OSTLJZI,O,X,O,O,X,X
OSTLZIJ,O,X,O,O,X,X
OSTLZJI,O,X,O,O,X,X
OSTJILZ,O,X,O,O,X,X
OSTJIZL,O,X,O,O,X,X
OSTJLIZ,O,X,O,O,X,X
OSTJLZI,O,X,O,O,X,X
OSTJZIL,O,X,O,O,X,X
OSTJZLI,O,X,O,X,X,X
OSTZILJ,O,X,O,X,X,X
OSTZIJL,O,X,O,O,X,X
OSTZLIJ,O,X,O,X,X,X
OSTZLJI,O,X,O,X,X,X
OSTZJIL,O,X,O,O,X,X
OSTZJLI,O,X,O,X,X,X
OSITLJZ,O,X,O,O,X,X
OSITLZJ,O,X,O,O,X,X
OSITJLZ,O,X,O,O,X,X
OSITJZL,O,X,O,O,X,X
OSITZLJ,O,X,O,X,X,X
OSITZJL,O,X,O,O,X,X
OSILTJZ,O,X,X,O,X,X
OSILTZJ,O,X,X,O,X,X
OSILJTZ,X,X,X,O,X,X
OSILJZT,X,X,O,O,X,O
OSILZTJ,O,X,X,O,X,O
OSILZJT,O,X,O,O,X,O
OSIJTLZ,X,X,O,O,X,X
OSIJTZL,X,X,O,O,X,X
OSIJLTZ,X,X,X,O,X,X
OSIJLZT,X,X,O,O,X,O
OSIJZTL,X,X,O,O,X,O
OSIJZLT,X,X,O,O,X,O
OSIZTLJ,O,X,X,X,X,O
OSIZTJL,O,X,O,O,X,O
OSIZLTJ,O,X,X,O,X,O
OSIZLJT,O,X,O,O,X,O
OSIZJTL,O,X,O,O,X,O
OSIZJLT,O,X,O,O,X,O
OSLTIJZ,O,X,X,O,X,X
OSLTIZJ,O,X,X,O,X,X
OSLTJIZ,O,X,X,O,X,X
OSLTJZI,O,X,X,O,X,X
OSLTZIJ,O,X,X,O,X,X
OSLTZJI,O,X,X,O,X,X
OSLITJZ,O,X,X,O,X,X
OSLITZJ,O,X,X,O,X,X
OSLIJTZ,X,X,X,O,X,X
OSLIJZT,X,X,O,O,X,O
OSLIZTJ,O,X,X,O,X,O
OSLIZJT,O,X,O,O,X,O
OSLJTIZ,X,X,X,O,X,X
OSLJTZI,X,X,X,O,X,X
OSLJITZ,X,X,X,O,X,X
OSLJIZT,X,X,O,O,X,O
OSLJZTI,X,X,X,O,X,O
OSLJZIT,X,X,O,O,X,O
OSLZTIJ,O,X,X,O,X,O
OSLZTJI,O,X,X,O,X,O
OSLZITJ,O,X,X,O,X,O
OSLZIJT,O,X,O,O,X,O
OSLZJTI,O,X,X,O,X,O
OSLZJIT,O,X,O,O,X,O
OSJTILZ,X,X,O,O,X,X
OSJTIZL,X,X,O,O,X,X
OSJTLIZ,X,X,O,O,X,X
OSJTLZI,X,X,O,O,X,X
OSJTZIL,X,X,O,O,X,X
OSJTZLI,X,X,O,X,X,X
OSJITLZ,X,X,O,O,X,X
OSJITZL,X,X,O,O,X,X
OSJILTZ,X,X,X,O,X,X
OSJILZT,X,X,O,O,X,O
OSJIZTL,X,X,O,O,X,O
OSJIZLT,X,X,O,O,X,O
OSJLTIZ,X,X,X,O,X,X
OSJLTZI,X,X,X,O,X,X
OSJLITZ,X,X,X,O,X,X
OSJLIZT,X,X,O,O,X,O
OSJLZTI,X,X,X,O,X,O
OSJLZIT,X,X,O,O,X,O
OSJZTIL,X,X,O,O,X,O
OSJZTLI,X,X,X,X,X,O
OSJZITL,X,X,O,O,X,O
OSJZILT,X,X,O,O,X,O
OSJZLTI,X,X,X,O,X,O
OSJZLIT,X,X,O,O,X,O
OSZTILJ,O,X,X,X,X,O
OSZTIJL,O,X,O,O,X,O
OSZTLIJ,O,X,X,X,X,O
OSZTLJI,O,X,X,X,X,O
OSZTJIL,O,X,O,O,X,O
OSZTJLI,O,X,X,X,X,O
OSZITLJ,O,X,X,X,X,O
OSZITJL,O,X,O,O,X,O
OSZILTJ,O,X,X,O,X,O
OSZILJT,O,X,O,O,X,O
OSZIJTL,O,X,O,O,X,O
OSZIJLT,O,X,O,O,X,O
OSZLTIJ,O,X,X,O,X,O
OSZLTJI,O,X,X,O,X,O
OSZLITJ,O,X,X,O,X,O
OSZLIJT,O,X,O,O,X,O
OSZLJTI,O,X,X,O,X,O
OSZLJIT,O,X,O,O,X,O
OSZJTIL,O,X,O,O,X,O
OSZJTLI,O,X,X,X,X,O
OSZJITL,O,X,O,O,X,O
OSZJILT,O,X,O,O,X,O
OSZJLTI,O,X,X,O,X,O
OSZJLIT,O,X,O,O,X,O
OZTILJS,O,O,X,X,X,X
OZTILSJ,O,X,X,X,X,X
OZTIJLS,O,O,X,X,X,X
OZTIJSL,O,X,O,X,X,O
OZTISLJ,O,X,O,X,X,O
OZTISJL,O,X,O,X,X,O
OZTLIJS,O,O,X,X,X,X
OZTLISJ,O,X,X,X,X,X
OZTLJIS,O,O,X,X,X,X
OZTLJSI,O,X,X,X,X,X
OZTLSIJ,O,X,X,X,X,X
OZTLSJI,O,X,X,X,X,X
OZTJILS,O,O,X,X,X,X
OZTJISL,O,X,O,X,X,O
OZTJLIS,O,O,X,X,X,X
OZTJLSI,O,X,X,X,X,X
OZTJSIL,O,X,O,X,X,O
OZTJSLI,O,X,O,X,X,O
OZTSILJ,O,X,O,X,X,O
OZTSIJL,O,X,O,X,X,O
OZTSLIJ,O,X,O,X,X,O
OZTSLJI,O,X,O,X,X,O
OZTSJIL,O,X,O,X,X,O
OZTSJLI,O,X,O,X,X,O
OZITLJS,O,O,X,X,X,X
OZITLSJ,O,X,X,X,X,X
OZITJLS,O,O,X,X,X,X
OZITJSL,O,X,O,X,X,O
OZITSLJ,O,X,O,X,X,O
OZITSJL,O,X,O,X,X,O
OZILTJS,O,O,X,X,X,X
OZILTSJ,O,X,X,X,X,X
OZILJTS,O,O,X,X,X,X
OZILJST,O,O,X,O,X,O
OZILSTJ,O,X,X,O,X,O
OZILSJT,O,O,X,O,X,O
OZIJTLS,O,O,X,X,X,X
OZIJTSL,O,X,O,X,X,O
OZIJLTS,O,O,X,X,X,X
OZIJLST,O,O,X,O,X,O
OZIJSTL,O,X,O,O,X,O
OZIJSLT,O,O,O,O,X,O
OZISTLJ,O,X,X,X,X,O
OZISTJL,O,X,O,O,X,O
OZISLTJ,O,X,X,O,X,O
OZISLJT,O,O,O,O,X,O
OZISJTL,O,X,O,O,X,O
OZISJLT,O,O,O,O,X,O
OZLTIJS,O,O,X,X,X,X
OZLTISJ,O,X,X,X,X,X
OZLTJIS,O,O,X,X,X,X
OZLTJSI,O,X,X,X,X,X
OZLTSIJ,O,X,X,X,X,X
OZLTSJI,O,X,X,X,X,X
OZLITJS,O,O,X,X,X,X
OZLITSJ,O,X,X,X,X,X
OZLIJTS,O,O,X,X,X,X
OZLIJST,O,O,X,O,X,O
OZLISTJ,O,X,X,O,X,O
OZLISJT,O,O,X,O,X,O
OZLJTIS,O,O,X,X,X,X
OZLJTSI,O,X,X,X,X,X
OZLJITS,O,O,X,X,X,X
OZLJIST,O,O,X,O,X,O
OZLJSTI,O,X,X,O,X,O
OZLJSIT,O,O,X,O,X,O
OZLSTIJ,O,X,X,O,X,O
OZLSTJI,O,X,X,O,X,O
OZLSITJ,O,X,X,O,X,O
OZLSIJT,O,O,X,O,X,O
OZLSJTI,O,X,X,O,X,O
OZLSJIT,O,O,X,O,X,O
OZJTILS,O,O,X,X,X,X
OZJTISL,O,X,O,X,X,O
OZJTLIS,O,O,X,X,X,X
OZJTLSI,O,X,X,X,X,X
OZJTSIL,O,X,O,X,X,O
OZJTSLI,O,X,O,X,X,O
OZJITLS,O,O,X,X,X,X
OZJITSL,O,X,O,X,X,O
OZJILTS,O,O,X,X,X,X
OZJILST,O,O,X,O,X,O
OZJISTL,O,X,O,O,X,O
OZJISLT,O,O,O,O,X,O
OZJLTIS,O,O,X,X,X,X
OZJLTSI,O,X,X,X,X,X
OZJLITS,O,O,X,X,X,X
OZJLIST,O,O,X,O,X,O
OZJLSTI,O,X,X,O,X,O
OZJLSIT,O,O,X,O,X,O
OZJSTIL,O,X,O,O,X,O
OZJSTLI,O,X,X,X,X,O
OZJSITL,O,X,O,O,X,O
OZJSILT,O,O,O,O,X,O
OZJSLTI,O,X,X,O,X,O
OZJSLIT,O,O,O,O,X,O
OZSTILJ,O,X,X,X,X,O
OZSTIJL,O,X,O,O,X,O
OZSTLIJ,O,X,X,X,X,O
OZSTLJI,O,X,X,X,X,O
OZSTJIL,O,X,O,O,X,O
OZSTJLI,O,X,X,X,X,O
OZSITLJ,O,X,X,X,X,O
OZSITJL,O,X,O,O,X,O
OZSILTJ,O,X,X,O,X,O
OZSILJT,O,O,O,O,X,O
OZSIJTL,O,X,O,O,X,O
OZSIJLT,O,O,O,O,X,O
OZSLTIJ,O,X,X,O,X,O
OZSLTJI,O,X,X,O,X,O
OZSLITJ,O,X,X,O,X,O
OZSLIJT,O,O,O,O,X,O
OZSLJTI,O,X,X,O,X,O
OZSLJIT,O,O,O,O,X,O
OZSJTIL,O,X,O,O,X,O
OZSJTLI,O,X,X,X,X,O
OZSJITL,O,X,O,O,X,O
OZSJILT,O,O,O,O,X,O
OZSJLTI,O,X,X,O,X,O
OZSJLIT,O,O,O,O,X,O
