sequence,v115@HhA8GeD8FeD8EeC8Je0/IvhFzhBCjB3lBmlBFsBxvB,v115@HhA8GeD8FeD8EeC8Jex/IvhFmhBCjBTmB0qBXsBFqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBCjBTqBxrBmrB3rB,v115@HhA8GeD8FeD8EeC8Jel/IvhFxiBmlBSsBTqBfsBUrB,v115@HhA8GeD8FeD8EeC8JeSFJvhFxiBlmBcsBmkB3qBTrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFWmBxiBTnBKqBXmB1wB,v115@HhA8GeD8FeD8EeC8Je0/IvhFCjBRmBlmBmqBXsBTqB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUrBFsB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBxiBKrBGnBfsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBFsBCsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBCsBFsBTqB,v115@HhA8GeD8FeD8EeC8Jel/IvhFUiBxlBCoBmqBzrB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBVnBTlBCoBmrBxvB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUmB1vBXsB,v115@HhA8GeD8FeD8EeC8Jel/IvhFzgBxiBKqBGnBfsBUrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFmhBCjBxqBXsBFrBTqB
TLZJSOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TLZJOIS,X,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X
TLZJOSI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TLZSIJO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLZSIOJ,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
TLZSJIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TLZSOIJ,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TLZSOJI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLZOIJS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TLZOISJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TLZOJSI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TLZOSIJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOIJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLOISZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
