sequence,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBcnBTjBSqBFtB,v115@RhA8CeB8DeH8AeA8Je/EJvhFRgB1mB0iB6oBTlBmsB,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBFjBSqBTnBctB,v115@RhA8CeB8DeH8AeA8Jei/IvhFulB1mBxiBzkB3nBctB,v115@RhA8CeB8DeH8AeA8JeXDJvhFlkBRmBctBmpBCrBTsB
TOIZLJS,O,X,X,O,X
TOIZLSJ,O,O,X,O,X
TOIZJLS,O,X,X,O,X
TOIZJSL,O,X,X,O,X
TOIZSLJ,O,O,X,O,O
TOIZSJL,O,O,X,O,O
TOLIJSZ,O,X,O,O,X
TOLIJZS,O,X,O,O,X
TOLISJZ,O,O,O,O,X
TOLISZJ,O,O,O,X,X
TOLIZJS,O,X,O,O,X
TOLIZSJ,O,O,O,O,X
TOLJISZ,O,O,O,O,X
TOLJIZS,O,O,O,O,X
TOLJSIZ,O,O,O,O,X
TOLJSZI,O,O,O,O,X
TOLJZIS,O,O,O,O,X
TOLJZSI,O,O,O,O,X
TOLSIJZ,O,O,O,O,X
TOLSIZJ,O,O,O,X,X
TOLSJIZ,O,O,O,O,X
TOLSJZI,O,O,O,O,X
TOLSZIJ,O,O,O,O,X
TOLSZJI,O,O,O,O,X
TOLZIJS,O,X,O,O,X
TOLZISJ,O,O,O,O,X
TOLZJIS,O,X,O,O,X
TOLZJSI,O,O,O,O,X
TOLZSIJ,O,O,O,O,X
TOLZSJI,O,O,O,O,X
TOJILSZ,O,O,X,O,X
TOJILZS,O,O,X,O,X
TOJISLZ,X,O,X,O,X
TOJISZL,O,O,O,X,X
TOJIZLS,O,O,O,O,X
TOJIZSL,O,O,O,O,X
TOJLISZ,O,O,O,O,X
TOJLIZS,O,O,O,O,X
TOJLSIZ,O,O,O,O,X
TOJLSZI,O,O,O,O,X
TOJLZIS,O,O,O,O,X
TOJLZSI,O,O,O,O,X
TOJSILZ,X,O,X,O,X
TOJSIZL,O,O,O,X,X
TOJSLIZ,O,O,O,O,X
TOJSLZI,O,O,O,O,X
TOJSZIL,O,O,O,O,X
TOJSZLI,O,O,O,O,X
TOJZILS,O,O,O,O,X
TOJZISL,O,O,O,O,X
TOJZLIS,O,O,O,O,X
TOJZLSI,O,O,O,O,X
TOJZSIL,O,O,O,O,X
TOJZSLI,O,O,O,O,X
TOSILJZ,X,O,X,O,X
TOSILZJ,X,O,X,X,X
TOSIJLZ,X,O,X,O,X
TOSIJZL,X,O,O,X,X
TOSIZLJ,X,O,O,X,X
TOSIZJL,X,O,O,X,X
TOSLIJZ,O,O,O,O,X
TOSLIZJ,O,O,O,X,X
TOSLJIZ,O,O,O,O,X
TOSLJZI,O,O,O,O,X
TOSLZIJ,O,O,O,O,X
TOSLZJI,O,O,O,O,X
TOSJILZ,X,O,X,O,X
