sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TSJLOZI,X,X,X,O,X,X,X,X
TSJZILO,O,X,O,O,O,X,X,O
TSJZIOL,O,X,O,O,O,O,X,O
TSJZLIO,O,X,O,O,O,X,X,O
TSJZLOI,O,X,O,O,O,X,X,O
TSJZOIL,O,X,O,O,O,O,X,O
TSJZOLI,O,X,O,O,O,O,X,O
TSJOILZ,X,X,X,O,O,X,X,X
TSJOIZL,O,O,O,O,O,X,X,X
TSJOLIZ,X,X,X,O,O,X,X,X
TSJOLZI,X,X,X,O,O,X,X,X
TSJOZIL,O,O,O,O,O,X,X,X
TSJOZLI,O,O,O,O,O,X,X,X
TSZILJO,O,X,O,O,O,X,O,O
TSZILOJ,X,X,O,O,O,X,O,O
TSZIJLO,O,X,O,O,O,X,O,O
TSZIJOL,O,X,O,O,O,O,O,O
TSZIOLJ,X,X,O,O,O,X,O,O
TSZIOJL,O,X,O,O,O,O,O,O
TSZLIJO,O,X,O,O,O,X,O,O
TSZLIOJ,X,X,O,O,O,X,O,O
TSZLJIO,O,X,O,O,O,X,O,O
TSZLJOI,O,X,O,O,O,X,O,O
TSZLOIJ,X,X,O,O,O,X,O,O
TSZLOJI,X,X,O,O,O,X,O,O
TSZJILO,O,X,O,O,O,X,O,O
TSZJIOL,O,X,O,O,O,O,O,O
TSZJLIO,O,X,O,O,O,X,O,O
TSZJLOI,O,X,O,O,O,X,O,O
TSZJOIL,O,X,O,O,O,O,O,O
TSZJOLI,O,X,O,O,O,O,O,O
TSZOILJ,X,X,O,O,O,X,O,O
TSZOIJL,O,X,O,O,O,O,O,O
TSZOLIJ,X,X,O,O,O,X,O,O
TSZOLJI,X,X,O,O,O,X,O,O
TSZOJIL,O,X,O,O,O,O,O,O
TSZOJLI,O,X,O,O,O,O,O,O
TSOILJZ,X,X,X,O,O,X,X,X
TSOILZJ,X,X,X,O,O,X,X,X
TSOIJLZ,X,X,X,O,O,X,X,X
TSOIJZL,O,O,O,O,O,X,X,X
TSOIZLJ,O,O,O,O,O,X,X,X
TSOIZJL,O,O,O,O,O,X,X,X
TSOLIJZ,X,X,X,O,O,X,X,X
TSOLIZJ,X,X,X,O,O,X,X,X
TSOLJIZ,X,X,X,O,O,X,X,X
TSOLJZI,X,X,X,O,O,X,X,X
TSOLZIJ,X,X,X,O,O,X,O,X
TSOLZJI,X,X,X,O,O,X,O,X
TSOJILZ,X,X,X,O,O,X,X,X
TSOJIZL,O,O,O,O,O,X,X,X
TSOJLIZ,X,X,X,O,O,X,X,X
TSOJLZI,X,X,X,O,O,X,X,X
TSOJZIL,O,O,O,O,O,X,X,X
TSOJZLI,O,O,O,O,O,X,X,X
