sequence,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBynB5oBGnBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF2lBXiB8nB5oBCmBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBOnB8nB5oB6rBFrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBxnBGnB6tBlrB
ZOLSIJT,O,O,O,X
ZOLSJTI,X,X,O,X
ZOLSJIT,O,O,O,X
ZOJTILS,X,O,O,X
ZOJTISL,X,O,O,X
ZOJTLIS,X,O,O,X
ZOJTLSI,X,O,O,X
ZOJTSIL,X,O,O,X
ZOJTSLI,X,O,O,X
ZOJITLS,X,O,O,X
ZOJITSL,X,O,O,X
ZOJILTS,X,O,O,X
ZOJILST,X,O,O,X
ZOJISTL,X,O,O,X
ZOJISLT,X,O,O,X
ZOJLTIS,X,O,O,X
ZOJLTSI,X,O,O,X
ZOJLITS,X,O,O,X
ZOJLIST,X,O,O,X
ZOJLSTI,X,X,O,X
ZOJLSIT,X,O,O,X
ZOJSTIL,X,O,O,X
ZOJSTLI,X,O,O,X
ZOJSITL,X,O,O,X
ZOJSILT,X,O,O,X
ZOJSLTI,X,X,O,X
ZOJSLIT,X,O,O,X
ZOSTILJ,O,O,O,O
ZOSTIJL,O,O,O,O
ZOSTLIJ,O,O,O,O
ZOSTLJI,O,O,O,X
ZOSTJIL,O,O,O,O
ZOSTJLI,O,O,O,X
ZOSITLJ,O,O,O,O
ZOSITJL,O,O,O,O
ZOSILTJ,O,X,O,O
ZOSILJT,O,O,O,O
ZOSIJTL,X,O,O,O
ZOSIJLT,O,O,O,O
ZOSLTIJ,O,X,O,X
ZOSLTJI,O,X,O,X
ZOSLITJ,O,X,O,O
ZOSLIJT,O,O,O,O
ZOSLJTI,X,X,O,X
ZOSLJIT,O,O,O,X
ZOSJTIL,X,O,O,X
ZOSJTLI,X,O,O,X
ZOSJITL,X,O,O,O
ZOSJILT,O,O,O,O
ZOSJLTI,X,X,O,X
ZOSJLIT,O,O,O,X
OTILJSZ,O,X,X,X
OTILJZS,X,O,X,X
OTILSJZ,O,X,X,X
OTILSZJ,O,X,O,O
OTILZJS,X,O,O,X
OTILZSJ,O,O,O,X
OTIJLSZ,O,X,X,X
OTIJLZS,X,O,X,X
OTIJSLZ,O,X,X,X
OTIJSZL,O,O,X,O
OTIJZLS,X,O,X,X
OTIJZSL,X,O,X,X
OTISLJZ,O,X,X,X
OTISLZJ,O,X,O,O
OTISJLZ,O,X,X,X
OTISJZL,O,O,X,O
OTISZLJ,O,O,O,O
OTISZJL,O,O,O,O
OTIZLJS,X,O,O,X
OTIZLSJ,O,O,O,X
OTIZJLS,X,O,O,X
OTIZJSL,X,O,O,X
OTIZSLJ,O,O,O,O
OTIZSJL,O,O,O,O
OTLIJSZ,O,X,X,X
OTLIJZS,X,O,X,X
OTLISJZ,O,X,X,X
OTLISZJ,O,X,O,O
OTLIZJS,X,O,O,X
OTLIZSJ,O,O,O,X
OTLJISZ,O,X,X,X
OTLJIZS,X,O,X,X
OTLJSIZ,O,X,X,X
OTLJSZI,O,X,X,X
OTLJZIS,X,O,X,X
OTLJZSI,X,O,X,X
OTLSIJZ,O,X,X,X
OTLSIZJ,O,X,O,O
OTLSJIZ,O,X,X,X
OTLSJZI,O,X,X,X
OTLSZIJ,O,X,O,O
OTLSZJI,O,X,O,X
OTLZIJS,X,O,O,X
OTLZISJ,O,O,O,X
OTLZJIS,X,O,O,X
OTLZJSI,X,O,O,X
OTLZSIJ,O,O,O,X
OTLZSJI,O,O,O,X
OTJILSZ,O,X,X,X
OTJILZS,X,O,X,X
OTJISLZ,O,X,X,X
OTJISZL,O,O,X,O
OTJIZLS,X,O,X,X
OTJIZSL,X,O,X,X
OTJLISZ,O,X,X,X
OTJLIZS,X,O,X,X
OTJLSIZ,O,X,X,X
OTJLSZI,O,X,X,X
OTJLZIS,X,O,X,X
OTJLZSI,X,O,X,X
OTJSILZ,O,X,X,X
OTJSIZL,O,O,X,O
OTJSLIZ,O,X,X,X
OTJSLZI,O,X,X,X
OTJSZIL,O,O,X,O
OTJSZLI,O,O,X,X
OTJZILS,X,O,X,X
OTJZISL,X,O,X,X
OTJZLIS,X,O,X,X
OTJZLSI,X,O,X,X
OTJZSIL,X,O,X,X
OTJZSLI,X,O,X,X
OTSILJZ,O,X,X,X
OTSILZJ,O,X,O,O
OTSIJLZ,O,X,X,X
OTSIJZL,O,O,X,O
OTSIZLJ,O,O,O,O
OTSIZJL,O,O,O,O
OTSLIJZ,O,X,X,X
OTSLIZJ,O,X,O,O
OTSLJIZ,O,X,X,X
OTSLJZI,O,X,X,X
OTSLZIJ,O,X,O,O
OTSLZJI,O,X,O,X
OTSJILZ,O,X,X,X
OTSJIZL,O,O,X,O
OTSJLIZ,O,X,X,X
OTSJLZI,O,X,X,X
OTSJZIL,O,O,X,O
OTSJZLI,O,O,X,X
OTSZILJ,O,O,O,O
OTSZIJL,O,O,O,O
OTSZLIJ,O,O,O,O
OTSZLJI,O,O,O,X
OTSZJIL,O,O,O,O
OTSZJLI,O,O,O,X
OTZILJS,X,O,O,X
OTZILSJ,O,O,O,X
OTZIJLS,X,O,O,X
OTZIJSL,X,O,O,X
OTZISLJ,O,O,O,O
OTZISJL,O,O,O,O
OTZLIJS,X,O,O,X
OTZLISJ,O,O,O,X
OTZLJIS,X,O,O,X
OTZLJSI,X,O,O,X
OTZLSIJ,O,O,O,X
OTZLSJI,O,O,O,X
OTZJILS,X,O,O,X
OTZJISL,X,O,O,X
OTZJLIS,X,O,O,X
OTZJLSI,X,O,O,X
OTZJSIL,X,O,O,X
OTZJSLI,X,O,O,X
OTZSILJ,O,O,O,O
OTZSIJL,O,O,O,O
OTZSLIJ,O,O,O,O
OTZSLJI,O,O,O,X
OTZSJIL,O,O,O,O
OTZSJLI,O,O,O,X
OITLJSZ,O,X,X,X
OITLJZS,X,O,X,X
OITLSJZ,O,X,X,X
OITLSZJ,O,X,O,O
OITLZJS,X,O,O,X
OITLZSJ,O,O,O,X
OITJLSZ,O,X,X,X
OITJLZS,X,O,X,X
OITJSLZ,O,X,X,X
OITJSZL,O,O,X,O
OITJZLS,X,O,X,X
OITJZSL,X,O,X,X
OITSLJZ,O,X,X,X
OITSLZJ,O,X,O,O
OITSJLZ,O,X,X,X
OITSJZL,O,O,X,O
OITSZLJ,O,O,O,O
OITSZJL,O,O,O,O
OITZLJS,X,O,O,X
OITZLSJ,O,O,O,X
OITZJLS,X,O,O,X
OITZJSL,X,O,O,X
OITZSLJ,O,O,O,O
OITZSJL,O,O,O,O
OILTJSZ,O,X,X,X
OILTJZS,X,O,X,X
OILTSJZ,O,X,X,X
OILTSZJ,O,X,O,O
OILTZJS,X,O,O,X
OILTZSJ,O,O,O,X
OILJTSZ,O,X,X,X
OILJTZS,X,O,X,X
OILJSTZ,O,X,X,X
OILJSZT,O,X,O,X
OILJZTS,X,O,O,X
OILJZST,X,O,O,X
OILSTJZ,O,X,X,X
OILSTZJ,O,X,O,O
OILSJTZ,O,X,X,X
OILSJZT,O,X,O,X
OILSZTJ,O,X,O,O
OILSZJT,O,X,O,O
OILZTJS,X,O,O,X
OILZTSJ,O,O,O,X
OILZJTS,X,O,O,X
OILZJST,X,O,O,X
OILZSTJ,O,X,O,X
OILZSJT,O,O,O,X
OIJTLSZ,O,X,X,X
OIJTLZS,X,O,X,X
OIJTSLZ,O,X,X,X
OIJTSZL,O,O,X,O
OIJTZLS,X,O,X,X
OIJTZSL,X,O,X,X
OIJLTSZ,O,X,X,X
OIJLTZS,X,O,X,X
OIJLSTZ,O,X,X,X
OIJLSZT,O,X,O,X
OIJLZTS,X,O,O,X
OIJLZST,X,O,O,X
OIJSTLZ,O,X,X,X
OIJSTZL,O,O,X,O
OIJSLTZ,O,X,X,X
OIJSLZT,O,X,O,X
OIJSZTL,X,O,O,O
OIJSZLT,O,O,O,O
OIJZTLS,X,O,O,X
OIJZTSL,X,O,O,X
OIJZLTS,X,O,O,X
OIJZLST,X,O,O,X
OIJZSTL,X,O,O,X
OIJZSLT,X,O,O,X
OISTLJZ,O,X,X,X
OISTLZJ,O,X,O,O
OISTJLZ,O,X,X,X
OISTJZL,O,O,X,O
OISTZLJ,O,O,O,O
OISTZJL,O,O,O,O
OISLTJZ,O,X,X,X
OISLTZJ,O,X,O,O
OISLJTZ,O,X,X,X
OISLJZT,O,X,O,X
OISLZTJ,O,X,O,O
OISLZJT,O,X,O,O
OISJTLZ,O,X,X,X
OISJTZL,O,O,X,O
OISJLTZ,O,X,X,X
OISJLZT,O,X,O,X
OISJZTL,X,O,O,O
OISJZLT,O,O,O,O
OISZTLJ,O,O,O,O
OISZTJL,O,O,O,O
OISZLTJ,O,X,O,O
OISZLJT,O,O,O,O
OISZJTL,X,O,O,O
OISZJLT,O,O,O,O
OIZTLJS,X,O,O,X
OIZTLSJ,O,O,O,X
OIZTJLS,X,O,O,X
OIZTJSL,X,O,O,X
OIZTSLJ,O,O,O,O
OIZTSJL,O,O,O,O
OIZLTJS,X,O,O,X
OIZLTSJ,O,O,O,X
OIZLJTS,X,O,O,X
OIZLJST,X,O,O,X
OIZLSTJ,O,X,O,X
OIZLSJT,O,O,O,X
OIZJTLS,X,O,O,X
OIZJTSL,X,O,O,X
OIZJLTS,X,O,O,X
OIZJLST,X,O,O,X
OIZJSTL,X,O,O,X
OIZJSLT,X,O,O,X
OIZSTLJ,O,O,O,O
OIZSTJL,O,O,O,O
OIZSLTJ,O,X,O,O
OIZSLJT,O,O,O,O
OIZSJTL,X,O,O,O
OIZSJLT,O,O,O,O
OLTIJSZ,O,X,X,X
OLTIJZS,X,O,X,X
OLTISJZ,O,X,X,X
OLTISZJ,O,X,O,O
OLTIZJS,X,O,O,X
OLTIZSJ,O,O,O,X
OLTJISZ,O,X,X,X
OLTJIZS,X,O,X,X
OLTJSIZ,O,X,X,X
OLTJSZI,O,X,X,X
OLTJZIS,X,O,X,X
OLTJZSI,X,O,X,X
OLTSIJZ,O,X,X,X
OLTSIZJ,O,X,O,O
OLTSJIZ,O,X,X,X
OLTSJZI,O,X,X,X
OLTSZIJ,O,X,O,O
OLTSZJI,O,X,O,X
OLTZIJS,X,O,O,X
OLTZISJ,O,O,O,X
OLTZJIS,X,O,O,X
OLTZJSI,X,O,O,X
OLTZSIJ,O,O,O,X
OLTZSJI,O,O,O,X
OLITJSZ,O,X,X,X
OLITJZS,X,O,X,X
OLITSJZ,O,X,X,X
OLITSZJ,O,X,O,O
OLITZJS,X,O,O,X
OLITZSJ,O,O,O,X
OLIJTSZ,O,X,X,X
OLIJTZS,X,O,X,X
OLIJSTZ,O,X,X,X
OLIJSZT,O,X,O,X
OLIJZTS,X,O,O,X
OLIJZST,X,O,O,X
OLISTJZ,O,X,X,X
OLISTZJ,O,X,O,O
OLISJTZ,O,X,X,X
OLISJZT,O,X,O,X
OLISZTJ,O,X,O,O
OLISZJT,O,X,O,O
OLIZTJS,X,O,O,X
OLIZTSJ,O,O,O,X
OLIZJTS,X,O,O,X
OLIZJST,X,O,O,X
OLIZSTJ,O,X,O,X
OLIZSJT,O,O,O,X
OLJTISZ,O,X,X,X
OLJTIZS,X,O,X,X
OLJTSIZ,O,X,X,X
OLJTSZI,O,X,X,X
OLJTZIS,X,O,X,X
OLJTZSI,X,O,X,X
OLJITSZ,O,X,X,X
OLJITZS,X,O,X,X
OLJISTZ,O,X,X,X
OLJISZT,O,X,O,X
OLJIZTS,X,O,O,X
OLJIZST,X,O,O,X
OLJSTIZ,O,X,X,X
OLJSTZI,O,X,X,X
OLJSITZ,O,X,X,X
OLJSIZT,O,X,O,X
OLJSZTI,X,X,O,X
OLJSZIT,O,X,O,X
OLJZTIS,X,O,O,X
OLJZTSI,X,O,O,X
OLJZITS,X,O,O,X
OLJZIST,X,O,O,X
OLJZSTI,X,X,O,X
OLJZSIT,X,O,O,X
OLSTIJZ,O,X,X,X
OLSTIZJ,O,X,O,O
OLSTJIZ,O,X,X,X
OLSTJZI,O,X,X,X
OLSTZIJ,O,X,O,O
OLSTZJI,O,X,O,X
OLSITJZ,O,X,X,X
OLSITZJ,O,X,O,O
OLSIJTZ,O,X,X,X
OLSIJZT,O,X,O,X
OLSIZTJ,O,X,O,O
OLSIZJT,O,X,O,O
OLSJTIZ,O,X,X,X
OLSJTZI,O,X,X,X
OLSJITZ,O,X,X,X
OLSJIZT,O,X,O,X
OLSJZTI,X,X,O,X
OLSJZIT,O,X,O,X
OLSZTIJ,O,X,O,X
OLSZTJI,O,X,O,X
OLSZITJ,O,X,O,O
OLSZIJT,O,X,O,O
OLSZJTI,X,X,O,X
OLSZJIT,O,X,O,X
OLZTIJS,X,O,O,X
OLZTISJ,O,O,O,X
OLZTJIS,X,O,O,X
OLZTJSI,X,O,O,X
OLZTSIJ,O,O,O,X
OLZTSJI,O,O,O,X
OLZITJS,X,O,O,X
OLZITSJ,O,O,O,X
OLZIJTS,X,O,O,X
OLZIJST,X,O,O,X
OLZISTJ,O,X,O,X
OLZISJT,O,O,O,X
OLZJTIS,X,O,O,X
OLZJTSI,X,O,O,X
OLZJITS,X,O,O,X
OLZJIST,X,O,O,X
OLZJSTI,X,X,O,X
OLZJSIT,X,O,O,X
OLZSTIJ,O,X,O,X
OLZSTJI,O,X,O,X
OLZSITJ,O,X,O,X
OLZSIJT,O,O,O,X
OLZSJTI,X,X,O,X
OLZSJIT,O,O,O,X
OJTILSZ,O,X,X,X
OJTILZS,X,O,X,X
OJTISLZ,O,X,X,X
OJTISZL,O,O,X,O
OJTIZLS,X,O,X,X
OJTIZSL,X,O,X,X
OJTLISZ,O,X,X,X
OJTLIZS,X,O,X,X
OJTLSIZ,O,X,X,X
OJTLSZI,O,X,X,X
OJTLZIS,X,O,X,X
OJTLZSI,X,O,X,X
OJTSILZ,O,X,X,X
OJTSIZL,O,O,X,O
OJTSLIZ,O,X,X,X
OJTSLZI,O,X,X,X
OJTSZIL,O,O,X,O
OJTSZLI,O,O,X,X
OJTZILS,X,O,X,X
OJTZISL,X,O,X,X
OJTZLIS,X,O,X,X
OJTZLSI,X,O,X,X
OJTZSIL,X,O,X,X
OJTZSLI,X,O,X,X
OJITLSZ,O,X,X,X
OJITLZS,X,O,X,X
OJITSLZ,O,X,X,X
OJITSZL,O,O,X,O
OJITZLS,X,O,X,X
OJITZSL,X,O,X,X
OJILTSZ,O,X,X,X
OJILTZS,X,O,X,X
OJILSTZ,O,X,X,X
OJILSZT,O,X,O,X
OJILZTS,X,O,O,X
OJILZST,X,O,O,X
OJISTLZ,O,X,X,X
OJISTZL,O,O,X,O
OJISLTZ,O,X,X,X
OJISLZT,O,X,O,X
OJISZTL,X,O,O,O
OJISZLT,O,O,O,O
OJIZTLS,X,O,O,X
OJIZTSL,X,O,O,X
OJIZLTS,X,O,O,X
OJIZLST,X,O,O,X
OJIZSTL,X,O,O,X
OJIZSLT,X,O,O,X
OJLTISZ,O,X,X,X
OJLTIZS,X,O,X,X
OJLTSIZ,O,X,X,X
OJLTSZI,O,X,X,X
OJLTZIS,X,O,X,X
OJLTZSI,X,O,X,X
OJLITSZ,O,X,X,X
OJLITZS,X,O,X,X
OJLISTZ,O,X,X,X
OJLISZT,O,X,O,X
OJLIZTS,X,O,O,X
OJLIZST,X,O,O,X
OJLSTIZ,O,X,X,X
OJLSTZI,O,X,X,X
OJLSITZ,O,X,X,X
OJLSIZT,O,X,O,X
OJLSZTI,X,X,O,X
OJLSZIT,O,X,O,X
OJLZTIS,X,O,O,X
OJLZTSI,X,O,O,X
OJLZITS,X,O,O,X
OJLZIST,X,O,O,X
OJLZSTI,X,X,O,X
OJLZSIT,X,O,O,X
OJSTILZ,O,X,X,X
OJSTIZL,O,O,X,O
OJSTLIZ,O,X,X,X
OJSTLZI,O,X,X,X
OJSTZIL,O,O,X,O
OJSTZLI,O,O,X,X
OJSITLZ,O,X,X,X
OJSITZL,O,O,X,O
OJSILTZ,O,X,X,X
OJSILZT,O,X,O,X
OJSIZTL,X,O,O,O
OJSIZLT,O,O,O,O
OJSLTIZ,O,X,X,X
OJSLTZI,O,X,X,X
OJSLITZ,O,X,X,X
OJSLIZT,O,X,O,X
OJSLZTI,X,X,O,X
OJSLZIT,O,X,O,X
OJSZTIL,X,O,O,X
OJSZTLI,X,O,O,X
OJSZITL,X,O,O,O
OJSZILT,O,O,O,O
OJSZLTI,X,X,O,X
OJSZLIT,O,O,O,X
OJZTILS,X,O,O,X
OJZTISL,X,O,O,X
OJZTLIS,X,O,O,X
OJZTLSI,X,O,O,X
OJZTSIL,X,O,O,X
OJZTSLI,X,O,O,X
OJZITLS,X,O,O,X
OJZITSL,X,O,O,X
OJZILTS,X,O,O,X
OJZILST,X,O,O,X
OJZISTL,X,O,O,X
OJZISLT,X,O,O,X
OJZLTIS,X,O,O,X
OJZLTSI,X,O,O,X
OJZLITS,X,O,O,X
OJZLIST,X,O,O,X
OJZLSTI,X,X,O,X
OJZLSIT,X,O,O,X
OJZSTIL,X,O,O,X
OJZSTLI,X,O,O,X
OJZSITL,X,O,O,X
OJZSILT,X,O,O,X
OJZSLTI,X,X,O,X
OJZSLIT,X,O,O,X
OSTILJZ,O,X,X,X
OSTILZJ,O,X,O,O
OSTIJLZ,O,X,X,X
OSTIJZL,O,O,X,O
OSTIZLJ,O,O,O,O
OSTIZJL,O,O,O,O
OSTLIJZ,O,X,X,X
OSTLIZJ,O,X,O,O
OSTLJIZ,O,X,X,X
OSTLJZI,O,X,X,X
OSTLZIJ,O,X,O,O
OSTLZJI,O,X,O,X
OSTJILZ,O,X,X,X
OSTJIZL,O,O,X,O
OSTJLIZ,O,X,X,X
OSTJLZI,O,X,X,X
OSTJZIL,O,O,X,O
OSTJZLI,O,O,X,X
OSTZILJ,O,O,O,O
OSTZIJL,O,O,O,O
OSTZLIJ,O,O,O,O
OSTZLJI,O,O,O,X
OSTZJIL,O,O,O,O
OSTZJLI,O,O,O,X
OSITLJZ,O,X,X,X
OSITLZJ,O,X,O,O
OSITJLZ,O,X,X,X
OSITJZL,O,O,X,O
OSITZLJ,O,O,O,O
OSITZJL,O,O,O,O
OSILTJZ,O,X,X,X
OSILTZJ,O,X,O,O
OSILJTZ,O,X,X,X
OSILJZT,O,X,O,X
OSILZTJ,O,X,O,O
OSILZJT,O,X,O,O
OSIJTLZ,O,X,X,X
OSIJTZL,O,O,X,O
OSIJLTZ,O,X,X,X
OSIJLZT,O,X,O,X
OSIJZTL,X,O,O,O
OSIJZLT,O,O,O,O
OSIZTLJ,O,O,O,O
OSIZTJL,O,O,O,O
OSIZLTJ,O,X,O,O
OSIZLJT,O,O,O,O
OSIZJTL,X,O,O,O
OSIZJLT,O,O,O,O
OSLTIJZ,O,X,X,X
OSLTIZJ,O,X,O,O
OSLTJIZ,O,X,X,X
OSLTJZI,O,X,X,X
OSLTZIJ,O,X,O,O
OSLTZJI,O,X,O,X
OSLITJZ,O,X,X,X
OSLITZJ,O,X,O,O
OSLIJTZ,O,X,X,X
OSLIJZT,O,X,O,X
OSLIZTJ,O,X,O,O
OSLIZJT,O,X,O,O
OSLJTIZ,O,X,X,X
OSLJTZI,O,X,X,X
OSLJITZ,O,X,X,X
OSLJIZT,O,X,O,X
OSLJZTI,X,X,O,X
OSLJZIT,O,X,O,X
OSLZTIJ,O,X,O,X
OSLZTJI,O,X,O,X
OSLZITJ,O,X,O,O
OSLZIJT,O,X,O,O
OSLZJTI,X,X,O,X
OSLZJIT,O,X,O,X
OSJTILZ,O,X,X,X
OSJTIZL,O,O,X,O
OSJTLIZ,O,X,X,X
OSJTLZI,O,X,X,X
OSJTZIL,O,O,X,O
OSJTZLI,O,O,X,X
OSJITLZ,O,X,X,X
OSJITZL,O,O,X,O
OSJILTZ,O,X,X,X
OSJILZT,O,X,O,X
OSJIZTL,X,O,O,O
OSJIZLT,O,O,O,O
OSJLTIZ,O,X,X,X
OSJLTZI,O,X,X,X
OSJLITZ,O,X,X,X
OSJLIZT,O,X,O,X
OSJLZTI,X,X,O,X
OSJLZIT,O,X,O,X
OSJZTIL,X,O,O,X
OSJZTLI,X,O,O,X
OSJZITL,X,O,O,O
OSJZILT,O,O,O,O
OSJZLTI,X,X,O,X
OSJZLIT,O,O,O,X
OSZTILJ,O,O,O,O
OSZTIJL,O,O,O,O
OSZTLIJ,O,O,O,O
OSZTLJI,O,O,O,X
OSZTJIL,O,O,O,O
OSZTJLI,O,O,O,X
OSZITLJ,O,O,O,O
OSZITJL,O,O,O,O
OSZILTJ,O,X,O,O
OSZILJT,O,O,O,O
OSZIJTL,X,O,O,O
OSZIJLT,O,O,O,O
OSZLTIJ,O,X,O,X
OSZLTJI,O,X,O,X
OSZLITJ,O,X,O,O
OSZLIJT,O,O,O,O
OSZLJTI,X,X,O,X
OSZLJIT,O,O,O,X
OSZJTIL,X,O,O,X
OSZJTLI,X,O,O,X
OSZJITL,X,O,O,O
OSZJILT,O,O,O,O
OSZJLTI,X,X,O,X
OSZJLIT,O,O,O,X
OZTILJS,X,O,O,X
OZTILSJ,O,O,O,X
OZTIJLS,X,O,O,X
OZTIJSL,X,O,O,X
OZTISLJ,O,O,O,O
OZTISJL,O,O,O,O
OZTLIJS,X,O,O,X
OZTLISJ,O,O,O,X
OZTLJIS,X,O,O,X
OZTLJSI,X,O,O,X
OZTLSIJ,O,O,O,X
OZTLSJI,O,O,O,X
OZTJILS,X,O,O,X
OZTJISL,X,O,O,X
OZTJLIS,X,O,O,X
OZTJLSI,X,O,O,X
OZTJSIL,X,O,O,X
OZTJSLI,X,O,O,X
OZTSILJ,O,O,O,O
OZTSIJL,O,O,O,O
OZTSLIJ,O,O,O,O
OZTSLJI,O,O,O,X
OZTSJIL,O,O,O,O
OZTSJLI,O,O,O,X
OZITLJS,X,O,O,X
OZITLSJ,O,O,O,X
OZITJLS,X,O,O,X
OZITJSL,X,O,O,X
OZITSLJ,O,O,O,O
OZITSJL,O,O,O,O
OZILTJS,X,O,O,X
OZILTSJ,O,O,O,X
OZILJTS,X,O,O,X
OZILJST,X,O,O,X
OZILSTJ,O,X,O,X
OZILSJT,O,O,O,X
OZIJTLS,X,O,O,X
OZIJTSL,X,O,O,X
OZIJLTS,X,O,O,X
OZIJLST,X,O,O,X
OZIJSTL,X,O,O,X
OZIJSLT,X,O,O,X
OZISTLJ,O,O,O,O
OZISTJL,O,O,O,O
OZISLTJ,O,X,O,O
OZISLJT,O,O,O,O
OZISJTL,X,O,O,O
OZISJLT,O,O,O,O
OZLTIJS,X,O,O,X
OZLTISJ,O,O,O,X
OZLTJIS,X,O,O,X
OZLTJSI,X,O,O,X
OZLTSIJ,O,O,O,X
OZLTSJI,O,O,O,X
OZLITJS,X,O,O,X
OZLITSJ,O,O,O,X
OZLIJTS,X,O,O,X
OZLIJST,X,O,O,X
OZLISTJ,O,X,O,X
OZLISJT,O,O,O,X
OZLJTIS,X,O,O,X
OZLJTSI,X,O,O,X
OZLJITS,X,O,O,X
OZLJIST,X,O,O,X
OZLJSTI,X,X,O,X
OZLJSIT,X,O,O,X
OZLSTIJ,O,X,O,X
OZLSTJI,O,X,O,X
OZLSITJ,O,X,O,X
OZLSIJT,O,O,O,X
OZLSJTI,X,X,O,X
OZLSJIT,O,O,O,X
OZJTILS,X,O,O,X
OZJTISL,X,O,O,X
OZJTLIS,X,O,O,X
OZJTLSI,X,O,O,X
OZJTSIL,X,O,O,X
OZJTSLI,X,O,O,X
OZJITLS,X,O,O,X
OZJITSL,X,O,O,X
OZJILTS,X,O,O,X
OZJILST,X,O,O,X
OZJISTL,X,O,O,X
OZJISLT,X,O,O,X
OZJLTIS,X,O,O,X
OZJLTSI,X,O,O,X
OZJLITS,X,O,O,X
OZJLIST,X,O,O,X
OZJLSTI,X,X,O,X
OZJLSIT,X,O,O,X
OZJSTIL,X,O,O,X
OZJSTLI,X,O,O,X
OZJSITL,X,O,O,X
OZJSILT,X,O,O,X
OZJSLTI,X,X,O,X
OZJSLIT,X,O,O,X
OZSTILJ,O,O,O,O
OZSTIJL,O,O,O,O
OZSTLIJ,O,O,O,O
OZSTLJI,O,O,O,X
OZSTJIL,O,O,O,O
OZSTJLI,O,O,O,X
OZSITLJ,O,O,O,O
OZSITJL,O,O,O,O
OZSILTJ,O,X,O,O
OZSILJT,O,O,O,O
OZSIJTL,X,O,O,O
OZSIJLT,O,O,O,O
OZSLTIJ,O,X,O,X
OZSLTJI,O,X,O,X
OZSLITJ,O,X,O,O
OZSLIJT,O,O,O,O
OZSLJTI,X,X,O,X
OZSLJIT,O,O,O,X
OZSJTIL,X,O,O,X
OZSJTLI,X,O,O,X
OZSJITL,X,O,O,O
OZSJILT,O,O,O,O
OZSJLTI,X,X,O,X
OZSJLIT,O,O,O,X
