sequence,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhEciBTeBRrBO?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeB0hBd?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeBXiBd?rB0rB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeG9IvhETeBRgBanBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeC9IvhETeBRgBOnBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeT+IvhERgBFiBOrBC?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBmmBf?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBlmBf?rBmrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8Je38IvhETeBlmBcnBG?lBarB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JecCJvhETeBRgB9mBf?rBmrB
TJZSLOI,X,O,X,X,X,X,X,X,O,X
TJZSOIL,X,O,X,X,X,X,X,X,O,X
TJZSOLI,X,O,X,X,X,X,X,X,O,X
TJZOILS,X,O,X,X,O,O,X,X,X,X
TJZOISL,X,X,X,X,X,O,X,X,O,O
TJZOLIS,X,O,X,O,O,X,X,X,X,X
TJZOLSI,X,O,X,X,X,X,X,X,O,X
TJZOSIL,X,O,X,X,X,X,X,X,O,X
TJZOSLI,X,O,X,X,X,X,X,X,O,X
TJOILSZ,X,X,X,O,O,O,O,O,X,X
TJOILZS,X,X,X,O,O,O,X,X,X,X
TJOISLZ,X,X,X,X,O,O,X,X,X,X
TJOISZL,X,X,X,X,X,O,X,X,X,X
TJOIZLS,X,X,X,X,O,O,X,X,X,X
TJOIZSL,X,X,X,X,X,O,X,X,O,X
TJOLISZ,X,X,X,O,O,O,O,O,X,X
TJOLIZS,X,X,X,O,O,O,X,X,X,X
TJOLSIZ,X,X,O,O,O,X,X,X,X,X
TJOLSZI,X,X,O,X,X,X,X,X,X,X
TJOLZIS,X,O,X,O,O,X,X,X,X,X
TJOLZSI,X,O,X,X,X,X,X,X,O,X
TJOSILZ,X,X,O,X,O,O,X,X,X,X
TJOSIZL,X,X,X,X,X,O,X,X,X,X
TJOSLIZ,X,X,O,O,O,X,X,X,X,X
TJOSLZI,X,X,O,X,X,X,X,X,X,X
TJOSZIL,X,X,O,X,X,X,X,X,O,X
TJOSZLI,X,X,O,X,X,X,X,X,O,X
TJOZILS,X,O,X,X,O,O,X,X,X,X
TJOZISL,X,X,X,X,X,O,X,X,O,O
TJOZLIS,X,O,X,O,O,X,X,X,X,X
TJOZLSI,X,O,X,X,X,X,X,X,O,X
TJOZSIL,X,O,X,X,X,X,X,X,O,X
TJOZSLI,X,O,X,X,X,X,X,X,O,X
TSILJZO,X,X,X,X,X,X,X,X,X,X
TSILJOZ,X,X,O,O,X,X,X,X,X,X
TSILZJO,X,X,O,X,X,X,X,X,X,X
TSILZOJ,X,X,O,X,X,X,X,X,X,X
TSILOJZ,X,X,O,O,X,X,X,O,X,X
TSILOZJ,X,X,O,X,X,X,X,O,X,X
TSIJLZO,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,O,X,O,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,O,X,X,X,X,X
