sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,X,X,O
ITOLJZS,X,X,X
ITOLSJZ,X,X,O
ITOLSZJ,X,X,O
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,X,X,O
ITOJLZS,X,X,X
ITOJSLZ,X,X,O
ITOJSZL,X,X,O
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,X,X,O
ITOSLZJ,X,X,O
ITOSJLZ,X,X,O
ITOSJZL,X,X,O
ITOSZLJ,X,X,O
ITOSZJL,X,X,O
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,X,X,O
ILTJSOZ,X,X,O
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,X,O
ILTJOZS,X,X,X
ILTSJZO,X,X,O
ILTSJOZ,X,X,O
ILTSZJO,X,X,O
ILTSZOJ,X,X,O
ILTSOJZ,X,X,O
ILTSOZJ,X,X,O
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,X,O
ILTOJZS,X,X,X
ILTOSJZ,X,X,O
ILTOSZJ,X,X,O
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,O,X
ILJTSOZ,X,O,X
ILJTZSO,X,O,X
ILJTZOS,X,O,X
ILJTOSZ,X,O,X
ILJTOZS,X,O,X
ILJSTZO,X,O,X
ILJSTOZ,X,O,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,X,O,X
ILJSOZT,O,O,X
ILJZTSO,X,O,X
ILJZTOS,X,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,X,O,X
ILJZOST,O,O,X
ILJOTSZ,X,O,X
ILJOTZS,X,O,X
ILJOSTZ,X,O,X
ILJOSZT,O,O,X
ILJOZTS,X,O,X
ILJOZST,O,O,X
ILSTJZO,X,X,O
ILSTJOZ,X,X,O
ILSTZJO,X,X,O
ILSTZOJ,X,O,O
ILSTOJZ,X,X,O
ILSTOZJ,X,O,O
ILSJTZO,X,O,X
ILSJTOZ,X,O,X
ILSJZTO,O,O,X
ILSJZOT,O,O,X
ILSJOTZ,X,O,X
ILSJOZT,O,O,X
ILSZTJO,X,X,O
ILSZTOJ,X,O,O
ILSZJTO,X,O,X
ILSZJOT,X,O,X
ILSZOTJ,X,O,O
ILSZOJT,X,O,X
ILSOTJZ,X,X,O
ILSOTZJ,X,O,O
ILSOJTZ,X,O,X
ILSOJZT,O,O,X
ILSOZTJ,X,O,O
ILSOZJT,X,O,X
ILZTJSO,X,X,X
ILZTJOS,X,X,X
ILZTSJO,X,X,X
ILZTSOJ,X,O,X
ILZTOJS,X,X,X
ILZTOSJ,X,O,X
ILZJTSO,X,O,X
ILZJTOS,X,O,X
