sequence,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBFtBGtB,v115@RhD8FeH8LeT/IvhFigBfnBxiBUmBGtBFtB,v115@RhD8FeH8Lei/IvhF8mBGjBRlB3nBFmBTtB,v115@RhD8FeH8LeT/IvhFigBRiBFmBXnBGtBctB,v115@RhD8FeH8LeT/IvhF2lB8mB5oBatBFrB3sB,v115@RhD8FeH8LeT/IvhF2lB8mB5oB3nBFmBatB
LZOSJIT,O,O,O,X,O,O
LOTIJSZ,X,X,O,O,X,X
LOTIJZS,X,X,X,X,O,X
LOTISJZ,O,X,O,O,X,X
LOTISZJ,O,X,O,X,X,X
LOTIZJS,X,X,X,X,O,X
LOTIZSJ,O,X,X,X,X,X
LOTJISZ,X,X,O,O,X,X
LOTJIZS,X,X,X,X,O,X
LOTJSIZ,O,O,O,O,X,X
LOTJSZI,X,X,O,O,X,X
LOTJZIS,X,X,X,X,O,X
LOTJZSI,O,O,X,O,X,X
LOTSIJZ,O,O,O,O,X,X
LOTSIZJ,O,O,O,X,X,X
LOTSJIZ,O,O,O,O,X,X
LOTSJZI,X,X,O,O,X,X
LOTSZIJ,O,X,O,X,X,X
LOTSZJI,O,X,O,O,X,X
LOTZIJS,X,X,X,X,O,X
LOTZISJ,O,X,X,X,X,X
LOTZJIS,X,X,X,X,O,X
LOTZJSI,O,O,X,O,X,X
LOTZSIJ,O,O,X,X,X,X
LOTZSJI,O,O,X,O,X,X
LOITJSZ,X,X,O,O,X,X
LOITJZS,X,X,X,X,O,X
LOITSJZ,O,X,O,O,X,X
LOITSZJ,O,X,O,X,X,X
LOITZJS,X,X,X,X,O,X
LOITZSJ,O,X,X,X,X,X
LOIJTSZ,X,X,O,O,X,X
LOIJTZS,X,X,X,X,O,X
LOIJSTZ,X,O,O,X,X,X
LOIJSZT,X,O,O,X,O,O
LOIJZTS,X,X,X,X,O,X
LOIJZST,X,O,O,X,O,O
LOISTJZ,O,O,O,X,X,X
LOISTZJ,O,O,O,X,X,X
LOISJTZ,O,O,O,X,X,X
LOISJZT,O,O,O,X,O,O
LOISZTJ,O,O,O,X,X,X
LOISZJT,O,O,O,X,O,O
LOIZTJS,X,X,X,X,O,X
LOIZTSJ,O,X,X,X,X,X
LOIZJTS,X,X,X,X,O,X
LOIZJST,X,O,O,X,O,O
LOIZSTJ,O,O,O,X,X,X
LOIZSJT,O,O,O,X,O,O
LOJTISZ,X,X,O,O,X,X
LOJTIZS,X,X,X,X,O,X
LOJTSIZ,O,O,O,O,X,X
LOJTSZI,X,X,O,O,X,X
LOJTZIS,X,X,X,X,O,X
LOJTZSI,O,O,X,O,X,X
LOJITSZ,X,X,O,O,X,X
LOJITZS,X,X,X,X,O,X
LOJISTZ,X,O,O,X,X,X
LOJISZT,X,O,O,X,O,O
LOJIZTS,X,X,X,X,O,X
LOJIZST,X,O,O,X,O,O
LOJSTIZ,O,O,O,O,X,X
LOJSTZI,X,X,O,O,X,X
LOJSITZ,O,O,O,X,X,X
LOJSIZT,O,O,O,X,O,O
LOJSZTI,X,O,O,X,X,X
LOJSZIT,X,O,O,X,O,O
LOJZTIS,X,X,X,X,O,X
LOJZTSI,O,O,X,O,X,X
LOJZITS,X,X,X,X,O,X
LOJZIST,X,O,O,X,O,O
LOJZSTI,O,O,O,X,X,X
LOJZSIT,O,O,O,X,O,O
LOSTIJZ,O,O,O,O,X,X
LOSTIZJ,O,O,O,X,X,X
LOSTJIZ,O,O,O,O,X,X
LOSTJZI,X,X,O,O,X,X
LOSTZIJ,O,X,O,X,X,X
LOSTZJI,O,X,O,O,X,X
LOSITJZ,O,O,O,X,X,X
LOSITZJ,O,O,O,X,X,X
LOSIJTZ,O,O,O,X,X,X
LOSIJZT,O,O,O,X,O,O
LOSIZTJ,O,O,O,X,X,X
LOSIZJT,O,O,O,X,O,O
LOSJTIZ,O,O,O,O,X,X
LOSJTZI,X,X,O,O,X,X
LOSJITZ,O,O,O,X,X,X
LOSJIZT,O,O,O,X,O,O
LOSJZTI,X,O,O,X,X,X
LOSJZIT,X,O,O,X,O,O
LOSZTIJ,O,O,O,X,X,X
LOSZTJI,O,O,O,X,X,X
LOSZITJ,O,O,O,X,X,X
LOSZIJT,O,O,O,X,O,O
LOSZJTI,O,O,O,X,X,X
LOSZJIT,O,O,O,X,O,O
LOZTIJS,X,X,X,X,O,X
LOZTISJ,O,X,X,X,X,X
LOZTJIS,X,X,X,X,O,X
LOZTJSI,O,O,X,O,X,X
LOZTSIJ,O,O,X,X,X,X
LOZTSJI,O,O,X,O,X,X
LOZITJS,X,X,X,X,O,X
LOZITSJ,O,X,X,X,X,X
LOZIJTS,X,X,X,X,O,X
LOZIJST,X,O,O,X,O,O
LOZISTJ,O,O,O,X,X,X
LOZISJT,O,O,O,X,O,O
LOZJTIS,X,X,X,X,O,X
LOZJTSI,O,O,X,O,X,X
LOZJITS,X,X,X,X,O,X
LOZJIST,X,O,O,X,O,O
LOZJSTI,O,O,O,X,X,X
LOZJSIT,O,O,O,X,O,O
LOZSTIJ,O,O,O,X,X,X
LOZSTJI,O,O,O,X,X,X
LOZSITJ,O,O,O,X,X,X
LOZSIJT,O,O,O,X,O,O
LOZSJTI,O,O,O,X,X,X
LOZSJIT,O,O,O,X,O,O
JTILSZO,X,X,X,O,X,X
JTILSOZ,X,X,X,O,X,X
JTILZSO,X,X,X,X,X,X
JTILZOS,X,X,X,X,O,X
JTILOSZ,X,X,X,O,X,X
JTILOZS,X,X,X,X,O,X
JTISLZO,X,X,X,O,X,X
JTISLOZ,X,X,X,O,X,X
JTISZLO,X,X,X,O,X,X
JTISZOL,X,X,X,O,X,O
JTISOLZ,X,X,X,O,X,X
JTISOZL,X,X,X,O,X,O
JTIZLSO,X,X,X,X,X,X
JTIZLOS,X,X,X,X,O,X
JTIZSLO,X,X,X,X,X,X
JTIZSOL,X,X,X,X,X,O
JTIZOLS,X,X,X,X,O,X
JTIZOSL,X,X,X,X,X,O
JTIOLSZ,X,X,X,O,X,X
JTIOLZS,X,X,X,X,O,X
JTIOSLZ,X,X,X,O,X,X
JTIOSZL,X,X,X,O,X,O
JTIOZLS,X,X,X,X,O,X
JTIOZSL,X,X,X,X,X,O
JTLISZO,X,X,X,O,X,X
JTLISOZ,X,X,X,O,X,X
JTLIZSO,X,X,X,X,X,X
JTLIZOS,X,X,X,X,O,X
JTLIOSZ,X,X,X,O,X,X
JTLIOZS,X,X,X,X,O,X
JTLSIZO,X,X,X,O,X,X
JTLSIOZ,O,O,X,O,X,X
JTLSZIO,X,X,X,O,X,X
JTLSZOI,X,X,X,O,X,X
JTLSOIZ,O,O,X,O,X,X
JTLSOZI,X,X,X,O,X,X
JTLZISO,X,X,X,X,X,X
JTLZIOS,X,X,X,X,O,X
JTLZSIO,O,O,X,O,X,X
JTLZSOI,O,O,X,O,X,X
JTLZOIS,X,X,X,X,O,X
JTLZOSI,O,O,X,O,X,X
JTLOISZ,X,X,X,O,X,X
JTLOIZS,X,X,X,X,O,X
JTLOSIZ,O,O,X,O,X,X
JTLOSZI,X,X,X,O,X,X
JTLOZIS,X,X,X,X,O,X
JTLOZSI,O,O,X,O,X,X
JTSILZO,X,X,X,O,X,X
JTSILOZ,O,O,X,O,X,X
JTSIZLO,X,X,X,O,X,X
JTSIZOL,X,X,X,O,X,O
JTSIOLZ,O,O,X,O,X,X
JTSIOZL,X,X,X,O,X,O
JTSLIZO,X,X,X,O,X,X
JTSLIOZ,O,O,X,O,X,X
JTSLZIO,X,X,X,O,X,X
JTSLZOI,X,X,X,O,X,X
JTSLOIZ,O,O,X,O,X,X
JTSLOZI,X,X,X,O,X,X
JTSZILO,X,X,X,O,X,X
JTSZIOL,X,X,X,O,X,O
JTSZLIO,X,X,X,O,X,X
JTSZLOI,X,X,X,O,X,X
JTSZOIL,X,X,X,O,X,O
JTSZOLI,X,X,X,O,X,X
JTSOILZ,O,O,X,O,X,X
JTSOIZL,X,X,X,O,X,O
JTSOLIZ,O,O,X,O,X,X
JTSOLZI,X,X,X,O,X,X
JTSOZIL,X,X,X,O,X,O
JTSOZLI,X,X,X,O,X,X
JTZILSO,X,X,X,X,X,X
JTZILOS,X,X,X,X,O,X
JTZISLO,X,X,X,X,X,X
JTZISOL,X,X,X,X,X,O
JTZIOLS,X,X,X,X,O,X
JTZIOSL,X,X,X,X,X,O
JTZLISO,X,X,X,X,X,X
JTZLIOS,X,X,X,X,O,X
JTZLSIO,O,O,X,O,X,X
JTZLSOI,O,O,X,O,X,X
JTZLOIS,X,X,X,X,O,X
JTZLOSI,O,O,X,O,X,X
JTZSILO,O,O,X,O,X,X
JTZSIOL,O,O,X,O,X,O
JTZSLIO,O,O,X,O,X,X
JTZSLOI,O,O,X,O,X,X
JTZSOIL,O,O,X,O,X,O
JTZSOLI,O,O,X,O,X,X
JTZOILS,X,X,X,X,O,X
JTZOISL,X,X,X,X,X,O
JTZOLIS,X,X,X,X,O,X
JTZOLSI,O,O,X,O,X,X
JTZOSIL,O,O,X,O,X,O
JTZOSLI,O,O,X,O,X,X
JTOILSZ,X,X,X,O,X,X
JTOILZS,X,X,X,X,O,X
JTOISLZ,X,X,X,O,X,X
JTOISZL,X,X,X,O,X,O
JTOIZLS,X,X,X,X,O,X
JTOIZSL,X,X,X,X,X,O
JTOLISZ,X,X,X,O,X,X
JTOLIZS,X,X,X,X,O,X
JTOLSIZ,O,O,X,O,X,X
JTOLSZI,X,X,X,O,X,X
JTOLZIS,X,X,X,X,O,X
JTOLZSI,O,O,X,O,X,X
JTOSILZ,O,O,X,O,X,X
JTOSIZL,X,X,X,O,X,O
JTOSLIZ,O,O,X,O,X,X
JTOSLZI,X,X,X,O,X,X
JTOSZIL,X,X,X,O,X,O
JTOSZLI,X,X,X,O,X,X
JTOZILS,X,X,X,X,O,X
JTOZISL,X,X,X,X,X,O
JTOZLIS,X,X,X,X,O,X
JTOZLSI,O,O,X,O,X,X
JTOZSIL,O,O,X,O,X,O
JTOZSLI,O,O,X,O,X,X
JITLSZO,X,X,X,O,X,X
JITLSOZ,X,X,X,O,X,X
JITLZSO,X,X,X,X,X,X
JITLZOS,X,X,X,X,O,X
JITLOSZ,X,X,X,O,X,X
JITLOZS,X,X,X,X,O,X
JITSLZO,X,X,X,O,X,X
JITSLOZ,X,X,X,O,X,X
JITSZLO,X,X,X,O,X,X
JITSZOL,X,X,X,O,X,O
JITSOLZ,X,X,X,O,X,X
JITSOZL,X,X,X,O,X,O
JITZLSO,X,X,X,X,X,X
JITZLOS,X,X,X,X,O,X
JITZSLO,X,X,X,X,X,X
JITZSOL,X,X,X,X,X,O
JITZOLS,X,X,X,X,O,X
JITZOSL,X,X,X,X,X,O
JITOLSZ,X,X,X,O,X,X
JITOLZS,X,X,X,X,O,X
JITOSLZ,X,X,X,O,X,X
JITOSZL,X,X,X,O,X,O
JITOZLS,X,X,X,X,O,X
JITOZSL,X,X,X,X,X,O
JILTSZO,X,X,X,O,X,X
JILTSOZ,X,X,X,O,X,X
JILTZSO,X,X,X,X,X,X
JILTZOS,X,X,X,X,O,X
JILTOSZ,X,X,X,O,X,X
JILTOZS,X,X,X,X,O,X
JILSTZO,X,X,O,X,X,X
JILSTOZ,X,O,X,X,X,X
JILSZTO,X,X,O,X,X,X
JILSZOT,X,O,O,X,O,O
JILSOTZ,X,O,X,X,X,X
JILSOZT,X,O,O,X,O,O
JILZTSO,X,X,X,X,X,X
JILZTOS,X,X,X,X,O,X
JILZSTO,X,O,O,X,X,X
JILZSOT,X,O,O,X,O,O
JILZOTS,X,X,X,X,O,X
JILZOST,X,O,X,X,O,O
JILOTSZ,X,X,O,O,X,X
JILOTZS,X,X,X,X,O,X
JILOSTZ,X,O,O,X,X,X
JILOSZT,X,O,O,X,O,O
JILOZTS,X,X,X,X,O,X
JILOZST,X,O,O,X,O,O
JISTLZO,X,X,O,O,X,X
JISTLOZ,X,O,X,O,X,X
JISTZLO,X,X,O,O,X,X
JISTZOL,X,X,X,O,X,O
JISTOLZ,X,O,X,O,X,X
JISTOZL,X,X,X,O,X,O
JISLTZO,X,X,O,X,X,X
JISLTOZ,X,O,X,X,X,X
JISLZTO,X,X,O,X,X,X
JISLZOT,X,O,O,X,O,O
JISLOTZ,X,O,X,X,X,X
JISLOZT,X,O,O,X,O,O
JISZTLO,X,X,O,X,X,X
JISZTOL,X,X,X,X,X,O
JISZLTO,X,X,O,X,X,X
JISZLOT,X,O,O,X,O,O
JISZOTL,X,X,X,X,X,O
JISZOLT,X,O,O,X,O,O
JISOTLZ,X,O,X,O,X,X
JISOTZL,X,X,X,O,X,O
JISOLTZ,X,O,X,X,X,X
JISOLZT,X,O,O,X,O,O
JISOZTL,X,X,X,X,X,O
JISOZLT,X,O,O,X,O,O
JIZTLSO,X,X,X,X,X,X
JIZTLOS,X,X,X,X,O,X
JIZTSLO,X,X,X,X,X,X
JIZTSOL,X,X,X,X,X,O
JIZTOLS,X,X,X,X,O,X
JIZTOSL,X,X,X,X,X,O
JIZLTSO,X,X,X,X,X,X
JIZLTOS,X,X,X,X,O,X
JIZLSTO,X,O,O,X,X,X
JIZLSOT,X,O,O,X,O,O
JIZLOTS,X,X,X,X,O,X
JIZLOST,X,O,X,X,O,O
JIZSTLO,X,O,O,X,X,X
JIZSTOL,X,O,X,X,X,O
JIZSLTO,X,O,O,X,X,X
JIZSLOT,X,O,O,X,O,O
JIZSOTL,X,O,X,X,X,O
JIZSOLT,X,O,O,X,O,O
JIZOTLS,X,X,X,X,O,X
JIZOTSL,X,X,X,X,X,O
JIZOLTS,X,X,X,X,O,X
JIZOLST,X,O,X,X,O,O
JIZOSTL,X,O,X,X,X,O
JIZOSLT,X,O,X,X,O,O
JIOTLSZ,X,X,O,O,X,X
JIOTLZS,X,X,X,X,O,X
JIOTSLZ,X,X,O,O,X,X
JIOTSZL,X,X,O,O,X,O
JIOTZLS,X,X,X,X,O,X
JIOTZSL,X,X,X,X,X,O
JIOLTSZ,X,X,O,O,X,X
JIOLTZS,X,X,X,X,O,X
JIOLSTZ,X,O,O,X,X,X
JIOLSZT,X,O,O,X,O,O
JIOLZTS,X,X,X,X,O,X
JIOLZST,X,O,O,X,O,O
JIOSTLZ,X,O,O,O,X,X
JIOSTZL,X,X,O,O,X,O
JIOSLTZ,X,O,O,X,X,X
JIOSLZT,X,O,O,X,O,O
JIOSZTL,X,X,O,X,X,O
JIOSZLT,X,O,O,X,O,O
JIOZTLS,X,X,X,X,O,X
JIOZTSL,X,X,X,X,X,O
JIOZLTS,X,X,X,X,O,X
JIOZLST,X,O,O,X,O,O
JIOZSTL,X,O,O,X,X,O
JIOZSLT,X,O,O,X,O,O
JLTISZO,X,X,X,O,X,X
JLTISOZ,X,X,X,O,X,X
JLTIZSO,X,X,X,X,X,X
JLTIZOS,X,X,X,X,O,X
JLTIOSZ,X,X,X,O,X,X
JLTIOZS,X,X,X,X,O,X
JLTSIZO,X,X,X,O,X,X
JLTSIOZ,O,O,X,O,X,X
JLTSZIO,X,X,X,O,X,X
JLTSZOI,X,X,X,O,X,X
JLTSOIZ,O,O,X,O,X,X
JLTSOZI,X,X,X,O,X,X
JLTZISO,X,X,X,X,X,X
JLTZIOS,X,X,X,X,O,X
JLTZSIO,O,O,X,O,X,X
JLTZSOI,O,O,X,O,X,X
JLTZOIS,X,X,X,X,O,X
JLTZOSI,O,O,X,O,X,X
JLTOISZ,X,X,X,O,X,X
JLTOIZS,X,X,X,X,O,X
JLTOSIZ,O,O,X,O,X,X
JLTOSZI,X,X,X,O,X,X
JLTOZIS,X,X,X,X,O,X
JLTOZSI,O,O,X,O,X,X
JLITSZO,X,X,X,O,X,X
JLITSOZ,X,X,X,O,X,X
JLITZSO,X,X,X,X,X,X
JLITZOS,X,X,X,X,O,X
JLITOSZ,X,X,X,O,X,X
JLITOZS,X,X,X,X,O,X
JLISTZO,X,X,O,X,X,X
JLISTOZ,X,O,X,X,X,X
JLISZTO,X,X,O,X,X,X
JLISZOT,X,O,O,X,O,O
JLISOTZ,X,O,X,X,X,X
JLISOZT,X,O,O,X,O,O
JLIZTSO,X,X,X,X,X,X
JLIZTOS,X,X,X,X,O,X
JLIZSTO,X,O,O,X,X,X
JLIZSOT,X,O,O,X,O,O
JLIZOTS,X,X,X,X,O,X
JLIZOST,X,O,X,X,O,O
JLIOTSZ,X,X,O,O,X,X
JLIOTZS,X,X,X,X,O,X
JLIOSTZ,X,O,O,X,X,X
JLIOSZT,X,O,O,X,O,O
JLIOZTS,X,X,X,X,O,X
JLIOZST,X,O,O,X,O,O
JLSTIZO,X,X,O,O,X,X
JLSTIOZ,O,O,X,O,X,X
JLSTZIO,X,X,O,O,X,X
JLSTZOI,X,X,X,O,X,X
JLSTOIZ,O,O,X,O,X,X
JLSTOZI,X,X,X,O,X,X
JLSITZO,X,X,O,X,X,X
JLSITOZ,X,O,X,X,X,X
JLSIZTO,X,X,O,X,X,X
JLSIZOT,X,O,O,X,O,O
JLSIOTZ,O,O,X,X,X,X
JLSIOZT,O,O,O,X,O,O
JLSZTIO,X,O,O,X,X,X
JLSZTOI,X,O,X,X,X,X
JLSZITO,X,O,O,X,X,X
JLSZIOT,X,O,O,X,O,O
JLSZOTI,X,O,X,X,X,X
JLSZOIT,X,O,O,X,O,O
JLSOTIZ,O,O,X,O,X,X
JLSOTZI,X,X,X,O,X,X
JLSOITZ,O,O,X,X,X,X
JLSOIZT,O,O,O,X,O,O
JLSOZTI,X,O,X,X,X,X
JLSOZIT,X,O,O,X,O,O
JLZTISO,X,X,X,X,X,X
JLZTIOS,X,X,X,X,O,X
JLZTSIO,O,O,X,O,X,X
JLZTSOI,O,O,X,O,X,X
JLZTOIS,X,X,X,X,O,X
JLZTOSI,O,O,X,O,X,X
JLZITSO,X,X,X,X,X,X
JLZITOS,X,X,X,X,O,X
JLZISTO,X,O,O,X,X,X
JLZISOT,X,O,O,X,O,O
JLZIOTS,X,X,X,X,O,X
JLZIOST,X,O,X,X,O,O
JLZSTIO,O,O,O,X,X,X
JLZSTOI,O,O,X,X,X,X
JLZSITO,X,O,O,X,X,X
JLZSIOT,O,O,O,X,O,O
JLZSOTI,O,O,X,X,X,X
JLZSOIT,O,O,O,X,O,O
JLZOTIS,X,X,X,X,O,X
JLZOTSI,O,O,X,O,X,X
JLZOITS,X,X,X,X,O,X
JLZOIST,X,O,X,X,O,O
JLZOSTI,O,O,X,X,X,X
JLZOSIT,O,O,X,X,O,O
JLOTISZ,X,X,O,O,X,X
JLOTIZS,X,X,X,X,O,X
JLOTSIZ,O,O,O,O,X,X
JLOTSZI,X,X,O,O,X,X
JLOTZIS,X,X,X,X,O,X
JLOTZSI,O,O,X,O,X,X
JLOITSZ,X,X,O,O,X,X
JLOITZS,X,X,X,X,O,X
JLOISTZ,X,O,O,X,X,X
JLOISZT,X,O,O,X,O,O
JLOIZTS,X,X,X,X,O,X
JLOIZST,X,O,O,X,O,O
JLOSTIZ,O,O,O,O,X,X
JLOSTZI,X,X,O,O,X,X
JLOSITZ,O,O,O,X,X,X
JLOSIZT,O,O,O,X,O,O
JLOSZTI,X,O,O,X,X,X
JLOSZIT,X,O,O,X,O,O
JLOZTIS,X,X,X,X,O,X
JLOZTSI,O,O,X,O,X,X
JLOZITS,X,X,X,X,O,X
JLOZIST,X,O,O,X,O,O
JLOZSTI,O,O,O,X,X,X
JLOZSIT,O,O,O,X,O,O
JSTILZO,X,X,O,O,X,X
JSTILOZ,O,O,X,O,X,X
JSTIZLO,X,X,O,O,X,X
JSTIZOL,X,X,X,O,X,O
JSTIOLZ,O,O,X,O,X,X
JSTIOZL,X,X,X,O,X,O
JSTLIZO,X,X,O,O,X,X
JSTLIOZ,O,O,X,O,X,X
JSTLZIO,X,X,O,O,X,X
JSTLZOI,X,X,X,O,X,X
JSTLOIZ,O,O,X,O,X,X
JSTLOZI,X,X,X,O,X,X
JSTZILO,X,X,O,O,X,X
JSTZIOL,X,X,X,O,X,O
JSTZLIO,X,X,O,O,X,X
JSTZLOI,X,X,X,O,X,X
JSTZOIL,X,X,X,O,X,O
JSTZOLI,X,X,X,O,X,X
JSTOILZ,O,O,X,O,X,X
JSTOIZL,X,X,X,O,X,O
JSTOLIZ,O,O,X,O,X,X
JSTOLZI,X,X,X,O,X,X
JSTOZIL,X,X,X,O,X,O
JSTOZLI,X,X,X,O,X,X
JSITLZO,X,X,O,O,X,X
JSITLOZ,X,O,X,O,X,X
JSITZLO,X,X,O,O,X,X
JSITZOL,X,X,X,O,X,O
JSITOLZ,X,O,X,O,X,X
JSITOZL,X,X,X,O,X,O
JSILTZO,X,X,O,X,X,X
JSILTOZ,X,O,X,X,X,X
JSILZTO,X,X,O,X,X,X
JSILZOT,X,O,O,X,O,O
JSILOTZ,O,O,X,X,X,X
JSILOZT,O,O,O,X,O,O
JSIZTLO,X,X,O,X,X,X
JSIZTOL,X,X,X,X,X,O
JSIZLTO,X,X,O,X,X,X
JSIZLOT,X,O,O,X,O,O
JSIZOTL,X,X,X,X,X,O
JSIZOLT,X,O,O,X,O,O
JSIOTLZ,X,O,X,O,X,X
JSIOTZL,X,X,X,O,X,O
JSIOLTZ,O,O,X,X,X,X
JSIOLZT,O,O,O,X,O,O
JSIOZTL,X,X,X,X,X,O
JSIOZLT,X,O,O,X,O,O
JSLTIZO,X,X,O,O,X,X
JSLTIOZ,O,O,X,O,X,X
JSLTZIO,X,X,O,O,X,X
JSLTZOI,X,X,X,O,X,X
JSLTOIZ,O,O,X,O,X,X
JSLTOZI,X,X,X,O,X,X
JSLITZO,X,X,O,X,X,X
JSLITOZ,X,O,X,X,X,X
JSLIZTO,X,X,O,X,X,X
JSLIZOT,X,O,O,X,O,O
JSLIOTZ,O,O,X,X,X,X
JSLIOZT,O,O,O,X,O,O
JSLZTIO,X,O,O,X,X,X
JSLZTOI,X,O,X,X,X,X
JSLZITO,X,O,O,X,X,X
JSLZIOT,X,O,O,X,O,O
JSLZOTI,X,O,X,X,X,X
JSLZOIT,X,O,O,X,O,O
JSLOTIZ,O,O,X,O,X,X
JSLOTZI,X,X,X,O,X,X
JSLOITZ,O,O,X,X,X,X
JSLOIZT,O,O,O,X,O,O
JSLOZTI,X,O,X,X,X,X
JSLOZIT,X,O,O,X,O,O
JSZTILO,X,O,O,O,X,X
JSZTIOL,X,O,X,O,X,O
JSZTLIO,X,O,O,O,X,X
JSZTLOI,X,O,X,O,X,X
JSZTOIL,X,O,X,O,X,O
JSZTOLI,X,O,X,O,X,X
JSZITLO,X,O,O,X,X,X
JSZITOL,X,O,X,X,X,O
JSZILTO,X,O,O,X,X,X
JSZILOT,X,O,O,X,O,O
JSZIOTL,X,O,X,X,X,O
JSZIOLT,X,O,O,X,O,O
JSZLTIO,X,O,O,X,X,X
JSZLTOI,X,O,X,X,X,X
JSZLITO,X,O,O,X,X,X
JSZLIOT,X,O,O,X,O,O
JSZLOTI,X,O,X,X,X,X
JSZLOIT,X,O,O,X,O,O
JSZOTIL,X,O,X,O,X,O
JSZOTLI,X,O,X,O,X,X
JSZOITL,X,O,X,X,X,O
JSZOILT,X,O,O,X,O,O
JSZOLTI,X,O,X,X,X,X
JSZOLIT,X,O,O,X,O,O
JSOTILZ,O,O,X,O,X,X
JSOTIZL,X,X,X,O,X,O
JSOTLIZ,O,O,X,O,X,X
JSOTLZI,X,X,X,O,X,X
JSOTZIL,X,X,X,O,X,O
JSOTZLI,X,X,X,O,X,X
JSOITLZ,X,O,X,O,X,X
JSOITZL,X,X,X,O,X,O
JSOILTZ,O,O,X,X,X,X
JSOILZT,O,O,O,X,O,O
JSOIZTL,X,X,X,X,X,O
JSOIZLT,X,O,O,X,O,O
JSOLTIZ,O,O,X,O,X,X
JSOLTZI,X,X,X,O,X,X
JSOLITZ,O,O,X,X,X,X
JSOLIZT,O,O,O,X,O,O
JSOLZTI,X,O,X,X,X,X
JSOLZIT,X,O,O,X,O,O
JSOZTIL,X,O,X,O,X,O
JSOZTLI,X,O,X,O,X,X
JSOZITL,X,O,X,X,X,O
JSOZILT,X,O,O,X,O,O
JSOZLTI,X,O,X,X,X,X
JSOZLIT,X,O,O,X,O,O
JZTILSO,X,X,X,X,X,X
JZTILOS,X,X,X,X,O,X
JZTISLO,X,X,X,X,X,X
JZTISOL,X,X,X,X,X,O
JZTIOLS,X,X,X,X,O,X
JZTIOSL,X,X,X,X,X,O
JZTLISO,X,X,X,X,X,X
JZTLIOS,X,X,X,X,O,X
JZTLSIO,O,O,X,O,X,X
JZTLSOI,O,O,X,O,X,X
JZTLOIS,X,X,X,X,O,X
JZTLOSI,O,O,X,O,X,X
JZTSILO,O,O,X,O,X,X
JZTSIOL,O,O,X,O,X,O
JZTSLIO,O,O,X,O,X,X
JZTSLOI,O,O,X,O,X,X
JZTSOIL,O,O,X,O,X,O
JZTSOLI,O,O,X,O,X,X
JZTOILS,X,X,X,X,O,X
JZTOISL,X,X,X,X,X,O
JZTOLIS,X,X,X,X,O,X
JZTOLSI,O,O,X,O,X,X
JZTOSIL,O,O,X,O,X,O
JZTOSLI,O,O,X,O,X,X
JZITLSO,X,X,X,X,X,X
JZITLOS,X,X,X,X,O,X
JZITSLO,X,X,X,X,X,X
JZITSOL,X,X,X,X,X,O
JZITOLS,X,X,X,X,O,X
JZITOSL,X,X,X,X,X,O
JZILTSO,X,X,X,X,X,X
JZILTOS,X,X,X,X,O,X
JZILSTO,X,O,O,X,X,X
JZILSOT,X,O,O,X,O,O
JZILOTS,X,X,X,X,O,X
JZILOST,X,O,X,X,O,O
JZISTLO,X,O,O,X,X,X
JZISTOL,X,O,X,X,X,O
JZISLTO,X,O,O,X,X,X
JZISLOT,X,O,O,X,O,O
JZISOTL,X,O,X,X,X,O
JZISOLT,X,O,O,X,O,O
JZIOTLS,X,X,X,X,O,X
JZIOTSL,X,X,X,X,X,O
JZIOLTS,X,X,X,X,O,X
JZIOLST,X,O,X,X,O,O
JZIOSTL,X,O,X,X,X,O
JZIOSLT,X,O,X,X,O,O
JZLTISO,X,X,X,X,X,X
JZLTIOS,X,X,X,X,O,X
JZLTSIO,O,O,X,O,X,X
JZLTSOI,O,O,X,O,X,X
JZLTOIS,X,X,X,X,O,X
JZLTOSI,O,O,X,O,X,X
JZLITSO,X,X,X,X,X,X
JZLITOS,X,X,X,X,O,X
JZLISTO,X,O,O,X,X,X
JZLISOT,X,O,O,X,O,O
JZLIOTS,X,X,X,X,O,X
JZLIOST,X,O,X,X,O,O
JZLSTIO,O,O,O,X,X,X
JZLSTOI,O,O,X,X,X,X
JZLSITO,X,O,O,X,X,X
JZLSIOT,O,O,O,X,O,O
JZLSOTI,O,O,X,X,X,X
JZLSOIT,O,O,O,X,O,O
JZLOTIS,X,X,X,X,O,X
JZLOTSI,O,O,X,O,X,X
JZLOITS,X,X,X,X,O,X
JZLOIST,X,O,X,X,O,O
JZLOSTI,O,O,X,X,X,X
JZLOSIT,O,O,X,X,O,O
JZSTILO,O,O,O,O,X,X
JZSTIOL,O,O,X,O,X,O
JZSTLIO,O,O,O,O,X,X
JZSTLOI,O,O,X,O,X,X
JZSTOIL,O,O,X,O,X,O
JZSTOLI,O,O,X,O,X,X
JZSITLO,X,O,O,X,X,X
JZSITOL,X,O,X,X,X,O
JZSILTO,X,O,O,X,X,X
JZSILOT,O,O,O,X,O,O
JZSIOTL,X,O,X,X,X,O
JZSIOLT,O,O,O,X,O,O
JZSLTIO,O,O,O,X,X,X
JZSLTOI,O,O,X,X,X,X
JZSLITO,X,O,O,X,X,X
JZSLIOT,O,O,O,X,O,O
JZSLOTI,O,O,X,X,X,X
JZSLOIT,O,O,O,X,O,O
JZSOTIL,O,O,X,O,X,O
JZSOTLI,O,O,X,O,X,X
JZSOITL,X,O,X,X,X,O
JZSOILT,O,O,O,X,O,O
