sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TZOLJIS,O,O,O,X,X
TZOLJSI,O,O,O,X,X
TZOLSIJ,O,X,O,O,X
TZOLSJI,O,X,O,O,X
TZOJILS,O,O,O,X,X
TZOJISL,O,O,O,X,X
TZOJLIS,O,O,O,X,X
TZOJLSI,O,O,O,X,X
TZOJSIL,O,O,O,X,X
TZOJSLI,O,O,X,X,X
TZOSILJ,O,O,O,O,O
TZOSIJL,O,O,O,O,O
TZOSLIJ,O,O,O,O,O
TZOSLJI,O,O,O,O,X
TZOSJIL,O,O,O,O,O
TZOSJLI,O,O,X,O,X
TOILJSZ,O,X,X,O,O
TOILJZS,O,X,O,X,O
TOILSJZ,O,X,X,O,X
TOILSZJ,O,X,X,O,X
TOILZJS,O,X,O,X,O
TOILZSJ,O,X,O,O,O
TOIJLSZ,O,X,X,O,O
TOIJLZS,O,X,X,X,O
TOIJSLZ,O,X,X,O,O
TOIJSZL,O,X,X,O,O
TOIJZLS,O,O,O,X,O
TOIJZSL,O,O,O,X,O
TOISLJZ,O,O,X,O,X
TOISLZJ,O,O,X,O,X
TOISJLZ,O,X,X,O,X
TOISJZL,O,O,X,O,X
TOISZLJ,O,O,X,O,X
TOISZJL,O,O,X,O,X
TOIZLJS,O,O,O,X,O
TOIZLSJ,O,X,O,O,O
TOIZJLS,O,O,O,X,O
TOIZJSL,O,O,O,X,O
TOIZSLJ,O,O,O,O,O
TOIZSJL,O,O,O,O,O
TOLIJSZ,O,X,X,O,X
TOLIJZS,O,X,O,X,X
TOLISJZ,O,X,X,O,X
TOLISZJ,O,X,X,O,X
TOLIZJS,O,X,O,X,X
TOLIZSJ,O,X,O,O,X
