sequence,v115@JhA8GeF8DeA8DeA8AeC8Jei/IvhFlhBTjBxsBfrBcs?BWvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhFlhBTjBxsB/pBcs?ByvB,v115@JhA8GeF8DeA8DeA8AeC8JeT/IvhFlgB3hBUjBOsBSt?BRvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhF1mBxiBcsBToB/p?ByvB,v115@JhA8GeF8DeA8DeA8AeC8Je0BJvhFxiBGoBisB/pBzq?BFqB,v115@JhA8GeF8DeA8DeA8AeC8JexBJvhF8nB+oBasB/pBzq?BFqB
TZJILOS,X,X,X,X,X,X
TZJISLO,X,X,X,X,X,X
TZJISOL,X,X,O,X,X,X
TZJIOLS,X,X,X,X,X,X
TZJIOSL,X,X,O,X,X,X
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,X,X,X,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,O,X,X,X
TZJLOIS,X,X,X,X,X,X
TZJLOSI,X,X,O,X,X,X
TZJSILO,X,X,X,X,X,X
TZJSIOL,X,X,O,X,X,X
TZJSLIO,X,X,X,X,X,X
TZJSLOI,X,X,O,X,X,X
TZJSOIL,X,X,O,X,X,X
TZJSOLI,X,X,O,X,X,X
TZJOILS,X,X,X,X,X,X
TZJOISL,X,X,O,O,X,X
TZJOLIS,X,X,X,X,X,X
TZJOLSI,X,X,O,X,X,X
TZJOSIL,X,X,O,O,X,X
TZJOSLI,X,X,O,O,X,X
TZSILJO,X,X,X,X,X,X
TZSILOJ,X,X,X,X,X,X
TZSIJLO,X,X,X,X,X,X
TZSIJOL,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,X,X
TZSIOJL,X,X,X,X,X,X
TZSLIJO,X,X,X,X,X,X
TZSLIOJ,X,X,X,X,X,X
TZSLJIO,X,X,X,X,X,X
TZSLJOI,X,X,X,X,X,X
TZSLOIJ,X,X,X,X,X,X
TZSLOJI,X,X,X,X,X,X
TZSJILO,X,X,X,X,X,X
TZSJIOL,X,X,O,X,X,X
TZSJLIO,X,X,X,X,X,X
TZSJLOI,X,X,O,X,X,X
TZSJOIL,X,X,O,X,X,X
TZSJOLI,X,X,O,X,X,X
TZSOILJ,X,X,X,O,X,X
TZSOIJL,X,X,X,O,X,X
TZSOLIJ,X,X,X,O,X,X
TZSOLJI,X,X,X,O,X,X
TZSOJIL,X,X,O,O,X,X
TZSOJLI,X,X,O,O,X,X
TZOILJS,X,X,X,X,X,X
TZOILSJ,X,X,X,O,X,X
TZOIJLS,X,X,X,X,X,X
TZOIJSL,X,X,X,O,X,X
TZOISLJ,X,X,X,O,X,X
TZOISJL,X,X,X,O,X,X
TZOLIJS,X,X,X,X,X,X
TZOLISJ,X,X,X,O,X,X
TZOLJIS,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,O,X,X
TZOLSJI,X,X,X,O,X,X
TZOJILS,X,X,X,X,X,X
TZOJISL,X,X,O,O,X,X
TZOJLIS,X,X,X,X,X,X
