sequence,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB9nBTjBGlB0mBXtB,v115@RhC8AeA8EeG8BeA8Jei/IvhFUhBRiB9oBGlBXnBzsB,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB3iB9oBGlB0mBzsB,v115@RhC8AeA8EeG8BeA8JeT/IvhF/lBRhBGjB0mB6sBNtB
TOSLZIJ,X,X,X,O
TOSLZJI,X,X,X,O
TOSJILZ,X,X,X,O
TOSJIZL,X,X,X,O
TOSJLIZ,X,X,X,O
TOSJLZI,X,X,X,O
TOSJZIL,X,X,X,O
TOSJZLI,X,X,X,X
TOSZILJ,X,X,X,X
TOSZIJL,X,X,X,O
TOSZLIJ,X,X,X,O
TOSZLJI,X,X,X,O
TOSZJIL,X,X,X,O
TOSZJLI,X,X,X,X
TOZILJS,X,X,X,X
TOZILSJ,X,X,X,X
TOZIJLS,X,X,X,X
TOZIJSL,X,X,X,X
TOZISLJ,X,X,X,X
TOZISJL,X,X,X,X
TOZLIJS,X,X,X,X
TOZLISJ,X,X,X,X
TOZLJIS,X,X,X,X
TOZLJSI,X,X,X,O
TOZLSIJ,X,X,X,O
TOZLSJI,X,X,X,O
TOZJILS,X,X,X,X
TOZJISL,X,X,X,X
TOZJLIS,X,X,X,X
TOZJLSI,X,X,X,X
TOZJSIL,X,X,X,O
TOZJSLI,X,X,X,X
TOZSILJ,X,X,X,X
TOZSIJL,X,X,X,O
TOZSLIJ,X,X,X,O
TOZSLJI,X,X,X,O
TOZSJIL,X,X,X,O
TOZSJLI,X,X,X,X
ITLJSZO,X,X,X,X
ITLJSOZ,X,X,X,X
ITLJZSO,X,X,X,X
ITLJZOS,X,X,X,X
ITLJOSZ,X,X,X,X
ITLJOZS,X,X,X,X
ITLSJZO,X,X,X,X
ITLSJOZ,X,X,X,X
ITLSZJO,X,X,X,X
ITLSZOJ,X,X,X,X
ITLSOJZ,X,X,X,X
ITLSOZJ,X,X,X,X
ITLZJSO,X,X,X,X
ITLZJOS,X,X,X,X
ITLZSJO,X,X,X,X
ITLZSOJ,X,X,X,X
ITLZOJS,X,X,X,X
