sequence,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBumB3iB5oB8s?BywB,v115@JhA8AeA8EeE8EeD8DeA8KeT/IvhFlgBUiB5oB+rBys?B3sB
IJOTZLS,X,O
IJOTZSL,X,X
IJOLTSZ,X,X
IJOLTZS,X,O
IJOLSTZ,X,X
IJOLSZT,X,X
IJOLZTS,X,O
IJOLZST,X,X
IJOSTLZ,X,X
IJOSTZL,X,X
IJOSLTZ,X,X
IJOSLZT,X,X
IJOSZTL,X,X
IJOSZLT,X,X
IJOZTLS,X,O
IJOZTSL,X,X
IJOZLTS,X,O
IJOZLST,X,X
IJOZSTL,X,X
IJOZSLT,X,X
ISTLJZO,X,X
ISTLJOZ,X,X
ISTLZJO,X,X
ISTLZOJ,X,X
