sequence,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhB3iB5oBy?sB0pBWxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhB3iB5oBq?pB8sBzrB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeOEJvhFlhBziB5oBq?pB8rB3sB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KelBJvhF3iB5oBTkBy?sBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KexBJvhFTkBFnBXoB6?tBWxB0pB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KeT/IvhFlhBeoB5oBX?nB0pBSxB,v115@/gB8HeC8GeC8EeA8BeB8CeA8KemCJvhF5oBTkBFnB6?rB3sB0pB
JLIOZTS,O,O,O,O,X,X,X
JLIOZST,O,O,O,O,X,X,X
JLSTIZO,O,O,O,O,X,O,X
JLSTIOZ,O,O,O,O,O,X,X
JLSTZIO,O,O,O,O,X,O,X
JLSTZOI,O,O,O,O,X,O,X
JLSTOIZ,O,O,O,O,O,X,X
JLSTOZI,O,O,O,O,O,X,X
JLSITZO,O,O,O,O,X,O,X
JLSITOZ,O,O,O,O,X,X,X
JLSIZTO,O,O,O,O,X,O,X
JLSIZOT,O,O,O,O,X,O,X
JLSIOTZ,O,O,O,O,X,X,X
JLSIOZT,O,O,O,O,X,X,X
JLSZTIO,O,O,O,O,X,O,X
JLSZTOI,O,O,O,O,X,O,X
JLSZITO,O,O,O,O,X,O,X
JLSZIOT,O,O,O,O,X,O,X
JLSZOTI,O,O,O,O,X,O,X
JLSZOIT,O,O,O,O,X,O,X
JLSOTIZ,O,O,O,O,O,X,X
JLSOTZI,O,O,O,O,O,X,X
JLSOITZ,O,O,O,O,X,X,X
JLSOIZT,O,O,O,O,X,X,X
JLSOZTI,O,O,O,O,X,X,X
JLSOZIT,O,O,O,O,X,X,X
JLZTISO,O,O,O,O,X,X,X
JLZTIOS,O,O,O,O,X,X,X
JLZTSIO,O,O,O,O,X,X,X
JLZTSOI,O,O,X,O,X,X,X
JLZTOIS,O,O,O,O,X,X,X
JLZTOSI,O,O,X,O,X,X,X
JLZITSO,O,O,O,O,X,X,X
JLZITOS,O,O,O,O,X,X,X
JLZISTO,O,O,O,O,X,O,X
JLZISOT,O,O,O,O,X,O,X
JLZIOTS,O,O,O,O,X,X,X
JLZIOST,O,O,O,O,X,O,X
JLZSTIO,O,O,O,O,X,O,X
JLZSTOI,O,O,O,O,X,O,X
JLZSITO,O,O,O,O,X,O,X
JLZSIOT,O,O,O,O,X,O,X
JLZSOTI,O,O,O,O,X,O,X
JLZSOIT,O,O,O,O,X,O,X
JLZOTIS,O,O,O,O,X,X,X
JLZOTSI,O,O,X,O,X,X,X
JLZOITS,O,O,O,O,X,X,X
JLZOIST,O,O,O,O,X,O,X
JLZOSTI,O,O,X,O,X,O,X
JLZOSIT,O,O,X,O,X,O,X
JLOTISZ,O,O,X,O,O,X,X
JLOTIZS,O,O,O,O,X,X,X
JLOTSIZ,O,O,X,O,O,X,X
JLOTSZI,O,O,X,O,O,X,X
JLOTZIS,O,O,O,O,X,X,X
JLOTZSI,O,O,X,O,X,X,X
JLOITSZ,O,O,X,O,O,X,X
JLOITZS,O,O,O,O,X,X,X
JLOISTZ,O,O,O,O,X,X,X
JLOISZT,O,O,O,O,X,X,X
JLOIZTS,O,O,O,O,X,X,X
JLOIZST,O,O,O,O,X,X,X
JLOSTIZ,O,O,O,O,O,X,X
JLOSTZI,O,O,O,O,O,X,X
JLOSITZ,O,O,O,O,X,X,X
JLOSIZT,O,O,O,O,X,X,X
JLOSZTI,O,O,O,O,X,X,X
JLOSZIT,O,O,O,O,X,X,X
JLOZTIS,O,O,O,O,X,X,X
JLOZTSI,O,O,X,O,X,X,X
JLOZITS,O,O,O,O,X,X,X
JLOZIST,O,O,O,O,X,X,X
JLOZSTI,O,O,X,O,X,X,X
JLOZSIT,O,O,X,O,X,X,X
JSTILZO,O,X,X,O,X,O,X
JSTILOZ,O,X,X,O,O,X,O
JSTIZLO,O,X,X,X,X,O,X
JSTIZOL,O,X,X,X,O,O,O
JSTIOLZ,X,X,X,O,O,X,O
JSTIOZL,X,X,X,X,O,O,O
JSTLIZO,O,X,X,O,X,O,X
JSTLIOZ,O,X,X,O,O,X,O
JSTLZIO,O,X,X,O,X,O,X
JSTLZOI,O,X,X,O,X,O,X
JSTLOIZ,O,X,X,O,O,X,O
JSTLOZI,O,X,X,O,O,X,X
JSTZILO,O,X,X,X,X,O,X
JSTZIOL,O,X,X,X,O,O,O
JSTZLIO,O,X,X,X,X,O,X
JSTZLOI,O,X,X,X,X,O,X
JSTZOIL,O,X,X,X,O,O,O
JSTZOLI,O,X,X,X,O,O,X
JSTOILZ,X,X,X,O,O,X,O
JSTOIZL,X,X,X,X,O,O,O
JSTOLIZ,X,X,X,O,O,X,O
JSTOLZI,X,X,X,O,O,X,X
JSTOZIL,X,X,X,X,O,O,O
JSTOZLI,X,X,X,X,O,O,X
JSITLZO,O,X,X,O,X,O,X
JSITLOZ,O,X,X,O,O,X,O
JSITZLO,O,X,X,X,X,O,X
JSITZOL,O,X,X,X,O,O,O
JSITOLZ,X,X,X,O,O,X,O
JSITOZL,X,X,X,X,O,O,O
JSILTZO,O,X,O,O,X,O,X
JSILTOZ,O,X,O,O,X,X,X
JSILZTO,O,X,O,O,X,O,X
JSILZOT,O,X,O,O,X,O,X
JSILOTZ,O,X,O,O,X,X,X
JSILOZT,O,X,O,O,X,X,X
JSIZTLO,O,X,O,X,X,O,X
JSIZTOL,O,X,O,X,X,O,X
JSIZLTO,O,X,O,X,X,O,X
JSIZLOT,O,X,O,X,X,O,X
JSIZOTL,O,X,O,X,X,O,X
JSIZOLT,O,X,O,X,X,O,X
JSIOTLZ,X,X,X,O,O,X,O
JSIOTZL,X,X,X,X,O,O,O
JSIOLTZ,X,X,O,O,X,X,X
JSIOLZT,X,X,O,O,X,X,X
JSIOZTL,X,X,O,X,X,O,X
JSIOZLT,X,X,O,X,X,O,X
JSLTIZO,O,X,O,O,X,O,X
JSLTIOZ,O,X,O,O,O,X,X
JSLTZIO,O,X,O,O,X,O,X
JSLTZOI,O,X,O,O,X,O,X
JSLTOIZ,O,X,O,O,O,X,X
JSLTOZI,O,X,O,O,O,X,X
JSLITZO,O,X,O,O,X,O,X
JSLITOZ,O,X,O,O,X,X,X
JSLIZTO,O,X,O,O,X,O,X
JSLIZOT,O,X,O,O,X,O,X
JSLIOTZ,O,X,O,O,X,X,X
JSLIOZT,O,X,O,O,X,X,X
JSLZTIO,O,X,O,O,X,O,X
JSLZTOI,O,X,O,O,X,O,X
JSLZITO,O,X,O,O,X,O,X
JSLZIOT,O,X,O,O,X,O,X
JSLZOTI,O,X,O,O,X,O,X
JSLZOIT,O,X,O,O,X,O,X
JSLOTIZ,O,X,O,O,O,X,X
JSLOTZI,O,X,O,O,O,X,X
JSLOITZ,O,X,O,O,X,X,X
JSLOIZT,O,X,O,O,X,X,X
JSLOZTI,O,X,O,O,X,X,X
JSLOZIT,O,X,O,O,X,X,X
JSZTILO,O,X,O,X,X,O,X
JSZTIOL,O,X,O,X,O,O,X
JSZTLIO,O,X,O,X,X,O,X
JSZTLOI,O,X,O,X,X,O,X
JSZTOIL,O,X,O,X,O,O,X
JSZTOLI,O,X,O,X,O,O,X
JSZITLO,O,X,O,X,X,O,X
JSZITOL,O,X,O,X,X,O,X
JSZILTO,O,X,O,X,X,O,X
JSZILOT,O,X,O,X,X,O,X
JSZIOTL,O,X,O,X,X,O,X
JSZIOLT,O,X,O,X,X,O,X
JSZLTIO,O,X,O,X,X,O,X
JSZLTOI,O,X,O,X,X,O,X
JSZLITO,O,X,O,X,X,O,X
JSZLIOT,O,X,O,X,X,O,X
JSZLOTI,O,X,O,X,X,O,X
JSZLOIT,O,X,O,X,X,O,X
JSZOTIL,O,X,O,X,O,O,X
JSZOTLI,O,X,O,X,O,O,X
JSZOITL,O,X,O,X,X,O,X
JSZOILT,O,X,O,X,X,O,X
JSZOLTI,O,X,O,X,X,O,X
JSZOLIT,O,X,O,X,X,O,X
JSOTILZ,X,X,X,O,O,X,O
JSOTIZL,X,X,X,X,O,O,O
JSOTLIZ,X,X,X,O,O,X,O
JSOTLZI,X,X,X,O,O,X,X
JSOTZIL,X,X,X,X,O,O,O
JSOTZLI,X,X,X,X,O,O,X
JSOITLZ,X,X,X,O,O,X,O
JSOITZL,X,X,X,X,O,O,O
JSOILTZ,X,X,O,O,X,X,X
JSOILZT,X,X,O,O,X,X,X
JSOIZTL,X,X,O,X,X,O,X
JSOIZLT,X,X,O,X,X,O,X
JSOLTIZ,X,X,O,O,O,X,X
JSOLTZI,X,X,O,O,O,X,X
JSOLITZ,X,X,O,O,X,X,X
JSOLIZT,X,X,O,O,X,X,X
JSOLZTI,X,X,O,O,X,X,X
JSOLZIT,X,X,O,O,X,X,X
JSOZTIL,X,X,O,X,O,O,X
JSOZTLI,X,X,O,X,O,O,X
JSOZITL,X,X,O,X,X,O,X
JSOZILT,X,X,O,X,X,O,X
JSOZLTI,X,X,O,X,X,O,X
JSOZLIT,X,X,O,X,X,O,X
JZTILSO,O,O,O,O,X,X,X
JZTILOS,O,O,O,O,X,X,X
JZTISLO,O,O,O,X,X,O,X
JZTISOL,O,X,O,X,O,O,X
JZTIOLS,O,X,X,O,X,X,X
JZTIOSL,O,X,X,X,O,O,X
JZTLISO,O,O,O,O,X,X,X
JZTLIOS,O,O,O,O,X,X,X
JZTLSIO,O,O,O,O,X,X,X
JZTLSOI,O,O,X,O,X,X,X
JZTLOIS,O,O,O,O,X,X,X
JZTLOSI,O,O,X,O,X,X,X
JZTSILO,O,O,X,X,X,O,X
JZTSIOL,O,X,X,X,O,O,X
JZTSLIO,O,O,X,X,X,O,X
JZTSLOI,O,O,X,X,X,O,X
JZTSOIL,O,X,X,X,O,O,X
JZTSOLI,O,X,X,X,O,O,X
JZTOILS,O,X,X,O,X,X,X
JZTOISL,O,X,X,X,O,O,X
JZTOLIS,O,X,X,O,X,X,X
JZTOLSI,O,X,X,O,X,X,X
JZTOSIL,O,X,X,X,O,O,X
JZTOSLI,O,X,X,X,O,O,X
JZITLSO,O,O,O,O,X,X,X
JZITLOS,O,O,O,O,X,X,X
JZITSLO,O,O,O,X,X,O,X
JZITSOL,O,X,O,X,O,O,X
JZITOLS,O,X,X,O,X,X,X
JZITOSL,O,X,X,X,O,O,X
JZILTSO,O,O,O,O,X,X,X
JZILTOS,O,O,O,O,X,X,X
JZILSTO,O,O,O,O,X,O,X
JZILSOT,O,O,O,O,X,O,X
JZILOTS,O,O,O,O,X,X,X
JZILOST,O,O,O,O,X,O,X
JZISTLO,O,O,O,X,X,O,X
JZISTOL,O,X,O,X,X,O,X
JZISLTO,O,O,O,X,X,O,X
JZISLOT,O,O,O,X,X,O,X
JZISOTL,O,X,O,X,X,O,X
JZISOLT,O,X,O,X,X,O,X
JZIOTLS,O,O,X,O,X,X,X
JZIOTSL,O,O,X,X,O,O,X
JZIOLTS,O,O,X,O,X,X,X
JZIOLST,O,O,X,O,X,O,X
JZIOSTL,O,O,X,X,X,O,X
JZIOSLT,O,O,X,X,X,O,X
JZLTISO,O,O,O,O,X,X,X
JZLTIOS,O,O,O,O,X,X,X
JZLTSIO,O,O,O,O,X,X,X
JZLTSOI,O,O,X,O,X,X,X
JZLTOIS,O,O,O,O,X,X,X
JZLTOSI,O,O,X,O,X,X,X
JZLITSO,O,O,O,O,X,X,X
JZLITOS,O,O,O,O,X,X,X
JZLISTO,O,O,O,O,X,O,X
JZLISOT,O,O,O,O,X,O,X
JZLIOTS,O,O,O,O,X,X,X
JZLIOST,O,O,O,O,X,O,X
JZLSTIO,O,O,O,O,X,O,X
JZLSTOI,O,O,X,O,X,O,X
JZLSITO,O,O,O,O,X,O,X
JZLSIOT,O,O,O,O,X,O,X
JZLSOTI,O,O,X,O,X,O,X
JZLSOIT,O,O,X,O,X,O,X
JZLOTIS,O,O,O,O,X,X,X
JZLOTSI,O,O,X,O,X,X,X
JZLOITS,O,O,O,O,X,X,X
JZLOIST,O,O,O,O,X,O,X
JZLOSTI,O,O,X,O,X,O,X
JZLOSIT,O,O,X,O,X,O,X
JZSTILO,O,O,X,X,X,O,X
JZSTIOL,O,X,X,X,O,O,X
JZSTLIO,O,O,X,X,X,O,X
JZSTLOI,O,O,X,X,X,O,X
JZSTOIL,O,X,X,X,O,O,X
JZSTOLI,O,X,X,X,O,O,X
JZSITLO,O,O,X,X,X,O,X
JZSITOL,O,X,X,X,X,O,X
JZSILTO,O,O,X,X,X,O,X
JZSILOT,O,O,X,X,X,O,X
JZSIOTL,O,X,X,X,X,O,X
JZSIOLT,O,X,X,X,X,O,X
JZSLTIO,O,O,X,X,X,O,X
JZSLTOI,O,O,X,X,X,O,X
JZSLITO,O,O,X,X,X,O,X
JZSLIOT,O,O,X,X,X,O,X
JZSLOTI,O,O,X,X,X,O,X
JZSLOIT,O,O,X,X,X,O,X
JZSOTIL,O,X,X,X,O,O,X
JZSOTLI,O,X,X,X,O,O,X
JZSOITL,O,X,X,X,X,O,X
JZSOILT,O,X,X,X,X,O,X
JZSOLTI,O,X,X,X,X,O,X
JZSOLIT,O,X,X,X,X,O,X
JZOTILS,O,O,X,O,X,X,X
JZOTISL,O,O,X,X,O,O,X
JZOTLIS,O,O,X,O,X,X,X
JZOTLSI,O,O,X,O,X,X,X
JZOTSIL,O,O,X,X,O,O,X
JZOTSLI,O,O,X,X,O,O,X
JZOITLS,O,O,X,O,X,X,X
JZOITSL,O,O,X,X,O,O,X
JZOILTS,O,O,X,O,X,X,X
JZOILST,O,O,X,O,X,O,X
JZOISTL,O,O,X,X,X,O,X
JZOISLT,O,O,X,X,X,O,X
JZOLTIS,O,O,X,O,X,X,X
JZOLTSI,O,O,X,O,X,X,X
JZOLITS,O,O,X,O,X,X,X
JZOLIST,O,O,X,O,X,O,X
JZOLSTI,O,O,X,O,X,O,X
JZOLSIT,O,O,X,O,X,O,X
JZOSTIL,O,O,X,X,O,O,X
JZOSTLI,O,O,X,X,O,O,X
JZOSITL,O,O,X,X,X,O,X
JZOSILT,O,O,X,X,X,O,X
JZOSLTI,O,O,X,X,X,O,X
JZOSLIT,O,O,X,X,X,O,X
JOTILSZ,O,O,X,O,O,X,X
JOTILZS,O,O,X,O,X,X,X
JOTISLZ,X,X,X,O,O,X,X
JOTISZL,X,X,X,X,O,X,X
JOTIZLS,O,O,X,O,X,X,X
JOTIZSL,O,O,X,X,O,X,X
JOTLISZ,O,O,X,O,O,X,X
JOTLIZS,O,O,X,O,X,X,X
JOTLSIZ,O,O,X,O,O,X,X
JOTLSZI,O,O,X,O,O,X,X
JOTLZIS,O,O,X,O,X,X,X
JOTLZSI,O,O,X,O,X,X,X
JOTSILZ,X,X,X,O,O,X,X
JOTSIZL,X,X,X,X,O,X,X
JOTSLIZ,X,X,X,O,O,X,X
JOTSLZI,X,X,X,O,O,X,X
JOTSZIL,X,X,X,X,O,X,X
JOTSZLI,X,X,X,X,O,X,X
JOTZILS,O,O,X,O,X,X,X
JOTZISL,O,O,X,X,O,X,X
JOTZLIS,O,O,X,O,X,X,X
JOTZLSI,O,O,X,O,X,X,X
JOTZSIL,O,O,X,X,O,X,X
JOTZSLI,O,O,X,X,O,X,X
JOITLSZ,O,O,X,O,O,X,X
JOITLZS,O,O,X,O,X,X,X
JOITSLZ,X,X,X,O,O,X,X
JOITSZL,X,X,X,X,O,X,X
JOITZLS,O,O,X,O,X,X,X
JOITZSL,O,O,X,X,O,X,X
JOILTSZ,O,O,X,O,O,X,X
JOILTZS,O,O,X,O,X,X,X
JOILSTZ,O,O,X,O,X,X,X
JOILSZT,O,O,X,O,X,X,X
JOILZTS,O,O,X,O,X,X,X
JOILZST,O,O,X,O,X,X,X
JOISTLZ,X,X,X,O,O,X,O
JOISTZL,X,X,X,X,O,O,O
JOISLTZ,X,X,X,O,X,X,X
JOISLZT,X,X,X,O,X,X,X
JOISZTL,X,X,X,X,X,O,X
JOISZLT,X,X,X,X,X,O,X
JOIZTLS,O,O,X,O,X,X,X
JOIZTSL,O,O,X,X,O,O,X
JOIZLTS,O,O,X,O,X,X,X
JOIZLST,O,O,X,O,X,O,X
JOIZSTL,O,O,X,X,X,O,X
JOIZSLT,O,O,X,X,X,O,X
JOLTISZ,O,O,X,O,O,X,X
JOLTIZS,O,O,X,O,X,X,X
JOLTSIZ,O,O,X,O,O,X,X
JOLTSZI,O,O,X,O,O,X,X
JOLTZIS,O,O,X,O,X,X,X
JOLTZSI,O,O,X,O,X,X,X
JOLITSZ,O,O,X,O,O,X,X
JOLITZS,O,O,X,O,X,X,X
JOLISTZ,O,O,X,O,X,X,X
JOLISZT,O,O,X,O,X,X,X
JOLIZTS,O,O,X,O,X,X,X
JOLIZST,O,O,X,O,X,X,X
JOLSTIZ,O,O,X,O,O,X,X
JOLSTZI,O,O,X,O,O,X,X
JOLSITZ,O,O,X,O,X,X,X
JOLSIZT,O,O,X,O,X,X,X
JOLSZTI,O,O,X,O,X,X,X
JOLSZIT,O,O,X,O,X,X,X
JOLZTIS,O,O,X,O,X,X,X
JOLZTSI,O,O,X,O,X,X,X
JOLZITS,O,O,X,O,X,X,X
JOLZIST,O,O,X,O,X,X,X
JOLZSTI,O,O,X,O,X,X,X
JOLZSIT,O,O,X,O,X,X,X
JOSTILZ,X,X,X,O,O,X,O
JOSTIZL,X,X,X,X,O,O,O
JOSTLIZ,X,X,X,O,O,X,O
JOSTLZI,X,X,X,O,O,X,X
JOSTZIL,X,X,X,X,O,O,O
JOSTZLI,X,X,X,X,O,O,X
JOSITLZ,X,X,X,O,O,X,O
JOSITZL,X,X,X,X,O,O,O
JOSILTZ,X,X,X,O,X,X,X
JOSILZT,X,X,X,O,X,X,X
JOSIZTL,X,X,X,X,X,O,X
JOSIZLT,X,X,X,X,X,O,X
JOSLTIZ,X,X,X,O,O,X,X
JOSLTZI,X,X,X,O,O,X,X
JOSLITZ,X,X,X,O,X,X,X
JOSLIZT,X,X,X,O,X,X,X
JOSLZTI,X,X,X,O,X,X,X
JOSLZIT,X,X,X,O,X,X,X
JOSZTIL,X,X,X,X,O,O,X
JOSZTLI,X,X,X,X,O,O,X
JOSZITL,X,X,X,X,X,O,X
JOSZILT,X,X,X,X,X,O,X
JOSZLTI,X,X,X,X,X,O,X
JOSZLIT,X,X,X,X,X,O,X
JOZTILS,O,O,X,O,X,X,X
JOZTISL,O,O,X,X,O,O,X
JOZTLIS,O,O,X,O,X,X,X
JOZTLSI,O,O,X,O,X,X,X
JOZTSIL,O,O,X,X,O,O,X
JOZTSLI,O,O,X,X,O,O,X
JOZITLS,O,O,X,O,X,X,X
JOZITSL,O,O,X,X,O,O,X
JOZILTS,O,O,X,O,X,X,X
JOZILST,O,O,X,O,X,O,X
JOZISTL,O,O,X,X,X,O,X
JOZISLT,O,O,X,X,X,O,X
JOZLTIS,O,O,X,O,X,X,X
JOZLTSI,O,O,X,O,X,X,X
JOZLITS,O,O,X,O,X,X,X
JOZLIST,O,O,X,O,X,O,X
JOZLSTI,O,O,X,O,X,O,X
JOZLSIT,O,O,X,O,X,O,X
JOZSTIL,O,O,X,X,O,O,X
JOZSTLI,O,O,X,X,O,O,X
JOZSITL,O,O,X,X,X,O,X
JOZSILT,O,O,X,X,X,O,X
JOZSLTI,O,O,X,X,X,O,X
JOZSLIT,O,O,X,X,X,O,X
STILJZO,O,O,O,X,X,X,X
STILJOZ,X,O,O,X,X,X,O
STILZJO,O,O,O,X,X,X,X
STILZOJ,O,O,O,X,X,X,X
STILOJZ,X,O,O,X,X,X,O
STILOZJ,O,O,O,X,X,X,X
STIJLZO,O,X,X,O,X,X,X
STIJLOZ,O,X,X,O,X,X,O
STIJZLO,O,X,X,X,X,X,X
STIJZOL,O,X,X,X,X,X,O
STIJOLZ,X,X,X,O,X,X,O
STIJOZL,X,X,X,X,X,X,O
STIZLJO,O,O,O,X,X,X,X
STIZLOJ,O,O,O,X,X,X,X
STIZJLO,O,O,O,X,X,X,X
STIZJOL,O,X,O,X,X,X,O
STIZOLJ,O,O,O,X,X,X,X
STIZOJL,O,X,O,X,X,X,O
STIOLJZ,X,O,O,X,O,X,O
STIOLZJ,X,O,O,X,X,X,X
STIOJLZ,X,X,X,O,O,X,O
STIOJZL,X,X,X,X,O,X,O
STIOZLJ,X,O,O,X,X,X,X
STIOZJL,X,O,O,X,X,X,O
STLIJZO,O,O,O,X,X,X,X
STLIJOZ,X,O,O,X,X,X,O
STLIZJO,O,O,O,X,X,X,X
STLIZOJ,O,O,O,X,X,X,X
STLIOJZ,X,O,O,X,X,X,O
STLIOZJ,O,O,O,X,X,X,X
STLJIZO,O,O,O,X,X,X,X
STLJIOZ,X,O,O,X,X,X,O
STLJZIO,O,O,O,X,X,X,X
STLJZOI,O,O,O,X,X,X,X
STLJOIZ,X,O,O,X,X,X,O
STLJOZI,X,O,O,X,X,X,X
STLZIJO,O,O,O,X,X,X,X
STLZIOJ,O,O,O,X,X,X,X
STLZJIO,O,O,O,X,X,X,X
STLZJOI,O,O,O,X,X,X,X
STLZOIJ,O,O,O,X,X,X,X
STLZOJI,O,O,O,X,X,X,X
STLOIJZ,X,O,O,X,O,X,O
STLOIZJ,O,O,O,X,X,X,X
STLOJIZ,X,O,O,X,O,X,O
STLOJZI,X,O,O,X,O,X,X
STLOZIJ,O,O,O,X,X,X,X
STLOZJI,O,O,O,X,O,X,X
STJILZO,O,X,X,O,X,X,X
STJILOZ,O,X,X,O,O,X,O
STJIZLO,O,X,X,X,X,X,X
STJIZOL,O,X,X,X,O,X,O
STJIOLZ,X,X,X,O,O,X,O
STJIOZL,X,X,X,X,O,X,O
STJLIZO,O,X,X,O,X,X,X
STJLIOZ,O,X,X,O,O,X,O
STJLZIO,O,X,X,O,X,X,X
STJLZOI,O,X,X,O,X,X,X
STJLOIZ,O,X,X,O,O,X,O
STJLOZI,O,X,X,O,O,X,X
STJZILO,O,X,X,X,X,X,X
STJZIOL,O,X,X,X,O,X,O
STJZLIO,O,X,X,X,X,X,X
STJZLOI,O,X,X,X,X,X,X
STJZOIL,O,X,X,X,O,X,O
STJZOLI,O,X,X,X,O,X,X
STJOILZ,X,X,X,O,O,X,O
STJOIZL,X,X,X,X,O,X,O
STJOLIZ,X,X,X,O,O,X,O
STJOLZI,X,X,X,O,O,X,X
STJOZIL,X,X,X,X,O,X,O
STJOZLI,X,X,X,X,O,X,X
STZILJO,O,O,O,X,X,X,X
STZILOJ,O,O,O,X,X,X,X
STZIJLO,O,O,O,X,X,X,X
STZIJOL,O,X,O,X,X,X,O
STZIOLJ,O,O,O,X,X,X,X
STZIOJL,O,X,O,X,X,X,O
STZLIJO,O,O,O,X,X,X,X
STZLIOJ,O,O,O,X,X,X,X
STZLJIO,O,O,O,X,X,X,X
STZLJOI,O,O,O,X,X,X,X
STZLOIJ,O,O,O,X,X,X,X
STZLOJI,O,O,O,X,X,X,X
STZJILO,O,O,O,X,X,X,X
STZJIOL,O,X,O,X,X,X,O
STZJLIO,O,O,O,X,X,X,X
STZJLOI,O,O,O,X,X,X,X
STZJOIL,O,X,O,X,X,X,O
STZJOLI,O,X,O,X,X,X,X
STZOILJ,O,O,O,X,X,X,X
STZOIJL,O,X,O,X,X,X,O
STZOLIJ,O,O,O,X,X,X,X
STZOLJI,O,O,O,X,O,X,X
STZOJIL,O,X,O,X,O,X,O
STZOJLI,O,X,O,X,O,X,X
STOILJZ,X,O,O,X,O,X,O
STOILZJ,X,O,O,X,X,X,X
STOIJLZ,X,X,X,O,O,X,O
STOIJZL,X,X,X,X,O,X,O
STOIZLJ,X,O,O,X,X,X,X
STOIZJL,X,O,O,X,X,X,O
STOLIJZ,X,O,O,X,O,X,O
STOLIZJ,X,O,O,X,X,X,X
STOLJIZ,X,O,O,X,O,X,O
STOLJZI,X,O,O,X,O,X,X
STOLZIJ,X,O,O,X,X,X,X
STOLZJI,X,O,O,X,O,X,X
STOJILZ,X,X,X,O,O,X,O
STOJIZL,X,X,X,X,O,X,O
STOJLIZ,X,X,X,O,O,X,O
STOJLZI,X,X,X,O,O,X,X
STOJZIL,X,X,X,X,O,X,O
STOJZLI,X,X,X,X,O,X,X
STOZILJ,X,O,O,X,X,X,X
STOZIJL,X,O,O,X,X,X,O
STOZLIJ,X,O,O,X,X,X,X
STOZLJI,X,O,O,X,O,X,X
STOZJIL,X,O,O,X,O,X,O
STOZJLI,X,O,O,X,O,X,X
SITLJZO,O,O,O,X,X,X,X
SITLJOZ,X,O,O,X,X,X,O
SITLZJO,O,O,O,X,X,X,X
SITLZOJ,O,O,O,X,X,X,X
SITLOJZ,X,O,O,X,X,X,O
SITLOZJ,O,O,O,X,X,X,X
SITJLZO,O,X,X,O,X,X,X
SITJLOZ,O,X,X,O,X,X,O
SITJZLO,O,X,X,X,X,X,X
SITJZOL,O,X,X,X,X,X,O
SITJOLZ,X,X,X,O,X,X,O
SITJOZL,X,X,X,X,X,X,O
SITZLJO,O,O,O,X,X,X,X
SITZLOJ,O,O,O,X,X,X,X
SITZJLO,O,O,O,X,X,X,X
SITZJOL,O,X,O,X,X,X,O
SITZOLJ,O,O,O,X,X,X,X
SITZOJL,O,X,O,X,X,X,O
SITOLJZ,X,O,O,X,O,X,O
SITOLZJ,X,O,O,X,X,X,X
SITOJLZ,X,X,X,O,O,X,O
SITOJZL,X,X,X,X,O,X,O
SITOZLJ,X,O,O,X,X,X,X
SITOZJL,X,O,O,X,X,X,O
SILTJZO,O,O,O,X,X,X,X
SILTJOZ,X,O,O,X,X,X,O
SILTZJO,O,O,O,X,X,X,X
SILTZOJ,O,O,O,X,X,X,X
SILTOJZ,X,O,O,X,X,X,O
SILTOZJ,O,O,O,X,X,X,X
SILJTZO,O,O,O,O,X,X,X
SILJTOZ,O,O,O,O,X,X,X
SILJZTO,O,O,O,O,X,X,X
SILJZOT,O,O,O,O,X,X,X
SILJOTZ,O,O,O,O,X,X,X
SILJOZT,O,O,O,O,X,X,X
SILZTJO,O,O,O,X,X,X,X
SILZTOJ,O,O,O,X,X,X,X
SILZJTO,O,O,O,X,X,X,X
SILZJOT,O,O,O,X,X,X,X
SILZOTJ,O,O,O,X,X,X,X
SILZOJT,O,O,O,X,X,X,X
SILOTJZ,X,O,O,X,X,X,O
SILOTZJ,O,O,O,X,X,X,X
SILOJTZ,X,O,O,O,X,X,X
SILOJZT,X,O,O,O,X,X,X
SILOZTJ,O,O,O,X,X,X,X
SILOZJT,O,O,O,X,X,X,X
SIJTLZO,O,X,X,O,X,O,X
SIJTLOZ,O,X,X,O,O,X,O
SIJTZLO,O,X,X,X,X,O,X
SIJTZOL,O,X,X,X,O,O,O
SIJTOLZ,X,X,X,O,O,X,O
SIJTOZL,X,X,X,X,O,O,O
SIJLTZO,O,X,O,O,X,O,X
SIJLTOZ,O,X,O,O,X,X,X
SIJLZTO,O,X,O,O,X,O,X
SIJLZOT,O,X,O,O,X,O,X
SIJLOTZ,O,X,O,O,X,X,X
SIJLOZT,O,X,O,O,X,X,X
SIJZTLO,O,X,O,X,X,O,X
SIJZTOL,O,X,O,X,X,O,X
SIJZLTO,O,X,O,X,X,O,X
SIJZLOT,O,X,O,X,X,O,X
SIJZOTL,O,X,O,X,X,O,X
SIJZOLT,O,X,O,X,X,O,X
SIJOTLZ,X,X,X,O,O,X,O
SIJOTZL,X,X,X,X,O,O,O
SIJOLTZ,X,X,O,O,X,X,X
SIJOLZT,X,X,O,O,X,X,X
SIJOZTL,X,X,O,X,X,O,X
SIJOZLT,X,X,O,X,X,O,X
SIZTLJO,O,O,O,X,X,X,X
SIZTLOJ,O,O,O,X,X,X,X
