sequence,v115@JhC8EeA8BeB8EeE8CeA8Kex/IvhFlhBGjB0kB6sB/t?BzrB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBliB5oBysBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBliB5oBesB8s?BXqB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF0hBxiB1sB6tBXl?BWxB,v115@JhC8EeA8BeB8EeE8CeA8KeT/IvhF6mBmiB5oB0nBXl?BVxB
OIJLTSZ,O,O,X,X,X
OIJLTZS,X,O,O,X,X
OIJLSTZ,O,O,X,X,X
OIJLSZT,O,O,O,X,X
OIJLZTS,X,O,O,X,X
OIJLZST,X,O,O,X,X
OIJSTLZ,O,X,X,X,X
OIJSTZL,O,X,X,X,X
OIJSLTZ,O,O,X,X,X
OIJSLZT,O,O,O,X,X
OIJSZTL,O,X,O,X,X
OIJSZLT,X,O,O,X,X
OIJZTLS,X,O,O,O,X
OIJZTSL,X,X,O,X,X
OIJZLTS,X,O,O,X,X
OIJZLST,X,O,O,X,X
OIJZSTL,X,X,O,X,X
OIJZSLT,X,O,O,X,X
OISTLJZ,O,X,X,X,X
OISTLZJ,O,X,X,X,O
OISTJLZ,O,X,X,X,X
OISTJZL,O,X,X,X,X
OISTZLJ,O,X,X,X,O
OISTZJL,O,X,X,X,O
OISLTJZ,O,X,X,X,X
OISLTZJ,O,O,X,X,X
OISLJTZ,O,O,X,X,X
OISLJZT,O,O,O,X,X
OISLZTJ,O,O,X,X,X
OISLZJT,O,X,O,X,X
OISJTLZ,O,X,X,X,X
OISJTZL,O,X,X,X,X
OISJLTZ,O,O,X,X,X
OISJLZT,O,O,O,X,X
OISJZTL,O,X,O,X,X
OISJZLT,O,O,O,X,X
OISZTLJ,O,X,X,X,X
OISZTJL,O,X,X,X,X
OISZLTJ,O,O,X,X,X
OISZLJT,O,X,O,X,X
OISZJTL,O,X,O,X,X
OISZJLT,O,O,O,X,X
OIZTLJS,O,O,O,O,O
OIZTLSJ,O,O,X,O,O
OIZTJLS,X,O,O,X,O
OIZTJSL,O,X,O,X,O
OIZTSLJ,O,X,X,X,O
OIZTSJL,O,X,X,X,O
OIZLTJS,O,O,O,X,X
OIZLTSJ,O,O,X,X,X
OIZLJTS,O,O,O,X,X
OIZLJST,O,O,O,X,X
OIZLSTJ,O,O,X,X,X
OIZLSJT,O,X,O,X,X
OIZJTLS,X,O,O,O,X
OIZJTSL,O,X,O,X,X
OIZJLTS,O,O,O,X,X
OIZJLST,O,O,O,X,X
OIZJSTL,O,X,O,X,X
OIZJSLT,O,O,O,X,X
OIZSTLJ,O,X,X,X,X
OIZSTJL,O,X,X,X,X
OIZSLTJ,O,O,X,X,X
OIZSLJT,O,X,O,X,X
OIZSJTL,O,X,O,X,X
OIZSJLT,O,O,O,X,X
OLTIJSZ,O,O,X,O,X
OLTIJZS,X,O,O,O,O
OLTISJZ,O,X,X,X,X
OLTISZJ,O,O,X,O,O
OLTIZJS,O,O,O,O,O
OLTIZSJ,O,O,X,O,O
OLTJISZ,O,O,X,O,X
OLTJIZS,X,O,O,O,O
OLTJSIZ,O,O,X,O,X
OLTJSZI,O,O,X,O,X
OLTJZIS,O,O,O,O,O
OLTJZSI,O,O,O,O,O
OLTSIJZ,O,X,X,X,X
OLTSIZJ,O,O,X,O,O
OLTSJIZ,O,X,X,O,X
OLTSJZI,O,X,X,O,X
OLTSZIJ,O,O,X,O,O
OLTSZJI,O,X,X,O,O
OLTZIJS,O,O,O,O,O
OLTZISJ,O,O,X,O,O
OLTZJIS,O,O,O,O,O
OLTZJSI,O,X,O,O,O
OLTZSIJ,O,O,X,O,O
OLTZSJI,O,X,X,O,O
OLITJSZ,O,O,X,O,X
OLITJZS,X,O,O,O,O
OLITSJZ,O,X,X,X,X
OLITSZJ,O,O,X,O,O
OLITZJS,O,O,O,O,O
OLITZSJ,O,O,X,O,O
OLIJTSZ,O,O,X,X,X
OLIJTZS,X,O,O,X,X
OLIJSTZ,O,O,X,X,X
OLIJSZT,O,O,O,X,X
OLIJZTS,X,O,O,X,X
OLIJZST,X,O,O,X,X
OLISTJZ,O,X,X,X,X
OLISTZJ,O,O,X,X,X
OLISJTZ,O,O,X,X,X
OLISJZT,O,O,O,X,X
OLISZTJ,O,O,X,X,X
OLISZJT,O,X,O,X,X
OLIZTJS,O,O,O,X,X
OLIZTSJ,O,O,X,X,X
OLIZJTS,O,O,O,X,X
OLIZJST,O,O,O,X,X
OLIZSTJ,O,O,X,X,X
OLIZSJT,O,X,O,X,X
OLJTISZ,O,O,X,O,X
OLJTIZS,X,O,O,O,X
OLJTSIZ,O,O,X,O,X
OLJTSZI,O,O,X,O,X
OLJTZIS,O,O,O,O,X
OLJTZSI,O,O,O,O,X
OLJITSZ,O,O,X,X,X
OLJITZS,X,O,O,X,X
OLJISTZ,O,O,X,X,X
OLJISZT,O,O,O,X,X
OLJIZTS,X,O,O,X,X
OLJIZST,X,O,O,X,X
OLJSTIZ,O,O,X,X,X
OLJSTZI,O,O,X,X,X
OLJSITZ,O,O,X,X,X
OLJSIZT,O,O,O,X,X
OLJSZTI,O,O,O,X,X
OLJSZIT,O,O,O,X,X
OLJZTIS,O,O,O,O,X
OLJZTSI,O,O,O,O,X
OLJZITS,O,O,O,X,X
OLJZIST,O,O,O,X,X
OLJZSTI,O,O,O,X,X
OLJZSIT,O,O,O,X,X
OLSTIJZ,O,X,X,X,X
OLSTIZJ,O,O,X,O,X
OLSTJIZ,O,X,X,O,X
OLSTJZI,O,X,X,O,X
OLSTZIJ,O,O,X,O,X
OLSTZJI,O,X,X,O,X
OLSITJZ,O,X,X,X,X
OLSITZJ,O,O,X,X,X
OLSIJTZ,O,O,X,X,X
OLSIJZT,O,O,O,X,X
OLSIZTJ,O,O,X,X,X
OLSIZJT,O,X,O,X,X
OLSJTIZ,O,O,X,X,X
OLSJTZI,O,O,X,X,X
OLSJITZ,O,O,X,X,X
OLSJIZT,O,O,O,X,X
OLSJZTI,O,O,O,X,X
OLSJZIT,O,O,O,X,X
OLSZTIJ,O,O,X,X,X
OLSZTJI,O,X,X,X,X
OLSZITJ,O,O,X,X,X
OLSZIJT,O,X,O,X,X
OLSZJTI,O,X,O,X,X
OLSZJIT,O,X,O,X,X
OLZTIJS,O,O,O,O,X
OLZTISJ,O,O,X,O,X
OLZTJIS,O,O,O,O,X
OLZTJSI,O,X,O,O,X
OLZTSIJ,O,O,X,O,X
OLZTSJI,O,X,X,O,X
OLZITJS,O,O,O,X,X
OLZITSJ,O,O,X,X,X
OLZIJTS,O,O,O,X,X
OLZIJST,O,O,O,X,X
OLZISTJ,O,O,X,X,X
OLZISJT,O,X,O,X,X
OLZJTIS,O,O,O,O,X
OLZJTSI,O,O,O,O,X
OLZJITS,O,O,O,X,X
OLZJIST,O,O,O,X,X
OLZJSTI,O,O,O,X,X
OLZJSIT,O,O,O,X,X
OLZSTIJ,O,O,X,X,X
OLZSTJI,O,X,X,X,X
OLZSITJ,O,O,X,X,X
OLZSIJT,O,X,O,X,X
OLZSJTI,O,X,O,X,X
OLZSJIT,O,X,O,X,X
OJTILSZ,X,O,X,O,X
OJTILZS,X,O,O,O,O
OJTISLZ,O,X,X,X,X
OJTISZL,O,X,X,X,X
OJTIZLS,X,O,O,O,O
OJTIZSL,X,X,O,X,O
OJTLISZ,X,O,X,O,X
OJTLIZS,X,O,O,O,O
OJTLSIZ,X,O,X,O,X
OJTLSZI,X,O,X,O,X
OJTLZIS,X,O,O,O,O
OJTLZSI,X,O,O,O,O
OJTSILZ,O,X,X,X,X
OJTSIZL,O,X,X,X,X
OJTSLIZ,O,X,X,O,X
OJTSLZI,O,X,X,O,X
OJTSZIL,O,X,X,X,X
OJTSZLI,O,X,X,O,X
OJTZILS,X,O,O,O,O
OJTZISL,O,X,O,X,O
OJTZLIS,X,O,O,O,O
OJTZLSI,X,O,O,O,O
OJTZSIL,O,X,O,X,O
OJTZSLI,O,X,O,O,O
OJITLSZ,X,O,X,O,X
OJITLZS,X,O,O,O,O
OJITSLZ,O,X,X,X,X
OJITSZL,O,X,X,X,X
OJITZLS,X,O,O,O,O
OJITZSL,X,X,O,X,O
OJILTSZ,O,O,X,X,X
OJILTZS,X,O,O,X,X
OJILSTZ,O,O,X,X,X
OJILSZT,O,O,O,X,X
OJILZTS,X,O,O,X,X
OJILZST,X,O,O,X,X
OJISTLZ,O,X,X,X,X
OJISTZL,O,X,X,X,X
OJISLTZ,O,O,X,X,X
OJISLZT,O,O,O,X,X
OJISZTL,O,X,O,X,X
OJISZLT,X,O,O,X,X
OJIZTLS,X,O,O,O,X
OJIZTSL,X,X,O,X,X
OJIZLTS,X,O,O,X,X
OJIZLST,X,O,O,X,X
OJIZSTL,X,X,O,X,X
OJIZSLT,X,O,O,X,X
OJLTISZ,O,O,X,O,X
OJLTIZS,X,O,O,O,X
OJLTSIZ,O,O,X,O,X
OJLTSZI,O,O,X,O,X
OJLTZIS,O,O,O,O,X
OJLTZSI,O,O,O,O,X
OJLITSZ,O,O,X,X,X
OJLITZS,X,O,O,X,X
OJLISTZ,O,O,X,X,X
OJLISZT,O,O,O,X,X
OJLIZTS,X,O,O,X,X
OJLIZST,X,O,O,X,X
OJLSTIZ,O,O,X,X,X
OJLSTZI,O,O,X,X,X
OJLSITZ,O,O,X,X,X
OJLSIZT,O,O,O,X,X
OJLSZTI,O,O,O,X,X
OJLSZIT,O,O,O,X,X
OJLZTIS,O,O,O,O,X
OJLZTSI,O,O,O,O,X
OJLZITS,O,O,O,X,X
OJLZIST,O,O,O,X,X
OJLZSTI,O,O,O,X,X
OJLZSIT,O,O,O,X,X
OJSTILZ,O,X,X,X,X
OJSTIZL,O,X,X,X,X
OJSTLIZ,O,X,X,O,X
OJSTLZI,O,X,X,O,X
OJSTZIL,O,X,X,X,X
OJSTZLI,O,X,X,O,X
OJSITLZ,O,X,X,X,X
OJSITZL,O,X,X,X,X
OJSILTZ,O,O,X,X,X
OJSILZT,O,O,O,X,X
OJSIZTL,O,X,O,X,X
OJSIZLT,O,O,O,X,X
OJSLTIZ,O,O,X,X,X
OJSLTZI,O,O,X,X,X
OJSLITZ,O,O,X,X,X
OJSLIZT,O,O,O,X,X
OJSLZTI,O,O,O,X,X
OJSLZIT,O,O,O,X,X
OJSZTIL,O,X,O,X,X
OJSZTLI,O,X,O,O,X
OJSZITL,O,X,O,X,X
OJSZILT,O,O,O,X,X
OJSZLTI,O,O,O,X,X
OJSZLIT,O,O,O,X,X
OJZTILS,X,O,O,O,X
OJZTISL,O,X,O,X,X
OJZTLIS,X,O,O,O,X
OJZTLSI,X,O,O,O,X
OJZTSIL,O,X,O,X,X
OJZTSLI,O,X,O,O,X
OJZITLS,X,O,O,O,X
OJZITSL,O,X,O,X,X
OJZILTS,O,O,O,X,X
OJZILST,O,O,O,X,X
OJZISTL,O,X,O,X,X
OJZISLT,O,O,O,X,X
OJZLTIS,O,O,O,O,X
OJZLTSI,O,O,O,O,X
OJZLITS,O,O,O,X,X
OJZLIST,O,O,O,X,X
OJZLSTI,O,O,O,X,X
OJZLSIT,O,O,O,X,X
OJZSTIL,O,X,O,X,X
OJZSTLI,O,X,O,O,X
OJZSITL,O,X,O,X,X
OJZSILT,O,O,O,X,X
OJZSLTI,O,O,O,X,X
OJZSLIT,O,O,O,X,X
OSTILJZ,O,X,X,X,X
OSTILZJ,O,X,X,X,O
OSTIJLZ,O,X,X,X,X
OSTIJZL,O,X,X,X,X
OSTIZLJ,O,X,X,X,O
OSTIZJL,O,X,X,X,O
OSTLIJZ,O,X,X,X,X
OSTLIZJ,O,X,X,O,O
OSTLJIZ,O,X,X,O,X
OSTLJZI,O,X,X,O,X
OSTLZIJ,O,X,X,O,O
OSTLZJI,O,X,X,O,O
OSTJILZ,O,X,X,X,X
OSTJIZL,O,X,X,X,X
OSTJLIZ,O,X,X,O,X
OSTJLZI,O,X,X,O,X
OSTJZIL,O,X,X,X,X
OSTJZLI,O,X,X,O,X
OSTZILJ,O,X,X,X,O
OSTZIJL,O,X,X,X,O
OSTZLIJ,O,X,X,O,O
OSTZLJI,O,X,X,O,O
OSTZJIL,O,X,X,X,O
OSTZJLI,O,X,X,X,O
OSITLJZ,O,X,X,X,X
OSITLZJ,O,X,X,X,O
OSITJLZ,O,X,X,X,X
OSITJZL,O,X,X,X,X
OSITZLJ,O,X,X,X,O
OSITZJL,O,X,X,X,O
OSILTJZ,O,X,X,X,X
OSILTZJ,O,O,X,X,X
OSILJTZ,O,O,X,X,X
OSILJZT,O,O,O,X,X
OSILZTJ,O,O,X,X,X
OSILZJT,O,X,O,X,X
OSIJTLZ,O,X,X,X,X
OSIJTZL,O,X,X,X,X
OSIJLTZ,O,O,X,X,X
OSIJLZT,O,O,O,X,X
OSIJZTL,O,X,O,X,X
OSIJZLT,O,O,O,X,X
OSIZTLJ,O,X,X,X,X
OSIZTJL,O,X,X,X,X
OSIZLTJ,O,O,X,X,X
OSIZLJT,O,X,O,X,X
OSIZJTL,O,X,O,X,X
OSIZJLT,O,O,O,X,X
OSLTIJZ,O,X,X,X,X
OSLTIZJ,O,O,X,O,X
OSLTJIZ,O,X,X,O,X
OSLTJZI,O,X,X,O,X
OSLTZIJ,O,O,X,O,X
OSLTZJI,O,X,X,O,X
OSLITJZ,O,X,X,X,X
OSLITZJ,O,O,X,X,X
OSLIJTZ,O,O,X,X,X
OSLIJZT,O,O,O,X,X
OSLIZTJ,O,O,X,X,X
OSLIZJT,O,X,O,X,X
OSLJTIZ,O,O,X,X,X
OSLJTZI,O,O,X,X,X
OSLJITZ,O,O,X,X,X
OSLJIZT,O,O,O,X,X
OSLJZTI,O,O,O,X,X
OSLJZIT,O,O,O,X,X
OSLZTIJ,O,O,X,X,X
OSLZTJI,O,X,X,X,X
OSLZITJ,O,O,X,X,X
OSLZIJT,O,X,O,X,X
OSLZJTI,O,X,O,X,X
OSLZJIT,O,X,O,X,X
OSJTILZ,O,X,X,X,X
OSJTIZL,O,X,X,X,X
OSJTLIZ,O,X,X,O,X
OSJTLZI,O,X,X,O,X
OSJTZIL,O,X,X,X,X
OSJTZLI,O,X,X,O,X
OSJITLZ,O,X,X,X,X
OSJITZL,O,X,X,X,X
OSJILTZ,O,O,X,X,X
OSJILZT,O,O,O,X,X
OSJIZTL,O,X,O,X,X
OSJIZLT,O,O,O,X,X
OSJLTIZ,O,O,X,X,X
OSJLTZI,O,O,X,X,X
OSJLITZ,O,O,X,X,X
OSJLIZT,O,O,O,X,X
OSJLZTI,O,O,O,X,X
OSJLZIT,O,O,O,X,X
OSJZTIL,O,X,O,X,X
OSJZTLI,O,X,O,O,X
OSJZITL,O,X,O,X,X
OSJZILT,O,O,O,X,X
OSJZLTI,O,O,O,X,X
OSJZLIT,O,O,O,X,X
OSZTILJ,O,X,X,X,X
OSZTIJL,O,X,X,X,X
OSZTLIJ,O,X,X,O,X
OSZTLJI,O,X,X,O,X
OSZTJIL,O,X,X,X,X
OSZTJLI,O,X,X,X,X
OSZITLJ,O,X,X,X,X
OSZITJL,O,X,X,X,X
OSZILTJ,O,O,X,X,X
OSZILJT,O,X,O,X,X
OSZIJTL,O,X,O,X,X
OSZIJLT,O,O,O,X,X
OSZLTIJ,O,O,X,X,X
OSZLTJI,O,X,X,X,X
OSZLITJ,O,O,X,X,X
OSZLIJT,O,X,O,X,X
OSZLJTI,O,X,O,X,X
OSZLJIT,O,X,O,X,X
OSZJTIL,O,X,O,X,X
OSZJTLI,O,X,O,O,X
OSZJITL,O,X,O,X,X
OSZJILT,O,O,O,X,X
OSZJLTI,O,O,O,X,X
OSZJLIT,O,O,O,X,X
OZTILJS,O,O,O,O,O
OZTILSJ,O,O,X,O,O
OZTIJLS,X,O,O,X,O
OZTIJSL,O,X,O,X,O
OZTISLJ,O,X,X,X,O
OZTISJL,O,X,X,X,O
OZTLIJS,O,O,O,O,O
OZTLISJ,O,O,X,O,O
OZTLJIS,O,O,O,O,O
OZTLJSI,O,X,O,O,O
OZTLSIJ,O,O,X,O,O
OZTLSJI,O,X,X,O,O
OZTJILS,X,O,O,O,O
OZTJISL,O,X,O,X,O
OZTJLIS,X,O,O,O,O
OZTJLSI,X,O,O,O,O
OZTJSIL,O,X,O,X,O
OZTJSLI,O,X,O,O,O
OZTSILJ,O,X,X,X,O
OZTSIJL,O,X,X,X,O
OZTSLIJ,O,X,X,O,O
OZTSLJI,O,X,X,O,O
OZTSJIL,O,X,X,X,O
OZTSJLI,O,X,X,X,O
OZITLJS,O,O,O,O,O
OZITLSJ,O,O,X,O,O
OZITJLS,X,O,O,X,O
OZITJSL,O,X,O,X,O
OZITSLJ,O,X,X,X,O
OZITSJL,O,X,X,X,O
OZILTJS,O,O,O,X,X
OZILTSJ,O,O,X,X,X
OZILJTS,O,O,O,X,X
OZILJST,O,O,O,X,X
OZILSTJ,O,O,X,X,X
OZILSJT,O,X,O,X,X
OZIJTLS,X,O,O,O,X
OZIJTSL,O,X,O,X,X
OZIJLTS,O,O,O,X,X
OZIJLST,O,O,O,X,X
OZIJSTL,O,X,O,X,X
OZIJSLT,O,O,O,X,X
OZISTLJ,O,X,X,X,X
OZISTJL,O,X,X,X,X
OZISLTJ,O,O,X,X,X
OZISLJT,O,X,O,X,X
OZISJTL,O,X,O,X,X
OZISJLT,O,O,O,X,X
OZLTIJS,O,O,O,O,X
OZLTISJ,O,O,X,O,X
OZLTJIS,O,O,O,O,X
OZLTJSI,O,X,O,O,X
OZLTSIJ,O,O,X,O,X
OZLTSJI,O,X,X,O,X
OZLITJS,O,O,O,X,X
OZLITSJ,O,O,X,X,X
OZLIJTS,O,O,O,X,X
OZLIJST,O,O,O,X,X
OZLISTJ,O,O,X,X,X
OZLISJT,O,X,O,X,X
OZLJTIS,O,O,O,O,X
OZLJTSI,O,O,O,O,X
OZLJITS,O,O,O,X,X
OZLJIST,O,O,O,X,X
OZLJSTI,O,O,O,X,X
OZLJSIT,O,O,O,X,X
OZLSTIJ,O,O,X,X,X
OZLSTJI,O,X,X,X,X
OZLSITJ,O,O,X,X,X
OZLSIJT,O,X,O,X,X
OZLSJTI,O,X,O,X,X
OZLSJIT,O,X,O,X,X
OZJTILS,X,O,O,O,X
OZJTISL,O,X,O,X,X
OZJTLIS,X,O,O,O,X
OZJTLSI,X,O,O,O,X
OZJTSIL,O,X,O,X,X
OZJTSLI,O,X,O,O,X
OZJITLS,X,O,O,O,X
OZJITSL,O,X,O,X,X
OZJILTS,O,O,O,X,X
OZJILST,O,O,O,X,X
OZJISTL,O,X,O,X,X
OZJISLT,O,O,O,X,X
OZJLTIS,O,O,O,O,X
OZJLTSI,O,O,O,O,X
OZJLITS,O,O,O,X,X
OZJLIST,O,O,O,X,X
OZJLSTI,O,O,O,X,X
OZJLSIT,O,O,O,X,X
OZJSTIL,O,X,O,X,X
OZJSTLI,O,X,O,O,X
OZJSITL,O,X,O,X,X
OZJSILT,O,O,O,X,X
OZJSLTI,O,O,O,X,X
OZJSLIT,O,O,O,X,X
OZSTILJ,O,X,X,X,X
OZSTIJL,O,X,X,X,X
OZSTLIJ,O,X,X,O,X
OZSTLJI,O,X,X,O,X
OZSTJIL,O,X,X,X,X
OZSTJLI,O,X,X,X,X
OZSITLJ,O,X,X,X,X
OZSITJL,O,X,X,X,X
OZSILTJ,O,O,X,X,X
OZSILJT,O,X,O,X,X
OZSIJTL,O,X,O,X,X
OZSIJLT,O,O,O,X,X
OZSLTIJ,O,O,X,X,X
OZSLTJI,O,X,X,X,X
OZSLITJ,O,O,X,X,X
OZSLIJT,O,X,O,X,X
OZSLJTI,O,X,O,X,X
OZSLJIT,O,X,O,X,X
OZSJTIL,O,X,O,X,X
OZSJTLI,O,X,O,O,X
OZSJITL,O,X,O,X,X
OZSJILT,O,O,O,X,X
OZSJLTI,O,O,O,X,X
OZSJLIT,O,O,O,X,X
