sequence,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqB3rBUsB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8KeT/IvhFlgB5oB?imBGqBUsB3rB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBKmB?zhB5oB0qBVxB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFzgBumB?5oBKsBUlBVwB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgB5oB?TmBKsB0qBlrB,v115@EhB8CeA8DeB8AeA8FeB8AeC8EeA8Ke/EJvhFGgBymB?5oBlqBUsBTrB
LZSOIJT,X,O,X,X,O,X
LZSOJTI,X,O,X,X,O,X
LZSOJIT,X,O,X,X,O,X
LZOTIJS,X,O,X,X,X,X
LZOTISJ,X,X,X,X,O,X
LZOTJIS,X,O,X,X,X,X
LZOTJSI,X,O,X,X,X,X
LZOTSIJ,X,X,X,X,O,X
LZOTSJI,X,X,X,X,O,X
LZOITJS,X,O,X,X,X,X
LZOITSJ,X,X,X,X,O,X
LZOIJTS,X,O,X,X,X,X
LZOIJST,X,O,X,X,O,X
LZOISTJ,X,X,X,X,O,X
LZOISJT,X,O,X,X,O,X
LZOJTIS,X,O,X,X,X,X
LZOJTSI,X,O,X,X,X,X
LZOJITS,X,O,X,X,X,X
LZOJIST,X,O,X,X,O,X
LZOJSTI,X,O,X,X,O,X
LZOJSIT,X,O,X,X,O,X
LZOSTIJ,X,X,X,X,O,X
LZOSTJI,X,X,X,X,O,X
LZOSITJ,X,X,X,X,O,X
LZOSIJT,X,O,X,X,O,X
LZOSJTI,X,O,X,X,O,X
LZOSJIT,X,O,X,X,O,X
LOTIJSZ,O,X,X,O,X,X
LOTIJZS,X,O,X,O,X,X
LOTISJZ,X,X,X,O,X,X
LOTISZJ,X,X,X,O,X,X
LOTIZJS,X,X,X,O,X,X
LOTIZSJ,X,X,X,O,X,X
LOTJISZ,O,X,X,O,X,X
LOTJIZS,X,O,X,O,X,X
LOTJSIZ,O,X,X,O,X,X
LOTJSZI,O,X,X,O,X,X
LOTJZIS,X,O,X,O,X,X
LOTJZSI,X,O,X,O,X,X
LOTSIJZ,X,X,X,O,X,X
LOTSIZJ,X,X,X,O,X,X
LOTSJIZ,X,X,X,O,X,X
LOTSJZI,X,X,X,O,X,X
LOTSZIJ,X,X,X,O,X,X
LOTSZJI,X,X,X,O,X,X
LOTZIJS,X,X,X,O,X,X
LOTZISJ,X,X,X,O,X,X
LOTZJIS,X,X,X,O,X,X
LOTZJSI,X,X,X,O,X,X
LOTZSIJ,X,X,X,O,X,X
LOTZSJI,X,X,X,O,X,X
LOITJSZ,O,X,X,O,X,X
LOITJZS,X,O,X,O,X,X
LOITSJZ,X,X,X,O,X,X
LOITSZJ,X,X,X,O,X,X
LOITZJS,X,X,X,O,X,X
LOITZSJ,X,X,X,O,X,X
LOIJTSZ,O,X,X,X,X,X
LOIJTZS,X,O,X,X,X,X
LOIJSTZ,O,X,X,X,X,X
LOIJSZT,O,X,X,X,X,X
LOIJZTS,X,O,X,X,X,X
LOIJZST,X,O,X,X,X,X
LOISTJZ,O,X,X,O,X,X
LOISTZJ,X,X,X,O,X,X
LOISJTZ,O,X,X,X,X,X
LOISJZT,O,X,X,X,O,X
LOISZTJ,X,X,X,X,O,X
LOISZJT,O,X,X,X,O,X
LOIZTJS,X,O,X,X,X,X
LOIZTSJ,X,X,X,X,O,X
LOIZJTS,X,O,X,X,X,X
LOIZJST,X,O,X,X,O,X
LOIZSTJ,X,X,X,X,O,X
LOIZSJT,X,O,X,X,O,X
LOJTISZ,O,X,X,X,X,X
LOJTIZS,X,O,X,X,X,X
LOJTSIZ,O,X,X,X,X,X
LOJTSZI,O,X,X,X,X,X
LOJTZIS,X,O,X,X,X,X
LOJTZSI,X,O,X,X,X,X
LOJITSZ,O,X,X,X,X,X
LOJITZS,X,O,X,X,X,X
LOJISTZ,O,X,X,X,X,X
LOJISZT,O,X,X,X,X,X
LOJIZTS,X,O,X,X,X,X
LOJIZST,X,O,X,X,X,X
LOJSTIZ,O,X,X,X,X,X
LOJSTZI,O,X,X,X,X,X
LOJSITZ,O,X,X,X,X,X
LOJSIZT,O,X,X,X,X,X
LOJSZTI,O,X,X,X,X,X
LOJSZIT,O,X,X,X,X,X
LOJZTIS,X,O,X,X,X,X
LOJZTSI,X,O,X,X,X,X
LOJZITS,X,O,X,X,X,X
LOJZIST,X,O,X,X,X,X
LOJZSTI,X,O,X,X,X,X
LOJZSIT,X,O,X,X,X,X
LOSTIJZ,O,X,X,O,X,X
LOSTIZJ,X,X,X,O,X,X
LOSTJIZ,O,X,X,O,X,X
LOSTJZI,O,X,X,O,X,X
LOSTZIJ,X,X,X,O,X,X
LOSTZJI,X,X,X,O,X,X
LOSITJZ,O,X,X,O,X,X
LOSITZJ,X,X,X,O,X,X
LOSIJTZ,O,X,X,X,X,X
LOSIJZT,O,X,X,X,O,X
LOSIZTJ,X,X,X,X,O,X
LOSIZJT,O,X,X,X,O,X
LOSJTIZ,O,X,X,X,X,X
LOSJTZI,O,X,X,X,X,X
LOSJITZ,O,X,X,X,X,X
LOSJIZT,O,X,X,X,O,X
LOSJZTI,O,X,X,X,O,X
LOSJZIT,O,X,X,X,O,X
LOSZTIJ,X,X,X,X,O,X
LOSZTJI,X,X,X,X,O,X
LOSZITJ,X,X,X,X,O,X
LOSZIJT,O,X,X,X,O,X
LOSZJTI,O,X,X,X,O,X
LOSZJIT,O,X,X,X,O,X
LOZTIJS,X,O,X,X,X,X
LOZTISJ,X,X,X,X,O,X
LOZTJIS,X,O,X,X,X,X
LOZTJSI,X,O,X,X,X,X
LOZTSIJ,X,X,X,X,O,X
LOZTSJI,X,X,X,X,O,X
LOZITJS,X,O,X,X,X,X
LOZITSJ,X,X,X,X,O,X
LOZIJTS,X,O,X,X,X,X
LOZIJST,X,O,X,X,O,X
LOZISTJ,X,X,X,X,O,X
LOZISJT,X,O,X,X,O,X
LOZJTIS,X,O,X,X,X,X
LOZJTSI,X,O,X,X,X,X
LOZJITS,X,O,X,X,X,X
LOZJIST,X,O,X,X,O,X
LOZJSTI,X,O,X,X,O,X
LOZJSIT,X,O,X,X,O,X
LOZSTIJ,X,X,X,X,O,X
LOZSTJI,X,X,X,X,O,X
LOZSITJ,X,X,X,X,O,X
LOZSIJT,X,O,X,X,O,X
LOZSJTI,X,O,X,X,O,X
LOZSJIT,X,O,X,X,O,X
JTILSZO,O,X,O,O,X,X
JTILSOZ,O,X,O,O,X,X
JTILZSO,X,O,X,O,X,X
JTILZOS,X,O,X,O,X,X
JTILOSZ,O,X,O,O,X,X
JTILOZS,X,O,X,O,X,X
JTISLZO,O,X,O,O,X,O
JTISLOZ,O,X,O,O,X,X
JTISZLO,O,O,O,X,X,O
JTISZOL,O,O,O,X,X,O
JTISOLZ,O,X,O,O,X,X
JTISOZL,O,O,O,X,X,O
JTIZLSO,X,O,O,X,X,O
JTIZLOS,X,O,O,X,X,X
JTIZSLO,O,O,O,X,X,O
JTIZSOL,O,O,O,X,X,O
JTIZOLS,X,O,O,X,X,X
JTIZOSL,O,O,O,X,X,X
JTIOLSZ,O,X,O,O,X,X
JTIOLZS,X,O,X,O,X,X
JTIOSLZ,O,X,O,O,X,X
JTIOSZL,O,O,O,X,X,X
JTIOZLS,X,O,O,X,X,X
JTIOZSL,O,O,O,X,X,X
JTLISZO,O,X,O,O,X,X
JTLISOZ,O,X,O,O,X,X
JTLIZSO,X,O,X,O,X,X
JTLIZOS,X,O,X,O,X,X
JTLIOSZ,O,X,O,O,X,X
JTLIOZS,X,O,X,O,X,X
JTLSIZO,O,X,O,O,X,X
JTLSIOZ,O,X,O,O,X,X
JTLSZIO,O,X,O,O,X,X
JTLSZOI,O,X,O,O,X,X
JTLSOIZ,O,X,O,O,X,X
JTLSOZI,O,X,O,O,X,X
JTLZISO,X,O,X,O,X,X
JTLZIOS,X,O,X,O,X,X
JTLZSIO,X,O,X,O,X,X
JTLZSOI,X,O,X,O,X,X
JTLZOIS,X,O,X,O,X,X
JTLZOSI,X,O,X,O,X,X
JTLOISZ,O,X,O,O,X,X
JTLOIZS,X,O,X,O,X,X
JTLOSIZ,O,X,O,O,X,X
JTLOSZI,O,X,O,O,X,X
JTLOZIS,X,O,X,O,X,X
JTLOZSI,X,O,X,O,X,X
JTSILZO,O,X,O,O,X,O
JTSILOZ,O,X,O,O,X,X
JTSIZLO,O,O,O,X,X,O
JTSIZOL,O,O,O,X,X,O
JTSIOLZ,O,X,O,O,X,X
JTSIOZL,O,O,O,X,X,O
JTSLIZO,O,X,O,O,X,O
JTSLIOZ,O,X,O,O,X,X
JTSLZIO,O,X,O,O,X,O
JTSLZOI,O,X,O,O,X,O
JTSLOIZ,O,X,O,O,X,X
JTSLOZI,O,X,O,O,X,X
JTSZILO,O,O,O,X,X,O
JTSZIOL,O,O,O,X,X,O
JTSZLIO,O,O,O,X,X,O
JTSZLOI,O,O,O,X,X,O
JTSZOIL,O,O,O,X,X,O
JTSZOLI,O,O,O,X,X,O
JTSOILZ,O,X,O,O,X,X
JTSOIZL,O,O,O,X,X,O
JTSOLIZ,O,X,O,O,X,X
JTSOLZI,O,X,O,O,X,X
JTSOZIL,O,O,O,X,X,O
JTSOZLI,O,O,O,X,X,O
JTZILSO,X,O,O,X,X,O
JTZILOS,X,O,O,X,X,X
JTZISLO,O,O,O,X,X,O
JTZISOL,O,O,O,X,X,O
JTZIOLS,X,O,O,X,X,X
JTZIOSL,O,O,O,X,X,X
JTZLISO,X,O,O,X,X,O
JTZLIOS,X,O,O,X,X,X
JTZLSIO,X,O,O,X,X,O
JTZLSOI,X,O,O,X,X,O
JTZLOIS,X,O,O,X,X,X
JTZLOSI,X,O,O,X,X,X
JTZSILO,O,O,O,X,X,O
JTZSIOL,O,O,O,X,X,O
JTZSLIO,O,O,O,X,X,O
JTZSLOI,O,O,O,X,X,O
JTZSOIL,O,O,O,X,X,O
JTZSOLI,O,O,O,X,X,O
JTZOILS,X,O,O,X,X,X
JTZOISL,O,O,O,X,X,X
JTZOLIS,X,O,O,X,X,X
JTZOLSI,X,O,O,X,X,X
JTZOSIL,O,O,O,X,X,X
JTZOSLI,O,O,O,X,X,X
JTOILSZ,O,X,O,O,X,X
JTOILZS,X,O,X,O,X,X
JTOISLZ,O,X,O,O,X,X
JTOISZL,O,O,O,X,X,X
JTOIZLS,X,O,O,X,X,X
JTOIZSL,O,O,O,X,X,X
JTOLISZ,O,X,O,O,X,X
JTOLIZS,X,O,X,O,X,X
JTOLSIZ,O,X,O,O,X,X
JTOLSZI,O,X,O,O,X,X
JTOLZIS,X,O,X,O,X,X
JTOLZSI,X,O,X,O,X,X
JTOSILZ,O,X,O,O,X,X
JTOSIZL,O,O,O,X,X,X
JTOSLIZ,O,X,O,O,X,X
JTOSLZI,O,X,O,O,X,X
JTOSZIL,O,O,O,X,X,X
JTOSZLI,O,O,O,X,X,X
JTOZILS,X,O,O,X,X,X
JTOZISL,O,O,O,X,X,X
JTOZLIS,X,O,O,X,X,X
JTOZLSI,X,O,O,X,X,X
JTOZSIL,O,O,O,X,X,X
JTOZSLI,O,O,O,X,X,X
JITLSZO,O,X,O,O,X,X
JITLSOZ,O,X,O,O,X,X
JITLZSO,X,O,X,O,X,X
JITLZOS,X,O,X,O,X,X
JITLOSZ,O,X,O,O,X,X
JITLOZS,X,O,X,O,X,X
JITSLZO,O,X,O,O,X,O
JITSLOZ,O,X,O,O,X,X
JITSZLO,O,O,O,X,X,O
JITSZOL,O,O,O,X,X,O
JITSOLZ,O,X,O,O,X,X
JITSOZL,O,O,O,X,X,O
JITZLSO,X,O,O,X,X,O
JITZLOS,X,O,O,X,X,X
JITZSLO,O,O,O,X,X,O
JITZSOL,O,O,O,X,X,O
JITZOLS,X,O,O,X,X,X
JITZOSL,O,O,O,X,X,X
JITOLSZ,O,X,O,O,X,X
JITOLZS,X,O,X,O,X,X
JITOSLZ,O,X,O,O,X,X
JITOSZL,O,O,O,X,X,X
JITOZLS,X,O,O,X,X,X
JITOZSL,O,O,O,X,X,X
JILTSZO,O,X,X,O,X,X
JILTSOZ,O,X,X,O,X,X
JILTZSO,X,O,X,O,X,X
JILTZOS,X,O,X,O,X,X
JILTOSZ,O,X,X,O,X,X
JILTOZS,X,O,X,O,X,X
JILSTZO,O,X,X,O,O,X
JILSTOZ,O,X,X,O,X,X
JILSZTO,O,X,X,X,O,X
JILSZOT,O,X,X,X,O,X
JILSOTZ,O,X,X,X,X,X
JILSOZT,O,X,X,X,O,X
JILZTSO,X,O,X,X,X,X
JILZTOS,X,O,X,X,X,X
JILZSTO,X,O,X,X,O,X
JILZSOT,X,O,X,X,O,X
JILZOTS,X,O,X,X,X,X
JILZOST,X,O,X,X,O,X
JILOTSZ,O,X,X,X,X,X
JILOTZS,X,O,X,X,X,X
JILOSTZ,O,X,X,X,X,X
JILOSZT,O,X,X,X,X,X
JILOZTS,X,O,X,X,X,X
JILOZST,X,O,X,X,X,X
JISTLZO,O,X,O,O,O,O
JISTLOZ,O,X,O,O,X,X
JISTZLO,O,O,O,X,O,O
JISTZOL,O,O,O,X,X,O
JISTOLZ,O,X,O,O,X,X
JISTOZL,O,O,O,X,X,O
JISLTZO,O,X,O,O,O,O
JISLTOZ,O,X,O,O,X,X
JISLZTO,O,X,X,X,O,X
JISLZOT,O,X,X,X,O,X
JISLOTZ,O,X,X,X,X,X
JISLOZT,O,X,X,X,O,X
JISZTLO,O,O,O,X,O,O
JISZTOL,O,O,O,X,X,O
JISZLTO,O,O,X,X,O,X
JISZLOT,O,O,X,X,O,X
JISZOTL,O,O,X,X,X,X
JISZOLT,O,O,X,X,O,X
JISOTLZ,O,X,O,X,X,X
JISOTZL,O,O,O,X,X,O
JISOLTZ,O,X,X,X,X,X
JISOLZT,O,X,X,X,O,X
JISOZTL,O,O,X,X,X,X
JISOZLT,O,O,X,X,O,X
JIZTLSO,X,O,X,X,X,O
JIZTLOS,X,O,X,X,X,X
JIZTSLO,O,O,X,X,X,O
JIZTSOL,O,O,X,X,X,O
JIZTOLS,X,O,X,X,X,X
JIZTOSL,O,O,X,X,X,X
JIZLTSO,X,O,X,X,X,X
JIZLTOS,X,O,X,X,X,X
JIZLSTO,X,O,X,X,O,X
JIZLSOT,X,O,X,X,O,X
JIZLOTS,X,O,X,X,X,X
JIZLOST,X,O,X,X,O,X
JIZSTLO,O,O,X,X,O,O
JIZSTOL,O,O,X,X,X,O
JIZSLTO,O,O,X,X,O,X
JIZSLOT,O,O,X,X,O,X
JIZSOTL,O,O,X,X,X,X
JIZSOLT,O,O,X,X,O,X
JIZOTLS,X,O,X,X,X,X
JIZOTSL,O,O,X,X,X,X
JIZOLTS,X,O,X,X,X,X
JIZOLST,X,O,X,X,X,X
JIZOSTL,O,O,X,X,X,X
JIZOSLT,O,O,X,X,X,X
JIOTLSZ,O,X,X,X,X,X
JIOTLZS,X,O,X,X,X,X
JIOTSLZ,O,X,X,X,X,X
JIOTSZL,O,O,X,X,X,X
JIOTZLS,X,O,X,X,X,X
JIOTZSL,O,O,X,X,X,X
JIOLTSZ,O,X,X,X,X,X
JIOLTZS,X,O,X,X,X,X
JIOLSTZ,O,X,X,X,X,X
JIOLSZT,O,X,X,X,X,X
JIOLZTS,X,O,X,X,X,X
JIOLZST,X,O,X,X,X,X
JIOSTLZ,O,X,X,X,X,X
JIOSTZL,O,O,X,X,X,X
JIOSLTZ,O,X,X,X,X,X
JIOSLZT,O,X,X,X,X,X
JIOSZTL,O,O,X,X,X,X
JIOSZLT,O,O,X,X,X,X
JIOZTLS,X,O,X,X,X,X
JIOZTSL,O,O,X,X,X,X
JIOZLTS,X,O,X,X,X,X
JIOZLST,X,O,X,X,X,X
JIOZSTL,O,O,X,X,X,X
JIOZSLT,O,O,X,X,X,X
JLTISZO,O,X,X,O,X,X
JLTISOZ,O,X,X,O,X,X
JLTIZSO,X,O,X,O,X,X
JLTIZOS,X,O,X,O,X,X
JLTIOSZ,O,X,X,O,X,X
JLTIOZS,X,O,X,O,X,X
JLTSIZO,O,X,X,O,X,X
JLTSIOZ,O,X,X,O,X,X
JLTSZIO,O,X,X,O,X,X
JLTSZOI,O,X,X,O,X,X
JLTSOIZ,O,X,X,O,X,X
JLTSOZI,O,X,X,O,X,X
JLTZISO,X,O,X,O,X,X
JLTZIOS,X,O,X,O,X,X
JLTZSIO,X,O,X,O,X,X
JLTZSOI,X,O,X,O,X,X
JLTZOIS,X,O,X,O,X,X
JLTZOSI,X,O,X,O,X,X
JLTOISZ,O,X,X,O,X,X
JLTOIZS,X,O,X,O,X,X
JLTOSIZ,O,X,X,O,X,X
JLTOSZI,O,X,X,O,X,X
JLTOZIS,X,O,X,O,X,X
JLTOZSI,X,O,X,O,X,X
JLITSZO,O,X,X,O,X,X
JLITSOZ,O,X,X,O,X,X
JLITZSO,X,O,X,O,X,X
JLITZOS,X,O,X,O,X,X
JLITOSZ,O,X,X,O,X,X
JLITOZS,X,O,X,O,X,X
JLISTZO,O,X,X,O,O,X
JLISTOZ,O,X,X,O,X,X
JLISZTO,O,X,X,X,O,X
JLISZOT,O,X,X,X,O,X
JLISOTZ,O,X,X,X,X,X
JLISOZT,O,X,X,X,O,X
JLIZTSO,X,O,X,X,X,X
JLIZTOS,X,O,X,X,X,X
JLIZSTO,X,O,X,X,O,X
JLIZSOT,X,O,X,X,O,X
JLIZOTS,X,O,X,X,X,X
JLIZOST,X,O,X,X,O,X
JLIOTSZ,O,X,X,X,X,X
JLIOTZS,X,O,X,X,X,X
JLIOSTZ,O,X,X,X,X,X
JLIOSZT,O,X,X,X,X,X
JLIOZTS,X,O,X,X,X,X
JLIOZST,X,O,X,X,X,X
JLSTIZO,O,X,X,O,O,X
JLSTIOZ,O,X,X,O,X,X
JLSTZIO,O,X,X,O,O,X
JLSTZOI,O,X,X,O,O,X
JLSTOIZ,O,X,X,O,X,X
JLSTOZI,O,X,X,O,X,X
JLSITZO,O,X,X,O,O,X
JLSITOZ,O,X,X,O,X,X
JLSIZTO,O,X,X,X,O,X
JLSIZOT,O,X,X,X,O,X
JLSIOTZ,O,X,X,X,X,X
JLSIOZT,O,X,X,X,O,X
JLSZTIO,O,X,X,X,O,X
JLSZTOI,O,X,X,X,O,X
JLSZITO,O,X,X,X,O,X
JLSZIOT,O,X,X,X,O,X
JLSZOTI,O,X,X,X,O,X
JLSZOIT,O,X,X,X,O,X
JLSOTIZ,O,X,X,X,X,X
JLSOTZI,O,X,X,X,X,X
JLSOITZ,O,X,X,X,X,X
JLSOIZT,O,X,X,X,O,X
JLSOZTI,O,X,X,X,O,X
JLSOZIT,O,X,X,X,O,X
JLZTISO,X,O,X,X,X,X
JLZTIOS,X,O,X,X,X,X
JLZTSIO,X,O,X,X,X,X
JLZTSOI,X,O,X,X,X,X
JLZTOIS,X,O,X,X,X,X
JLZTOSI,X,O,X,X,X,X
JLZITSO,X,O,X,X,X,X
JLZITOS,X,O,X,X,X,X
JLZISTO,X,O,X,X,O,X
JLZISOT,X,O,X,X,O,X
JLZIOTS,X,O,X,X,X,X
JLZIOST,X,O,X,X,O,X
JLZSTIO,X,O,X,X,O,X
JLZSTOI,X,O,X,X,O,X
JLZSITO,X,O,X,X,O,X
JLZSIOT,X,O,X,X,O,X
JLZSOTI,X,O,X,X,O,X
JLZSOIT,X,O,X,X,O,X
JLZOTIS,X,O,X,X,X,X
JLZOTSI,X,O,X,X,X,X
JLZOITS,X,O,X,X,X,X
JLZOIST,X,O,X,X,O,X
JLZOSTI,X,O,X,X,O,X
JLZOSIT,X,O,X,X,O,X
JLOTISZ,O,X,X,X,X,X
JLOTIZS,X,O,X,X,X,X
JLOTSIZ,O,X,X,X,X,X
JLOTSZI,O,X,X,X,X,X
JLOTZIS,X,O,X,X,X,X
JLOTZSI,X,O,X,X,X,X
JLOITSZ,O,X,X,X,X,X
JLOITZS,X,O,X,X,X,X
JLOISTZ,O,X,X,X,X,X
JLOISZT,O,X,X,X,X,X
JLOIZTS,X,O,X,X,X,X
JLOIZST,X,O,X,X,X,X
JLOSTIZ,O,X,X,X,X,X
JLOSTZI,O,X,X,X,X,X
JLOSITZ,O,X,X,X,X,X
JLOSIZT,O,X,X,X,X,X
JLOSZTI,O,X,X,X,X,X
JLOSZIT,O,X,X,X,X,X
JLOZTIS,X,O,X,X,X,X
JLOZTSI,X,O,X,X,X,X
JLOZITS,X,O,X,X,X,X
JLOZIST,X,O,X,X,X,X
JLOZSTI,X,O,X,X,X,X
JLOZSIT,X,O,X,X,X,X
JSTILZO,O,X,O,O,O,O
JSTILOZ,O,X,O,O,X,X
JSTIZLO,O,O,O,X,O,O
JSTIZOL,O,O,O,X,X,O
JSTIOLZ,O,X,O,O,X,X
JSTIOZL,O,O,O,X,X,O
JSTLIZO,O,X,O,O,O,O
JSTLIOZ,O,X,O,O,X,X
JSTLZIO,O,X,O,O,O,O
JSTLZOI,O,X,O,O,O,O
JSTLOIZ,O,X,O,O,X,X
JSTLOZI,O,X,O,O,X,X
JSTZILO,O,O,O,X,O,O
JSTZIOL,O,O,O,X,X,O
JSTZLIO,O,O,O,X,O,O
JSTZLOI,O,O,O,X,O,O
JSTZOIL,O,O,O,X,X,O
JSTZOLI,O,O,O,X,X,O
JSTOILZ,O,X,O,O,X,X
JSTOIZL,O,O,O,X,X,O
JSTOLIZ,O,X,O,O,X,X
JSTOLZI,O,X,O,O,X,X
JSTOZIL,O,O,O,X,X,O
JSTOZLI,O,O,O,X,X,O
JSITLZO,O,X,O,O,O,O
JSITLOZ,O,X,O,O,X,X
JSITZLO,O,O,O,X,O,O
JSITZOL,O,O,O,X,X,O
JSITOLZ,O,X,O,O,X,X
JSITOZL,O,O,O,X,X,O
JSILTZO,O,X,O,O,O,O
JSILTOZ,O,X,O,O,X,X
JSILZTO,O,X,X,X,O,X
JSILZOT,O,X,X,X,O,X
JSILOTZ,O,X,X,X,X,X
JSILOZT,O,X,X,X,O,X
JSIZTLO,O,O,O,X,O,O
JSIZTOL,O,O,O,X,X,O
JSIZLTO,O,O,X,X,O,X
JSIZLOT,O,O,X,X,O,X
JSIZOTL,O,O,X,X,X,X
JSIZOLT,O,O,X,X,O,X
JSIOTLZ,O,X,O,X,X,X
JSIOTZL,O,O,O,X,X,O
JSIOLTZ,O,X,X,X,X,X
JSIOLZT,O,X,X,X,O,X
JSIOZTL,O,O,X,X,X,X
JSIOZLT,O,O,X,X,O,X
JSLTIZO,O,X,O,O,O,O
JSLTIOZ,O,X,O,O,X,X
JSLTZIO,O,X,O,O,O,O
JSLTZOI,O,X,O,O,O,O
JSLTOIZ,O,X,O,O,X,X
JSLTOZI,O,X,O,O,X,X
JSLITZO,O,X,O,O,O,O
JSLITOZ,O,X,O,O,X,X
JSLIZTO,O,X,X,X,O,X
JSLIZOT,O,X,X,X,O,X
JSLIOTZ,O,X,X,X,X,X
JSLIOZT,O,X,X,X,O,X
JSLZTIO,O,X,X,X,O,X
JSLZTOI,O,X,X,X,O,X
JSLZITO,O,X,X,X,O,X
JSLZIOT,O,X,X,X,O,X
JSLZOTI,O,X,X,X,O,X
JSLZOIT,O,X,X,X,O,X
JSLOTIZ,O,X,X,X,X,X
JSLOTZI,O,X,X,X,X,X
JSLOITZ,O,X,X,X,X,X
JSLOIZT,O,X,X,X,O,X
JSLOZTI,O,X,X,X,O,X
JSLOZIT,O,X,X,X,O,X
JSZTILO,O,O,O,X,O,O
JSZTIOL,O,O,O,X,X,O
JSZTLIO,O,O,O,X,O,O
JSZTLOI,O,O,O,X,O,O
JSZTOIL,O,O,O,X,X,O
JSZTOLI,O,O,O,X,X,O
JSZITLO,O,O,O,X,O,O
JSZITOL,O,O,O,X,X,O
JSZILTO,O,O,X,X,O,X
JSZILOT,O,O,X,X,O,X
JSZIOTL,O,O,X,X,X,X
JSZIOLT,O,O,X,X,O,X
JSZLTIO,O,O,X,X,O,X
JSZLTOI,O,O,X,X,O,X
JSZLITO,O,O,X,X,O,X
JSZLIOT,O,O,X,X,O,X
JSZLOTI,O,O,X,X,O,X
JSZLOIT,O,O,X,X,O,X
JSZOTIL,O,O,X,X,X,X
JSZOTLI,O,O,X,X,X,X
JSZOITL,O,O,X,X,X,X
JSZOILT,O,O,X,X,O,X
JSZOLTI,O,O,X,X,O,X
JSZOLIT,O,O,X,X,O,X
JSOTILZ,O,X,O,X,X,X
JSOTIZL,O,O,O,X,X,O
JSOTLIZ,O,X,O,X,X,X
JSOTLZI,O,X,O,X,X,X
JSOTZIL,O,O,O,X,X,O
JSOTZLI,O,O,O,X,X,O
JSOITLZ,O,X,O,X,X,X
JSOITZL,O,O,O,X,X,O
JSOILTZ,O,X,X,X,X,X
JSOILZT,O,X,X,X,O,X
JSOIZTL,O,O,X,X,X,X
JSOIZLT,O,O,X,X,O,X
JSOLTIZ,O,X,X,X,X,X
JSOLTZI,O,X,X,X,X,X
JSOLITZ,O,X,X,X,X,X
JSOLIZT,O,X,X,X,O,X
JSOLZTI,O,X,X,X,O,X
JSOLZIT,O,X,X,X,O,X
JSOZTIL,O,O,X,X,X,X
JSOZTLI,O,O,X,X,X,X
JSOZITL,O,O,X,X,X,X
JSOZILT,O,O,X,X,O,X
JSOZLTI,O,O,X,X,O,X
JSOZLIT,O,O,X,X,O,X
JZTILSO,X,O,X,X,X,O
JZTILOS,X,O,X,X,X,X
JZTISLO,O,O,X,X,X,O
JZTISOL,O,O,X,X,X,O
JZTIOLS,X,O,X,X,X,X
JZTIOSL,O,O,X,X,X,X
JZTLISO,X,O,X,X,X,O
JZTLIOS,X,O,X,X,X,X
JZTLSIO,X,O,X,X,X,O
JZTLSOI,X,O,X,X,X,O
JZTLOIS,X,O,X,X,X,X
JZTLOSI,X,O,X,X,X,X
JZTSILO,O,O,X,X,X,O
JZTSIOL,O,O,X,X,X,O
JZTSLIO,O,O,X,X,X,O
JZTSLOI,O,O,X,X,X,O
JZTSOIL,O,O,X,X,X,O
JZTSOLI,O,O,X,X,X,O
JZTOILS,X,O,X,X,X,X
JZTOISL,O,O,X,X,X,X
JZTOLIS,X,O,X,X,X,X
JZTOLSI,X,O,X,X,X,X
JZTOSIL,O,O,X,X,X,X
JZTOSLI,O,O,X,X,X,X
JZITLSO,X,O,X,X,X,O
JZITLOS,X,O,X,X,X,X
JZITSLO,O,O,X,X,X,O
JZITSOL,O,O,X,X,X,O
JZITOLS,X,O,X,X,X,X
JZITOSL,O,O,X,X,X,X
JZILTSO,X,O,X,X,X,X
JZILTOS,X,O,X,X,X,X
JZILSTO,X,O,X,X,O,X
JZILSOT,X,O,X,X,O,X
JZILOTS,X,O,X,X,X,X
JZILOST,X,O,X,X,O,X
JZISTLO,O,O,X,X,O,O
JZISTOL,O,O,X,X,X,O
JZISLTO,O,O,X,X,O,X
JZISLOT,O,O,X,X,O,X
JZISOTL,O,O,X,X,X,X
JZISOLT,O,O,X,X,O,X
JZIOTLS,X,O,X,X,X,X
JZIOTSL,O,O,X,X,X,X
JZIOLTS,X,O,X,X,X,X
JZIOLST,X,O,X,X,X,X
JZIOSTL,O,O,X,X,X,X
JZIOSLT,O,O,X,X,X,X
JZLTISO,X,O,X,X,X,X
JZLTIOS,X,O,X,X,X,X
JZLTSIO,X,O,X,X,X,X
JZLTSOI,X,O,X,X,X,X
JZLTOIS,X,O,X,X,X,X
JZLTOSI,X,O,X,X,X,X
JZLITSO,X,O,X,X,X,X
JZLITOS,X,O,X,X,X,X
JZLISTO,X,O,X,X,O,X
JZLISOT,X,O,X,X,O,X
JZLIOTS,X,O,X,X,X,X
JZLIOST,X,O,X,X,O,X
JZLSTIO,X,O,X,X,O,X
