sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TZISJOL,O,O,O,O,X
TZISOLJ,O,O,X,O,X
TZISOJL,O,O,O,O,X
TZIOLJS,X,O,O,X,X
TZIOLSJ,O,O,X,O,X
TZIOJLS,X,X,O,X,X
TZIOJSL,O,O,O,O,X
TZIOSLJ,O,O,X,O,X
TZIOSJL,O,O,O,O,X
TZLIJSO,X,O,O,X,X
TZLIJOS,X,X,O,X,X
TZLISJO,O,O,X,X,X
TZLISOJ,X,O,X,X,X
TZLIOJS,X,X,O,X,X
TZLIOSJ,X,O,X,X,X
TZLJISO,X,X,O,X,X
TZLJIOS,X,X,O,X,X
TZLJSIO,O,O,O,X,X
TZLJSOI,O,O,O,X,X
TZLJOIS,X,X,O,X,X
TZLJOSI,X,X,O,X,X
TZLSIJO,O,O,X,X,X
TZLSIOJ,X,O,X,X,X
TZLSJIO,O,O,X,X,X
TZLSJOI,O,O,X,X,X
TZLSOIJ,O,X,X,X,X
TZLSOJI,O,O,X,X,X
TZLOIJS,X,X,O,X,X
TZLOISJ,O,X,X,X,X
TZLOJIS,X,X,O,X,X
TZLOJSI,O,X,O,X,X
TZLOSIJ,O,X,X,X,X
TZLOSJI,O,O,X,X,X
TZJILSO,X,O,O,X,X
TZJILOS,X,X,O,X,X
TZJISLO,X,O,O,X,X
TZJISOL,X,O,O,X,X
TZJIOLS,X,X,O,X,X
TZJIOSL,X,O,O,X,X
TZJLISO,X,X,O,X,X
TZJLIOS,X,X,O,X,X
TZJLSIO,X,O,O,X,X
TZJLSOI,X,O,O,X,X
TZJLOIS,X,X,O,X,X
TZJLOSI,X,X,O,X,X
TZJSILO,X,O,O,X,X
TZJSIOL,X,O,O,X,X
TZJSLIO,X,O,O,X,X
TZJSLOI,X,O,O,X,X
TZJSOIL,X,O,O,X,X
