sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
TOJZLIS,X,O,O
TOJZLSI,X,O,O
TOJZSIL,O,O,O
TOJZSLI,X,O,O
TOSILJZ,O,X,X
TOSILZJ,O,X,O
TOSIJLZ,O,X,O
TOSIJZL,O,O,O
TOSIZLJ,O,O,O
TOSIZJL,O,X,O
TOSLIJZ,O,X,X
TOSLIZJ,O,X,O
TOSLJIZ,O,X,O
TOSLJZI,O,X,O
TOSLZIJ,O,X,O
TOSLZJI,O,X,O
TOSJILZ,O,X,O
TOSJIZL,O,O,O
TOSJLIZ,O,X,O
TOSJLZI,O,X,O
TOSJZIL,O,O,O
TOSJZLI,X,O,O
TOSZILJ,O,O,O
TOSZIJL,O,X,O
TOSZLIJ,O,O,O
TOSZLJI,O,O,O
TOSZJIL,O,O,O
TOSZJLI,X,O,O
TOZILJS,O,X,X
TOZILSJ,O,O,O
TOZIJLS,X,X,O
TOZIJSL,O,X,O
TOZISLJ,O,O,O
TOZISJL,O,X,O
TOZLIJS,O,X,X
TOZLISJ,O,O,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,O,O,O
TOZLSJI,O,O,O
TOZJILS,X,O,O
TOZJISL,O,O,O
TOZJLIS,X,O,O
TOZJLSI,X,O,O
TOZJSIL,O,O,O
TOZJSLI,X,O,O
TOZSILJ,O,O,O
TOZSIJL,O,X,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,O,O
TOZSJLI,X,O,O
ITLJSZO,O,O,X
ITLJSOZ,O,X,X
ITLJZSO,O,O,X
ITLJZOS,O,O,X
ITLJOSZ,O,X,X
ITLJOZS,O,X,X
ITLSJZO,O,O,X
ITLSJOZ,O,X,X
ITLSZJO,O,O,X
ITLSZOJ,O,O,X
ITLSOJZ,O,X,X
ITLSOZJ,O,X,X
ITLZJSO,O,O,X
ITLZJOS,O,X,X
ITLZSJO,O,O,X
ITLZSOJ,O,O,X
ITLZOJS,O,X,X
ITLZOSJ,O,O,X
ITLOJSZ,O,X,X
ITLOJZS,O,X,X
ITLOSJZ,O,X,X
ITLOSZJ,O,X,X
ITLOZJS,O,X,X
ITLOZSJ,O,X,X
ITJLSZO,O,O,X
ITJLSOZ,O,X,X
ITJLZSO,O,O,X
ITJLZOS,O,O,X
ITJLOSZ,O,X,X
ITJLOZS,O,X,X
ITJSLZO,O,O,X
ITJSLOZ,O,X,X
ITJSZLO,O,O,X
ITJSZOL,O,O,X
ITJSOLZ,O,X,O
ITJSOZL,O,O,O
ITJZLSO,O,O,X
ITJZLOS,O,O,X
ITJZSLO,O,O,X
ITJZSOL,O,O,X
ITJZOLS,X,O,X
ITJZOSL,O,O,X
ITJOLSZ,O,X,O
ITJOLZS,O,X,O
ITJOSLZ,O,X,O
ITJOSZL,O,O,O
ITJOZLS,X,O,O
ITJOZSL,O,O,O
ITSLJZO,O,O,X
ITSLJOZ,O,X,X
ITSLZJO,O,O,X
ITSLZOJ,O,O,X
ITSLOJZ,O,X,X
ITSLOZJ,O,X,X
ITSJLZO,O,O,X
ITSJLOZ,O,X,X
ITSJZLO,O,O,X
ITSJZOL,O,O,X
ITSJOLZ,O,X,O
ITSJOZL,O,O,O
ITSZLJO,O,O,X
ITSZLOJ,O,O,X
ITSZJLO,O,O,X
ITSZJOL,O,O,X
ITSZOLJ,O,O,O
ITSZOJL,O,X,O
ITSOLJZ,O,X,X
ITSOLZJ,O,X,O
ITSOJLZ,O,X,O
ITSOJZL,O,O,O
ITSOZLJ,O,O,O
ITSOZJL,O,X,O
ITZLJSO,O,O,X
ITZLJOS,O,O,X
ITZLSJO,O,O,X
ITZLSOJ,O,O,X
ITZLOJS,O,X,X
ITZLOSJ,O,O,X
ITZJLSO,O,O,X
ITZJLOS,O,O,X
ITZJSLO,O,O,X
ITZJSOL,O,O,X
ITZJOLS,X,O,X
ITZJOSL,O,O,X
ITZSLJO,O,O,X
ITZSLOJ,O,O,X
ITZSJLO,O,O,X
ITZSJOL,O,O,X
ITZSOLJ,O,O,O
ITZSOJL,O,X,O
ITZOLJS,O,X,X
ITZOLSJ,O,O,O
ITZOJLS,X,X,O
ITZOJSL,O,X,O
ITZOSLJ,O,O,O
ITZOSJL,O,X,O
ITOLJSZ,O,X,X
ITOLJZS,O,X,X
ITOLSJZ,O,X,X
ITOLSZJ,O,X,O
ITOLZJS,O,X,X
ITOLZSJ,O,X,O
ITOJLSZ,O,X,O
ITOJLZS,O,X,O
ITOJSLZ,O,X,O
ITOJSZL,O,O,O
ITOJZLS,X,O,O
ITOJZSL,O,O,O
ITOSLJZ,O,X,X
ITOSLZJ,O,X,O
ITOSJLZ,O,X,O
ITOSJZL,O,O,O
ITOSZLJ,O,O,O
ITOSZJL,O,X,O
ITOZLJS,O,X,X
ITOZLSJ,O,O,O
ITOZJLS,X,X,O
ITOZJSL,O,X,O
ITOZSLJ,O,O,O
ITOZSJL,O,X,O
ILTJSZO,O,O,X
ILTJSOZ,O,X,X
ILTJZSO,O,O,X
ILTJZOS,O,O,X
ILTJOSZ,O,X,X
ILTJOZS,O,X,X
ILTSJZO,O,O,X
ILTSJOZ,O,X,X
ILTSZJO,O,O,X
ILTSZOJ,O,O,X
ILTSOJZ,O,X,X
ILTSOZJ,O,X,X
ILTZJSO,O,O,X
ILTZJOS,O,X,X
ILTZSJO,O,O,X
ILTZSOJ,O,O,X
ILTZOJS,O,X,X
ILTZOSJ,O,O,X
ILTOJSZ,O,X,X
ILTOJZS,O,X,X
ILTOSJZ,O,X,X
ILTOSZJ,O,X,X
ILTOZJS,O,X,X
ILTOZSJ,O,X,X
ILJTSZO,O,O,X
ILJTSOZ,O,X,X
ILJTZSO,O,O,X
ILJTZOS,O,O,X
