sequence,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFCgBGiBTjBXlBUs?BFtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoBOpB0kBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhFRiBSoB0kBOpBFs?BXtB,v115@BhA8IeC8FeB8FeE8CeA8JeZEJvhFqkBTgBXjBctBGs?BFsB,v115@BhA8IeC8FeB8FeE8CeA8JeTAJvhF6oB1pBRsBOpBft?BUsB,v115@BhA8IeC8FeB8FeE8CeA8Jex/IvhFOpBXlBSsBToBUs?BFtB
LZOITSJ,X,X,X,O,O,X
LZOIJTS,X,X,X,O,X,X
LZOIJST,X,X,X,O,X,X
LZOISTJ,X,X,X,O,X,X
LZOISJT,X,X,X,O,X,X
LZOJTIS,X,X,X,O,X,X
LZOJTSI,X,X,X,O,X,X
LZOJITS,X,X,X,O,X,X
LZOJIST,X,X,X,O,X,X
LZOJSTI,X,X,X,O,X,O
LZOJSIT,X,X,X,O,X,O
LZOSTIJ,X,X,O,O,X,X
LZOSTJI,X,X,O,X,X,X
LZOSITJ,X,X,O,O,X,X
LZOSIJT,X,X,O,O,X,X
LZOSJTI,X,X,O,O,X,O
LZOSJIT,X,X,O,O,X,O
LOTIJSZ,X,O,X,X,O,X
LOTIJZS,X,O,O,O,O,X
LOTISJZ,X,O,X,X,O,X
LOTISZJ,X,X,O,X,O,X
LOTIZJS,X,O,O,O,O,X
LOTIZSJ,X,X,O,O,O,X
LOTJISZ,X,O,X,X,O,X
LOTJIZS,X,O,O,O,O,X
LOTJSIZ,X,O,X,X,X,O
LOTJSZI,X,O,X,X,X,O
LOTJZIS,X,O,O,O,X,X
LOTJZSI,X,O,O,O,X,X
LOTSIJZ,X,O,O,X,O,X
LOTSIZJ,X,O,O,X,O,X
LOTSJIZ,X,O,O,X,X,O
LOTSJZI,X,O,O,X,X,O
LOTSZIJ,X,O,O,X,X,X
LOTSZJI,X,O,O,X,X,X
LOTZIJS,X,O,O,O,O,X
LOTZISJ,X,X,O,O,O,X
LOTZJIS,X,O,O,O,X,X
LOTZJSI,X,O,O,O,X,X
LOTZSIJ,X,X,O,O,X,X
LOTZSJI,X,X,O,X,X,X
LOITJSZ,X,X,X,X,O,X
LOITJZS,X,X,X,O,O,X
LOITSJZ,X,X,X,X,O,X
LOITSZJ,X,X,X,X,O,X
LOITZJS,X,X,X,O,O,X
LOITZSJ,X,X,X,O,O,X
LOIJTSZ,X,X,X,X,O,X
LOIJTZS,X,X,X,O,O,X
LOIJSTZ,X,X,X,X,X,O
LOIJSZT,X,X,X,O,X,O
LOIJZTS,X,X,X,O,X,X
LOIJZST,X,X,X,O,X,X
LOISTJZ,X,X,X,X,O,X
LOISTZJ,X,X,X,X,O,X
LOISJTZ,X,X,X,X,X,O
LOISJZT,X,X,X,O,X,O
LOISZTJ,X,X,X,O,X,X
LOISZJT,X,X,X,O,X,X
LOIZTJS,X,X,X,O,O,X
LOIZTSJ,X,X,X,O,O,X
LOIZJTS,X,X,X,O,X,X
LOIZJST,X,X,X,O,X,X
LOIZSTJ,X,X,X,O,X,X
LOIZSJT,X,X,X,O,X,X
LOJTISZ,X,O,X,X,O,X
LOJTIZS,X,O,X,O,O,X
LOJTSIZ,X,O,X,X,X,O
LOJTSZI,X,O,X,X,X,O
LOJTZIS,X,O,X,O,X,X
LOJTZSI,X,O,X,O,X,X
LOJITSZ,X,X,X,X,O,X
LOJITZS,X,X,X,O,O,X
LOJISTZ,X,X,X,X,X,O
LOJISZT,X,X,X,O,X,O
LOJIZTS,X,X,X,O,X,X
LOJIZST,X,X,X,O,X,X
LOJSTIZ,X,O,X,X,X,O
LOJSTZI,X,O,X,X,X,O
LOJSITZ,X,O,X,X,X,O
LOJSIZT,X,O,X,O,X,O
LOJSZTI,X,O,X,O,X,O
LOJSZIT,X,O,X,O,X,O
LOJZTIS,X,X,X,O,X,X
LOJZTSI,X,X,X,O,X,X
LOJZITS,X,X,X,O,X,X
LOJZIST,X,X,X,O,X,X
LOJZSTI,X,X,X,O,X,O
LOJZSIT,X,X,X,O,X,O
LOSTIJZ,X,O,X,X,O,X
LOSTIZJ,X,X,O,X,O,X
LOSTJIZ,X,O,X,X,X,O
LOSTJZI,X,O,X,X,X,O
LOSTZIJ,X,X,O,X,X,X
LOSTZJI,X,X,O,X,X,X
LOSITJZ,X,O,X,X,O,X
LOSITZJ,X,X,O,X,O,X
LOSIJTZ,X,O,X,X,X,O
LOSIJZT,X,O,O,O,X,O
LOSIZTJ,X,X,O,O,X,X
LOSIZJT,X,O,O,O,X,X
LOSJTIZ,X,O,X,X,X,O
LOSJTZI,X,O,X,X,X,O
LOSJITZ,X,O,X,X,X,O
LOSJIZT,X,O,O,O,X,O
LOSJZTI,X,O,O,O,X,O
LOSJZIT,X,O,O,O,X,O
LOSZTIJ,X,X,O,O,X,X
LOSZTJI,X,X,O,X,X,X
LOSZITJ,X,X,O,O,X,X
LOSZIJT,X,O,O,O,X,X
LOSZJTI,X,O,O,O,X,O
LOSZJIT,X,O,O,O,X,O
LOZTIJS,X,X,O,O,O,X
LOZTISJ,X,X,O,O,O,X
LOZTJIS,X,X,O,O,X,X
LOZTJSI,X,X,O,O,X,X
LOZTSIJ,X,X,O,O,X,X
LOZTSJI,X,X,O,X,X,X
LOZITJS,X,X,X,O,O,X
LOZITSJ,X,X,X,O,O,X
LOZIJTS,X,X,X,O,X,X
LOZIJST,X,X,X,O,X,X
LOZISTJ,X,X,X,O,X,X
LOZISJT,X,X,X,O,X,X
LOZJTIS,X,X,X,O,X,X
LOZJTSI,X,X,X,O,X,X
LOZJITS,X,X,X,O,X,X
LOZJIST,X,X,X,O,X,X
LOZJSTI,X,X,X,O,X,O
LOZJSIT,X,X,X,O,X,O
LOZSTIJ,X,X,O,O,X,X
LOZSTJI,X,X,O,X,X,X
LOZSITJ,X,X,O,O,X,X
LOZSIJT,X,X,O,O,X,X
LOZSJTI,X,X,O,O,X,O
LOZSJIT,X,X,O,O,X,O
JTILSZO,O,X,X,X,O,X
JTILSOZ,O,O,X,X,O,X
JTILZSO,X,X,X,O,O,X
JTILZOS,X,O,O,O,O,X
JTILOSZ,O,O,X,X,O,X
JTILOZS,X,O,O,O,O,X
JTISLZO,O,O,X,X,X,X
JTISLOZ,O,O,X,X,X,X
JTISZLO,O,O,X,X,X,X
JTISZOL,O,O,X,X,X,X
JTISOLZ,O,O,X,X,X,X
JTISOZL,O,O,X,X,X,X
JTIZLSO,O,X,X,O,X,X
JTIZLOS,O,O,O,O,X,X
JTIZSLO,O,X,X,O,X,X
JTIZSOL,O,X,X,X,X,X
JTIZOLS,O,O,O,X,X,X
JTIZOSL,O,X,X,X,X,X
JTIOLSZ,O,O,X,X,O,X
JTIOLZS,X,O,O,X,O,X
JTIOSLZ,O,O,X,X,X,X
JTIOSZL,O,O,X,X,X,X
JTIOZLS,X,O,O,X,X,X
JTIOZSL,O,X,X,X,X,X
JTLISZO,O,X,X,X,O,X
JTLISOZ,O,O,X,X,O,X
JTLIZSO,X,X,X,O,O,X
JTLIZOS,X,O,O,O,O,X
JTLIOSZ,O,O,X,X,O,X
JTLIOZS,X,O,O,O,O,X
JTLSIZO,O,O,X,X,X,X
JTLSIOZ,O,O,X,X,X,O
JTLSZIO,O,O,X,X,X,X
JTLSZOI,O,O,X,X,X,X
JTLSOIZ,O,O,X,X,X,O
JTLSOZI,O,O,X,X,X,O
JTLZISO,X,X,X,O,X,X
JTLZIOS,X,O,O,O,X,X
JTLZSIO,X,X,X,O,X,X
JTLZSOI,X,X,X,O,X,X
JTLZOIS,X,O,O,O,X,X
JTLZOSI,X,O,O,O,X,X
JTLOISZ,O,O,X,X,O,X
JTLOIZS,X,O,O,O,O,X
JTLOSIZ,O,O,X,X,X,O
JTLOSZI,O,O,X,X,X,O
JTLOZIS,X,O,O,O,X,X
JTLOZSI,X,O,O,O,X,X
JTSILZO,O,O,O,X,X,X
JTSILOZ,O,O,O,X,X,O
JTSIZLO,O,O,O,X,X,X
JTSIZOL,O,O,O,X,X,X
JTSIOLZ,O,O,O,X,X,O
JTSIOZL,O,O,O,X,X,X
JTSLIZO,O,O,O,X,X,X
JTSLIOZ,O,O,O,X,X,O
JTSLZIO,O,O,O,X,X,X
JTSLZOI,O,O,O,X,X,X
JTSLOIZ,O,O,O,X,X,O
JTSLOZI,O,O,O,X,X,O
JTSZILO,O,O,O,X,X,X
JTSZIOL,O,O,O,X,X,X
JTSZLIO,O,O,O,X,X,X
JTSZLOI,O,O,O,X,X,X
JTSZOIL,O,O,O,X,X,X
JTSZOLI,O,O,O,X,X,X
JTSOILZ,O,O,O,X,X,O
JTSOIZL,O,O,O,X,X,X
JTSOLIZ,O,O,O,X,X,O
JTSOLZI,O,O,O,X,X,O
JTSOZIL,O,O,O,X,X,X
JTSOZLI,O,O,O,X,X,X
JTZILSO,O,X,X,O,X,X
JTZILOS,O,O,O,O,X,X
JTZISLO,O,X,X,O,X,X
JTZISOL,O,X,X,X,X,X
JTZIOLS,O,O,O,X,X,X
JTZIOSL,O,X,X,X,X,X
JTZLISO,O,X,X,O,X,X
JTZLIOS,O,O,O,O,X,X
JTZLSIO,O,X,X,O,X,X
JTZLSOI,O,X,X,O,X,X
JTZLOIS,O,O,O,O,X,X
JTZLOSI,O,O,O,O,X,X
JTZSILO,O,O,O,O,X,X
JTZSIOL,O,O,O,X,X,X
JTZSLIO,O,O,O,O,X,X
JTZSLOI,O,O,O,O,X,X
JTZSOIL,O,O,O,X,X,X
JTZSOLI,O,O,O,O,X,X
JTZOILS,O,O,O,X,X,X
JTZOISL,O,X,X,X,X,X
JTZOLIS,O,O,O,O,X,X
JTZOLSI,O,O,O,O,X,X
JTZOSIL,O,O,O,X,X,X
JTZOSLI,O,O,O,O,X,X
JTOILSZ,O,O,X,X,O,X
JTOILZS,X,O,O,X,O,X
JTOISLZ,O,O,X,X,X,X
JTOISZL,O,O,X,X,X,X
JTOIZLS,X,O,O,X,X,X
JTOIZSL,O,X,X,X,X,X
JTOLISZ,O,O,X,X,O,X
JTOLIZS,X,O,O,O,O,X
JTOLSIZ,O,O,X,X,X,O
JTOLSZI,O,O,X,X,X,O
JTOLZIS,X,O,O,O,X,X
JTOLZSI,X,O,O,O,X,X
JTOSILZ,O,O,O,X,X,O
JTOSIZL,O,O,O,X,X,X
JTOSLIZ,O,O,O,X,X,O
JTOSLZI,O,O,O,X,X,O
JTOSZIL,O,O,O,X,X,X
JTOSZLI,O,O,O,X,X,X
JTOZILS,X,O,O,X,X,X
JTOZISL,O,X,X,X,X,X
JTOZLIS,X,O,O,O,X,X
JTOZLSI,X,O,O,O,X,X
JTOZSIL,O,O,O,X,X,X
JTOZSLI,O,O,O,O,X,X
JITLSZO,O,X,X,X,O,X
JITLSOZ,O,O,X,X,O,X
JITLZSO,X,X,X,O,O,X
JITLZOS,X,O,X,O,O,X
JITLOSZ,O,O,X,X,O,X
JITLOZS,X,O,X,O,O,X
JITSLZO,O,O,X,X,X,X
JITSLOZ,O,O,X,X,X,X
JITSZLO,O,O,X,X,X,X
JITSZOL,O,O,X,X,X,X
JITSOLZ,O,O,X,X,X,X
JITSOZL,O,O,X,X,X,X
JITZLSO,O,X,X,O,X,X
JITZLOS,O,O,X,O,X,X
JITZSLO,O,X,X,O,X,X
JITZSOL,O,X,X,X,X,X
JITZOLS,O,O,X,X,X,X
JITZOSL,O,X,X,X,X,X
JITOLSZ,O,O,X,X,O,X
JITOLZS,X,O,X,X,O,X
JITOSLZ,O,O,X,X,X,X
JITOSZL,O,O,X,X,X,X
JITOZLS,X,O,X,X,X,X
JITOZSL,O,X,X,X,X,X
JILTSZO,O,X,X,X,O,X
JILTSOZ,O,X,X,X,O,X
JILTZSO,X,X,X,O,O,X
JILTZOS,X,X,X,O,O,X
JILTOSZ,O,X,X,X,O,X
JILTOZS,X,X,X,O,O,X
JILSTZO,O,X,X,X,X,X
JILSTOZ,O,X,X,X,X,O
JILSZTO,O,X,X,O,X,X
JILSZOT,O,X,X,O,X,O
JILSOTZ,O,X,X,X,X,O
JILSOZT,O,X,X,O,X,O
JILZTSO,O,X,X,O,X,X
JILZTOS,O,X,X,O,X,X
JILZSTO,O,X,X,O,X,X
JILZSOT,O,X,X,O,X,X
JILZOTS,X,X,X,O,X,X
JILZOST,X,X,X,O,X,X
JILOTSZ,X,X,X,X,O,X
JILOTZS,X,X,X,O,O,X
JILOSTZ,X,X,X,X,X,O
JILOSZT,X,X,X,O,X,O
JILOZTS,X,X,X,O,X,X
JILOZST,X,X,X,O,X,X
JISTLZO,O,X,X,X,X,X
JISTLOZ,O,O,X,X,X,O
JISTZLO,O,X,X,X,X,X
JISTZOL,O,X,X,X,X,X
JISTOLZ,O,O,X,X,X,O
JISTOZL,O,X,X,X,X,X
JISLTZO,O,X,X,X,X,X
JISLTOZ,O,O,X,X,X,O
JISLZTO,O,X,X,O,X,X
JISLZOT,O,O,X,O,X,O
JISLOTZ,O,O,X,X,X,O
JISLOZT,O,O,X,O,X,O
JISZTLO,O,X,X,O,X,X
JISZTOL,O,X,X,X,X,X
JISZLTO,O,X,X,O,X,X
JISZLOT,O,O,X,O,X,O
JISZOTL,O,X,X,X,X,X
JISZOLT,O,O,X,O,X,O
JISOTLZ,O,O,X,X,X,O
JISOTZL,O,X,X,X,X,X
JISOLTZ,O,O,X,X,X,O
JISOLZT,O,O,X,X,X,O
JISOZTL,O,X,X,X,X,X
JISOZLT,O,O,X,X,X,O
JIZTLSO,O,X,X,O,X,X
JIZTLOS,O,X,X,O,X,X
JIZTSLO,O,X,X,O,X,X
JIZTSOL,O,X,X,X,X,X
JIZTOLS,O,X,X,X,X,X
JIZTOSL,O,X,X,X,X,X
JIZLTSO,O,X,X,O,X,X
JIZLTOS,O,X,X,O,X,X
JIZLSTO,O,X,X,O,X,X
JIZLSOT,O,X,X,O,X,X
JIZLOTS,X,X,X,O,X,X
JIZLOST,X,X,X,O,X,X
JIZSTLO,O,X,X,O,X,X
JIZSTOL,O,X,X,X,X,X
JIZSLTO,O,X,X,O,X,X
JIZSLOT,O,X,X,O,X,X
JIZSOTL,O,X,X,X,X,X
JIZSOLT,O,X,X,O,X,X
JIZOTLS,O,X,X,X,X,X
JIZOTSL,O,X,X,X,X,X
JIZOLTS,X,X,X,O,X,X
JIZOLST,X,X,X,O,X,X
JIZOSTL,O,X,X,X,X,X
JIZOSLT,O,X,X,O,X,X
JIOTLSZ,O,O,X,X,O,X
JIOTLZS,X,O,X,X,O,X
JIOTSLZ,O,O,X,X,X,X
JIOTSZL,O,O,X,X,X,X
JIOTZLS,X,O,X,X,X,X
JIOTZSL,O,X,X,X,X,X
JIOLTSZ,X,X,X,X,O,X
JIOLTZS,X,X,X,O,O,X
JIOLSTZ,X,X,X,X,X,O
JIOLSZT,X,X,X,O,X,O
JIOLZTS,X,X,X,O,X,X
JIOLZST,X,X,X,O,X,X
JIOSTLZ,O,O,X,X,X,O
JIOSTZL,O,X,X,X,X,X
JIOSLTZ,O,O,X,X,X,O
JIOSLZT,O,O,X,X,X,O
JIOSZTL,O,X,X,X,X,X
JIOSZLT,O,O,X,X,X,O
JIOZTLS,O,X,X,X,X,X
JIOZTSL,O,X,X,X,X,X
JIOZLTS,X,X,X,O,X,X
JIOZLST,X,X,X,O,X,X
JIOZSTL,O,X,X,X,X,X
JIOZSLT,O,X,X,O,X,X
JLTISZO,O,X,X,X,O,X
JLTISOZ,O,O,X,X,O,X
JLTIZSO,X,X,X,O,O,X
JLTIZOS,X,O,X,O,O,X
JLTIOSZ,O,O,X,X,O,X
JLTIOZS,X,O,X,O,O,X
JLTSIZO,O,O,X,X,X,X
JLTSIOZ,O,O,X,X,X,O
JLTSZIO,O,O,X,X,X,X
JLTSZOI,O,O,X,X,X,X
JLTSOIZ,O,O,X,X,X,O
JLTSOZI,O,O,X,X,X,O
JLTZISO,X,X,X,O,X,X
JLTZIOS,X,O,X,O,X,X
JLTZSIO,X,X,X,O,X,X
JLTZSOI,X,X,X,O,X,X
JLTZOIS,X,O,X,O,X,X
JLTZOSI,X,O,X,O,X,X
JLTOISZ,O,O,X,X,O,X
JLTOIZS,X,O,X,O,O,X
JLTOSIZ,O,O,X,X,X,O
JLTOSZI,O,O,X,X,X,O
JLTOZIS,X,O,X,O,X,X
JLTOZSI,X,O,X,O,X,X
JLITSZO,O,X,X,X,O,X
JLITSOZ,O,X,X,X,O,X
JLITZSO,X,X,X,O,O,X
JLITZOS,X,X,X,O,O,X
JLITOSZ,O,X,X,X,O,X
JLITOZS,X,X,X,O,O,X
JLISTZO,O,X,X,X,X,X
JLISTOZ,O,X,X,X,X,O
JLISZTO,O,X,X,O,X,X
JLISZOT,O,X,X,O,X,O
JLISOTZ,O,X,X,X,X,O
JLISOZT,O,X,X,O,X,O
JLIZTSO,O,X,X,O,X,X
JLIZTOS,O,X,X,O,X,X
JLIZSTO,O,X,X,O,X,X
JLIZSOT,O,X,X,O,X,X
JLIZOTS,X,X,X,O,X,X
JLIZOST,X,X,X,O,X,X
JLIOTSZ,X,X,X,X,O,X
JLIOTZS,X,X,X,O,O,X
JLIOSTZ,X,X,X,X,X,O
JLIOSZT,X,X,X,O,X,O
JLIOZTS,X,X,X,O,X,X
JLIOZST,X,X,X,O,X,X
JLSTIZO,O,X,X,X,X,X
JLSTIOZ,O,O,X,X,X,O
JLSTZIO,O,X,X,X,X,X
JLSTZOI,O,X,X,X,X,X
JLSTOIZ,O,O,X,X,X,O
JLSTOZI,O,O,X,X,X,O
JLSITZO,O,X,X,X,X,X
JLSITOZ,O,O,X,X,X,O
JLSIZTO,O,X,X,O,X,X
JLSIZOT,O,O,X,O,X,O
JLSIOTZ,O,O,X,X,X,O
JLSIOZT,O,O,X,O,X,O
JLSZTIO,O,X,X,O,X,X
JLSZTOI,O,X,X,O,X,X
JLSZITO,O,X,X,O,X,X
JLSZIOT,O,O,X,O,X,O
JLSZOTI,O,O,X,O,X,O
JLSZOIT,O,O,X,O,X,O
JLSOTIZ,O,O,X,X,X,O
JLSOTZI,O,O,X,X,X,O
JLSOITZ,O,O,X,X,X,O
JLSOIZT,O,O,X,O,X,O
JLSOZTI,O,O,X,O,X,O
JLSOZIT,O,O,X,O,X,O
JLZTISO,O,X,X,O,X,X
JLZTIOS,O,X,X,O,X,X
JLZTSIO,O,X,X,O,X,X
JLZTSOI,O,X,X,O,X,X
JLZTOIS,O,X,X,O,X,X
JLZTOSI,O,X,X,O,X,X
JLZITSO,O,X,X,O,X,X
JLZITOS,O,X,X,O,X,X
JLZISTO,O,X,X,O,X,X
JLZISOT,O,X,X,O,X,X
JLZIOTS,X,X,X,O,X,X
JLZIOST,X,X,X,O,X,X
JLZSTIO,O,X,X,O,X,X
JLZSTOI,O,X,X,O,X,X
JLZSITO,O,X,X,O,X,X
JLZSIOT,O,X,X,O,X,O
JLZSOTI,O,X,X,O,X,O
JLZSOIT,O,X,X,O,X,O
JLZOTIS,X,X,X,O,X,X
JLZOTSI,X,X,X,O,X,X
JLZOITS,X,X,X,O,X,X
JLZOIST,X,X,X,O,X,X
JLZOSTI,X,X,X,O,X,O
JLZOSIT,X,X,X,O,X,O
JLOTISZ,X,O,X,X,O,X
JLOTIZS,X,O,X,O,O,X
JLOTSIZ,X,O,X,X,X,O
JLOTSZI,X,O,X,X,X,O
JLOTZIS,X,O,X,O,X,X
JLOTZSI,X,O,X,O,X,X
JLOITSZ,X,X,X,X,O,X
JLOITZS,X,X,X,O,O,X
JLOISTZ,X,X,X,X,X,O
JLOISZT,X,X,X,O,X,O
JLOIZTS,X,X,X,O,X,X
JLOIZST,X,X,X,O,X,X
JLOSTIZ,X,O,X,X,X,O
JLOSTZI,X,O,X,X,X,O
JLOSITZ,X,O,X,X,X,O
JLOSIZT,X,O,X,O,X,O
JLOSZTI,X,O,X,O,X,O
JLOSZIT,X,O,X,O,X,O
JLOZTIS,X,X,X,O,X,X
JLOZTSI,X,X,X,O,X,X
JLOZITS,X,X,X,O,X,X
JLOZIST,X,X,X,O,X,X
JLOZSTI,X,X,X,O,X,O
JLOZSIT,X,X,X,O,X,O
JSTILZO,O,O,X,X,X,X
JSTILOZ,O,O,X,X,X,O
JSTIZLO,O,O,X,X,X,X
JSTIZOL,O,O,X,X,X,X
JSTIOLZ,O,O,X,X,X,O
JSTIOZL,O,O,X,X,X,X
JSTLIZO,O,O,X,X,X,X
JSTLIOZ,O,O,X,X,X,O
JSTLZIO,O,O,X,X,X,X
JSTLZOI,O,O,X,X,X,X
JSTLOIZ,O,O,X,X,X,O
JSTLOZI,O,O,X,X,X,O
JSTZILO,O,O,X,X,X,X
JSTZIOL,O,O,X,X,X,X
JSTZLIO,O,O,X,X,X,X
JSTZLOI,O,O,X,X,X,X
JSTZOIL,O,O,X,X,X,X
JSTZOLI,O,O,X,X,X,X
JSTOILZ,O,O,X,X,X,O
JSTOIZL,O,O,X,X,X,X
JSTOLIZ,O,O,X,X,X,O
JSTOLZI,O,O,X,X,X,O
JSTOZIL,O,O,X,X,X,X
JSTOZLI,O,O,X,X,X,X
JSITLZO,O,X,X,X,X,X
JSITLOZ,O,O,X,X,X,O
JSITZLO,O,X,X,X,X,X
JSITZOL,O,X,X,X,X,X
JSITOLZ,O,O,X,X,X,O
JSITOZL,O,X,X,X,X,X
JSILTZO,O,X,X,X,X,X
JSILTOZ,O,O,X,X,X,O
JSILZTO,O,X,X,O,X,X
JSILZOT,O,O,O,O,X,O
JSILOTZ,O,O,X,X,X,O
JSILOZT,O,O,O,O,X,O
JSIZTLO,O,X,X,O,X,X
JSIZTOL,O,X,X,X,X,X
JSIZLTO,O,X,X,O,X,X
JSIZLOT,O,O,O,O,X,O
JSIZOTL,O,X,X,X,X,X
JSIZOLT,O,O,O,O,X,O
JSIOTLZ,O,O,X,X,X,O
JSIOTZL,O,X,X,X,X,X
JSIOLTZ,O,O,X,X,X,O
JSIOLZT,O,O,O,X,X,O
JSIOZTL,O,X,X,X,X,X
JSIOZLT,O,O,O,X,X,O
JSLTIZO,O,X,X,X,X,X
JSLTIOZ,O,O,X,X,X,O
JSLTZIO,O,X,X,X,X,X
JSLTZOI,O,X,X,X,X,X
JSLTOIZ,O,O,X,X,X,O
JSLTOZI,O,O,X,X,X,O
JSLITZO,O,X,X,X,X,X
JSLITOZ,O,O,X,X,X,O
JSLIZTO,O,X,X,O,X,X
JSLIZOT,O,O,O,O,X,O
JSLIOTZ,O,O,X,X,X,O
JSLIOZT,O,O,O,O,X,O
JSLZTIO,O,X,X,O,X,X
JSLZTOI,O,X,X,O,X,X
JSLZITO,O,X,X,O,X,X
JSLZIOT,O,O,O,O,X,O
JSLZOTI,O,O,O,O,X,O
JSLZOIT,O,O,O,O,X,O
JSLOTIZ,O,O,X,X,X,O
JSLOTZI,O,O,X,X,X,O
JSLOITZ,O,O,X,X,X,O
JSLOIZT,O,O,O,O,X,O
JSLOZTI,O,O,O,O,X,O
JSLOZIT,O,O,O,O,X,O
JSZTILO,O,X,X,O,X,X
JSZTIOL,O,X,X,X,X,X
JSZTLIO,O,X,X,O,X,X
JSZTLOI,O,X,X,O,X,X
JSZTOIL,O,X,X,X,X,X
JSZTOLI,O,X,X,O,X,X
JSZITLO,O,X,X,O,X,X
JSZITOL,O,X,X,X,X,X
JSZILTO,O,X,X,O,X,X
JSZILOT,O,O,O,O,X,O
JSZIOTL,O,X,X,X,X,X
JSZIOLT,O,O,O,O,X,O
JSZLTIO,O,X,X,O,X,X
JSZLTOI,O,X,X,O,X,X
JSZLITO,O,X,X,O,X,X
JSZLIOT,O,O,O,O,X,O
JSZLOTI,O,O,O,O,X,O
JSZLOIT,O,O,O,O,X,O
JSZOTIL,O,X,X,X,X,X
JSZOTLI,O,X,X,O,X,X
JSZOITL,O,X,X,X,X,X
JSZOILT,O,O,O,O,X,O
JSZOLTI,O,O,O,O,X,O
JSZOLIT,O,O,O,O,X,O
JSOTILZ,O,O,X,X,X,O
JSOTIZL,O,O,X,X,X,X
JSOTLIZ,O,O,X,X,X,O
JSOTLZI,O,O,X,X,X,O
JSOTZIL,O,O,X,X,X,X
JSOTZLI,O,O,X,X,X,X
JSOITLZ,O,O,X,X,X,O
JSOITZL,O,X,X,X,X,X
JSOILTZ,O,O,X,X,X,O
JSOILZT,O,O,O,X,X,O
JSOIZTL,O,X,X,X,X,X
JSOIZLT,O,O,O,X,X,O
JSOLTIZ,O,O,X,X,X,O
JSOLTZI,O,O,X,X,X,O
JSOLITZ,O,O,X,X,X,O
JSOLIZT,O,O,O,O,X,O
JSOLZTI,O,O,O,O,X,O
JSOLZIT,O,O,O,O,X,O
JSOZTIL,O,X,X,X,X,X
JSOZTLI,O,X,X,O,X,X
JSOZITL,O,X,X,X,X,X
JSOZILT,O,O,O,O,X,O
JSOZLTI,O,O,O,O,X,O
JSOZLIT,O,O,O,O,X,O
JZTILSO,O,X,X,O,X,X
JZTILOS,O,O,O,O,X,X
JZTISLO,O,X,X,O,X,X
JZTISOL,O,X,X,X,X,X
JZTIOLS,O,O,O,X,X,X
JZTIOSL,O,X,X,X,X,X
JZTLISO,O,X,X,O,X,X
JZTLIOS,O,O,O,O,X,X
JZTLSIO,O,X,X,O,X,X
JZTLSOI,O,X,X,O,X,X
JZTLOIS,O,O,O,O,X,X
JZTLOSI,O,O,O,O,X,X
JZTSILO,O,O,O,O,X,X
JZTSIOL,O,O,O,X,X,X
JZTSLIO,O,O,O,O,X,X
JZTSLOI,O,O,O,O,X,X
JZTSOIL,O,O,O,X,X,X
JZTSOLI,O,O,O,O,X,X
JZTOILS,O,O,O,X,X,X
JZTOISL,O,X,X,X,X,X
JZTOLIS,O,O,O,O,X,X
JZTOLSI,O,O,O,O,X,X
JZTOSIL,O,O,O,X,X,X
JZTOSLI,O,O,O,O,X,X
JZITLSO,O,X,X,O,X,X
JZITLOS,O,X,X,O,X,X
JZITSLO,O,X,X,O,X,X
JZITSOL,O,X,X,X,X,X
JZITOLS,O,X,X,X,X,X
JZITOSL,O,X,X,X,X,X
JZILTSO,O,X,X,O,X,X
JZILTOS,O,X,X,O,X,X
JZILSTO,O,X,X,O,X,X
JZILSOT,O,X,X,O,X,X
JZILOTS,X,X,X,O,X,X
JZILOST,X,X,X,O,X,X
JZISTLO,O,X,X,O,X,X
JZISTOL,O,X,X,X,X,X
JZISLTO,O,X,X,O,X,X
JZISLOT,O,X,X,O,X,X
JZISOTL,O,X,X,X,X,X
JZISOLT,O,X,X,O,X,X
JZIOTLS,O,X,X,X,X,X
JZIOTSL,O,X,X,X,X,X
JZIOLTS,X,X,X,O,X,X
JZIOLST,X,X,X,O,X,X
JZIOSTL,O,X,X,X,X,X
JZIOSLT,O,X,X,O,X,X
JZLTISO,O,X,X,O,X,X
JZLTIOS,O,X,X,O,X,X
JZLTSIO,O,X,X,O,X,X
JZLTSOI,O,X,X,O,X,X
JZLTOIS,O,X,X,O,X,X
JZLTOSI,O,X,X,O,X,X
JZLITSO,O,X,X,O,X,X
JZLITOS,O,X,X,O,X,X
JZLISTO,O,X,X,O,X,X
JZLISOT,O,X,X,O,X,X
JZLIOTS,X,X,X,O,X,X
JZLIOST,X,X,X,O,X,X
JZLSTIO,O,X,X,O,X,X
JZLSTOI,O,X,X,O,X,X
JZLSITO,O,X,X,O,X,X
JZLSIOT,O,X,X,O,X,O
JZLSOTI,O,X,X,O,X,O
JZLSOIT,O,X,X,O,X,O
JZLOTIS,X,X,X,O,X,X
JZLOTSI,X,X,X,O,X,X
JZLOITS,X,X,X,O,X,X
JZLOIST,X,X,X,O,X,X
JZLOSTI,X,X,X,O,X,O
JZLOSIT,X,X,X,O,X,O
JZSTILO,O,X,X,O,X,X
JZSTIOL,O,X,X,X,X,X
