sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
ITOZJLS,O,O,X
ITOZJSL,O,X,O
ITOZSLJ,O,X,X
ITOZSJL,O,X,O
ILTJSZO,X,O,X
ILTJSOZ,X,O,O
ILTJZSO,X,O,X
ILTJZOS,O,O,X
ILTJOSZ,O,O,O
ILTJOZS,O,O,X
ILTSJZO,X,O,X
ILTSJOZ,X,O,O
ILTSZJO,X,O,X
ILTSZOJ,O,X,X
ILTSOJZ,O,X,O
ILTSOZJ,O,X,X
ILTZJSO,X,O,X
ILTZJOS,O,O,X
ILTZSJO,X,O,X
ILTZSOJ,O,X,X
ILTZOJS,O,O,X
ILTZOSJ,O,X,X
ILTOJSZ,O,O,O
ILTOJZS,O,O,X
ILTOSJZ,O,X,O
ILTOSZJ,O,X,X
ILTOZJS,O,O,X
ILTOZSJ,O,X,X
ILJTSZO,X,O,X
ILJTSOZ,X,O,O
ILJTZSO,X,O,X
ILJTZOS,O,O,X
ILJTOSZ,O,O,O
ILJTOZS,O,O,X
ILJSTZO,X,O,X
ILJSTOZ,X,O,O
ILJSZTO,X,O,X
ILJSZOT,X,O,X
ILJSOTZ,X,O,X
ILJSOZT,X,O,X
ILJZTSO,X,O,X
ILJZTOS,O,O,X
ILJZSTO,X,O,X
ILJZSOT,X,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,O
ILJOTZS,O,O,X
ILJOSTZ,O,O,X
ILJOSZT,O,O,X
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,X,O,X
ILSTJOZ,X,O,O
ILSTZJO,X,O,X
ILSTZOJ,O,X,X
ILSTOJZ,O,X,O
ILSTOZJ,O,X,X
ILSJTZO,X,O,X
ILSJTOZ,X,O,O
ILSJZTO,X,O,X
ILSJZOT,X,O,X
ILSJOTZ,X,O,X
ILSJOZT,X,O,X
ILSZTJO,X,O,X
ILSZTOJ,O,X,X
ILSZJTO,X,O,X
ILSZJOT,X,O,X
ILSZOTJ,O,X,X
ILSZOJT,O,X,X
ILSOTJZ,O,X,X
ILSOTZJ,O,X,X
ILSOJTZ,O,X,X
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,X,O,X
ILZTJOS,O,O,X
ILZTSJO,X,O,X
ILZTSOJ,O,X,X
ILZTOJS,O,O,X
ILZTOSJ,O,X,X
ILZJTSO,X,O,X
