sequence,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBcmBZoB6?sBXnBWwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhF6lB/mBRiBm?nBVwB0sB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFxgBqqB/rBF?nB8sBmsB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFVmBGiBZoB/?sB0lBSwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBWnBZoB8?qB6sB3rB
OISJTLZ,O,X,X,O,X
OISJTZL,O,X,X,X,O
OISJLTZ,O,X,X,O,X
OISJLZT,O,X,X,O,O
OISJZTL,O,X,X,X,O
OISJZLT,O,X,X,O,O
OISZTLJ,X,X,X,X,O
OISZTJL,X,X,X,X,O
OISZLTJ,X,X,O,O,O
OISZLJT,X,X,O,O,O
OISZJTL,X,X,X,X,O
OISZJLT,X,X,X,O,O
OIZTLJS,O,O,X,X,X
OIZTLSJ,X,O,O,X,X
OIZTJLS,O,O,X,X,X
OIZTJSL,O,O,X,X,X
OIZTSLJ,X,O,X,X,X
OIZTSJL,X,O,X,X,X
OIZLTJS,O,O,X,X,X
OIZLTSJ,X,O,O,O,X
OIZLJTS,O,O,X,X,X
OIZLJST,O,X,O,X,X
OIZLSTJ,X,X,O,O,X
OIZLSJT,X,X,O,O,X
OIZJTLS,O,O,X,X,X
OIZJTSL,O,O,X,X,X
OIZJLTS,O,O,X,X,X
OIZJLST,O,X,O,X,X
OIZJSTL,O,X,X,X,X
OIZJSLT,O,X,X,X,X
OIZSTLJ,X,X,X,X,O
OIZSTJL,X,X,X,X,O
OIZSLTJ,X,X,O,O,O
OIZSLJT,X,X,O,O,O
OIZSJTL,X,X,X,X,O
OIZSJLT,X,X,X,O,O
OLTIJSZ,O,X,X,O,X
OLTIJZS,O,X,X,X,X
OLTISJZ,O,O,X,O,X
OLTISZJ,X,O,O,O,X
OLTIZJS,O,O,X,X,X
OLTIZSJ,X,O,O,O,X
OLTJISZ,O,X,X,O,X
OLTJIZS,O,X,X,X,X
OLTJSIZ,O,O,X,O,X
OLTJSZI,O,O,X,O,X
OLTJZIS,O,O,X,X,X
OLTJZSI,O,O,X,X,X
OLTSIJZ,O,O,X,O,X
OLTSIZJ,X,O,O,O,X
OLTSJIZ,O,O,X,O,X
OLTSJZI,O,O,X,O,X
OLTSZIJ,X,O,O,O,X
OLTSZJI,X,O,O,O,X
OLTZIJS,O,O,X,X,X
OLTZISJ,X,O,O,O,X
OLTZJIS,O,O,X,X,X
OLTZJSI,O,O,X,X,X
OLTZSIJ,X,O,O,O,X
OLTZSJI,X,O,O,O,X
OLITJSZ,O,X,X,O,X
OLITJZS,O,X,X,X,X
OLITSJZ,O,X,X,O,X
OLITSZJ,X,X,O,O,X
OLITZJS,O,X,X,X,X
OLITZSJ,X,X,O,O,X
OLIJTSZ,O,X,X,O,X
OLIJTZS,O,X,X,X,X
OLIJSTZ,O,X,X,O,X
OLIJSZT,O,X,O,O,X
OLIJZTS,O,X,X,X,X
OLIJZST,O,X,O,X,X
OLISTJZ,O,X,X,O,X
OLISTZJ,X,X,O,O,X
OLISJTZ,O,X,X,O,X
OLISJZT,O,X,O,O,O
OLISZTJ,X,X,O,O,O
OLISZJT,X,X,O,O,O
OLIZTJS,O,O,X,X,X
OLIZTSJ,X,O,O,O,X
OLIZJTS,O,O,X,X,X
OLIZJST,O,X,O,X,X
OLIZSTJ,X,X,O,O,X
OLIZSJT,X,X,O,O,X
OLJTISZ,O,X,X,O,X
OLJTIZS,O,X,X,X,X
OLJTSIZ,O,X,X,O,X
OLJTSZI,O,X,X,O,X
OLJTZIS,O,X,X,X,X
OLJTZSI,O,X,X,X,X
OLJITSZ,O,X,X,O,X
OLJITZS,O,X,X,X,X
OLJISTZ,O,X,X,O,X
OLJISZT,O,X,O,O,X
OLJIZTS,O,X,X,X,X
OLJIZST,O,X,O,X,X
OLJSTIZ,O,X,X,O,X
OLJSTZI,O,X,X,O,X
OLJSITZ,O,X,X,O,X
OLJSIZT,O,X,O,O,X
OLJSZTI,O,X,O,O,X
OLJSZIT,O,X,O,O,X
OLJZTIS,O,O,X,X,X
OLJZTSI,O,O,X,X,X
OLJZITS,O,O,X,X,X
OLJZIST,O,X,O,X,X
OLJZSTI,O,O,O,X,X
OLJZSIT,O,X,O,X,X
OLSTIJZ,O,X,X,O,X
OLSTIZJ,X,X,O,O,X
OLSTJIZ,O,X,X,O,X
OLSTJZI,O,X,X,O,X
OLSTZIJ,X,X,O,O,X
OLSTZJI,X,X,O,O,X
OLSITJZ,O,X,X,O,X
OLSITZJ,X,X,O,O,X
OLSIJTZ,O,X,X,O,X
OLSIJZT,O,X,O,O,O
OLSIZTJ,X,X,O,O,O
OLSIZJT,X,X,O,O,O
OLSJTIZ,O,X,X,O,X
OLSJTZI,O,X,X,O,X
OLSJITZ,O,X,X,O,X
OLSJIZT,O,X,O,O,O
OLSJZTI,O,X,O,O,O
OLSJZIT,O,X,O,O,O
OLSZTIJ,X,O,O,O,O
OLSZTJI,X,O,O,O,O
OLSZITJ,X,X,O,O,O
OLSZIJT,X,X,O,O,O
OLSZJTI,X,O,O,O,O
OLSZJIT,X,X,O,O,O
OLZTIJS,O,O,X,X,X
OLZTISJ,X,O,O,O,X
OLZTJIS,O,O,X,X,X
OLZTJSI,O,O,X,X,X
OLZTSIJ,X,O,O,O,X
OLZTSJI,X,O,O,O,X
OLZITJS,O,O,X,X,X
OLZITSJ,X,O,O,O,X
OLZIJTS,O,O,X,X,X
OLZIJST,O,X,O,X,X
OLZISTJ,X,X,O,O,X
OLZISJT,X,X,O,O,X
OLZJTIS,O,O,X,X,X
OLZJTSI,O,O,X,X,X
OLZJITS,O,O,X,X,X
OLZJIST,O,X,O,X,X
OLZJSTI,O,O,O,X,X
OLZJSIT,O,X,O,X,X
OLZSTIJ,X,O,O,O,X
OLZSTJI,X,O,O,O,X
OLZSITJ,X,X,O,O,X
OLZSIJT,X,X,O,O,X
OLZSJTI,X,O,O,O,X
OLZSJIT,X,X,O,O,X
OJTILSZ,O,X,X,X,X
OJTILZS,O,X,X,X,X
OJTISLZ,O,X,X,X,X
OJTISZL,O,X,X,X,X
OJTIZLS,O,X,X,X,X
OJTIZSL,O,X,X,X,X
OJTLISZ,O,X,X,X,X
OJTLIZS,O,X,X,X,X
OJTLSIZ,O,O,X,X,X
OJTLSZI,O,O,X,X,X
OJTLZIS,O,O,X,X,X
OJTLZSI,O,O,X,X,X
OJTSILZ,O,O,X,X,X
OJTSIZL,O,X,X,X,X
OJTSLIZ,O,O,X,X,X
OJTSLZI,O,O,X,X,X
OJTSZIL,O,O,X,X,X
OJTSZLI,O,O,X,X,X
OJTZILS,O,O,X,X,X
OJTZISL,O,O,X,X,X
OJTZLIS,O,O,X,X,X
OJTZLSI,O,O,X,X,X
OJTZSIL,O,O,X,X,X
OJTZSLI,O,O,X,X,X
OJITLSZ,O,X,X,X,X
OJITLZS,O,X,X,X,X
OJITSLZ,O,X,X,X,X
OJITSZL,O,X,X,X,X
OJITZLS,O,X,X,X,X
OJITZSL,O,X,X,X,X
OJILTSZ,O,X,X,O,X
OJILTZS,O,X,X,X,X
OJILSTZ,O,X,X,O,X
OJILSZT,O,X,O,O,X
OJILZTS,O,X,X,X,X
OJILZST,O,X,O,X,X
OJISTLZ,O,X,X,O,X
OJISTZL,O,X,X,X,O
OJISLTZ,O,X,X,O,X
OJISLZT,O,X,X,O,O
OJISZTL,O,X,X,X,O
OJISZLT,O,X,X,O,O
OJIZTLS,O,X,X,X,X
OJIZTSL,O,X,X,X,X
OJIZLTS,O,X,X,X,X
OJIZLST,O,X,O,X,X
OJIZSTL,O,X,X,X,X
OJIZSLT,O,X,X,X,X
OJLTISZ,O,X,X,O,X
OJLTIZS,O,X,X,X,X
OJLTSIZ,O,X,X,O,X
OJLTSZI,O,X,X,O,X
OJLTZIS,O,X,X,X,X
OJLTZSI,O,X,X,X,X
OJLITSZ,O,X,X,O,X
OJLITZS,O,X,X,X,X
OJLISTZ,O,X,X,O,X
OJLISZT,O,X,O,O,X
OJLIZTS,O,X,X,X,X
OJLIZST,O,X,O,X,X
OJLSTIZ,O,X,X,O,X
OJLSTZI,O,X,X,O,X
OJLSITZ,O,X,X,O,X
OJLSIZT,O,X,O,O,X
OJLSZTI,O,X,O,O,X
OJLSZIT,O,X,O,O,X
OJLZTIS,O,O,X,X,X
OJLZTSI,O,O,X,X,X
OJLZITS,O,O,X,X,X
OJLZIST,O,X,O,X,X
OJLZSTI,O,O,O,X,X
OJLZSIT,O,X,O,X,X
OJSTILZ,O,X,X,O,X
OJSTIZL,O,X,X,X,O
OJSTLIZ,O,X,X,O,X
OJSTLZI,O,X,X,O,X
OJSTZIL,O,X,X,X,O
OJSTZLI,O,X,X,X,O
OJSITLZ,O,X,X,O,X
OJSITZL,O,X,X,X,O
OJSILTZ,O,X,X,O,X
OJSILZT,O,X,X,O,O
OJSIZTL,O,X,X,X,O
OJSIZLT,O,X,X,O,O
OJSLTIZ,O,X,X,O,X
OJSLTZI,O,X,X,O,X
OJSLITZ,O,X,X,O,X
OJSLIZT,O,X,X,O,O
OJSLZTI,O,X,X,O,O
OJSLZIT,O,X,X,O,O
OJSZTIL,O,X,X,X,O
OJSZTLI,O,X,X,X,O
OJSZITL,O,X,X,X,O
OJSZILT,O,X,X,O,O
OJSZLTI,O,X,X,O,O
OJSZLIT,O,X,X,O,O
OJZTILS,O,O,X,X,X
OJZTISL,O,O,X,X,X
OJZTLIS,O,O,X,X,X
OJZTLSI,O,O,X,X,X
OJZTSIL,O,O,X,X,X
OJZTSLI,O,O,X,X,X
OJZITLS,O,O,X,X,X
OJZITSL,O,O,X,X,X
OJZILTS,O,O,X,X,X
OJZILST,O,X,O,X,X
OJZISTL,O,X,X,X,X
OJZISLT,O,X,X,X,X
OJZLTIS,O,O,X,X,X
OJZLTSI,O,O,X,X,X
OJZLITS,O,O,X,X,X
OJZLIST,O,X,O,X,X
OJZLSTI,O,O,O,X,X
OJZLSIT,O,X,O,X,X
OJZSTIL,O,O,X,X,X
OJZSTLI,O,O,X,X,X
OJZSITL,O,X,X,X,X
OJZSILT,O,X,X,X,X
OJZSLTI,O,O,X,X,X
OJZSLIT,O,X,X,X,X
OSTILJZ,O,O,X,O,X
OSTILZJ,X,O,X,O,X
OSTIJLZ,O,O,X,O,X
OSTIJZL,O,X,X,X,O
OSTIZLJ,X,O,X,X,O
OSTIZJL,X,O,X,X,O
OSTLIJZ,O,O,X,O,X
OSTLIZJ,X,O,X,O,X
OSTLJIZ,O,O,X,O,X
OSTLJZI,O,O,X,O,X
OSTLZIJ,X,O,X,O,X
OSTLZJI,X,O,X,O,X
OSTJILZ,O,O,X,O,X
OSTJIZL,O,X,X,X,O
OSTJLIZ,O,O,X,O,X
OSTJLZI,O,O,X,O,X
OSTJZIL,O,O,X,X,O
OSTJZLI,O,O,X,X,O
OSTZILJ,X,O,X,X,O
OSTZIJL,X,O,X,X,O
OSTZLIJ,X,O,X,X,O
OSTZLJI,X,O,X,X,O
OSTZJIL,X,O,X,X,O
OSTZJLI,X,O,X,X,O
OSITLJZ,O,X,X,O,X
OSITLZJ,X,X,X,O,X
OSITJLZ,O,X,X,O,X
OSITJZL,O,X,X,X,O
OSITZLJ,X,X,X,X,O
OSITZJL,X,X,X,X,O
OSILTJZ,O,X,X,O,X
OSILTZJ,X,X,O,O,X
OSILJTZ,O,X,X,O,X
OSILJZT,O,X,O,O,O
OSILZTJ,X,X,O,O,O
OSILZJT,X,X,O,O,O
OSIJTLZ,O,X,X,O,X
OSIJTZL,O,X,X,X,O
OSIJLTZ,O,X,X,O,X
OSIJLZT,O,X,X,O,O
OSIJZTL,O,X,X,X,O
OSIJZLT,O,X,X,O,O
OSIZTLJ,X,X,X,X,O
OSIZTJL,X,X,X,X,O
OSIZLTJ,X,X,O,O,O
OSIZLJT,X,X,O,O,O
OSIZJTL,X,X,X,X,O
OSIZJLT,X,X,X,O,O
OSLTIJZ,O,X,X,O,X
OSLTIZJ,X,X,O,O,X
OSLTJIZ,O,X,X,O,X
OSLTJZI,O,X,X,O,X
OSLTZIJ,X,X,O,O,X
OSLTZJI,X,X,O,O,X
OSLITJZ,O,X,X,O,X
OSLITZJ,X,X,O,O,X
OSLIJTZ,O,X,X,O,X
OSLIJZT,O,X,O,O,O
OSLIZTJ,X,X,O,O,O
OSLIZJT,X,X,O,O,O
OSLJTIZ,O,X,X,O,X
OSLJTZI,O,X,X,O,X
OSLJITZ,O,X,X,O,X
OSLJIZT,O,X,O,O,O
OSLJZTI,O,X,O,O,O
OSLJZIT,O,X,O,O,O
OSLZTIJ,X,O,O,O,O
OSLZTJI,X,O,O,O,O
OSLZITJ,X,X,O,O,O
OSLZIJT,X,X,O,O,O
OSLZJTI,X,O,O,O,O
OSLZJIT,X,X,O,O,O
OSJTILZ,O,X,X,O,X
OSJTIZL,O,X,X,X,O
OSJTLIZ,O,X,X,O,X
OSJTLZI,O,X,X,O,X
OSJTZIL,O,X,X,X,O
OSJTZLI,O,X,X,X,O
OSJITLZ,O,X,X,O,X
OSJITZL,O,X,X,X,O
OSJILTZ,O,X,X,O,X
OSJILZT,O,X,X,O,O
OSJIZTL,O,X,X,X,O
OSJIZLT,O,X,X,O,O
OSJLTIZ,O,X,X,O,X
OSJLTZI,O,X,X,O,X
OSJLITZ,O,X,X,O,X
OSJLIZT,O,X,X,O,O
OSJLZTI,O,X,X,O,O
OSJLZIT,O,X,X,O,O
OSJZTIL,O,X,X,X,O
OSJZTLI,O,X,X,X,O
OSJZITL,O,X,X,X,O
OSJZILT,O,X,X,O,O
OSJZLTI,O,X,X,O,O
OSJZLIT,O,X,X,O,O
OSZTILJ,X,O,X,X,O
OSZTIJL,X,O,X,X,O
OSZTLIJ,X,O,X,X,O
OSZTLJI,X,O,X,X,O
OSZTJIL,X,O,X,X,O
OSZTJLI,X,O,X,X,O
OSZITLJ,X,X,X,X,O
OSZITJL,X,X,X,X,O
OSZILTJ,X,X,O,O,O
OSZILJT,X,X,O,O,O
OSZIJTL,X,X,X,X,O
OSZIJLT,X,X,X,O,O
OSZLTIJ,X,O,O,O,O
OSZLTJI,X,O,O,O,O
OSZLITJ,X,X,O,O,O
OSZLIJT,X,X,O,O,O
OSZLJTI,X,O,O,O,O
OSZLJIT,X,X,O,O,O
OSZJTIL,X,O,X,X,O
OSZJTLI,X,O,X,X,O
OSZJITL,X,X,X,X,O
OSZJILT,X,X,X,O,O
OSZJLTI,X,O,X,O,O
OSZJLIT,X,X,X,O,O
OZTILJS,O,O,X,X,X
OZTILSJ,X,O,O,X,X
OZTIJLS,O,O,X,X,X
OZTIJSL,O,O,X,X,X
OZTISLJ,X,O,X,X,X
OZTISJL,X,O,X,X,X
OZTLIJS,O,O,X,X,X
OZTLISJ,X,O,O,X,X
OZTLJIS,O,O,X,X,X
OZTLJSI,O,O,X,X,X
OZTLSIJ,X,O,O,X,X
OZTLSJI,X,O,O,X,X
OZTJILS,O,O,X,X,X
OZTJISL,O,O,X,X,X
OZTJLIS,O,O,X,X,X
OZTJLSI,O,O,X,X,X
OZTJSIL,O,O,X,X,X
OZTJSLI,O,O,X,X,X
OZTSILJ,X,O,X,X,X
OZTSIJL,X,O,X,X,X
OZTSLIJ,X,O,X,X,X
OZTSLJI,X,O,X,X,X
OZTSJIL,X,O,X,X,X
OZTSJLI,X,O,X,X,X
OZITLJS,O,O,X,X,X
OZITLSJ,X,O,O,X,X
OZITJLS,O,O,X,X,X
OZITJSL,O,O,X,X,X
OZITSLJ,X,O,X,X,X
OZITSJL,X,O,X,X,X
OZILTJS,O,O,X,X,X
OZILTSJ,X,O,O,O,X
OZILJTS,O,O,X,X,X
OZILJST,O,X,O,X,X
OZILSTJ,X,X,O,O,X
OZILSJT,X,X,O,O,X
OZIJTLS,O,O,X,X,X
OZIJTSL,O,O,X,X,X
OZIJLTS,O,O,X,X,X
OZIJLST,O,X,O,X,X
OZIJSTL,O,X,X,X,X
OZIJSLT,O,X,X,X,X
OZISTLJ,X,X,X,X,O
OZISTJL,X,X,X,X,O
OZISLTJ,X,X,O,O,O
OZISLJT,X,X,O,O,O
OZISJTL,X,X,X,X,O
OZISJLT,X,X,X,O,O
OZLTIJS,O,O,X,X,X
OZLTISJ,X,O,O,O,X
OZLTJIS,O,O,X,X,X
OZLTJSI,O,O,X,X,X
OZLTSIJ,X,O,O,O,X
OZLTSJI,X,O,O,O,X
OZLITJS,O,O,X,X,X
OZLITSJ,X,O,O,O,X
OZLIJTS,O,O,X,X,X
OZLIJST,O,X,O,X,X
OZLISTJ,X,X,O,O,X
OZLISJT,X,X,O,O,X
OZLJTIS,O,O,X,X,X
OZLJTSI,O,O,X,X,X
OZLJITS,O,O,X,X,X
OZLJIST,O,X,O,X,X
OZLJSTI,O,O,O,X,X
OZLJSIT,O,X,O,X,X
OZLSTIJ,X,O,O,O,X
OZLSTJI,X,O,O,O,X
OZLSITJ,X,X,O,O,X
OZLSIJT,X,X,O,O,X
OZLSJTI,X,O,O,O,X
OZLSJIT,X,X,O,O,X
OZJTILS,O,O,X,X,X
OZJTISL,O,O,X,X,X
OZJTLIS,O,O,X,X,X
OZJTLSI,O,O,X,X,X
OZJTSIL,O,O,X,X,X
OZJTSLI,O,O,X,X,X
OZJITLS,O,O,X,X,X
OZJITSL,O,O,X,X,X
OZJILTS,O,O,X,X,X
OZJILST,O,X,O,X,X
OZJISTL,O,X,X,X,X
OZJISLT,O,X,X,X,X
OZJLTIS,O,O,X,X,X
OZJLTSI,O,O,X,X,X
OZJLITS,O,O,X,X,X
OZJLIST,O,X,O,X,X
OZJLSTI,O,O,O,X,X
OZJLSIT,O,X,O,X,X
OZJSTIL,O,O,X,X,X
OZJSTLI,O,O,X,X,X
OZJSITL,O,X,X,X,X
OZJSILT,O,X,X,X,X
OZJSLTI,O,O,X,X,X
OZJSLIT,O,X,X,X,X
OZSTILJ,X,O,X,X,O
OZSTIJL,X,O,X,X,O
OZSTLIJ,X,O,X,X,O
OZSTLJI,X,O,X,X,O
OZSTJIL,X,O,X,X,O
OZSTJLI,X,O,X,X,O
OZSITLJ,X,X,X,X,O
OZSITJL,X,X,X,X,O
OZSILTJ,X,X,O,O,O
OZSILJT,X,X,O,O,O
OZSIJTL,X,X,X,X,O
OZSIJLT,X,X,X,O,O
OZSLTIJ,X,O,O,O,O
OZSLTJI,X,O,O,O,O
OZSLITJ,X,X,O,O,O
OZSLIJT,X,X,O,O,O
OZSLJTI,X,O,O,O,O
OZSLJIT,X,X,O,O,O
OZSJTIL,X,O,X,X,O
OZSJTLI,X,O,X,X,O
OZSJITL,X,X,X,X,O
OZSJILT,X,X,X,O,O
OZSJLTI,X,O,X,O,O
OZSJLIT,X,X,X,O,O
