sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TZJLIOS,O,X,X,O,X,O
TZJLSIO,X,X,X,O,O,X
TZJLSOI,X,X,X,O,O,X
TZJLOIS,O,X,X,O,X,O
TZJLOSI,X,X,X,O,X,X
TZJSILO,X,O,X,O,X,X
TZJSIOL,X,O,X,O,X,X
TZJSLIO,X,O,X,O,X,X
TZJSLOI,X,O,X,O,X,X
TZJSOIL,X,O,X,O,X,X
TZJSOLI,X,O,X,O,X,X
TZJOILS,O,X,X,O,X,O
TZJOISL,X,O,X,O,X,X
TZJOLIS,O,X,X,O,X,O
TZJOLSI,X,X,X,O,X,X
TZJOSIL,X,O,X,O,X,X
TZJOSLI,X,O,X,O,X,X
TZSILJO,O,X,O,O,O,X
TZSILOJ,O,X,O,O,O,X
TZSIJLO,O,O,O,O,O,X
TZSIJOL,O,O,X,O,O,X
TZSIOLJ,O,X,O,O,O,X
TZSIOJL,O,O,X,O,O,X
TZSLIJO,O,X,O,O,O,X
TZSLIOJ,O,X,O,O,O,X
TZSLJIO,O,X,O,O,O,X
TZSLJOI,O,X,X,O,O,X
TZSLOIJ,O,X,O,O,O,X
TZSLOJI,O,X,X,O,O,X
TZSJILO,O,O,O,O,O,X
TZSJIOL,O,O,X,O,O,X
TZSJLIO,O,O,O,O,O,X
TZSJLOI,O,O,X,O,O,X
TZSJOIL,O,O,X,O,O,X
TZSJOLI,O,O,X,O,O,X
TZSOILJ,O,X,O,O,O,X
TZSOIJL,O,O,X,O,O,X
TZSOLIJ,O,X,O,O,O,X
TZSOLJI,O,X,X,O,O,X
TZSOJIL,O,O,X,O,O,X
TZSOJLI,O,O,X,O,O,X
TZOILJS,O,X,X,O,X,O
TZOILSJ,O,X,X,O,X,O
TZOIJLS,O,X,X,O,X,O
TZOIJSL,X,O,X,O,X,X
TZOISLJ,O,X,X,O,X,X
TZOISJL,O,O,X,O,X,X
