sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
SJZTLIO,O,O,O,O,O,X
SJZTLOI,O,O,X,O,O,X
SJZTOIL,O,O,X,O,O,X
SJZTOLI,O,O,X,O,O,X
SJZITLO,O,O,O,O,O,X
SJZITOL,O,O,X,O,O,X
SJZILTO,O,O,O,O,O,X
SJZILOT,O,O,X,X,O,X
SJZIOTL,O,O,X,O,O,X
SJZIOLT,O,O,X,X,O,X
SJZLTIO,O,O,O,O,O,X
SJZLTOI,O,O,X,O,O,X
SJZLITO,O,O,O,O,O,X
SJZLIOT,O,O,X,X,O,X
SJZLOTI,O,O,X,X,O,X
SJZLOIT,O,O,X,X,O,X
SJZOTIL,O,O,X,O,O,X
SJZOTLI,O,O,X,O,O,X
SJZOITL,O,O,X,O,O,X
SJZOILT,O,O,X,X,O,X
SJZOLTI,O,O,X,X,O,X
SJZOLIT,O,O,X,X,O,X
SJOTILZ,X,O,O,X,X,O
SJOTIZL,X,O,O,X,X,X
SJOTLIZ,X,O,O,X,X,O
SJOTLZI,X,O,O,X,X,X
SJOTZIL,X,O,O,X,X,X
SJOTZLI,X,O,O,X,X,X
SJOITLZ,X,O,O,X,X,O
SJOITZL,X,O,O,X,X,X
SJOILTZ,X,O,O,X,X,O
SJOILZT,X,O,O,X,O,X
SJOIZTL,X,O,O,X,O,X
SJOIZLT,X,O,O,X,O,X
SJOLTIZ,X,O,O,X,X,O
SJOLTZI,X,O,O,X,X,X
SJOLITZ,X,O,O,X,X,O
SJOLIZT,X,O,O,X,O,X
SJOLZTI,X,O,O,X,O,X
SJOLZIT,X,O,O,X,O,X
SJOZTIL,X,O,O,X,O,X
SJOZTLI,X,O,O,X,O,X
SJOZITL,X,O,O,X,O,X
SJOZILT,X,O,O,X,O,X
SJOZLTI,X,O,O,X,O,X
SJOZLIT,X,O,O,X,O,X
SZTILJO,O,X,O,O,O,X
SZTILOJ,O,X,O,O,O,X
SZTIJLO,O,O,O,O,O,X
SZTIJOL,O,O,X,O,O,X
SZTIOLJ,O,X,O,O,O,X
SZTIOJL,O,O,X,O,O,X
SZTLIJO,O,X,O,O,O,X
SZTLIOJ,O,X,O,O,O,X
SZTLJIO,O,X,O,O,O,X
SZTLJOI,O,X,X,O,O,X
SZTLOIJ,O,X,O,O,O,X
SZTLOJI,O,X,X,O,O,X
SZTJILO,O,O,O,O,O,X
SZTJIOL,O,O,X,O,O,X
SZTJLIO,O,O,O,O,O,X
SZTJLOI,O,O,X,O,O,X
SZTJOIL,O,O,X,O,O,X
SZTJOLI,O,O,X,O,O,X
SZTOILJ,O,X,O,O,O,X
SZTOIJL,O,O,X,O,O,X
SZTOLIJ,O,X,O,O,O,X
SZTOLJI,O,X,X,O,O,X
SZTOJIL,O,O,X,O,O,X
SZTOJLI,O,O,X,O,O,X
SZITLJO,O,X,O,O,O,X
SZITLOJ,O,X,O,O,O,X
SZITJLO,O,O,O,O,O,X
SZITJOL,O,O,X,O,O,X
SZITOLJ,O,X,O,O,O,X
SZITOJL,O,O,X,O,O,X
SZILTJO,O,X,O,O,O,X
SZILTOJ,O,X,O,O,O,X
SZILJTO,O,O,O,O,O,X
SZILJOT,O,O,X,X,O,X
SZILOTJ,O,X,O,X,O,X
SZILOJT,O,O,O,X,O,X
SZIJTLO,O,O,O,O,O,X
SZIJTOL,O,O,X,O,O,X
SZIJLTO,O,O,O,O,O,X
SZIJLOT,O,O,X,X,O,X
SZIJOTL,O,O,X,O,O,X
SZIJOLT,O,O,X,X,O,X
SZIOTLJ,O,X,O,O,O,X
SZIOTJL,O,O,O,O,O,X
SZIOLTJ,O,X,O,X,O,X
SZIOLJT,O,O,O,X,O,X
SZIOJTL,O,O,O,O,O,X
SZIOJLT,O,O,O,X,O,X
SZLTIJO,O,X,O,O,O,X
SZLTIOJ,O,X,O,O,O,X
SZLTJIO,O,X,O,O,O,X
SZLTJOI,O,X,X,O,O,X
SZLTOIJ,O,X,O,O,O,X
SZLTOJI,O,X,X,O,O,X
SZLITJO,O,X,O,O,O,X
SZLITOJ,O,X,O,O,O,X
SZLIJTO,O,O,O,O,O,X
SZLIJOT,O,O,X,X,O,X
SZLIOTJ,O,X,O,X,O,X
SZLIOJT,O,O,O,X,O,X
SZLJTIO,O,O,O,O,O,X
SZLJTOI,O,O,X,O,O,X
SZLJITO,O,O,O,O,O,X
SZLJIOT,O,O,X,X,O,X
SZLJOTI,O,O,X,X,O,X
SZLJOIT,O,O,X,X,O,X
SZLOTIJ,O,X,O,X,O,X
SZLOTJI,O,X,O,X,O,X
SZLOITJ,O,X,O,X,O,X
SZLOIJT,O,O,O,X,O,X
SZLOJTI,O,O,O,X,O,X
SZLOJIT,O,O,O,X,O,X
SZJTILO,O,O,O,O,O,X
SZJTIOL,O,O,X,O,O,X
SZJTLIO,O,O,O,O,O,X
SZJTLOI,O,O,X,O,O,X
SZJTOIL,O,O,X,O,O,X
SZJTOLI,O,O,X,O,O,X
SZJITLO,O,O,O,O,O,X
SZJITOL,O,O,X,O,O,X
SZJILTO,O,O,O,O,O,X
SZJILOT,O,O,X,X,O,X
SZJIOTL,O,O,X,O,O,X
SZJIOLT,O,O,X,X,O,X
SZJLTIO,O,O,O,O,O,X
SZJLTOI,O,O,X,O,O,X
SZJLITO,O,O,O,O,O,X
SZJLIOT,O,O,X,X,O,X
SZJLOTI,O,O,X,X,O,X
SZJLOIT,O,O,X,X,O,X
SZJOTIL,O,O,X,O,O,X
SZJOTLI,O,O,X,O,O,X
SZJOITL,O,O,X,O,O,X
SZJOILT,O,O,X,X,O,X
SZJOLTI,O,O,X,X,O,X
SZJOLIT,O,O,X,X,O,X
SZOTILJ,O,X,O,O,O,X
SZOTIJL,O,O,O,O,O,X
SZOTLIJ,O,X,O,O,O,X
SZOTLJI,O,X,O,O,O,X
SZOTJIL,O,O,O,O,O,X
SZOTJLI,O,O,O,O,O,X
SZOITLJ,O,X,O,O,O,X
SZOITJL,O,O,O,O,O,X
SZOILTJ,O,X,O,X,O,X
SZOILJT,O,O,O,X,O,X
SZOIJTL,O,O,O,O,O,X
SZOIJLT,O,O,O,X,O,X
SZOLTIJ,O,X,O,X,O,X
SZOLTJI,O,X,O,X,O,X
SZOLITJ,O,X,O,X,O,X
SZOLIJT,O,O,O,X,O,X
SZOLJTI,O,O,O,X,O,X
SZOLJIT,O,O,O,X,O,X
SZOJTIL,O,O,O,O,O,X
SZOJTLI,O,O,O,O,O,X
SZOJITL,O,O,O,O,O,X
SZOJILT,O,O,O,X,O,X
SZOJLTI,O,O,O,X,O,X
SZOJLIT,O,O,O,X,O,X
SOTILJZ,X,O,O,X,X,O
SOTILZJ,O,X,O,O,O,O
SOTIJLZ,X,O,O,X,X,O
SOTIJZL,X,O,O,O,X,X
SOTIZLJ,O,X,O,O,O,X
SOTIZJL,O,O,O,O,O,X
SOTLIJZ,X,O,O,X,X,O
SOTLIZJ,O,X,O,O,O,O
SOTLJIZ,X,O,O,X,X,O
SOTLJZI,X,O,O,X,X,X
SOTLZIJ,O,X,O,O,O,X
SOTLZJI,O,X,O,O,O,X
SOTJILZ,X,O,O,X,X,O
SOTJIZL,X,O,O,O,X,X
SOTJLIZ,X,O,O,X,X,O
SOTJLZI,X,O,O,X,X,X
SOTJZIL,X,O,O,O,X,X
SOTJZLI,X,O,O,O,X,X
SOTZILJ,O,X,O,O,O,X
SOTZIJL,O,O,O,O,O,X
SOTZLIJ,O,X,O,O,O,X
SOTZLJI,O,X,O,O,O,X
SOTZJIL,O,O,O,O,O,X
SOTZJLI,O,O,O,O,O,X
SOITLJZ,X,O,O,X,X,O
SOITLZJ,O,X,O,O,O,O
SOITJLZ,X,O,O,X,X,O
SOITJZL,X,O,O,O,X,X
SOITZLJ,O,X,O,O,O,X
SOITZJL,O,O,O,O,O,X
SOILTJZ,X,O,O,X,X,O
SOILTZJ,O,X,O,X,O,O
SOILJTZ,X,O,O,X,X,O
SOILJZT,X,O,O,X,O,X
SOILZTJ,O,X,O,X,O,X
SOILZJT,O,O,O,X,O,X
SOIJTLZ,X,O,O,X,X,O
SOIJTZL,X,O,O,X,X,X
SOIJLTZ,X,O,O,X,X,O
SOIJLZT,X,O,O,X,O,X
SOIJZTL,X,O,O,X,O,X
SOIJZLT,X,O,O,X,O,X
SOIZTLJ,O,X,O,O,O,X
SOIZTJL,O,O,O,O,O,X
SOIZLTJ,O,X,O,X,O,X
SOIZLJT,O,O,O,X,O,X
SOIZJTL,O,O,O,O,O,X
SOIZJLT,O,O,O,X,O,X
SOLTIJZ,X,O,O,X,X,O
SOLTIZJ,O,X,O,X,O,O
SOLTJIZ,X,O,O,X,X,O
SOLTJZI,X,O,O,X,X,X
SOLTZIJ,O,X,O,X,O,X
SOLTZJI,O,X,O,X,O,X
SOLITJZ,X,O,O,X,X,O
SOLITZJ,O,X,O,X,O,O
SOLIJTZ,X,O,O,X,X,O
SOLIJZT,X,O,O,X,O,X
SOLIZTJ,O,X,O,X,O,X
SOLIZJT,O,O,O,X,O,X
SOLJTIZ,X,O,O,X,X,O
SOLJTZI,X,O,O,X,X,X
SOLJITZ,X,O,O,X,X,O
SOLJIZT,X,O,O,X,O,X
SOLJZTI,X,O,O,X,O,X
SOLJZIT,X,O,O,X,O,X
SOLZTIJ,O,X,O,X,O,X
SOLZTJI,O,X,O,X,O,X
SOLZITJ,O,X,O,X,O,X
SOLZIJT,O,O,O,X,O,X
SOLZJTI,O,O,O,X,O,X
SOLZJIT,O,O,O,X,O,X
SOJTILZ,X,O,O,X,X,O
SOJTIZL,X,O,O,X,X,X
SOJTLIZ,X,O,O,X,X,O
SOJTLZI,X,O,O,X,X,X
SOJTZIL,X,O,O,X,X,X
SOJTZLI,X,O,O,X,X,X
SOJITLZ,X,O,O,X,X,O
SOJITZL,X,O,O,X,X,X
SOJILTZ,X,O,O,X,X,O
SOJILZT,X,O,O,X,O,X
SOJIZTL,X,O,O,X,O,X
SOJIZLT,X,O,O,X,O,X
SOJLTIZ,X,O,O,X,X,O
SOJLTZI,X,O,O,X,X,X
SOJLITZ,X,O,O,X,X,O
SOJLIZT,X,O,O,X,O,X
SOJLZTI,X,O,O,X,O,X
SOJLZIT,X,O,O,X,O,X
SOJZTIL,X,O,O,X,O,X
SOJZTLI,X,O,O,X,O,X
SOJZITL,X,O,O,X,O,X
SOJZILT,X,O,O,X,O,X
SOJZLTI,X,O,O,X,O,X
SOJZLIT,X,O,O,X,O,X
SOZTILJ,O,X,O,O,O,X
SOZTIJL,O,O,O,O,O,X
SOZTLIJ,O,X,O,O,O,X
SOZTLJI,O,X,O,O,O,X
SOZTJIL,O,O,O,O,O,X
SOZTJLI,O,O,O,O,O,X
SOZITLJ,O,X,O,O,O,X
SOZITJL,O,O,O,O,O,X
SOZILTJ,O,X,O,X,O,X
SOZILJT,O,O,O,X,O,X
SOZIJTL,O,O,O,O,O,X
SOZIJLT,O,O,O,X,O,X
SOZLTIJ,O,X,O,X,O,X
SOZLTJI,O,X,O,X,O,X
SOZLITJ,O,X,O,X,O,X
SOZLIJT,O,O,O,X,O,X
SOZLJTI,O,O,O,X,O,X
SOZLJIT,O,O,O,X,O,X
SOZJTIL,O,O,O,O,O,X
SOZJTLI,O,O,O,O,O,X
SOZJITL,O,O,O,O,O,X
SOZJILT,O,O,O,X,O,X
SOZJLTI,O,O,O,X,O,X
SOZJLIT,O,O,O,X,O,X
ZTILJSO,X,X,X,O,O,O
ZTILJOS,O,X,X,O,X,O
ZTILSJO,O,X,O,O,O,O
ZTILSOJ,O,X,O,O,O,O
ZTILOJS,O,X,X,O,X,O
ZTILOSJ,O,X,X,O,X,O
ZTIJLSO,X,X,X,O,O,O
ZTIJLOS,O,X,X,O,X,O
ZTIJSLO,X,O,X,O,X,X
ZTIJSOL,X,O,X,O,X,X
ZTIJOLS,O,X,X,O,X,O
ZTIJOSL,X,O,X,O,X,X
ZTISLJO,O,X,O,O,O,X
ZTISLOJ,O,X,O,O,O,X
ZTISJLO,O,O,O,O,O,X
ZTISJOL,O,O,X,O,O,X
ZTISOLJ,O,X,O,O,O,X
ZTISOJL,O,O,X,O,O,X
ZTIOLJS,O,X,X,O,X,O
ZTIOLSJ,O,X,X,O,X,O
ZTIOJLS,O,X,X,O,X,O
ZTIOJSL,X,O,X,O,X,X
ZTIOSLJ,O,X,X,O,X,X
ZTIOSJL,O,O,X,O,X,X
ZTLIJSO,X,X,X,O,O,O
ZTLIJOS,O,X,X,O,X,O
ZTLISJO,O,X,O,O,O,O
ZTLISOJ,O,X,O,O,O,O
ZTLIOJS,O,X,X,O,X,O
ZTLIOSJ,O,X,X,O,X,O
ZTLJISO,X,X,X,O,O,O
ZTLJIOS,O,X,X,O,X,O
ZTLJSIO,X,X,X,O,O,X
ZTLJSOI,X,X,X,O,O,X
ZTLJOIS,O,X,X,O,X,O
ZTLJOSI,X,X,X,O,X,X
ZTLSIJO,O,X,O,O,O,X
ZTLSIOJ,O,X,O,O,O,X
ZTLSJIO,O,X,O,O,O,X
ZTLSJOI,O,X,X,O,O,X
ZTLSOIJ,O,X,O,O,O,X
ZTLSOJI,O,X,X,O,O,X
ZTLOIJS,O,X,X,O,X,O
ZTLOISJ,O,X,X,O,X,O
ZTLOJIS,O,X,X,O,X,O
ZTLOJSI,X,X,X,O,X,X
ZTLOSIJ,O,X,X,O,X,X
ZTLOSJI,O,X,X,O,X,X
ZTJILSO,X,X,X,O,O,O
ZTJILOS,O,X,X,O,X,O
ZTJISLO,X,O,X,O,X,X
ZTJISOL,X,O,X,O,X,X
ZTJIOLS,O,X,X,O,X,O
ZTJIOSL,X,O,X,O,X,X
ZTJLISO,X,X,X,O,O,O
ZTJLIOS,O,X,X,O,X,O
ZTJLSIO,X,X,X,O,O,X
ZTJLSOI,X,X,X,O,O,X
ZTJLOIS,O,X,X,O,X,O
ZTJLOSI,X,X,X,O,X,X
ZTJSILO,X,O,X,O,X,X
ZTJSIOL,X,O,X,O,X,X
ZTJSLIO,X,O,X,O,X,X
ZTJSLOI,X,O,X,O,X,X
ZTJSOIL,X,O,X,O,X,X
ZTJSOLI,X,O,X,O,X,X
ZTJOILS,O,X,X,O,X,O
ZTJOISL,X,O,X,O,X,X
ZTJOLIS,O,X,X,O,X,O
ZTJOLSI,X,X,X,O,X,X
ZTJOSIL,X,O,X,O,X,X
ZTJOSLI,X,O,X,O,X,X
ZTSILJO,O,X,O,O,O,X
ZTSILOJ,O,X,O,O,O,X
ZTSIJLO,O,O,O,O,O,X
ZTSIJOL,O,O,X,O,O,X
ZTSIOLJ,O,X,O,O,O,X
ZTSIOJL,O,O,X,O,O,X
ZTSLIJO,O,X,O,O,O,X
ZTSLIOJ,O,X,O,O,O,X
ZTSLJIO,O,X,O,O,O,X
ZTSLJOI,O,X,X,O,O,X
ZTSLOIJ,O,X,O,O,O,X
ZTSLOJI,O,X,X,O,O,X
ZTSJILO,O,O,O,O,O,X
ZTSJIOL,O,O,X,O,O,X
ZTSJLIO,O,O,O,O,O,X
ZTSJLOI,O,O,X,O,O,X
ZTSJOIL,O,O,X,O,O,X
ZTSJOLI,O,O,X,O,O,X
ZTSOILJ,O,X,O,O,O,X
ZTSOIJL,O,O,X,O,O,X
ZTSOLIJ,O,X,O,O,O,X
ZTSOLJI,O,X,X,O,O,X
ZTSOJIL,O,O,X,O,O,X
ZTSOJLI,O,O,X,O,O,X
ZTOILJS,O,X,X,O,X,O
ZTOILSJ,O,X,X,O,X,O
ZTOIJLS,O,X,X,O,X,O
ZTOIJSL,X,O,X,O,X,X
ZTOISLJ,O,X,X,O,X,X
ZTOISJL,O,O,X,O,X,X
ZTOLIJS,O,X,X,O,X,O
ZTOLISJ,O,X,X,O,X,O
ZTOLJIS,O,X,X,O,X,O
ZTOLJSI,X,X,X,O,X,X
ZTOLSIJ,O,X,X,O,X,X
ZTOLSJI,O,X,X,O,X,X
ZTOJILS,O,X,X,O,X,O
ZTOJISL,X,O,X,O,X,X
ZTOJLIS,O,X,X,O,X,O
ZTOJLSI,X,X,X,O,X,X
ZTOJSIL,X,O,X,O,X,X
ZTOJSLI,X,O,X,O,X,X
ZTOSILJ,O,X,X,O,X,X
ZTOSIJL,O,O,X,O,X,X
ZTOSLIJ,O,X,X,O,X,X
ZTOSLJI,O,X,X,O,X,X
ZTOSJIL,O,O,X,O,X,X
ZTOSJLI,O,O,X,O,X,X
ZITLJSO,X,X,X,O,O,O
ZITLJOS,O,X,X,O,X,O
ZITLSJO,O,X,O,O,O,O
ZITLSOJ,O,X,O,O,O,O
ZITLOJS,O,X,X,O,X,O
ZITLOSJ,O,X,X,O,X,O
ZITJLSO,X,X,X,O,O,O
ZITJLOS,O,X,X,O,X,O
ZITJSLO,X,O,X,O,X,X
ZITJSOL,X,O,X,O,X,X
ZITJOLS,O,X,X,O,X,O
ZITJOSL,X,O,X,O,X,X
ZITSLJO,O,X,O,O,O,X
ZITSLOJ,O,X,O,O,O,X
ZITSJLO,O,O,O,O,O,X
ZITSJOL,O,O,X,O,O,X
ZITSOLJ,O,X,O,O,O,X
ZITSOJL,O,O,X,O,O,X
ZITOLJS,O,X,X,O,X,O
ZITOLSJ,O,X,X,O,X,O
ZITOJLS,O,X,X,O,X,O
ZITOJSL,X,O,X,O,X,X
ZITOSLJ,O,X,X,O,X,X
ZITOSJL,O,O,X,O,X,X
ZILTJSO,X,X,X,O,O,O
ZILTJOS,O,X,X,O,X,O
ZILTSJO,O,X,O,O,O,O
ZILTSOJ,O,X,O,O,O,O
ZILTOJS,O,X,X,O,X,O
ZILTOSJ,O,X,X,O,X,O
ZILJTSO,X,X,X,O,O,O
ZILJTOS,O,X,X,O,X,O
ZILJSTO,O,O,O,O,O,X
ZILJSOT,O,O,X,X,O,X
ZILJOTS,O,X,X,X,X,O
ZILJOST,O,O,X,X,O,X
ZILSTJO,O,X,O,O,O,X
ZILSTOJ,O,X,O,O,O,X
ZILSJTO,O,O,O,O,O,X
ZILSJOT,O,O,X,X,O,X
ZILSOTJ,O,X,O,X,O,X
ZILSOJT,O,O,O,X,O,X
ZILOTJS,O,X,X,X,X,O
ZILOTSJ,O,X,O,X,X,O
ZILOJTS,O,X,X,X,X,O
ZILOJST,O,O,O,X,O,X
ZILOSTJ,O,X,O,X,O,X
ZILOSJT,O,O,O,X,O,X
ZIJTLSO,X,X,X,O,O,O
ZIJTLOS,O,X,X,O,X,O
ZIJTSLO,X,O,X,O,X,X
ZIJTSOL,X,O,X,O,X,X
ZIJTOLS,O,X,X,O,X,O
ZIJTOSL,X,O,X,O,X,X
ZIJLTSO,X,X,X,O,O,O
ZIJLTOS,O,X,X,O,X,O
ZIJLSTO,O,O,O,O,O,X
ZIJLSOT,O,O,X,X,O,X
ZIJLOTS,O,X,X,X,X,O
ZIJLOST,O,O,X,X,O,X
ZIJSTLO,O,O,O,O,O,X
ZIJSTOL,O,O,X,O,O,X
ZIJSLTO,O,O,O,O,O,X
ZIJSLOT,O,O,X,X,O,X
ZIJSOTL,O,O,X,O,O,X
ZIJSOLT,O,O,X,X,O,X
ZIJOTLS,O,X,X,O,X,O
ZIJOTSL,X,O,X,O,X,X
ZIJOLTS,O,X,X,X,X,O
ZIJOLST,O,O,X,X,O,X
ZIJOSTL,O,O,X,O,X,X
ZIJOSLT,O,O,X,X,X,X
ZISTLJO,O,X,O,O,O,X
ZISTLOJ,O,X,O,O,O,X
ZISTJLO,O,O,O,O,O,X
ZISTJOL,O,O,X,O,O,X
ZISTOLJ,O,X,O,O,O,X
ZISTOJL,O,O,X,O,O,X
ZISLTJO,O,X,O,O,O,X
ZISLTOJ,O,X,O,O,O,X
ZISLJTO,O,O,O,O,O,X
ZISLJOT,O,O,X,X,O,X
ZISLOTJ,O,X,O,X,O,X
ZISLOJT,O,O,O,X,O,X
ZISJTLO,O,O,O,O,O,X
ZISJTOL,O,O,X,O,O,X
ZISJLTO,O,O,O,O,O,X
ZISJLOT,O,O,X,X,O,X
ZISJOTL,O,O,X,O,O,X
ZISJOLT,O,O,X,X,O,X
ZISOTLJ,O,X,O,O,O,X
ZISOTJL,O,O,O,O,O,X
ZISOLTJ,O,X,O,X,O,X
ZISOLJT,O,O,O,X,O,X
ZISOJTL,O,O,O,O,O,X
ZISOJLT,O,O,O,X,O,X
ZIOTLJS,O,X,X,O,X,O
ZIOTLSJ,O,X,O,O,X,O
ZIOTJLS,O,X,X,O,X,O
ZIOTJSL,X,O,X,O,X,X
ZIOTSLJ,O,X,O,O,X,X
ZIOTSJL,O,O,O,O,X,X
ZIOLTJS,O,X,X,X,X,O
ZIOLTSJ,O,X,O,X,X,O
ZIOLJTS,O,X,X,X,X,O
ZIOLJST,O,O,O,X,O,X
ZIOLSTJ,O,X,O,X,O,X
ZIOLSJT,O,O,O,X,O,X
ZIOJTLS,O,X,X,O,X,O
ZIOJTSL,X,O,X,O,X,X
ZIOJLTS,O,X,X,X,X,O
ZIOJLST,O,O,O,X,O,X
ZIOJSTL,O,O,O,O,X,X
ZIOJSLT,O,O,O,X,X,X
ZIOSTLJ,O,X,O,O,O,X
ZIOSTJL,O,O,O,O,O,X
ZIOSLTJ,O,X,O,X,O,X
ZIOSLJT,O,O,O,X,O,X
ZIOSJTL,O,O,O,O,O,X
ZIOSJLT,O,O,O,X,O,X
ZLTIJSO,X,X,X,O,O,O
ZLTIJOS,O,X,X,O,X,O
ZLTISJO,O,X,O,O,O,O
ZLTISOJ,O,X,O,O,O,O
ZLTIOJS,O,X,X,O,X,O
ZLTIOSJ,O,X,X,O,X,O
ZLTJISO,X,X,X,O,O,O
ZLTJIOS,O,X,X,O,X,O
ZLTJSIO,X,X,X,O,O,X
ZLTJSOI,X,X,X,O,O,X
ZLTJOIS,O,X,X,O,X,O
ZLTJOSI,X,X,X,O,X,X
ZLTSIJO,O,X,O,O,O,X
ZLTSIOJ,O,X,O,O,O,X
ZLTSJIO,O,X,O,O,O,X
ZLTSJOI,O,X,X,O,O,X
ZLTSOIJ,O,X,O,O,O,X
ZLTSOJI,O,X,X,O,O,X
ZLTOIJS,O,X,X,O,X,O
ZLTOISJ,O,X,X,O,X,O
ZLTOJIS,O,X,X,O,X,O
ZLTOJSI,X,X,X,O,X,X
ZLTOSIJ,O,X,X,O,X,X
ZLTOSJI,O,X,X,O,X,X
ZLITJSO,X,X,X,O,O,O
ZLITJOS,O,X,X,O,X,O
ZLITSJO,O,X,O,O,O,O
ZLITSOJ,O,X,O,O,O,O
ZLITOJS,O,X,X,O,X,O
ZLITOSJ,O,X,X,O,X,O
ZLIJTSO,X,X,X,O,O,O
ZLIJTOS,O,X,X,O,X,O
ZLIJSTO,O,O,O,O,O,X
ZLIJSOT,O,O,X,X,O,X
ZLIJOTS,O,X,X,X,X,O
ZLIJOST,O,O,X,X,O,X
ZLISTJO,O,X,O,O,O,X
ZLISTOJ,O,X,O,O,O,X
ZLISJTO,O,O,O,O,O,X
ZLISJOT,O,O,X,X,O,X
ZLISOTJ,O,X,O,X,O,X
ZLISOJT,O,O,O,X,O,X
ZLIOTJS,O,X,X,X,X,O
ZLIOTSJ,O,X,O,X,X,O
ZLIOJTS,O,X,X,X,X,O
ZLIOJST,O,O,O,X,O,X
ZLIOSTJ,O,X,O,X,O,X
ZLIOSJT,O,O,O,X,O,X
ZLJTISO,X,X,X,O,O,O
ZLJTIOS,O,X,X,O,X,O
ZLJTSIO,X,X,X,O,O,X
ZLJTSOI,X,X,X,O,O,X
ZLJTOIS,O,X,X,O,X,O
ZLJTOSI,X,X,X,O,X,X
ZLJITSO,X,X,X,O,O,O
ZLJITOS,O,X,X,O,X,O
ZLJISTO,O,O,O,O,O,X
ZLJISOT,O,O,X,X,O,X
ZLJIOTS,O,X,X,X,X,O
ZLJIOST,O,O,X,X,O,X
ZLJSTIO,O,O,O,O,O,X
ZLJSTOI,O,O,X,O,O,X
ZLJSITO,O,O,O,O,O,X
ZLJSIOT,O,O,X,X,O,X
ZLJSOTI,O,O,X,X,O,X
ZLJSOIT,O,O,X,X,O,X
ZLJOTIS,O,X,X,X,X,O
ZLJOTSI,X,X,X,X,X,X
ZLJOITS,O,X,X,X,X,O
ZLJOIST,O,O,X,X,O,X
ZLJOSTI,O,O,X,X,O,X
ZLJOSIT,O,O,X,X,O,X
ZLSTIJO,O,X,O,O,O,X
ZLSTIOJ,O,X,O,O,O,X
ZLSTJIO,O,X,O,O,O,X
ZLSTJOI,O,X,X,O,O,X
ZLSTOIJ,O,X,O,O,O,X
ZLSTOJI,O,X,X,O,O,X
ZLSITJO,O,X,O,O,O,X
ZLSITOJ,O,X,O,O,O,X
ZLSIJTO,O,O,O,O,O,X
ZLSIJOT,O,O,X,X,O,X
ZLSIOTJ,O,X,O,X,O,X
ZLSIOJT,O,O,O,X,O,X
ZLSJTIO,O,O,O,O,O,X
ZLSJTOI,O,O,X,O,O,X
ZLSJITO,O,O,O,O,O,X
ZLSJIOT,O,O,X,X,O,X
ZLSJOTI,O,O,X,X,O,X
ZLSJOIT,O,O,X,X,O,X
ZLSOTIJ,O,X,O,X,O,X
ZLSOTJI,O,X,O,X,O,X
ZLSOITJ,O,X,O,X,O,X
ZLSOIJT,O,O,O,X,O,X
ZLSOJTI,O,O,O,X,O,X
ZLSOJIT,O,O,O,X,O,X
ZLOTIJS,O,X,X,X,X,O
ZLOTISJ,O,X,O,X,X,O
ZLOTJIS,O,X,X,X,X,O
ZLOTJSI,X,X,X,X,X,X
ZLOTSIJ,O,X,O,X,X,X
ZLOTSJI,O,X,O,X,X,X
ZLOITJS,O,X,X,X,X,O
ZLOITSJ,O,X,O,X,X,O
ZLOIJTS,O,X,X,X,X,O
ZLOIJST,O,O,O,X,O,X
ZLOISTJ,O,X,O,X,O,X
ZLOISJT,O,O,O,X,O,X
ZLOJTIS,O,X,X,X,X,O
ZLOJTSI,X,X,X,X,X,X
ZLOJITS,O,X,X,X,X,O
ZLOJIST,O,O,O,X,O,X
ZLOJSTI,O,O,O,X,O,X
ZLOJSIT,O,O,O,X,O,X
ZLOSTIJ,O,X,O,X,O,X
ZLOSTJI,O,X,O,X,O,X
ZLOSITJ,O,X,O,X,O,X
ZLOSIJT,O,O,O,X,O,X
ZLOSJTI,O,O,O,X,O,X
ZLOSJIT,O,O,O,X,O,X
ZJTILSO,X,X,X,O,O,O
ZJTILOS,O,X,X,O,X,O
ZJTISLO,X,O,X,O,X,X
ZJTISOL,X,O,X,O,X,X
ZJTIOLS,O,X,X,O,X,O
ZJTIOSL,X,O,X,O,X,X
ZJTLISO,X,X,X,O,O,O
ZJTLIOS,O,X,X,O,X,O
ZJTLSIO,X,X,X,O,O,X
ZJTLSOI,X,X,X,O,O,X
ZJTLOIS,O,X,X,O,X,O
ZJTLOSI,X,X,X,O,X,X
ZJTSILO,X,O,X,O,X,X
ZJTSIOL,X,O,X,O,X,X
ZJTSLIO,X,O,X,O,X,X
ZJTSLOI,X,O,X,O,X,X
ZJTSOIL,X,O,X,O,X,X
ZJTSOLI,X,O,X,O,X,X
ZJTOILS,O,X,X,O,X,O
ZJTOISL,X,O,X,O,X,X
ZJTOLIS,O,X,X,O,X,O
ZJTOLSI,X,X,X,O,X,X
ZJTOSIL,X,O,X,O,X,X
