sequence,v115@RhC8AeA8DeG8CeA8JeT/IvhF/lBRhBGjB0mBlnByxB,v115@RhC8AeA8DeG8CeA8Je2EJvhFRgBFiBTjBCmBftBUsB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBGjBllB3nByxB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBCjBllBXoB2xB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgBcoBllBfsB6sBmsB
TZOLISJ,O,X,O,O,O
TZOLJIS,O,X,O,O,X
TZOLJSI,O,X,O,O,X
TZOLSIJ,O,X,O,O,O
TZOLSJI,O,X,O,O,O
TZOJILS,X,X,O,O,X
TZOJISL,O,O,O,O,O
TZOJLIS,X,O,O,O,X
TZOJLSI,O,O,O,O,X
TZOJSIL,O,O,O,O,O
TZOJSLI,O,O,X,O,O
TZOSILJ,O,X,O,O,O
TZOSIJL,O,O,O,O,O
TZOSLIJ,O,X,O,O,O
TZOSLJI,O,O,O,O,O
TZOSJIL,O,O,O,O,O
TZOSJLI,O,O,X,O,O
TOILJSZ,X,X,O,X,X
TOILJZS,X,X,O,X,X
TOILSJZ,X,X,O,X,O
TOILSZJ,X,X,O,O,O
TOILZJS,X,X,O,O,X
TOILZSJ,X,X,O,O,O
TOIJLSZ,X,X,O,X,X
TOIJLZS,X,X,O,X,X
TOIJSLZ,X,X,X,O,O
TOIJSZL,X,X,X,O,O
TOIJZLS,X,X,O,O,X
TOIJZSL,X,X,O,O,O
TOISLJZ,X,X,X,X,O
TOISLZJ,X,X,O,O,O
TOISJLZ,X,X,X,O,O
TOISJZL,X,X,X,O,O
TOISZLJ,X,X,O,O,O
TOISZJL,X,X,O,O,O
TOIZLJS,X,X,O,O,X
TOIZLSJ,X,X,O,O,O
TOIZJLS,X,X,O,O,X
TOIZJSL,X,X,O,O,O
TOIZSLJ,X,X,O,O,O
TOIZSJL,X,X,O,O,O
TOLIJSZ,O,O,O,X,X
TOLIJZS,O,X,O,X,X
TOLISJZ,O,O,O,X,O
TOLISZJ,O,O,O,O,O
TOLIZJS,O,X,O,O,X
TOLIZSJ,O,X,O,O,O
TOLJISZ,O,O,O,X,X
TOLJIZS,O,X,O,X,X
TOLJSIZ,O,O,O,O,X
TOLJSZI,O,O,O,O,X
TOLJZIS,O,X,O,O,X
TOLJZSI,O,X,O,O,X
TOLSIJZ,O,O,O,X,O
TOLSIZJ,O,O,O,O,O
TOLSJIZ,O,O,O,O,O
TOLSJZI,O,O,O,O,O
TOLSZIJ,O,O,O,O,O
TOLSZJI,O,O,O,O,O
TOLZIJS,O,X,O,O,X
TOLZISJ,O,X,O,O,O
TOLZJIS,O,X,O,O,X
TOLZJSI,O,X,O,O,X
TOLZSIJ,O,X,O,O,O
TOLZSJI,O,X,O,O,O
TOJILSZ,X,O,O,X,X
TOJILZS,X,X,O,X,X
TOJISLZ,X,O,X,O,O
TOJISZL,X,O,X,O,O
TOJIZLS,X,X,O,O,X
TOJIZSL,X,X,O,O,O
TOJLISZ,O,O,O,X,X
TOJLIZS,O,X,O,X,X
TOJLSIZ,O,O,O,O,X
TOJLSZI,O,O,O,O,X
TOJLZIS,O,X,O,O,X
TOJLZSI,O,X,O,O,X
TOJSILZ,O,O,X,O,O
TOJSIZL,O,O,X,O,O
TOJSLIZ,O,O,O,O,O
TOJSLZI,O,O,O,O,O
TOJSZIL,O,O,O,O,O
TOJSZLI,X,O,X,O,O
TOJZILS,X,X,O,O,X
TOJZISL,X,X,O,O,O
TOJZLIS,X,X,O,O,X
TOJZLSI,X,X,O,O,X
TOJZSIL,O,X,O,O,O
TOJZSLI,X,X,X,O,O
TOSILJZ,O,X,X,X,O
TOSILZJ,O,X,O,O,O
TOSIJLZ,O,O,X,O,O
TOSIJZL,O,O,X,O,O
TOSIZLJ,O,X,O,O,O
TOSIZJL,O,X,O,O,O
TOSLIJZ,O,O,O,X,O
TOSLIZJ,O,O,O,O,O
TOSLJIZ,O,O,O,O,O
TOSLJZI,O,O,O,O,O
TOSLZIJ,O,O,O,O,O
TOSLZJI,O,O,O,O,O
TOSJILZ,O,O,X,O,O
TOSJIZL,O,O,X,O,O
