sequence,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBOqB6rBzqB,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBKqBzlB+rB,v115@QhB8EeF8DeD8Je/EJvhFalBulBUiBFjBTmBxvB
TZJLIOS,X,X,X
TZJLSIO,O,O,X
TZJLSOI,O,O,X
TZJLOIS,X,X,X
TZJLOSI,X,O,X
TZJSILO,O,O,X
TZJSIOL,O,X,X
TZJSLIO,O,O,X
TZJSLOI,O,O,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,O,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,O,O,O
TZSILOJ,O,X,O
TZSIJLO,O,O,O
TZSIJOL,O,X,X
TZSIOLJ,O,X,O
TZSIOJL,O,X,O
TZSLIJO,O,O,X
TZSLIOJ,O,X,X
TZSLJIO,O,O,X
TZSLJOI,O,O,X
TZSLOIJ,O,X,X
TZSLOJI,O,X,X
TZSJILO,O,O,X
TZSJIOL,O,X,X
TZSJLIO,O,O,X
TZSJLOI,O,O,X
TZSJOIL,X,X,X
TZSJOLI,X,X,X
TZSOILJ,O,X,X
TZSOIJL,O,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,O,X,X
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,X,X,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,O,X,X
TZOJSLI,X,X,X
TZOSILJ,O,X,X
TZOSIJL,O,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,O,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,X
TOILJZS,X,X,X
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,X,X
TOIJLZS,X,X,X
TOIJSLZ,X,X,X
TOIJSZL,X,X,X
TOIJZLS,X,X,X
TOIJZSL,X,X,X
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,X,X,X
TOLIJZS,X,X,X
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,X,X,X
TOLJIZS,X,X,X
TOLJSIZ,O,X,X
TOLJSZI,O,X,X
TOLJZIS,X,X,X
TOLJZSI,O,X,X
TOLSIJZ,X,X,X
TOLSIZJ,O,X,X
TOLSJIZ,O,X,X
TOLSJZI,O,X,X
TOLSZIJ,O,X,X
TOLSZJI,O,X,X
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,O,X,X
TOLZSIJ,O,X,X
TOLZSJI,O,X,X
TOJILSZ,X,X,X
TOJILZS,X,X,X
TOJISLZ,X,X,X
TOJISZL,X,X,X
TOJIZLS,X,X,X
TOJIZSL,X,X,X
TOJLISZ,X,X,X
TOJLIZS,X,X,X
TOJLSIZ,O,X,X
TOJLSZI,O,X,X
TOJLZIS,X,X,X
TOJLZSI,O,X,X
TOJSILZ,X,X,X
TOJSIZL,O,X,X
TOJSLIZ,O,X,X
TOJSLZI,O,X,X
TOJSZIL,O,X,X
TOJSZLI,X,X,X
TOJZILS,X,X,X
TOJZISL,X,X,X
TOJZLIS,X,X,X
TOJZLSI,X,X,X
TOJZSIL,O,X,X
TOJZSLI,X,X,X
TOSILJZ,X,X,X
TOSILZJ,X,X,X
TOSIJLZ,X,X,X
TOSIJZL,X,X,X
TOSIZLJ,O,X,X
TOSIZJL,O,X,X
TOSLIJZ,X,X,X
TOSLIZJ,O,X,X
TOSLJIZ,O,X,X
TOSLJZI,O,X,X
TOSLZIJ,O,X,X
TOSLZJI,O,X,X
TOSJILZ,X,X,X
TOSJIZL,O,X,X
TOSJLIZ,O,X,X
TOSJLZI,O,X,X
TOSJZIL,O,X,X
TOSJZLI,X,X,X
TOSZILJ,O,X,X
TOSZIJL,O,X,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,O,X,X
TOSZJLI,X,X,X
TOZILJS,X,X,X
TOZILSJ,X,X,X
TOZIJLS,X,X,X
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,X,X,X
TOZLISJ,X,X,X
TOZLJIS,X,X,X
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,X,X
TOZJISL,X,X,X
TOZJLIS,X,X,X
TOZJLSI,X,X,X
TOZJSIL,O,X,X
TOZJSLI,X,X,X
TOZSILJ,O,X,X
TOZSIJL,O,X,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,O,X,X
TOZSJLI,X,X,X
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,X,X
ITLJOZS,X,X,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,X,X,X
ITLOJZS,X,X,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,X,X
