sequence,v115@OhB8GeE8DeE8JeKEJvhFflBzhBGjBUmBllBRvB,v115@OhB8GeE8DeE8Jex/IvhFKmBzhBGjB/pB0qBFqB,v115@OhB8GeE8DeE8Je0/IvhFlgBzhBGjB/pBxqByvB,v115@OhB8GeE8DeE8JeKEJvhFzfB8mBGjB3lBFmBRvB,v115@OhB8GeE8DeE8Je3AJvhFzhBGjB0kBVrBikBRvB,v115@OhB8GeE8DeE8JeRAJvhFzhBGjBypBUmB1vB/pB
TZJLOIS,X,X,X,O,X,O
TZJLOSI,O,O,X,X,X,O
TZJSILO,X,O,X,X,O,X
TZJSIOL,X,X,X,X,O,X
TZJSLIO,X,O,X,X,X,O
TZJSLOI,X,O,X,X,X,O
TZJSOIL,X,X,X,X,O,X
TZJSOLI,X,O,X,X,X,O
TZJOILS,O,X,X,X,O,O
TZJOISL,X,X,X,X,O,X
TZJOLIS,X,X,X,X,X,O
TZJOLSI,O,O,X,X,X,O
TZJOSIL,X,X,X,X,O,X
TZJOSLI,X,O,X,X,X,O
TZSILJO,X,O,X,X,O,X
TZSILOJ,X,O,X,X,O,X
TZSIJLO,X,O,X,X,O,X
TZSIJOL,X,X,X,X,O,X
TZSIOLJ,X,X,X,X,O,X
TZSIOJL,X,X,X,X,O,X
TZSLIJO,X,O,X,X,X,O
TZSLIOJ,X,O,X,X,X,O
TZSLJIO,X,O,X,X,X,O
TZSLJOI,X,O,X,X,X,O
TZSLOIJ,X,O,X,X,X,O
TZSLOJI,X,O,X,X,X,O
TZSJILO,X,O,X,X,O,X
TZSJIOL,X,X,X,X,O,X
TZSJLIO,X,O,X,X,X,O
TZSJLOI,X,O,X,X,X,O
TZSJOIL,X,X,X,X,O,X
TZSJOLI,X,O,X,X,X,O
TZSOILJ,X,X,X,X,O,X
TZSOIJL,X,X,X,X,O,X
TZSOLIJ,X,O,X,X,X,O
TZSOLJI,X,O,X,X,X,O
TZSOJIL,X,X,X,X,O,X
TZSOJLI,X,O,X,X,X,O
TZOILJS,O,X,X,X,O,O
TZOILSJ,O,X,X,X,O,O
TZOIJLS,O,X,X,X,O,O
TZOIJSL,X,X,X,X,O,X
TZOISLJ,X,X,X,X,O,X
TZOISJL,X,X,X,X,O,X
TZOLIJS,X,X,X,X,X,O
TZOLISJ,X,X,X,X,X,O
TZOLJIS,X,X,X,X,X,O
TZOLJSI,O,O,X,X,X,O
TZOLSIJ,X,O,X,X,X,O
TZOLSJI,O,O,X,X,X,O
TZOJILS,O,X,X,X,O,O
TZOJISL,X,X,X,X,O,X
TZOJLIS,X,X,X,X,X,O
TZOJLSI,O,O,X,X,X,O
TZOJSIL,X,X,X,X,O,X
TZOJSLI,X,O,X,X,X,O
TZOSILJ,X,X,X,X,O,X
TZOSIJL,X,X,X,X,O,X
TZOSLIJ,X,O,X,X,X,O
TZOSLJI,X,O,X,X,X,O
TZOSJIL,X,X,X,X,O,X
TZOSJLI,X,O,X,X,X,O
TOILJSZ,O,X,O,X,O,X
TOILJZS,O,X,X,X,O,X
TOILSJZ,O,X,O,X,O,X
TOILSZJ,O,X,O,X,O,X
TOILZJS,O,X,X,X,O,X
TOILZSJ,O,X,X,X,O,X
TOIJLSZ,O,X,O,X,O,X
TOIJLZS,O,X,X,X,O,X
TOIJSLZ,X,X,O,X,O,X
TOIJSZL,X,X,O,X,O,X
