sequence,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFqkBTgB/mBFiBOo?BcsB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgBihBFjBzkBfs?B0sB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgB/mBUiBFjBzk?BisB
ILTJOSZ,X,O,X
ILTJOZS,X,X,X
ILTSJZO,X,X,O
ILTSJOZ,X,X,X
ILTSZJO,X,X,O
ILTSZOJ,X,X,O
ILTSOJZ,X,X,O
ILTSOZJ,X,X,O
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,O,O
ILTOJZS,X,X,X
ILTOSJZ,X,X,O
ILTOSZJ,X,X,O
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,O,O
ILJTSOZ,X,O,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,O,X
ILJTOZS,X,X,X
ILJSTZO,X,O,O
ILJSTOZ,X,O,X
ILJSZTO,O,O,O
ILJSZOT,O,X,X
ILJSOTZ,X,X,X
ILJSOZT,O,X,X
ILJZTSO,X,X,X
ILJZTOS,X,X,X
ILJZSTO,O,X,X
ILJZSOT,O,X,X
ILJZOTS,X,X,X
ILJZOST,O,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,O,X,X
ILJOZTS,X,X,X
ILJOZST,O,X,X
ILSTJZO,X,O,O
ILSTJOZ,X,O,X
ILSTZJO,X,X,O
ILSTZOJ,X,X,O
ILSTOJZ,X,O,O
ILSTOZJ,X,X,O
ILSJTZO,X,O,O
ILSJTOZ,X,O,X
ILSJZTO,O,O,O
ILSJZOT,O,X,X
ILSJOTZ,X,X,X
ILSJOZT,O,X,X
ILSZTJO,O,O,O
ILSZTOJ,O,O,O
ILSZJTO,O,O,O
ILSZJOT,O,X,X
ILSZOTJ,O,O,O
ILSZOJT,O,O,O
ILSOTJZ,X,O,O
ILSOTZJ,X,X,O
ILSOJTZ,X,O,O
ILSOJZT,O,O,O
ILSOZTJ,O,O,O
ILSOZJT,O,O,O
ILZTJSO,X,X,X
