sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TLOJIZS,O,O,X,O,X,O,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,O,O,X,X,X,X,X,X
TLOJZSI,O,O,X,X,O,O,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,O,O,X,X,X,X,X,X
TLOSZJI,O,O,X,X,O,O,X,X,X,X,X,X
TLOZIJS,X,O,X,X,O,O,X,X,X,X,X,X
TLOZISJ,O,O,X,X,O,O,X,X,X,X,X,X
TLOZJIS,X,X,X,X,O,O,X,X,X,X,X,X
TLOZJSI,X,O,X,X,O,O,X,X,X,X,X,X
TLOZSIJ,X,O,X,X,O,O,X,X,X,X,X,X
TLOZSJI,X,O,X,X,O,O,X,X,X,X,X,X
TJILSZO,O,O,X,O,X,O,X,X,X,X,X,X
TJILSOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJILZSO,O,O,X,O,X,O,X,X,X,X,X,X
TJILZOS,O,O,X,O,X,O,X,X,X,X,X,X
TJILOSZ,O,O,X,O,X,X,X,X,X,X,X,X
TJILOZS,O,O,X,O,X,O,X,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,X,O,X,X,X,X,X,X,O,X
TJISZOL,O,O,X,X,X,X,X,X,X,X,O,X
TJISOLZ,O,X,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,X,O,X,O,X,X,X,X
TJIZLOS,O,O,X,O,X,O,X,O,X,O,X,X
TJIZSLO,O,O,X,O,X,X,X,X,X,X,O,X
TJIZSOL,O,O,X,X,X,X,X,X,X,O,O,X
TJIZOLS,O,X,X,X,X,O,X,X,X,O,X,X
TJIZOSL,O,O,X,X,X,X,X,X,X,O,X,X
TJIOLSZ,O,X,X,O,X,O,X,X,X,X,X,X
TJIOLZS,O,X,X,O,X,O,X,X,X,X,X,X
TJIOSLZ,O,X,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,O,X,O,X,X,X,X,X,X
TJLISOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,O,X,O,X,X,X,X,X,X
TJLIZOS,O,O,X,O,X,O,X,X,X,X,X,X
TJLIOSZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLIOZS,O,O,X,O,X,O,X,X,X,X,X,X
TJLSIZO,O,O,X,O,X,O,X,X,X,X,X,X
