sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TSJZLOI,O,O,X,X,O,O,X
TSJZOIL,O,O,X,X,O,O,O
TSJZOLI,O,O,X,X,O,O,X
TSJOILZ,O,O,X,X,X,X,X
TSJOIZL,O,O,X,O,O,X,X
TSJOLIZ,O,O,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X
TSJOZIL,O,O,X,O,O,X,X
TSJOZLI,O,O,X,O,O,X,X
TSZILJO,O,O,X,X,O,O,X
TSZILOJ,O,O,X,X,O,O,X
TSZIJLO,O,O,X,X,O,O,X
TSZIJOL,O,O,X,X,O,O,O
TSZIOLJ,O,O,X,X,O,O,X
TSZIOJL,O,O,X,X,O,O,O
TSZLIJO,O,O,X,X,O,O,X
TSZLIOJ,O,O,X,X,O,O,X
TSZLJIO,O,O,X,X,O,O,X
TSZLJOI,O,O,X,X,O,O,X
TSZLOIJ,O,O,X,X,O,O,X
TSZLOJI,O,O,X,X,O,O,X
TSZJILO,O,O,X,X,O,O,X
TSZJIOL,O,O,X,X,O,O,O
TSZJLIO,O,O,X,X,O,O,X
TSZJLOI,O,O,X,X,O,O,X
TSZJOIL,O,O,X,X,O,O,O
TSZJOLI,O,O,X,X,O,O,X
TSZOILJ,O,O,X,X,O,O,X
TSZOIJL,O,O,X,X,O,O,O
TSZOLIJ,O,O,X,X,O,O,X
TSZOLJI,O,O,X,X,O,O,X
TSZOJIL,O,O,X,X,O,O,O
TSZOJLI,O,O,X,X,O,O,X
TSOILJZ,O,O,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X
TSOIJZL,O,O,X,O,O,X,X
TSOIZLJ,O,O,X,O,O,X,X
TSOIZJL,O,O,X,O,O,X,X
TSOLIJZ,O,O,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X
TSOJIZL,O,O,X,O,O,X,X
TSOJLIZ,O,O,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X
TSOJZIL,O,O,X,O,O,X,X
TSOJZLI,O,O,X,O,O,X,X
TSOZILJ,O,O,X,O,O,X,X
TSOZIJL,O,O,X,O,O,X,X
TSOZLIJ,O,O,X,O,O,X,X
TSOZLJI,O,O,X,O,O,X,X
TSOZJIL,O,O,X,O,O,X,X
TSOZJLI,O,O,X,O,O,X,X
TZILJSO,O,O,O,X,O,O,X
TZILJOS,O,O,O,X,X,X,O
TZILSJO,O,O,O,X,O,O,X
TZILSOJ,O,O,O,X,O,O,X
TZILOJS,O,O,O,X,X,X,O
TZILOSJ,O,O,O,X,X,X,X
TZIJLSO,O,O,O,X,O,O,X
TZIJLOS,X,O,O,X,X,X,O
TZIJSLO,O,O,O,X,O,O,X
TZIJSOL,O,O,O,X,O,O,O
TZIJOLS,X,O,O,O,X,X,O
TZIJOSL,O,O,O,O,O,O,O
TZISLJO,O,O,O,X,O,O,X
TZISLOJ,O,O,O,X,O,O,X
TZISJLO,O,O,O,X,O,O,X
TZISJOL,O,O,O,X,O,O,O
TZISOLJ,O,O,O,X,O,O,X
TZISOJL,O,O,O,X,O,O,O
TZIOLJS,X,O,O,O,X,X,O
TZIOLSJ,X,O,O,O,X,X,X
TZIOJLS,X,O,O,O,X,X,O
TZIOJSL,O,O,O,O,O,O,O
TZIOSLJ,O,O,O,O,O,O,X
TZIOSJL,O,O,O,O,O,O,O
TZLIJSO,O,O,O,X,O,O,X
TZLIJOS,O,O,O,X,X,X,O
TZLISJO,O,O,O,X,O,O,X
TZLISOJ,O,O,O,X,O,O,X
TZLIOJS,O,O,O,X,X,X,O
TZLIOSJ,O,O,O,X,X,X,X
TZLJISO,O,O,O,X,O,O,X
TZLJIOS,O,O,O,X,X,X,O
TZLJSIO,O,O,O,X,O,O,X
