sequence,v115@8gA8IeA8FeD8AeC8AeJ8BeC8Jex6IvhFyhBzdBOkBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFCbBmcBzdBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBTcBy?iBFmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBzdBF?mB/rBasB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBFcByiBT?gBcmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFzaBFcBmdBS?lBcmBXsB
JZLSOIT,O,X,X,X,X,O
JZLOTIS,X,X,O,O,O,O
JZLOTSI,O,X,O,X,O,O
JZLOITS,X,X,O,O,O,O
JZLOIST,X,X,X,X,O,O
JZLOSTI,O,X,X,X,O,O
JZLOSIT,O,X,X,X,O,O
JZSTILO,O,X,O,O,X,O
JZSTIOL,O,X,O,O,X,X
JZSTLIO,O,X,O,X,X,O
JZSTLOI,O,X,O,X,X,O
JZSTOIL,O,X,O,O,X,X
JZSTOLI,O,X,O,X,X,X
JZSITLO,O,X,O,O,X,O
JZSITOL,O,X,O,O,X,X
JZSILTO,X,X,O,X,X,O
JZSILOT,O,O,X,X,X,O
JZSIOTL,O,X,X,O,X,X
JZSIOLT,O,O,X,X,X,X
JZSLTIO,X,X,O,X,X,O
JZSLTOI,X,X,O,X,X,O
JZSLITO,X,X,O,X,X,O
JZSLIOT,O,O,X,X,X,O
JZSLOTI,O,X,X,X,X,O
JZSLOIT,O,O,X,X,X,O
JZSOTIL,O,X,X,O,X,X
JZSOTLI,O,X,X,X,X,X
JZSOITL,O,X,X,O,X,X
JZSOILT,O,O,X,X,X,X
JZSOLTI,O,X,X,X,X,X
JZSOLIT,O,O,X,X,X,X
JZOTILS,X,X,O,O,O,O
JZOTISL,X,O,O,O,O,X
JZOTLIS,X,X,O,O,O,O
JZOTLSI,O,X,O,X,O,O
JZOTSIL,O,O,O,O,O,X
JZOTSLI,O,O,O,X,O,X
JZOITLS,X,X,O,O,O,O
JZOITSL,X,O,O,O,O,X
JZOILTS,X,X,O,O,O,O
JZOILST,X,X,X,X,O,O
JZOISTL,O,X,X,O,O,X
JZOISLT,O,O,X,X,O,X
JZOLTIS,X,X,O,O,O,O
JZOLTSI,O,X,O,X,O,O
JZOLITS,X,X,O,O,O,O
JZOLIST,X,X,X,X,O,O
JZOLSTI,O,X,X,X,O,O
JZOLSIT,O,X,X,X,O,O
JZOSTIL,O,X,X,O,O,X
JZOSTLI,O,X,X,X,O,X
JZOSITL,O,X,X,O,O,X
JZOSILT,O,O,X,X,O,X
JZOSLTI,O,X,X,X,O,X
JZOSLIT,O,O,X,X,O,X
JOTILSZ,O,O,X,X,X,X
JOTILZS,X,X,X,X,O,X
JOTISLZ,O,O,X,X,X,X
JOTISZL,O,O,X,X,X,X
JOTIZLS,X,X,X,O,O,X
JOTIZSL,X,O,X,O,O,X
JOTLISZ,O,O,X,X,X,X
JOTLIZS,X,X,X,X,O,X
JOTLSIZ,O,O,X,X,X,X
JOTLSZI,O,O,X,X,X,X
JOTLZIS,X,X,X,X,O,X
JOTLZSI,O,X,X,X,O,X
JOTSILZ,O,O,X,X,X,X
JOTSIZL,O,O,X,X,X,X
JOTSLIZ,O,O,X,X,X,X
JOTSLZI,O,O,X,X,X,X
JOTSZIL,O,O,X,X,X,X
JOTSZLI,O,O,X,X,X,X
JOTZILS,X,X,X,O,O,X
JOTZISL,X,O,X,O,O,X
JOTZLIS,X,X,X,O,O,X
JOTZLSI,O,X,X,X,O,X
JOTZSIL,O,O,X,O,O,X
JOTZSLI,O,O,X,X,O,X
JOITLSZ,O,O,X,X,X,X
JOITLZS,X,X,X,X,O,X
JOITSLZ,O,O,X,X,X,X
JOITSZL,O,O,X,X,X,X
JOITZLS,X,X,X,O,O,X
JOITZSL,X,O,X,O,O,X
JOILTSZ,O,O,X,X,X,X
JOILTZS,X,X,X,X,O,O
JOILSTZ,O,O,X,X,X,X
JOILSZT,O,O,X,X,O,O
JOILZTS,X,X,O,O,O,O
JOILZST,X,X,X,X,O,O
JOISTLZ,O,O,X,X,X,X
JOISTZL,O,O,X,X,X,X
JOISLTZ,O,O,X,X,X,X
JOISLZT,O,O,X,X,O,X
JOISZTL,O,X,X,O,O,X
JOISZLT,O,O,X,X,O,X
JOIZTLS,X,X,O,O,O,O
JOIZTSL,X,O,O,O,O,X
JOIZLTS,X,X,O,O,O,O
JOIZLST,X,X,X,X,O,O
JOIZSTL,O,X,X,O,O,X
JOIZSLT,O,O,X,X,O,X
JOLTISZ,O,O,X,X,X,X
JOLTIZS,X,X,X,X,O,O
JOLTSIZ,O,O,X,X,X,X
JOLTSZI,O,O,X,X,X,X
JOLTZIS,X,X,X,X,O,O
JOLTZSI,O,X,X,X,O,O
JOLITSZ,O,O,X,X,X,X
JOLITZS,X,X,X,X,O,O
JOLISTZ,O,O,X,X,X,X
JOLISZT,O,O,X,X,O,O
JOLIZTS,X,X,O,O,O,O
JOLIZST,X,X,X,X,O,O
JOLSTIZ,O,O,X,X,X,X
JOLSTZI,O,X,X,X,X,X
JOLSITZ,O,O,X,X,X,X
JOLSIZT,O,O,X,X,O,O
JOLSZTI,O,X,X,X,O,O
JOLSZIT,O,O,X,X,O,O
JOLZTIS,X,X,O,O,O,O
JOLZTSI,O,X,O,X,O,O
JOLZITS,X,X,O,O,O,O
JOLZIST,X,X,X,X,O,O
JOLZSTI,O,X,X,X,O,O
JOLZSIT,O,X,X,X,O,O
JOSTILZ,O,O,X,X,X,X
JOSTIZL,O,O,X,X,X,X
JOSTLIZ,O,O,X,X,X,X
JOSTLZI,O,O,X,X,X,X
JOSTZIL,O,O,X,X,X,X
JOSTZLI,O,O,X,X,X,X
JOSITLZ,O,O,X,X,X,X
JOSITZL,O,O,X,X,X,X
JOSILTZ,O,O,X,X,X,X
JOSILZT,O,O,X,X,O,X
JOSIZTL,O,X,X,O,O,X
JOSIZLT,O,O,X,X,O,X
JOSLTIZ,O,O,X,X,X,X
JOSLTZI,O,O,X,X,X,X
JOSLITZ,O,O,X,X,X,X
JOSLIZT,O,O,X,X,O,X
JOSLZTI,O,X,X,X,O,X
JOSLZIT,O,O,X,X,O,X
JOSZTIL,O,X,X,O,O,X
JOSZTLI,O,X,X,X,O,X
JOSZITL,O,X,X,O,O,X
JOSZILT,O,O,X,X,O,X
JOSZLTI,O,X,X,X,O,X
JOSZLIT,O,O,X,X,O,X
JOZTILS,X,X,O,O,O,O
JOZTISL,X,O,O,O,O,X
JOZTLIS,X,X,O,O,O,O
JOZTLSI,O,X,O,X,O,O
JOZTSIL,O,O,O,O,O,X
JOZTSLI,O,O,O,X,O,X
JOZITLS,X,X,O,O,O,O
JOZITSL,X,O,O,O,O,X
JOZILTS,X,X,O,O,O,O
JOZILST,X,X,X,X,O,O
JOZISTL,O,X,X,O,O,X
JOZISLT,O,O,X,X,O,X
JOZLTIS,X,X,O,O,O,O
JOZLTSI,O,X,O,X,O,O
JOZLITS,X,X,O,O,O,O
JOZLIST,X,X,X,X,O,O
JOZLSTI,O,X,X,X,O,O
JOZLSIT,O,X,X,X,O,O
JOZSTIL,O,X,X,O,O,X
JOZSTLI,O,X,X,X,O,X
JOZSITL,O,X,X,O,O,X
JOZSILT,O,O,X,X,O,X
JOZSLTI,O,X,X,X,O,X
JOZSLIT,O,O,X,X,O,X
STILJZO,O,O,X,X,X,X
STILJOZ,O,O,X,X,X,X
STILZJO,X,O,O,X,X,X
STILZOJ,X,O,O,X,X,X
STILOJZ,O,O,X,X,X,X
STILOZJ,X,O,O,X,X,X
STIJLZO,O,O,X,X,X,X
STIJLOZ,O,O,X,X,X,X
STIJZLO,O,O,X,X,X,X
STIJZOL,O,O,X,X,X,X
STIJOLZ,O,O,X,X,X,X
STIJOZL,O,O,X,X,X,X
STIZLJO,X,O,O,X,X,X
STIZLOJ,X,O,O,X,X,X
STIZJLO,X,O,O,O,X,X
STIZJOL,X,O,O,O,X,X
STIZOLJ,X,O,O,X,X,X
STIZOJL,X,O,O,O,X,X
STIOLJZ,O,O,X,X,X,X
STIOLZJ,X,O,O,X,X,X
STIOJLZ,O,O,X,X,X,X
STIOJZL,O,O,X,X,X,X
STIOZLJ,X,O,O,X,X,X
STIOZJL,X,O,O,O,X,X
STLIJZO,O,O,X,X,X,X
STLIJOZ,O,O,X,X,X,X
STLIZJO,X,O,O,X,X,X
STLIZOJ,X,O,O,X,X,X
STLIOJZ,O,O,X,X,X,X
STLIOZJ,X,O,O,X,X,X
STLJIZO,O,O,X,X,X,X
STLJIOZ,O,O,X,X,X,X
STLJZIO,O,O,X,X,X,X
STLJZOI,O,O,X,X,X,X
STLJOIZ,O,O,X,X,X,X
STLJOZI,O,O,X,X,X,X
STLZIJO,X,O,O,X,X,X
STLZIOJ,X,O,O,X,X,X
STLZJIO,O,O,O,X,X,X
STLZJOI,O,O,O,X,X,X
STLZOIJ,X,O,O,X,X,X
STLZOJI,O,O,O,X,X,X
STLOIJZ,O,O,X,X,X,X
STLOIZJ,X,O,O,X,X,X
STLOJIZ,O,O,X,X,X,X
STLOJZI,O,O,X,X,X,X
STLOZIJ,X,O,O,X,X,X
STLOZJI,O,O,O,X,X,X
STJILZO,O,O,X,X,X,X
STJILOZ,O,O,X,X,X,X
STJIZLO,O,O,X,X,X,X
STJIZOL,O,O,X,X,X,X
STJIOLZ,O,O,X,X,X,X
STJIOZL,O,O,X,X,X,X
STJLIZO,O,O,X,X,X,X
STJLIOZ,O,O,X,X,X,X
STJLZIO,O,O,X,X,X,X
STJLZOI,O,O,X,X,X,X
STJLOIZ,O,O,X,X,X,X
STJLOZI,O,O,X,X,X,X
STJZILO,O,O,X,X,X,X
STJZIOL,O,O,X,X,X,X
STJZLIO,O,O,X,X,X,X
STJZLOI,O,O,X,X,X,X
STJZOIL,O,O,X,X,X,X
STJZOLI,O,O,X,X,X,X
STJOILZ,O,O,X,X,X,X
STJOIZL,O,O,X,X,X,X
STJOLIZ,O,O,X,X,X,X
STJOLZI,O,O,X,X,X,X
STJOZIL,O,O,X,X,X,X
STJOZLI,O,O,X,X,X,X
STZILJO,X,O,O,X,X,X
STZILOJ,X,O,O,X,X,X
STZIJLO,X,O,O,O,X,X
STZIJOL,X,O,O,O,X,X
STZIOLJ,X,O,O,X,X,X
STZIOJL,X,O,O,O,X,X
STZLIJO,X,O,O,X,X,X
STZLIOJ,X,O,O,X,X,X
STZLJIO,O,O,O,X,X,X
STZLJOI,O,O,O,X,X,X
STZLOIJ,X,O,O,X,X,X
STZLOJI,O,O,O,X,X,X
STZJILO,O,O,O,O,X,X
STZJIOL,O,O,O,O,X,X
STZJLIO,O,O,O,X,X,X
STZJLOI,O,O,O,X,X,X
STZJOIL,O,O,O,O,X,X
STZJOLI,O,O,O,X,X,X
STZOILJ,X,O,O,X,X,X
STZOIJL,X,O,O,O,X,X
STZOLIJ,X,O,O,X,X,X
STZOLJI,O,O,O,X,X,X
STZOJIL,O,O,O,O,X,X
STZOJLI,O,O,O,X,X,X
STOILJZ,O,O,X,X,X,X
STOILZJ,X,O,O,X,X,X
STOIJLZ,O,O,X,X,X,X
STOIJZL,O,O,X,X,X,X
STOIZLJ,X,O,O,X,X,X
STOIZJL,X,O,O,O,X,X
STOLIJZ,O,O,X,X,X,X
STOLIZJ,X,O,O,X,X,X
STOLJIZ,O,O,X,X,X,X
STOLJZI,O,O,X,X,X,X
STOLZIJ,X,O,O,X,X,X
STOLZJI,O,O,O,X,X,X
STOJILZ,O,O,X,X,X,X
STOJIZL,O,O,X,X,X,X
STOJLIZ,O,O,X,X,X,X
STOJLZI,O,O,X,X,X,X
STOJZIL,O,O,X,X,X,X
STOJZLI,O,O,X,X,X,X
STOZILJ,X,O,O,X,X,X
STOZIJL,X,O,O,O,X,X
STOZLIJ,X,O,O,X,X,X
STOZLJI,O,O,O,X,X,X
STOZJIL,O,O,O,O,X,X
STOZJLI,O,O,O,X,X,X
SITLJZO,O,O,X,X,X,X
SITLJOZ,O,O,X,X,X,X
SITLZJO,X,O,O,X,X,X
SITLZOJ,X,O,O,X,X,X
SITLOJZ,O,O,X,X,X,X
SITLOZJ,X,O,O,X,X,X
SITJLZO,O,O,X,X,X,X
SITJLOZ,O,O,X,X,X,X
SITJZLO,O,O,X,X,X,X
SITJZOL,O,O,X,X,X,X
SITJOLZ,O,O,X,X,X,X
SITJOZL,O,O,X,X,X,X
SITZLJO,X,O,O,X,X,X
SITZLOJ,X,O,O,X,X,X
SITZJLO,X,O,O,O,X,X
SITZJOL,X,O,O,O,X,X
SITZOLJ,X,O,O,X,X,X
SITZOJL,X,O,O,O,X,X
SITOLJZ,O,O,X,X,X,X
SITOLZJ,X,O,O,X,X,X
SITOJLZ,O,O,X,X,X,X
SITOJZL,O,O,X,X,X,X
SITOZLJ,X,O,O,X,X,X
SITOZJL,X,O,O,O,X,X
SILTJZO,X,O,X,X,X,X
SILTJOZ,X,O,X,X,X,X
SILTZJO,X,O,O,X,X,X
SILTZOJ,X,O,O,X,X,X
SILTOJZ,X,O,X,X,X,X
SILTOZJ,X,O,O,X,X,X
SILJTZO,X,O,X,X,X,X
SILJTOZ,O,O,X,X,X,X
SILJZTO,X,X,O,X,X,O
SILJZOT,O,O,X,X,X,O
SILJOTZ,O,O,X,X,X,X
SILJOZT,O,O,X,X,O,O
SILZTJO,X,O,O,X,X,O
SILZTOJ,X,O,O,X,O,O
SILZJTO,X,X,O,X,X,O
SILZJOT,X,O,X,X,X,O
SILZOTJ,X,O,X,X,O,O
SILZOJT,X,O,X,X,O,O
SILOTJZ,X,O,X,X,X,X
SILOTZJ,X,O,X,X,X,X
SILOJTZ,O,O,X,X,X,X
SILOJZT,O,O,X,X,O,O
SILOZTJ,X,O,X,X,O,O
SILOZJT,X,O,X,X,O,O
SIJTLZO,O,O,X,X,X,X
SIJTLOZ,O,O,X,X,X,X
SIJTZLO,O,O,X,X,X,X
SIJTZOL,O,O,X,X,X,X
SIJTOLZ,O,O,X,X,X,X
SIJTOZL,O,O,X,X,X,X
SIJLTZO,O,O,X,X,X,X
SIJLTOZ,O,O,X,X,X,X
SIJLZTO,X,X,O,X,X,O
SIJLZOT,O,O,X,X,X,O
SIJLOTZ,O,O,X,X,X,X
SIJLOZT,O,O,X,X,O,O
SIJZTLO,O,X,O,O,X,O
SIJZTOL,O,X,O,O,X,X
SIJZLTO,X,X,O,X,X,O
SIJZLOT,O,O,X,X,X,O
SIJZOTL,O,X,X,O,X,X
SIJZOLT,O,O,X,X,X,X
SIJOTLZ,O,O,X,X,X,X
SIJOTZL,O,O,X,X,X,X
SIJOLTZ,O,O,X,X,X,X
SIJOLZT,O,O,X,X,O,X
SIJOZTL,O,X,X,O,O,X
SIJOZLT,O,O,X,X,O,X
SIZTLJO,X,O,O,X,X,O
SIZTLOJ,X,O,O,X,O,O
SIZTJLO,X,O,O,O,X,O
SIZTJOL,X,O,O,O,X,X
SIZTOLJ,X,O,O,X,O,X
SIZTOJL,X,O,O,O,O,X
SIZLTJO,X,O,O,X,X,O
SIZLTOJ,X,O,O,X,O,O
SIZLJTO,X,X,O,X,X,O
SIZLJOT,X,O,X,X,X,O
SIZLOTJ,X,O,X,X,O,O
SIZLOJT,X,O,X,X,O,O
SIZJTLO,X,X,O,O,X,O
SIZJTOL,X,X,O,O,X,X
SIZJLTO,X,X,O,X,X,O
SIZJLOT,X,O,X,X,X,O
SIZJOTL,X,X,X,O,X,X
SIZJOLT,X,O,X,X,X,X
SIZOTLJ,X,O,X,X,O,X
SIZOTJL,X,O,X,O,O,X
SIZOLTJ,X,O,X,X,O,X
SIZOLJT,X,O,X,X,O,X
SIZOJTL,X,X,X,O,O,X
SIZOJLT,X,O,X,X,O,X
SIOTLJZ,O,O,X,X,X,X
SIOTLZJ,X,O,X,X,X,X
SIOTJLZ,O,O,X,X,X,X
SIOTJZL,O,O,X,X,X,X
SIOTZLJ,X,O,X,X,X,X
SIOTZJL,X,O,X,O,X,X
SIOLTJZ,X,O,X,X,X,X
SIOLTZJ,X,O,X,X,X,X
SIOLJTZ,O,O,X,X,X,X
SIOLJZT,O,O,X,X,O,X
SIOLZTJ,X,O,X,X,O,X
SIOLZJT,X,O,X,X,O,X
SIOJTLZ,O,O,X,X,X,X
SIOJTZL,O,O,X,X,X,X
SIOJLTZ,O,O,X,X,X,X
SIOJLZT,O,O,X,X,O,X
SIOJZTL,O,X,X,O,O,X
SIOJZLT,O,O,X,X,O,X
SIOZTLJ,X,O,X,X,O,X
SIOZTJL,X,O,X,O,O,X
SIOZLTJ,X,O,X,X,O,X
SIOZLJT,X,O,X,X,O,X
SIOZJTL,X,X,X,O,O,X
SIOZJLT,X,O,X,X,O,X
SLTIJZO,O,O,X,X,X,X
SLTIJOZ,O,O,X,X,X,X
SLTIZJO,X,O,O,X,X,X
SLTIZOJ,X,O,O,X,X,X
SLTIOJZ,O,O,X,X,X,X
SLTIOZJ,X,O,O,X,X,X
SLTJIZO,O,O,X,X,X,X
SLTJIOZ,O,O,X,X,X,X
SLTJZIO,O,O,X,X,X,X
SLTJZOI,O,O,X,X,X,X
SLTJOIZ,O,O,X,X,X,X
SLTJOZI,O,O,X,X,X,X
SLTZIJO,X,O,O,X,X,X
SLTZIOJ,X,O,O,X,X,X
SLTZJIO,O,O,O,X,X,X
SLTZJOI,O,O,O,X,X,X
SLTZOIJ,X,O,O,X,X,X
SLTZOJI,O,O,O,X,X,X
SLTOIJZ,O,O,X,X,X,X
SLTOIZJ,X,O,O,X,X,X
SLTOJIZ,O,O,X,X,X,X
SLTOJZI,O,O,X,X,X,X
SLTOZIJ,X,O,O,X,X,X
SLTOZJI,O,O,O,X,X,X
SLITJZO,X,O,X,X,X,X
SLITJOZ,X,O,X,X,X,X
SLITZJO,X,O,O,X,X,X
SLITZOJ,X,O,O,X,X,X
SLITOJZ,X,O,X,X,X,X
SLITOZJ,X,O,O,X,X,X
SLIJTZO,X,O,X,X,X,X
SLIJTOZ,O,O,X,X,X,X
SLIJZTO,X,X,O,X,X,O
SLIJZOT,O,O,X,X,X,O
SLIJOTZ,O,O,X,X,X,X
SLIJOZT,O,O,X,X,O,O
SLIZTJO,X,O,O,X,X,O
SLIZTOJ,X,O,O,X,O,O
SLIZJTO,X,X,O,X,X,O
SLIZJOT,X,O,X,X,X,O
SLIZOTJ,X,O,X,X,O,O
SLIZOJT,X,O,X,X,O,O
SLIOTJZ,X,O,X,X,X,X
SLIOTZJ,X,O,X,X,X,X
SLIOJTZ,O,O,X,X,X,X
SLIOJZT,O,O,X,X,O,O
SLIOZTJ,X,O,X,X,O,O
SLIOZJT,X,O,X,X,O,O
SLJTIZO,O,O,X,X,X,X
SLJTIOZ,O,O,X,X,X,X
SLJTZIO,O,O,X,X,X,X
SLJTZOI,O,O,X,X,X,X
SLJTOIZ,O,O,X,X,X,X
SLJTOZI,O,O,X,X,X,X
SLJITZO,O,O,X,X,X,X
SLJITOZ,O,O,X,X,X,X
SLJIZTO,X,X,O,X,X,O
SLJIZOT,O,O,X,X,X,O
SLJIOTZ,O,O,X,X,X,X
SLJIOZT,O,O,X,X,O,O
SLJZTIO,X,X,O,X,X,O
SLJZTOI,X,X,O,X,X,O
SLJZITO,X,X,O,X,X,O
SLJZIOT,O,O,X,X,X,O
SLJZOTI,O,X,X,X,X,O
SLJZOIT,O,O,X,X,X,O
SLJOTIZ,O,O,X,X,X,X
SLJOTZI,O,O,X,X,X,X
SLJOITZ,O,O,X,X,X,X
SLJOIZT,O,O,X,X,O,O
SLJOZTI,O,X,X,X,O,O
SLJOZIT,O,O,X,X,O,O
SLZTIJO,X,O,O,X,X,O
SLZTIOJ,X,O,O,X,O,O
SLZTJIO,X,O,O,X,X,O
SLZTJOI,X,O,O,X,X,O
SLZTOIJ,X,O,O,X,O,O
SLZTOJI,X,O,O,X,O,O
SLZITJO,X,O,O,X,X,O
SLZITOJ,X,O,O,X,O,O
SLZIJTO,X,X,O,X,X,O
SLZIJOT,X,O,X,X,X,O
SLZIOTJ,X,O,X,X,O,O
SLZIOJT,X,O,X,X,O,O
SLZJTIO,X,X,O,X,X,O
SLZJTOI,X,X,O,X,X,O
SLZJITO,X,X,O,X,X,O
SLZJIOT,O,O,X,X,X,O
SLZJOTI,O,X,X,X,X,O
SLZJOIT,O,O,X,X,X,O
SLZOTIJ,X,O,X,X,O,O
SLZOTJI,X,O,X,X,O,O
SLZOITJ,X,O,X,X,O,O
SLZOIJT,X,O,X,X,O,O
SLZOJTI,O,X,X,X,O,O
SLZOJIT,O,O,X,X,O,O
SLOTIJZ,O,O,X,X,X,X
SLOTIZJ,X,O,X,X,X,X
SLOTJIZ,O,O,X,X,X,X
SLOTJZI,O,O,X,X,X,X
SLOTZIJ,X,O,X,X,X,X
SLOTZJI,O,O,X,X,X,X
SLOITJZ,X,O,X,X,X,X
SLOITZJ,X,O,X,X,X,X
SLOIJTZ,O,O,X,X,X,X
SLOIJZT,O,O,X,X,O,O
SLOIZTJ,X,O,X,X,O,O
SLOIZJT,X,O,X,X,O,O
SLOJTIZ,O,O,X,X,X,X
SLOJTZI,O,O,X,X,X,X
SLOJITZ,O,O,X,X,X,X
SLOJIZT,O,O,X,X,O,O
SLOJZTI,O,X,X,X,O,O
SLOJZIT,O,O,X,X,O,O
SLOZTIJ,X,O,X,X,O,O
SLOZTJI,X,O,X,X,O,O
SLOZITJ,X,O,X,X,O,O
SLOZIJT,X,O,X,X,O,O
SLOZJTI,O,X,X,X,O,O
SLOZJIT,O,O,X,X,O,O
SJTILZO,O,O,X,X,X,X
SJTILOZ,O,O,X,X,X,X
SJTIZLO,O,O,X,X,X,X
SJTIZOL,O,O,X,X,X,X
SJTIOLZ,O,O,X,X,X,X
SJTIOZL,O,O,X,X,X,X
SJTLIZO,O,O,X,X,X,X
SJTLIOZ,O,O,X,X,X,X
SJTLZIO,O,O,X,X,X,X
SJTLZOI,O,O,X,X,X,X
SJTLOIZ,O,O,X,X,X,X
SJTLOZI,O,O,X,X,X,X
SJTZILO,O,O,X,X,X,X
SJTZIOL,O,O,X,X,X,X
SJTZLIO,O,O,X,X,X,X
SJTZLOI,O,O,X,X,X,X
SJTZOIL,O,O,X,X,X,X
SJTZOLI,O,O,X,X,X,X
SJTOILZ,O,O,X,X,X,X
SJTOIZL,O,O,X,X,X,X
SJTOLIZ,O,O,X,X,X,X
SJTOLZI,O,O,X,X,X,X
SJTOZIL,O,O,X,X,X,X
SJTOZLI,O,O,X,X,X,X
SJITLZO,O,O,X,X,X,X
SJITLOZ,O,O,X,X,X,X
SJITZLO,O,O,X,X,X,X
SJITZOL,O,O,X,X,X,X
SJITOLZ,O,O,X,X,X,X
SJITOZL,O,O,X,X,X,X
SJILTZO,O,O,X,X,X,X
SJILTOZ,O,O,X,X,X,X
SJILZTO,X,X,O,X,X,O
SJILZOT,O,O,X,X,X,O
SJILOTZ,O,O,X,X,X,X
SJILOZT,O,O,X,X,O,O
SJIZTLO,O,X,O,O,X,O
SJIZTOL,O,X,O,O,X,X
SJIZLTO,X,X,O,X,X,O
SJIZLOT,O,O,X,X,X,O
SJIZOTL,O,X,X,O,X,X
SJIZOLT,O,O,X,X,X,X
SJIOTLZ,O,O,X,X,X,X
SJIOTZL,O,O,X,X,X,X
SJIOLTZ,O,O,X,X,X,X
SJIOLZT,O,O,X,X,O,X
SJIOZTL,O,X,X,O,O,X
SJIOZLT,O,O,X,X,O,X
SJLTIZO,O,O,X,X,X,X
SJLTIOZ,O,O,X,X,X,X
SJLTZIO,O,O,X,X,X,X
SJLTZOI,O,O,X,X,X,X
SJLTOIZ,O,O,X,X,X,X
SJLTOZI,O,O,X,X,X,X
SJLITZO,O,O,X,X,X,X
SJLITOZ,O,O,X,X,X,X
SJLIZTO,X,X,O,X,X,O
SJLIZOT,O,O,X,X,X,O
SJLIOTZ,O,O,X,X,X,X
SJLIOZT,O,O,X,X,O,O
SJLZTIO,X,X,O,X,X,O
SJLZTOI,X,X,O,X,X,O
SJLZITO,X,X,O,X,X,O
SJLZIOT,O,O,X,X,X,O
SJLZOTI,O,X,X,X,X,O
SJLZOIT,O,O,X,X,X,O
SJLOTIZ,O,O,X,X,X,X
SJLOTZI,O,O,X,X,X,X
SJLOITZ,O,O,X,X,X,X
SJLOIZT,O,O,X,X,O,O
SJLOZTI,O,X,X,X,O,O
SJLOZIT,O,O,X,X,O,O
SJZTILO,O,X,O,O,X,O
SJZTIOL,O,X,O,O,X,X
SJZTLIO,O,X,O,X,X,O
SJZTLOI,O,X,O,X,X,O
SJZTOIL,O,X,O,O,X,X
SJZTOLI,O,X,O,X,X,X
SJZITLO,O,X,O,O,X,O
SJZITOL,O,X,O,O,X,X
SJZILTO,X,X,O,X,X,O
SJZILOT,O,O,X,X,X,O
SJZIOTL,O,X,X,O,X,X
SJZIOLT,O,O,X,X,X,X
SJZLTIO,X,X,O,X,X,O
SJZLTOI,X,X,O,X,X,O
SJZLITO,X,X,O,X,X,O
SJZLIOT,O,O,X,X,X,O
SJZLOTI,O,X,X,X,X,O
SJZLOIT,O,O,X,X,X,O
SJZOTIL,O,X,X,O,X,X
SJZOTLI,O,X,X,X,X,X
SJZOITL,O,X,X,O,X,X
SJZOILT,O,O,X,X,X,X
SJZOLTI,O,X,X,X,X,X
SJZOLIT,O,O,X,X,X,X
SJOTILZ,O,O,X,X,X,X
SJOTIZL,O,O,X,X,X,X
SJOTLIZ,O,O,X,X,X,X
SJOTLZI,O,O,X,X,X,X
SJOTZIL,O,O,X,X,X,X
SJOTZLI,O,O,X,X,X,X
SJOITLZ,O,O,X,X,X,X
SJOITZL,O,O,X,X,X,X
SJOILTZ,O,O,X,X,X,X
SJOILZT,O,O,X,X,O,X
SJOIZTL,O,X,X,O,O,X
SJOIZLT,O,O,X,X,O,X
SJOLTIZ,O,O,X,X,X,X
SJOLTZI,O,O,X,X,X,X
SJOLITZ,O,O,X,X,X,X
SJOLIZT,O,O,X,X,O,X
SJOLZTI,O,X,X,X,O,X
SJOLZIT,O,O,X,X,O,X
SJOZTIL,O,X,X,O,O,X
SJOZTLI,O,X,X,X,O,X
SJOZITL,O,X,X,O,O,X
SJOZILT,O,O,X,X,O,X
SJOZLTI,O,X,X,X,O,X
SJOZLIT,O,O,X,X,O,X
SZTILJO,X,O,O,X,X,O
SZTILOJ,X,O,O,X,O,O
SZTIJLO,X,O,O,O,X,O
SZTIJOL,X,O,O,O,X,X
SZTIOLJ,X,O,O,X,O,X
SZTIOJL,X,O,O,O,O,X
SZTLIJO,X,O,O,X,X,O
SZTLIOJ,X,O,O,X,O,O
SZTLJIO,O,O,O,X,X,O
SZTLJOI,O,O,O,X,X,O
SZTLOIJ,X,O,O,X,O,O
SZTLOJI,O,O,O,X,O,O
SZTJILO,O,O,O,O,X,O
SZTJIOL,O,O,O,O,X,X
SZTJLIO,O,O,O,X,X,O
SZTJLOI,O,O,O,X,X,O
SZTJOIL,O,O,O,O,X,X
SZTJOLI,O,O,O,X,X,X
SZTOILJ,X,O,O,X,O,X
SZTOIJL,X,O,O,O,O,X
SZTOLIJ,X,O,O,X,O,X
SZTOLJI,O,O,O,X,O,X
SZTOJIL,O,O,O,O,O,X
SZTOJLI,O,O,O,X,O,X
SZITLJO,X,O,O,X,X,O
SZITLOJ,X,O,O,X,O,O
SZITJLO,X,O,O,O,X,O
SZITJOL,X,O,O,O,X,X
SZITOLJ,X,O,O,X,O,X
SZITOJL,X,O,O,O,O,X
SZILTJO,X,O,O,X,X,O
SZILTOJ,X,O,O,X,O,O
SZILJTO,X,X,O,X,X,O
SZILJOT,X,O,X,X,X,O
