sequence,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeK/IvhFGbBXeB?UgBThB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Ke06IvhF6gBXeB?2kBThB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeO/IvhF0bBXeB?zfBSmB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeT6IvhFXeBlgB?cmB5oBmkB6qB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Kex6IvhFTfBlgB?cmBGjB/qB6tB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeT6IvhFXeBykB?GhB5oB0gBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Ke1AJvhFXeBTfB?cmB5oB6qBmpB
LSTOJIZ,X,O,O,X,X,X,X
LSTOJZI,O,O,O,X,X,X,X
LSTOZIJ,O,X,O,X,X,X,X
LSTOZJI,O,O,O,X,X,X,X
LSITJZO,O,X,O,X,X,X,X
LSITJOZ,O,X,X,X,X,O,X
LSITZJO,O,X,O,X,X,X,X
LSITZOJ,O,X,O,X,X,X,X
LSITOJZ,O,X,O,X,X,O,X
LSITOZJ,O,X,O,X,X,X,X
LSIJTZO,O,X,O,X,X,X,X
LSIJTOZ,O,X,X,X,X,O,X
LSIJZTO,O,X,O,X,X,X,X
LSIJZOT,O,X,O,X,X,O,X
LSIJOTZ,O,X,O,X,X,O,X
LSIJOZT,O,X,O,X,X,O,X
LSIZTJO,O,X,O,X,X,X,X
LSIZTOJ,O,X,O,X,X,X,X
LSIZJTO,O,X,O,X,X,X,X
LSIZJOT,O,X,O,X,X,O,X
LSIZOTJ,O,X,O,X,X,X,X
LSIZOJT,O,X,O,X,X,O,X
LSIOTJZ,O,X,O,X,X,O,X
LSIOTZJ,O,X,O,X,X,X,X
LSIOJTZ,O,X,O,X,X,O,X
LSIOJZT,O,X,O,X,X,O,X
LSIOZTJ,O,X,O,X,X,X,X
LSIOZJT,O,X,O,X,X,O,X
LSJTIZO,X,O,O,X,X,X,X
LSJTIOZ,X,X,X,X,X,X,X
LSJTZIO,O,O,O,X,X,X,X
LSJTZOI,O,O,O,X,X,X,X
LSJTOIZ,X,X,O,X,X,X,X
LSJTOZI,O,O,O,X,X,X,X
LSJITZO,X,X,O,X,X,X,X
LSJITOZ,X,X,X,X,X,O,X
LSJIZTO,X,X,O,X,X,X,X
LSJIZOT,X,X,O,X,X,O,X
LSJIOTZ,X,X,X,X,X,O,X
LSJIOZT,X,X,O,X,X,O,X
LSJZTIO,O,O,O,X,X,X,X
LSJZTOI,O,O,O,X,O,X,X
LSJZITO,O,O,O,X,X,X,X
LSJZIOT,O,O,O,X,X,X,X
LSJZOTI,O,O,O,X,O,X,X
LSJZOIT,O,O,O,X,X,X,X
LSJOTIZ,X,X,X,X,X,X,X
LSJOTZI,O,X,O,X,X,X,X
LSJOITZ,X,X,X,X,X,O,X
LSJOIZT,X,X,O,X,X,O,X
LSJOZTI,O,X,O,X,O,X,X
LSJOZIT,O,X,O,X,X,X,X
LSZTIJO,O,X,X,X,X,X,X
LSZTIOJ,X,X,X,X,X,X,X
LSZTJIO,O,X,O,X,X,X,X
LSZTJOI,O,X,O,X,O,X,X
LSZTOIJ,O,X,X,X,O,X,X
LSZTOJI,O,X,O,X,O,X,X
LSZITJO,O,X,O,X,X,X,X
LSZITOJ,X,X,O,X,X,X,X
LSZIJTO,O,X,O,X,X,X,X
LSZIJOT,O,X,O,X,X,X,X
LSZIOTJ,X,X,O,X,X,X,X
LSZIOJT,O,X,O,X,X,X,X
LSZJTIO,O,X,O,X,X,X,X
LSZJTOI,O,X,O,X,O,X,X
LSZJITO,O,X,O,X,X,X,X
LSZJIOT,O,X,O,X,X,X,X
LSZJOTI,O,X,O,X,O,X,X
LSZJOIT,O,X,O,X,X,X,X
LSZOTIJ,O,X,X,X,O,X,X
LSZOTJI,O,X,O,X,O,X,X
LSZOITJ,X,X,O,X,X,X,X
LSZOIJT,O,X,O,X,X,X,X
LSZOJTI,O,X,O,X,O,X,X
LSZOJIT,O,X,O,X,X,X,X
LSOTIJZ,O,O,X,X,X,X,X
LSOTIZJ,O,X,X,X,X,X,X
LSOTJIZ,X,O,X,X,X,X,X
LSOTJZI,O,O,O,X,X,X,X
LSOTZIJ,O,X,X,X,X,X,X
LSOTZJI,O,O,O,X,X,X,X
LSOITJZ,O,X,O,X,X,O,X
LSOITZJ,O,X,O,X,X,X,X
LSOIJTZ,O,X,O,X,X,O,X
LSOIJZT,O,X,O,X,X,O,X
LSOIZTJ,O,X,O,X,X,X,X
LSOIZJT,O,X,O,X,X,O,X
LSOJTIZ,X,X,X,X,X,X,X
LSOJTZI,O,X,O,X,X,X,X
LSOJITZ,X,X,O,X,X,O,X
LSOJIZT,X,X,O,X,X,O,X
LSOJZTI,O,O,O,X,O,X,X
LSOJZIT,O,O,O,X,X,X,X
LSOZTIJ,O,X,X,X,O,X,X
LSOZTJI,O,X,O,X,O,X,X
LSOZITJ,O,X,O,X,X,X,X
LSOZIJT,O,X,O,X,X,X,X
LSOZJTI,O,X,O,X,O,X,X
LSOZJIT,O,X,O,X,X,X,X
LZTIJSO,O,X,O,O,X,X,O
LZTIJOS,O,X,X,O,X,X,O
LZTISJO,O,X,O,O,X,X,O
LZTISOJ,O,X,O,X,X,X,O
LZTIOJS,O,X,O,X,X,X,O
LZTIOSJ,O,X,O,X,X,X,O
LZTJISO,O,X,O,O,X,X,O
LZTJIOS,O,X,X,O,X,X,O
LZTJSIO,O,X,O,X,X,X,X
LZTJSOI,O,X,O,X,X,X,X
LZTJOIS,O,X,X,O,X,X,O
LZTJOSI,O,X,X,X,O,X,X
LZTSIJO,O,X,X,X,X,X,O
LZTSIOJ,O,X,X,X,X,X,O
LZTSJIO,O,X,O,X,X,X,X
LZTSJOI,O,X,O,X,X,X,X
LZTSOIJ,O,X,X,X,X,X,O
LZTSOJI,O,X,O,X,X,X,X
LZTOIJS,O,X,O,X,X,X,O
LZTOISJ,O,X,O,X,X,X,O
LZTOJIS,O,X,O,X,X,X,O
LZTOJSI,O,X,O,X,O,X,X
LZTOSIJ,O,X,X,X,X,X,O
LZTOSJI,O,X,O,X,X,X,X
LZITJSO,O,X,O,O,X,X,O
LZITJOS,O,X,X,O,X,X,O
LZITSJO,O,X,O,O,X,X,O
LZITSOJ,O,X,O,X,X,X,O
LZITOJS,O,X,O,X,X,X,O
LZITOSJ,O,X,O,X,X,X,O
LZIJTSO,O,X,O,O,X,X,O
LZIJTOS,X,X,X,O,X,X,O
LZIJSTO,O,X,O,O,X,X,O
LZIJSOT,O,X,O,O,X,O,O
LZIJOTS,X,X,O,O,X,X,O
LZIJOST,O,X,O,O,X,O,O
LZISTJO,O,X,O,O,X,X,O
LZISTOJ,O,X,O,X,X,X,O
LZISJTO,O,X,O,O,X,X,O
LZISJOT,O,X,O,O,X,O,O
LZISOTJ,O,X,O,X,X,X,O
LZISOJT,O,X,O,X,X,O,O
LZIOTJS,O,X,O,X,X,X,O
LZIOTSJ,O,X,O,X,X,X,O
LZIOJTS,O,X,O,X,X,X,O
LZIOJST,O,X,O,X,X,O,O
LZIOSTJ,O,X,O,X,X,X,O
LZIOSJT,O,X,O,X,X,O,O
LZJTISO,O,X,O,O,X,X,O
LZJTIOS,X,X,X,O,X,X,O
LZJTSIO,O,X,O,X,X,X,X
LZJTSOI,O,X,O,X,X,X,X
LZJTOIS,X,X,X,O,X,X,O
LZJTOSI,X,X,X,X,O,X,X
LZJITSO,O,X,O,O,X,X,O
LZJITOS,X,X,X,O,X,X,O
LZJISTO,O,X,O,O,X,X,O
LZJISOT,O,X,O,O,X,O,O
LZJIOTS,X,X,O,O,X,X,O
LZJIOST,O,X,O,O,X,O,O
LZJSTIO,O,X,O,X,X,X,X
LZJSTOI,O,X,O,X,O,X,X
LZJSITO,O,X,O,X,X,X,X
LZJSIOT,O,X,O,X,X,X,X
LZJSOTI,O,X,O,X,O,X,X
LZJSOIT,O,X,O,X,X,X,X
LZJOTIS,X,X,O,O,X,X,X
LZJOTSI,X,X,O,X,O,X,X
LZJOITS,X,X,O,O,X,X,O
LZJOIST,O,X,O,O,X,O,O
LZJOSTI,O,X,O,X,O,X,X
LZJOSIT,O,X,O,X,X,X,X
LZSTIJO,O,X,X,X,X,X,O
LZSTIOJ,X,X,X,X,X,X,O
LZSTJIO,O,X,O,X,X,X,X
LZSTJOI,O,X,O,X,O,X,X
LZSTOIJ,O,X,X,X,O,X,O
LZSTOJI,O,X,O,X,O,X,X
LZSITJO,O,X,O,X,X,X,O
LZSITOJ,X,X,O,X,X,X,O
LZSIJTO,O,X,O,X,X,X,O
LZSIJOT,O,X,O,X,X,X,O
LZSIOTJ,X,X,O,X,X,X,O
LZSIOJT,O,X,O,X,X,X,O
LZSJTIO,O,X,O,X,X,X,X
LZSJTOI,O,X,O,X,O,X,X
LZSJITO,O,X,O,X,X,X,X
LZSJIOT,O,X,O,X,X,X,X
LZSJOTI,O,X,O,X,O,X,X
LZSJOIT,O,X,O,X,X,X,X
LZSOTIJ,O,X,X,X,O,X,X
LZSOTJI,O,X,O,X,O,X,X
LZSOITJ,X,X,O,X,X,X,O
LZSOIJT,O,X,O,X,X,X,O
LZSOJTI,O,X,O,X,O,X,X
LZSOJIT,O,X,O,X,X,X,X
LZOTIJS,O,X,O,X,X,X,O
LZOTISJ,O,X,O,X,X,X,O
LZOTJIS,O,X,O,X,X,X,O
LZOTJSI,O,X,O,X,O,X,X
LZOTSIJ,O,X,X,X,X,X,O
LZOTSJI,O,X,O,X,X,X,X
LZOITJS,O,X,O,X,X,X,O
LZOITSJ,O,X,O,X,X,X,O
LZOIJTS,O,X,O,X,X,X,O
LZOIJST,O,X,O,X,X,O,O
LZOISTJ,O,X,O,X,X,X,O
LZOISJT,O,X,O,X,X,O,O
LZOJTIS,O,X,O,X,X,X,X
LZOJTSI,O,X,O,X,O,X,X
LZOJITS,O,X,O,X,X,X,O
LZOJIST,O,X,O,X,X,O,O
LZOJSTI,O,X,O,X,O,X,X
LZOJSIT,O,X,O,X,X,X,X
LZOSTIJ,O,X,X,X,O,X,X
LZOSTJI,O,X,O,X,O,X,X
LZOSITJ,O,X,O,X,X,X,O
LZOSIJT,O,X,O,X,X,X,O
LZOSJTI,O,X,O,X,O,X,X
LZOSJIT,O,X,O,X,X,X,X
LOTIJSZ,O,O,O,X,X,O,X
LOTIJZS,O,O,O,X,X,X,X
LOTISJZ,O,O,O,X,X,O,X
LOTISZJ,O,O,O,X,X,X,X
LOTIZJS,O,O,O,X,X,X,X
LOTIZSJ,O,O,O,X,X,X,X
LOTJISZ,O,O,O,X,X,O,X
LOTJIZS,O,O,O,X,X,X,X
LOTJSIZ,X,O,X,X,X,X,X
LOTJSZI,O,O,O,X,X,X,X
LOTJZIS,O,O,O,X,X,X,X
LOTJZSI,O,O,O,X,X,X,X
LOTSIJZ,O,O,X,X,X,X,X
LOTSIZJ,O,O,X,X,X,X,X
LOTSJIZ,X,O,X,X,X,X,X
LOTSJZI,O,O,O,X,X,X,X
LOTSZIJ,O,X,X,X,X,X,X
LOTSZJI,O,O,O,X,X,X,X
LOTZIJS,O,O,O,X,X,X,X
LOTZISJ,O,O,O,X,X,X,X
LOTZJIS,O,O,O,X,X,X,X
LOTZJSI,O,O,O,X,X,X,X
LOTZSIJ,O,X,X,X,X,X,X
LOTZSJI,O,O,O,X,X,X,X
LOITJSZ,O,O,O,X,X,O,X
LOITJZS,O,O,O,X,X,X,X
LOITSJZ,O,O,O,X,X,O,X
LOITSZJ,O,O,O,X,X,X,X
LOITZJS,O,O,O,X,X,X,X
LOITZSJ,O,O,O,X,X,X,X
LOIJTSZ,O,X,O,X,X,O,X
LOIJTZS,O,X,O,X,X,X,X
LOIJSTZ,O,X,O,X,X,O,X
LOIJSZT,O,O,O,X,X,O,X
LOIJZTS,O,O,O,X,X,X,X
LOIJZST,O,O,O,X,X,O,X
LOISTJZ,O,O,O,X,X,O,X
LOISTZJ,O,O,O,X,X,X,X
LOISJTZ,O,X,O,X,X,O,X
LOISJZT,O,O,O,X,X,O,X
LOISZTJ,O,X,O,X,X,X,O
LOISZJT,O,X,O,X,X,O,O
LOIZTJS,O,X,O,X,X,X,O
LOIZTSJ,O,X,O,X,X,X,O
LOIZJTS,O,X,O,X,X,X,O
LOIZJST,O,X,O,X,X,O,O
LOIZSTJ,O,X,O,X,X,X,O
LOIZSJT,O,X,O,X,X,O,O
LOJTISZ,O,X,O,X,X,O,X
LOJTIZS,O,X,O,X,X,X,X
LOJTSIZ,X,X,X,X,X,X,X
LOJTSZI,O,X,O,X,X,X,X
LOJTZIS,O,X,O,X,X,X,X
LOJTZSI,O,X,O,X,X,X,X
LOJITSZ,O,X,O,X,X,O,X
LOJITZS,O,X,O,X,X,X,X
LOJISTZ,O,X,O,X,X,O,X
LOJISZT,O,O,O,X,X,O,X
LOJIZTS,O,O,O,X,X,X,X
LOJIZST,O,O,O,X,X,O,X
LOJSTIZ,X,X,X,X,X,X,X
LOJSTZI,O,X,O,X,X,X,X
LOJSITZ,X,X,O,X,X,O,X
LOJSIZT,X,X,O,X,X,O,X
LOJSZTI,O,O,O,X,O,X,X
LOJSZIT,O,O,O,X,X,X,X
LOJZTIS,O,O,O,X,X,X,X
LOJZTSI,O,O,O,X,O,X,X
LOJZITS,O,O,O,X,X,X,X
LOJZIST,O,O,O,X,X,O,X
LOJZSTI,O,O,O,X,O,X,X
LOJZSIT,O,O,O,X,X,X,X
LOSTIJZ,O,O,X,X,X,X,X
LOSTIZJ,O,X,X,X,X,X,X
LOSTJIZ,X,O,X,X,X,X,X
LOSTJZI,O,O,O,X,X,X,X
LOSTZIJ,O,X,X,X,X,X,X
LOSTZJI,O,O,O,X,X,X,X
LOSITJZ,O,X,O,X,X,O,X
LOSITZJ,O,X,O,X,X,X,X
LOSIJTZ,O,X,O,X,X,O,X
LOSIJZT,O,X,O,X,X,O,X
LOSIZTJ,O,X,O,X,X,X,X
LOSIZJT,O,X,O,X,X,O,X
LOSJTIZ,X,X,X,X,X,X,X
LOSJTZI,O,X,O,X,X,X,X
LOSJITZ,X,X,O,X,X,O,X
LOSJIZT,X,X,O,X,X,O,X
LOSJZTI,O,O,O,X,O,X,X
LOSJZIT,O,O,O,X,X,X,X
LOSZTIJ,O,X,X,X,O,X,X
LOSZTJI,O,X,O,X,O,X,X
LOSZITJ,O,X,O,X,X,X,X
LOSZIJT,O,X,O,X,X,X,X
LOSZJTI,O,X,O,X,O,X,X
LOSZJIT,O,X,O,X,X,X,X
LOZTIJS,O,X,O,X,X,X,O
LOZTISJ,O,X,O,X,X,X,O
LOZTJIS,O,X,O,X,X,X,X
LOZTJSI,O,X,O,X,O,X,X
LOZTSIJ,O,X,X,X,X,X,X
LOZTSJI,O,X,O,X,X,X,X
LOZITJS,O,X,O,X,X,X,O
LOZITSJ,O,X,O,X,X,X,O
LOZIJTS,O,X,O,X,X,X,O
LOZIJST,O,X,O,X,X,O,O
LOZISTJ,O,X,O,X,X,X,O
LOZISJT,O,X,O,X,X,O,O
LOZJTIS,O,X,O,X,X,X,X
LOZJTSI,O,X,O,X,O,X,X
LOZJITS,O,X,O,X,X,X,O
LOZJIST,O,X,O,X,X,O,O
LOZJSTI,O,X,O,X,O,X,X
LOZJSIT,O,X,O,X,X,X,X
LOZSTIJ,O,X,X,X,O,X,X
LOZSTJI,O,X,O,X,O,X,X
LOZSITJ,O,X,O,X,X,X,O
LOZSIJT,O,X,O,X,X,X,O
LOZSJTI,O,X,O,X,O,X,X
LOZSJIT,O,X,O,X,X,X,X
JTILSZO,O,O,O,X,X,O,X
JTILSOZ,O,O,O,X,X,O,X
JTILZSO,O,O,O,X,X,O,X
JTILZOS,O,O,O,X,X,O,X
JTILOSZ,O,O,O,X,X,O,X
JTILOZS,O,O,O,X,X,O,X
JTISLZO,O,O,O,X,X,O,X
JTISLOZ,O,O,O,X,X,O,X
JTISZLO,X,O,O,O,X,O,X
JTISZOL,X,O,O,O,X,X,X
JTISOLZ,O,O,O,X,X,O,X
JTISOZL,X,O,O,O,X,X,X
JTIZLSO,X,O,O,O,X,O,X
JTIZLOS,X,O,O,O,X,O,X
JTIZSLO,X,O,O,O,X,O,X
JTIZSOL,X,O,O,O,X,X,X
JTIZOLS,X,O,O,O,X,X,X
JTIZOSL,X,O,O,O,X,X,X
JTIOLSZ,O,O,O,X,X,O,X
JTIOLZS,O,O,O,X,X,O,X
JTIOSLZ,O,O,O,X,X,O,X
JTIOSZL,X,O,O,O,X,X,X
JTIOZLS,X,O,O,O,X,X,X
JTIOZSL,X,O,O,O,X,X,X
JTLISZO,O,O,O,X,X,O,X
JTLISOZ,O,O,O,X,X,O,X
JTLIZSO,O,O,O,X,X,O,X
JTLIZOS,O,O,O,X,X,O,X
JTLIOSZ,O,O,O,X,X,O,X
JTLIOZS,O,O,O,X,X,O,X
JTLSIZO,X,O,O,X,X,O,X
JTLSIOZ,X,O,O,X,X,O,X
JTLSZIO,O,O,O,X,X,X,X
JTLSZOI,O,O,O,X,X,X,X
JTLSOIZ,X,X,O,X,X,O,X
JTLSOZI,O,O,O,X,X,X,X
JTLZISO,O,O,O,X,X,O,X
JTLZIOS,O,O,O,X,X,O,X
JTLZSIO,O,O,O,X,X,X,X
JTLZSOI,O,O,O,X,X,X,X
JTLZOIS,O,O,O,X,X,O,X
JTLZOSI,O,O,O,X,X,X,X
JTLOISZ,O,O,O,X,X,O,X
JTLOIZS,O,O,O,X,X,O,X
JTLOSIZ,X,X,O,X,X,O,X
JTLOSZI,O,O,O,X,X,X,X
JTLOZIS,O,O,O,X,X,O,X
JTLOZSI,O,O,O,X,X,X,X
JTSILZO,X,O,O,X,X,O,X
JTSILOZ,X,O,O,X,X,O,X
JTSIZLO,X,O,O,X,X,O,X
JTSIZOL,X,O,O,X,X,X,X
JTSIOLZ,X,O,O,X,X,O,X
JTSIOZL,X,O,O,X,X,X,X
JTSLIZO,X,O,O,X,X,O,X
JTSLIOZ,X,O,O,X,X,O,X
JTSLZIO,O,O,O,X,X,X,X
JTSLZOI,O,O,O,X,X,X,X
JTSLOIZ,X,X,O,X,X,O,X
JTSLOZI,O,O,O,X,X,X,X
JTSZILO,X,O,X,X,X,X,X
JTSZIOL,X,O,X,X,O,X,X
JTSZLIO,X,O,O,X,X,X,X
JTSZLOI,X,O,O,X,O,X,X
JTSZOIL,X,X,O,X,O,X,X
JTSZOLI,X,O,O,X,O,X,X
JTSOILZ,X,O,O,X,X,X,X
JTSOIZL,X,O,O,X,X,X,X
JTSOLIZ,X,O,O,X,X,X,X
JTSOLZI,O,O,O,X,X,X,X
JTSOZIL,X,O,O,X,O,X,X
JTSOZLI,X,O,O,X,O,X,X
JTZILSO,X,O,O,O,X,O,X
JTZILOS,X,O,O,O,X,O,X
JTZISLO,X,O,O,O,X,O,X
JTZISOL,X,O,O,O,X,X,X
JTZIOLS,X,O,O,O,X,X,X
JTZIOSL,X,O,O,O,O,X,X
JTZLISO,X,O,O,O,X,O,X
JTZLIOS,X,O,O,O,X,O,X
JTZLSIO,X,O,O,X,X,X,X
JTZLSOI,X,O,O,X,X,X,X
JTZLOIS,X,O,O,O,X,O,X
JTZLOSI,X,O,O,X,O,X,X
JTZSILO,X,O,X,O,X,X,X
JTZSIOL,X,O,X,O,O,X,X
JTZSLIO,X,O,O,X,X,X,X
JTZSLOI,X,O,O,X,O,X,X
JTZSOIL,X,X,O,O,O,X,X
JTZSOLI,X,O,O,X,O,X,X
JTZOILS,X,O,O,O,X,X,X
JTZOISL,X,O,O,O,O,X,X
JTZOLIS,X,O,O,O,X,X,X
JTZOLSI,X,O,O,X,O,X,X
JTZOSIL,X,X,O,O,O,X,X
JTZOSLI,X,O,O,X,O,X,X
JTOILSZ,O,O,O,X,X,O,X
JTOILZS,O,O,O,X,X,O,X
JTOISLZ,O,O,O,X,X,O,X
JTOISZL,X,O,O,O,X,X,X
JTOIZLS,X,O,O,O,X,X,X
JTOIZSL,X,O,O,O,X,X,X
JTOLISZ,O,O,O,X,X,O,X
JTOLIZS,O,O,O,X,X,O,X
JTOLSIZ,X,O,O,X,X,O,X
JTOLSZI,O,O,O,X,X,X,X
JTOLZIS,O,O,O,X,X,O,X
JTOLZSI,O,O,O,X,X,X,X
JTOSILZ,X,O,O,X,X,X,X
JTOSIZL,X,O,O,X,X,X,X
JTOSLIZ,X,O,O,X,X,X,X
JTOSLZI,O,O,O,X,X,X,X
JTOSZIL,X,O,O,X,O,X,X
JTOSZLI,X,O,O,X,O,X,X
JTOZILS,X,O,O,O,X,X,X
JTOZISL,X,O,O,O,O,X,X
JTOZLIS,X,O,O,O,X,X,X
JTOZLSI,X,O,O,X,O,X,X
JTOZSIL,X,O,O,O,O,X,X
JTOZSLI,X,O,O,X,O,X,X
JITLSZO,O,O,O,X,X,O,X
JITLSOZ,O,O,O,X,X,O,X
JITLZSO,O,O,O,X,X,O,X
JITLZOS,O,O,O,X,X,O,X
JITLOSZ,O,O,O,X,X,O,X
JITLOZS,O,O,O,X,X,O,X
JITSLZO,O,O,O,X,X,O,X
JITSLOZ,O,O,O,X,X,O,X
JITSZLO,X,O,O,O,X,O,X
JITSZOL,X,O,O,O,X,X,X
JITSOLZ,O,O,O,X,X,O,X
JITSOZL,X,O,O,O,X,X,X
JITZLSO,X,O,O,O,X,O,X
JITZLOS,X,O,O,O,X,O,X
JITZSLO,X,O,O,O,X,O,X
JITZSOL,X,O,O,O,X,X,X
JITZOLS,X,O,O,O,X,X,X
JITZOSL,X,O,O,O,X,X,X
JITOLSZ,O,O,O,X,X,O,X
JITOLZS,O,O,O,X,X,O,X
JITOSLZ,O,O,O,X,X,O,X
JITOSZL,X,O,O,O,X,X,X
JITOZLS,X,O,O,O,X,X,X
JITOZSL,X,O,O,O,X,X,X
JILTSZO,O,O,O,X,X,O,X
JILTSOZ,O,O,O,X,X,O,X
JILTZSO,O,O,O,X,X,O,X
JILTZOS,O,O,O,X,X,O,X
JILTOSZ,O,O,O,X,X,O,X
JILTOZS,O,O,O,X,X,O,X
JILSTZO,O,O,O,X,X,O,X
JILSTOZ,O,O,O,X,X,O,X
JILSZTO,O,O,O,O,X,X,X
JILSZOT,O,O,O,O,X,O,X
JILSOTZ,O,X,O,X,X,O,X
JILSOZT,O,X,O,O,X,O,X
JILZTSO,O,O,O,O,X,X,X
JILZTOS,X,X,X,O,X,X,X
JILZSTO,O,O,O,O,X,X,X
JILZSOT,O,O,O,O,X,O,X
JILZOTS,X,X,O,O,X,X,X
JILZOST,O,O,O,O,X,O,X
JILOTSZ,O,X,O,X,X,O,X
JILOTZS,O,X,O,X,X,X,X
JILOSTZ,O,X,O,X,X,O,X
JILOSZT,O,X,O,O,X,O,X
JILOZTS,O,X,O,O,X,X,X
JILOZST,O,X,O,O,X,O,X
JISTLZO,O,O,O,X,X,O,X
JISTLOZ,O,O,O,X,X,O,X
JISTZLO,X,O,O,O,X,O,X
JISTZOL,X,O,O,O,X,X,X
JISTOLZ,O,O,O,X,X,O,X
JISTOZL,X,O,O,O,X,X,X
JISLTZO,O,O,O,X,X,O,X
JISLTOZ,O,O,O,X,X,O,X
JISLZTO,O,O,O,O,X,X,X
JISLZOT,O,O,O,O,X,O,X
JISLOTZ,O,X,O,X,X,O,X
JISLOZT,O,X,O,O,X,O,X
JISZTLO,X,O,O,O,X,O,X
JISZTOL,X,O,O,O,O,X,X
JISZLTO,X,O,O,O,X,X,O
JISZLOT,X,O,O,O,X,O,O
JISZOTL,X,X,O,O,O,X,X
JISZOLT,X,O,O,O,X,X,O
JISOTLZ,O,O,O,X,X,O,X
JISOTZL,X,O,O,O,X,X,X
JISOLTZ,O,X,O,X,X,O,X
JISOLZT,O,O,O,O,X,O,X
JISOZTL,X,O,O,O,O,X,X
JISOZLT,X,O,O,O,X,X,O
JIZTLSO,X,O,O,O,X,O,X
JIZTLOS,X,O,O,O,X,O,X
JIZTSLO,X,O,O,O,X,O,X
JIZTSOL,X,O,O,O,X,X,X
JIZTOLS,X,O,O,O,X,X,X
JIZTOSL,X,O,O,O,O,X,X
JIZLTSO,X,O,O,O,X,X,O
JIZLTOS,X,X,X,O,X,X,O
JIZLSTO,X,O,O,O,X,X,O
JIZLSOT,X,O,O,O,X,O,O
JIZLOTS,X,X,X,O,X,X,O
JIZLOST,X,O,O,O,X,O,O
JIZSTLO,X,O,O,O,X,O,X
JIZSTOL,X,O,O,O,O,X,X
JIZSLTO,X,O,O,O,X,X,O
JIZSLOT,X,O,O,O,X,O,O
JIZSOTL,X,X,O,O,O,X,X
JIZSOLT,X,O,O,O,X,X,O
JIZOTLS,X,X,X,O,X,X,X
JIZOTSL,X,X,O,O,O,X,X
JIZOLTS,X,X,O,O,X,X,O
JIZOLST,X,O,O,O,X,X,O
JIZOSTL,X,X,O,O,O,X,X
JIZOSLT,X,O,O,O,X,X,O
JIOTLSZ,O,O,O,X,X,O,X
JIOTLZS,O,O,O,X,X,O,X
JIOTSLZ,O,O,O,X,X,O,X
JIOTSZL,X,O,O,O,X,X,X
JIOTZLS,X,O,O,O,X,X,X
JIOTZSL,X,O,O,O,X,X,X
JIOLTSZ,O,X,O,X,X,O,X
JIOLTZS,O,X,O,X,X,X,X
JIOLSTZ,O,X,O,X,X,O,X
JIOLSZT,O,O,O,O,X,O,X
JIOLZTS,O,O,O,O,X,X,X
JIOLZST,O,O,O,O,X,O,X
JIOSTLZ,O,O,O,X,X,O,X
JIOSTZL,X,O,O,O,X,X,X
JIOSLTZ,O,X,O,X,X,O,X
JIOSLZT,O,O,O,O,X,O,X
JIOSZTL,X,O,O,O,O,X,X
JIOSZLT,X,O,O,O,X,X,O
JIOZTLS,X,O,X,O,X,X,X
JIOZTSL,X,O,O,O,O,X,X
JIOZLTS,X,O,O,O,X,X,O
JIOZLST,X,O,O,O,X,X,O
JIOZSTL,X,O,O,O,O,X,X
JIOZSLT,X,O,O,O,X,X,O
JLTISZO,O,O,O,X,X,O,X
JLTISOZ,O,O,O,X,X,O,X
JLTIZSO,O,O,O,X,X,O,X
JLTIZOS,O,O,O,X,X,O,X
JLTIOSZ,O,O,O,X,X,O,X
JLTIOZS,O,O,O,X,X,O,X
JLTSIZO,X,O,O,X,X,O,X
JLTSIOZ,X,O,O,X,X,O,X
JLTSZIO,O,O,O,X,X,X,X
JLTSZOI,O,O,O,X,X,X,X
JLTSOIZ,X,X,O,X,X,O,X
JLTSOZI,O,O,O,X,X,X,X
JLTZISO,O,O,O,X,X,O,X
JLTZIOS,O,O,O,X,X,O,X
JLTZSIO,O,O,O,X,X,X,X
JLTZSOI,O,O,O,X,X,X,X
JLTZOIS,O,O,O,X,X,O,X
JLTZOSI,O,O,O,X,X,X,X
JLTOISZ,O,O,O,X,X,O,X
JLTOIZS,O,O,O,X,X,O,X
JLTOSIZ,X,X,O,X,X,O,X
JLTOSZI,O,O,O,X,X,X,X
JLTOZIS,O,O,O,X,X,O,X
JLTOZSI,O,O,O,X,X,X,X
JLITSZO,O,O,O,X,X,O,X
JLITSOZ,O,O,O,X,X,O,X
JLITZSO,O,O,O,X,X,O,X
JLITZOS,O,O,O,X,X,O,X
JLITOSZ,O,O,O,X,X,O,X
JLITOZS,O,O,O,X,X,O,X
JLISTZO,O,O,O,X,X,O,X
JLISTOZ,O,O,O,X,X,O,X
JLISZTO,O,O,O,O,X,X,X
JLISZOT,O,O,O,O,X,O,X
JLISOTZ,O,X,O,X,X,O,X
JLISOZT,O,X,O,O,X,O,X
JLIZTSO,O,O,O,O,X,X,X
JLIZTOS,X,X,X,O,X,X,X
JLIZSTO,O,O,O,O,X,X,X
JLIZSOT,O,O,O,O,X,O,X
