sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TJLZOSI,O,X,X,X,X,O,O,X,X,X,X,X
TJLOISZ,X,O,X,O,O,O,O,X,O,X,X,X
TJLOIZS,O,X,X,X,X,O,O,X,X,X,X,X
TJLOSIZ,X,O,X,O,O,O,O,X,O,X,X,X
TJLOSZI,X,O,X,O,O,O,O,X,O,X,X,X
TJLOZIS,O,X,O,X,X,O,O,X,X,X,X,X
TJLOZSI,O,X,X,X,X,O,O,X,X,X,X,X
TJSILZO,X,X,O,O,O,X,O,X,O,X,X,X
TJSILOZ,X,X,O,O,O,O,O,X,O,X,X,X
TJSIZLO,X,X,O,O,O,O,O,X,O,X,X,X
TJSIZOL,X,X,O,X,O,O,X,X,O,X,X,X
TJSIOLZ,X,X,O,O,O,O,O,X,O,X,X,X
TJSIOZL,X,X,O,O,X,O,X,X,O,X,X,X
TJSLIZO,X,X,O,O,O,X,O,X,O,X,X,X
TJSLIOZ,X,X,O,O,O,O,O,X,O,X,X,X
TJSLZIO,X,X,O,O,O,X,O,X,O,X,X,X
TJSLZOI,X,X,X,O,O,X,X,X,O,X,X,X
TJSLOIZ,X,X,X,O,O,O,O,O,O,X,X,X
TJSLOZI,X,X,X,O,O,O,O,O,O,X,X,X
TJSZILO,X,X,O,O,O,O,O,X,O,X,X,X
TJSZIOL,X,X,X,X,O,O,X,X,O,X,X,X
