sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeBXmBm?nB5nB0rB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB
ZLISOJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLIOTJS,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X
ZLIOTSJ,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X
ZLIOJTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ZLIOJST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLIOSTJ,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLIOSJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLJTISO,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X
ZLJTIOS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
ZLJTSIO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLJTSOI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZLJTOIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLJTOSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLJITSO,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
ZLJITOS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLJISTO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLJISOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLJIOTS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLJIOST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLJSTIO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLJSTOI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZLJSITO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLJSIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLJSOTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZLJSOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLJOTIS,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLJOTSI,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLJOITS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLJOIST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLJOSTI,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZLJOSIT,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLSTIJO,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLSTIOJ,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLSTJIO,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLSTJOI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLSTOIJ,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLSTOJI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLSITJO,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ZLSITOJ,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
ZLSIJTO,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
ZLSIJOT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZLSIOTJ,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLSJTIO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLSJTOI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZLSJITO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLSJIOT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLSJOTI,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZLSJOIT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLSOTIJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLSOTJI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLSOITJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLSOIJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLSOJTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLSOJIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLOTIJS,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X
ZLOTISJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
ZLOTJIS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOTSIJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLOTSJI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLOITJS,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X
ZLOITSJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
ZLOIJTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ZLOIJST,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLOISTJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLOISJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLOJTIS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLOJTSI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLOJITS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLOJIST,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLOJSTI,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZLOJSIT,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLOSTIJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLOSTJI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLOSITJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLOSIJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLOSJTI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLOSJIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJTILSO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,X
ZJTILOS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X
ZJTISLO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,O,X
ZJTISOL,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X
ZJTIOLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
ZJTIOSL,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X
ZJTLISO,O,O,O,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X
ZJTLIOS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
ZJTLSIO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
ZJTLSOI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJTLOIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJTLOSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJTSILO,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X
ZJTSIOL,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,X,X,X
ZJTSLIO,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
ZJTSLOI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJTSOIL,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZJTSOLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZJTOILS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
ZJTOISL,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,O,O,X,X,O,X
ZJTOLIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJTOLSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJTOSIL,O,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
ZJTOSLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
ZJITLSO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,X
ZJITLOS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X
ZJITSLO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,O,X
ZJITSOL,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X
ZJITOLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
ZJITOSL,O,O,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X
ZJILTSO,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJILTOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ZJILSTO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
ZJILSOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJILOTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ZJILOST,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJISTLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ZJISTOL,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ZJISLTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
ZJISLOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJISOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ZJISOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJIOTLS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
ZJIOTSL,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
ZJIOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJIOLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJIOSTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
ZJIOSLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLTISO,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X
ZJLTIOS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
ZJLTSIO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJLTSOI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZJLTOIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJLTOSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJLITSO,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
ZJLITOS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZJLISTO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZJLISOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJLIOTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJLIOST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJLSTIO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSTOI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJLSITO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZJLSIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJLSOTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJLSOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJLOTIS,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJLOTSI,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJLOITS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJLOIST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJLOSTI,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJLOSIT,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJSTILO,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X
ZJSTIOL,O,O,O,O,O,O,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X
ZJSTLIO,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
ZJSTLOI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJSTOIL,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJSTOLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZJSITLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ZJSITOL,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ZJSILTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
ZJSILOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSIOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ZJSIOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJSLTIO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLTOI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJSLITO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZJSLIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJSLOTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJSLOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJSOTIL,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
ZJSOTLI,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZJSOITL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
ZJSOILT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJSOLTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJSOLIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJOTILS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
ZJOTISL,O,O,O,X,O,O,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
ZJOTLIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJOTLSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJOTSIL,O,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
ZJOTSLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJOITLS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
ZJOITSL,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
ZJOILTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJOILST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOISTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
ZJOISLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOLTIS,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJOLTSI,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJOLITS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJOLIST,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJOLSTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJOLSIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJOSTIL,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
ZJOSTLI,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZJOSITL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X
ZJOSILT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJOSLTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZJOSLIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSTILJO,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X
ZSTILOJ,O,O,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X
ZSTIJLO,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
ZSTIJOL,O,O,O,X,X,O,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
ZSTIOLJ,O,O,O,X,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X
ZSTIOJL,O,O,X,X,X,O,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
ZSTLIJO,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZSTLIOJ,O,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSTLJIO,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSTLOIJ,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSTJILO,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X
ZSTJIOL,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,X,X,X
ZSTJLIO,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
ZSTJLOI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZSTJOIL,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZSTJOLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZSTOILJ,O,O,O,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,O,X
ZSTOIJL,O,O,X,X,O,O,X,O,X,O,O,O,O,O,O,X,O,X,X,O,X
ZSTOLIJ,O,O,O,X,X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
ZSTOLJI,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSTOJIL,O,O,O,O,O,O,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X
ZSTOJLI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
ZSITLJO,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X
ZSITLOJ,O,O,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X
ZSITJLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
ZSITJOL,O,O,O,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
ZSITOLJ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X
ZSITOJL,O,O,X,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
ZSILTJO,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ZSILTOJ,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
ZSILJTO,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
ZSILJOT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZSILOTJ,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSILOJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZSIJTLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ZSIJTOL,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ZSIJLTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
ZSIJLOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZSIJOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ZSIJOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZSIOTLJ,O,O,X,X,O,X,O,O,X,O,O,X,O,X,O,O,X,X,X,O,X
ZSIOTJL,O,O,X,X,O,X,X,O,X,O,O,X,O,X,O,O,O,X,X,O,X
ZSIOLTJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZSIOLJT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZSIOJTL,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
ZSIOJLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZSLTIJO,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZSLTIOJ,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSLTJIO,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSLTJOI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSLTOIJ,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTOJI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
