sequence,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeqAJvhFTcBmdB5jB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFWiBxdB6oBF?mBXnB8sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFCdBejB5jBX?iBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhFchBidB5jBz?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhF1hB5jB3iBT?mB8sBisB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeC8IvhFxdBlhBziB+?oBUmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeG8IvhFyiB5jBzgB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFciBTeBfmB6?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFFeBChB0iB+?oBTmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFChBliBcoBT?mB/sBGtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBTiB/?oBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jex9IvhFfmBlhBcnBT?jBGmBCtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBfmB0hBS?sBToBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFfiBxdBSoBF?mBUoBGsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeSBJvhF/iBTjBRmBU?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBliB/?sBTtBUrB
LIJOSZT,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
LIJOZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJOZST,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LISTJZO,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LISTJOZ,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X
LISTZJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LISTZOJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
LISTOJZ,O,O,X,O,X,X,O,X,X,X,O,X,O,X,O,O
LISTOZJ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O
LISJTZO,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LISJTOZ,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
LISJZTO,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LISJZOT,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LISJOTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LISJOZT,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
LISZTJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LISZTOJ,O,O,X,O,X,X,X,X,X,O,X,O,O,X,O,X
LISZJTO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LISZJOT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
LISZOTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
LISZOJT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O
LISOTJZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
LISOTZJ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O
LISOJTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LISOJZT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
LISOZTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LISOZJT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
LIZTJSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZTJOS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIZTSOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIZTOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZTOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LIZJTSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIZJTOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIZJSTO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIZJSOT,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIZJOTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIZJOST,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIZSTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIZSTOJ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X
LIZSJTO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LIZSJOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIZSOTJ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
LIZSOJT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
LIZOTJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIZOTSJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
LIZOJTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIZOJST,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
LIZOSTJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
LIZOSJT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O
LIOTJSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O
LIOTJZS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIOTSJZ,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O
LIOTSZJ,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O
LIOTZJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LIOTZSJ,O,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X
LIOJTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
LIOJTZS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIOJSTZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
LIOJSZT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
LIOJZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIOJZST,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
LIOSTJZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
LIOSTZJ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O
LIOSJTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LIOSJZT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
LIOSZTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LIOSZJT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
LIOZTJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LIOZTSJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
LIOZJTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIOZJST,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
LIOZSTJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
LIOZSJT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O
LJTISZO,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTISOZ,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTIZSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJTIZOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJTIOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTIOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJTSIZO,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTSIOZ,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTSZIO,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTSZOI,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
LJTSOIZ,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTSOZI,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTZISO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJTZIOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJTZSIO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
LJTZSOI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LJTZOIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LJTZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LJTOISZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTOIZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJTOSIZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTOSZI,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJTOZIS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJTOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LJITSZO,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJITSOZ,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJITZSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJITZOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJITOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LJITOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LJISTZO,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
LJISTOZ,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
LJISZTO,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
LJISZOT,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJISOTZ,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
LJISOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
LJIZTSO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJIZTOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJIZSTO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
LJIZSOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJIZOTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
LJIZOST,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
LJIOTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
LJIOTZS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJIOSTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
LJIOSZT,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
LJIOZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJIOZST,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
LJSTIZO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
LJSTIOZ,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
LJSTZIO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
LJSTZOI,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X
LJSTOIZ,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
LJSTOZI,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
LJSITZO,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
LJSITOZ,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X
LJSIZTO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
LJSIZOT,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LJSIOTZ,O,X,X,X,X,X,X,X,O,X,O,X,O,O,X,O
LJSIOZT,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
LJSZTIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X
LJSZTOI,O,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X
LJSZITO,O,X,X,X,X,O,X,O,O,X,O,X,X,O,X,X
LJSZIOT,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X
LJSZOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LJSZOIT,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LJSOTIZ,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,O
LJSOTZI,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,O
LJSOITZ,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,O
LJSOIZT,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,O
LJSOZTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LJSOZIT,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,O
LJZTISO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJZTIOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJZTSIO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
LJZTSOI,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
LJZTOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LJZTOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
LJZITSO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJZITOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJZISTO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
LJZISOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LJZIOTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
LJZIOST,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
LJZSTIO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
LJZSTOI,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,X
LJZSITO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
LJZSIOT,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LJZSOTI,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LJZSOIT,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
LJZOTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
LJZOTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LJZOITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
LJZOIST,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X
LJZOSTI,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X
LJZOSIT,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X
LJOTISZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
LJOTIZS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJOTSIZ,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
LJOTSZI,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
LJOTZIS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJOTZSI,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LJOITSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
LJOITZS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJOISTZ,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O
LJOISZT,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O
LJOIZTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJOIZST,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
LJOSTIZ,O,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O
LJOSTZI,O,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O
LJOSITZ,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O
LJOSIZT,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O
LJOSZTI,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X
LJOSZIT,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O
LJOZTIS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJOZTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LJOZITS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LJOZIST,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,O
LJOZSTI,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X
LJOZSIT,X,X,X,X,O,O,X,O,O,O,X,O,O,X,X,X
LSTIJZO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
LSTIJOZ,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
LSTIZJO,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LSTIZOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LSTIOJZ,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O
LSTIOZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O
LSTJIZO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
LSTJIOZ,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
LSTJZIO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
LSTJZOI,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LSTJOIZ,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X
LSTJOZI,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X
LSTZIJO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LSTZIOJ,O,O,X,O,X,X,O,O,X,O,X,O,O,X,X,X
LSTZJIO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LSTZJOI,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
LSTZOIJ,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X
LSTZOJI,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X
LSTOIJZ,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O
LSTOIZJ,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,O
LSTOJIZ,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,O
LSTOJZI,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,O
LSTOZIJ,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,O
LSTOZJI,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,O
LSITJZO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LSITJOZ,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X
LSITZJO,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
LSITZOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LSITOJZ,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X,O
LSITOZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O
LSIJTZO,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LSIJTOZ,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LSIJZTO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
LSIJZOT,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LSIJOTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LSIJOZT,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
LSIZTJO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LSIZTOJ,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X
LSIZJTO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X
LSIZJOT,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X
LSIZOTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
LSIZOJT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O
LSIOTJZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
LSIOTZJ,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O
LSIOJTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LSIOJZT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
LSIOZTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSIOZJT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
LSJTIZO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
LSJTIOZ,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
LSJTZIO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
LSJTZOI,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
LSJTOIZ,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
LSJTOZI,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
LSJITZO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
LSJITOZ,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X
LSJIZTO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
LSJIZOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LSJIOTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LSJIOZT,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
LSJZTIO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LSJZTOI,O,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X
LSJZITO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
LSJZIOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
LSJZOTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LSJZOIT,O,X,X,O,X,O,X,O,O,X,X,O,O,X,X,X
LSJOTIZ,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O
LSJOTZI,O,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O
LSJOITZ,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O
LSJOIZT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
LSJOZTI,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LSJOZIT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O
LSZTIJO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LSZTIOJ,O,O,X,O,X,O,X,O,X,O,X,O,O,X,X,X
LSZTJIO,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LSZTJOI,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
LSZTOIJ,O,O,X,O,X,O,X,O,X,O,O,O,O,X,X,X
LSZTOJI,O,O,X,O,X,O,X,O,X,O,O,O,O,X,X,X
LSZITJO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LSZITOJ,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X
LSZIJTO,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X
LSZIJOT,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
LSZIOTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
LSZIOJT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O
LSZJTIO,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
LSZJTOI,O,O,X,O,X,O,X,O,O,O,X,O,X,X,X,X
LSZJITO,O,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X
LSZJIOT,O,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X
LSZJOTI,O,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
LSZJOIT,O,O,X,O,X,O,X,O,O,X,X,O,O,X,X,X
LSZOTIJ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSZOTJI,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSZOITJ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSZOIJT,O,O,X,O,X,X,O,X,X,O,X,O,O,X,X,O
LSZOJTI,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X
LSZOJIT,O,O,X,O,X,O,O,X,X,O,X,O,O,X,X,O
LSOTIJZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LSOTIZJ,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,O
LSOTJIZ,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
LSOTJZI,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
LSOTZIJ,O,X,X,X,X,X,O,O,X,O,O,O,O,X,X,O
LSOTZJI,O,X,X,X,X,X,O,O,X,O,O,O,O,X,X,O
LSOITJZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
LSOITZJ,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,O
LSOIJTZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LSOIJZT,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O
LSOIZTJ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSOIZJT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
LSOJTIZ,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
LSOJTZI,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
LSOJITZ,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
LSOJIZT,O,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O
LSOJZTI,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X
LSOJZIT,O,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O
LSOZTIJ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSOZTJI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSOZITJ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O
LSOZIJT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
LSOZJTI,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
LSOZJIT,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O
LZTIJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTIJOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTISJO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LZTISOJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTIOJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTIOSJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LZTJISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTJIOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTJSIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTJSOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTJOIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LZTJOSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
