sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
TJZSIOL,O,X,O,X,X,O,X,X,X,X
TJZSLIO,O,O,O,O,X,X,O,X,X,X
TJZSLOI,O,O,O,O,X,X,O,X,X,X
TJZSOIL,O,X,O,X,X,O,X,X,X,X
TJZSOLI,O,O,O,O,X,X,X,X,X,X
TJZOILS,O,X,O,O,X,O,X,X,X,X
TJZOISL,O,X,O,X,X,O,X,X,X,X
TJZOLIS,O,O,O,O,X,X,X,X,X,X
TJZOLSI,O,O,O,O,X,X,X,X,X,X
TJZOSIL,O,X,O,X,X,O,X,X,X,X
TJZOSLI,O,O,O,O,X,X,X,X,X,X
TJOILSZ,X,O,X,O,X,X,O,O,X,X
TJOILZS,X,O,X,O,X,X,O,O,X,X
TJOISLZ,X,O,X,X,O,X,O,O,X,X
TJOISZL,O,X,X,X,X,O,X,X,X,X
TJOIZLS,X,X,X,O,X,O,X,X,X,X
TJOIZSL,X,X,X,X,X,O,X,X,X,X
TJOLISZ,X,O,X,O,O,X,O,O,X,X
TJOLIZS,X,O,X,O,O,X,O,O,X,X
TJOLSIZ,X,O,X,O,O,X,O,O,X,X
TJOLSZI,X,O,X,O,O,X,O,X,X,X
TJOLZIS,X,O,X,O,O,X,O,X,X,X
TJOLZSI,X,O,X,O,O,X,O,X,X,X
TJOSILZ,X,O,X,X,O,X,O,O,X,X
TJOSIZL,O,X,X,X,X,O,X,X,X,X
TJOSLIZ,X,O,X,O,O,X,O,O,X,X
TJOSLZI,X,O,X,O,O,X,O,X,X,X
TJOSZIL,O,X,X,X,X,O,X,X,X,X
TJOSZLI,O,O,X,O,X,X,X,X,X,X
TJOZILS,O,X,X,O,X,O,X,X,X,X
TJOZISL,O,X,X,X,X,O,X,X,X,X
TJOZLIS,O,O,X,O,X,X,X,X,X,X
TJOZLSI,O,O,X,O,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,O,X,X,X,X
TJOZSLI,O,O,X,O,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,O,X,X,X
TSILJOZ,X,X,X,X,X,X,O,X,X,O
TSILZJO,X,X,X,X,X,X,X,X,O,X
