sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TSLZJIO,O,O,O,X,O,X,X,X
TSLZJOI,O,O,O,X,O,X,X,X
TSLZOIJ,O,O,O,X,X,X,X,X
TSLZOJI,O,O,O,X,O,X,X,X
TSLOIJZ,O,O,O,O,X,X,X,X
TSLOIZJ,O,O,O,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,X,X,X
TSLOJZI,O,O,O,X,O,X,X,X
TSLOZIJ,O,O,O,X,X,X,X,X
TSLOZJI,O,O,O,X,O,X,X,X
TSJILZO,O,O,O,X,X,X,X,X
TSJILOZ,O,O,O,O,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X
TSJIOLZ,O,O,O,O,X,X,O,X
TSJIOZL,O,O,O,X,X,X,O,X
TSJLIZO,O,O,O,X,X,X,X,X
TSJLIOZ,O,O,O,O,X,X,X,X
TSJLZIO,O,O,O,X,O,X,X,X
TSJLZOI,O,O,O,X,O,X,X,X
TSJLOIZ,O,O,O,O,X,X,X,X
TSJLOZI,O,O,O,X,O,X,X,X
TSJZILO,O,O,O,X,O,X,X,X
TSJZIOL,O,O,O,X,O,X,X,X
TSJZLIO,O,O,O,X,O,X,X,X
TSJZLOI,O,O,O,X,O,X,X,X
TSJZOIL,O,O,O,X,O,X,X,X
TSJZOLI,O,O,O,X,O,X,X,X
TSJOILZ,O,O,O,O,X,X,O,X
TSJOIZL,O,O,O,X,X,X,O,X
TSJOLIZ,O,O,O,O,X,X,X,X
TSJOLZI,O,O,O,X,O,X,X,X
TSJOZIL,O,O,O,X,O,X,X,X
TSJOZLI,O,O,O,X,O,X,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,X,O,X,X,X
TSZLJOI,O,O,O,X,O,X,X,X
TSZLOIJ,O,O,O,X,X,X,X,X
TSZLOJI,O,O,O,X,O,X,X,X
TSZJILO,O,O,O,X,O,X,X,X
TSZJIOL,O,O,O,X,O,X,X,X
TSZJLIO,O,O,O,X,O,X,X,X
TSZJLOI,O,O,O,X,O,X,X,X
TSZJOIL,O,O,O,X,O,X,X,X
TSZJOLI,O,O,O,X,O,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X
