sequence,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8Jei6IvhFGcBTdB?5jB3fBllBUrB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBzbB?SiB5jBllB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBTdB?5jBllBfrB6rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhFlbBSiB?5jBzfB8lB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeT6IvhFlbBGdB?5jBykB8lB3rB
OISLTJZ,O,X,X,X,X
OISLTZJ,O,X,X,X,X
OISLJTZ,O,X,X,X,X
OISLJZT,O,X,X,O,X
OISLZTJ,O,X,X,O,X
OISLZJT,O,X,X,O,X
OISJTLZ,O,X,X,X,X
OISJTZL,O,X,X,X,X
OISJLTZ,O,X,X,X,X
OISJLZT,O,X,X,O,X
OISJZTL,X,X,O,O,X
OISJZLT,O,X,X,O,X
OISZTLJ,O,X,X,O,X
OISZTJL,O,X,O,O,X
OISZLTJ,O,X,X,O,X
OISZLJT,O,X,X,O,X
OISZJTL,X,X,O,O,X
OISZJLT,O,X,X,O,X
OIZTLJS,X,O,O,O,O
OIZTLSJ,X,O,X,O,O
OIZTJLS,X,O,O,O,O
OIZTJSL,O,O,O,O,X
OIZTSLJ,O,O,X,O,X
OIZTSJL,O,O,O,O,X
OIZLTJS,X,O,O,O,O
OIZLTSJ,X,O,X,O,O
OIZLJTS,X,O,O,O,O
OIZLJST,X,X,X,O,O
OIZLSTJ,X,X,X,O,O
OIZLSJT,X,X,X,O,O
OIZJTLS,X,O,O,O,O
OIZJTSL,O,O,O,O,X
OIZJLTS,X,O,O,O,O
OIZJLST,X,X,X,O,O
OIZJSTL,X,X,O,O,X
OIZJSLT,O,X,X,O,X
OIZSTLJ,O,X,X,O,X
OIZSTJL,O,X,O,O,X
OIZSLTJ,O,X,X,O,X
OIZSLJT,O,X,X,O,X
OIZSJTL,X,X,O,O,X
OIZSJLT,O,X,X,O,X
OLTIJSZ,O,X,X,X,X
OLTIJZS,X,O,X,O,O
OLTISJZ,O,X,X,X,X
OLTISZJ,O,O,X,X,X
OLTIZJS,X,O,O,O,O
OLTIZSJ,X,O,X,O,O
OLTJISZ,O,X,X,X,X
OLTJIZS,X,O,X,O,O
OLTJSIZ,O,X,X,X,X
OLTJSZI,O,X,X,X,X
OLTJZIS,X,O,X,O,O
OLTJZSI,X,O,X,O,O
OLTSIJZ,O,X,X,X,X
OLTSIZJ,O,O,X,X,X
OLTSJIZ,O,X,X,X,X
OLTSJZI,O,X,X,X,X
OLTSZIJ,O,O,X,X,X
OLTSZJI,O,O,X,X,X
OLTZIJS,X,O,O,O,O
OLTZISJ,X,O,X,O,O
OLTZJIS,X,O,O,O,O
OLTZJSI,X,O,X,O,O
OLTZSIJ,X,O,X,O,O
OLTZSJI,X,O,X,O,O
OLITJSZ,O,X,X,X,X
OLITJZS,X,O,X,O,O
OLITSJZ,O,X,X,X,X
OLITSZJ,O,O,X,X,X
OLITZJS,X,O,O,O,O
OLITZSJ,X,O,X,O,O
OLIJTSZ,O,X,X,X,X
OLIJTZS,X,X,X,O,O
OLIJSTZ,O,X,X,X,X
OLIJSZT,O,X,X,O,O
OLIJZTS,X,O,O,O,O
OLIJZST,X,X,X,O,O
OLISTJZ,O,X,X,X,X
OLISTZJ,O,X,X,X,X
OLISJTZ,O,X,X,X,X
OLISJZT,O,X,X,O,O
OLISZTJ,O,X,X,O,O
OLISZJT,O,X,X,O,O
OLIZTJS,X,O,O,O,O
OLIZTSJ,X,O,X,O,O
OLIZJTS,X,O,O,O,O
OLIZJST,X,X,X,O,O
OLIZSTJ,X,X,X,O,O
OLIZSJT,X,X,X,O,O
OLJTISZ,O,X,X,X,X
OLJTIZS,X,X,X,O,O
OLJTSIZ,O,X,X,X,X
OLJTSZI,O,X,X,X,X
OLJTZIS,X,X,X,O,O
OLJTZSI,X,X,X,O,O
OLJITSZ,O,X,X,X,X
OLJITZS,X,X,X,O,O
OLJISTZ,O,X,X,X,X
OLJISZT,O,X,X,O,O
OLJIZTS,X,O,O,O,O
OLJIZST,X,X,X,O,O
OLJSTIZ,O,X,X,X,X
OLJSTZI,X,X,X,X,X
OLJSITZ,O,X,X,X,X
OLJSIZT,O,X,X,O,O
OLJSZTI,X,X,X,O,O
OLJSZIT,O,X,X,O,O
OLJZTIS,X,O,O,O,O
OLJZTSI,X,O,X,O,O
OLJZITS,X,O,O,O,O
OLJZIST,X,X,X,O,O
OLJZSTI,X,X,X,O,O
OLJZSIT,X,X,X,O,O
OLSTIJZ,O,X,X,X,X
OLSTIZJ,O,X,X,X,X
OLSTJIZ,O,X,X,X,X
OLSTJZI,O,X,X,X,X
OLSTZIJ,O,X,X,X,X
OLSTZJI,O,X,X,X,X
OLSITJZ,O,X,X,X,X
OLSITZJ,O,X,X,X,X
OLSIJTZ,O,X,X,X,X
OLSIJZT,O,X,X,O,O
OLSIZTJ,O,X,X,O,O
OLSIZJT,O,X,X,O,O
OLSJTIZ,O,X,X,X,X
OLSJTZI,O,X,X,X,X
OLSJITZ,O,X,X,X,X
OLSJIZT,O,X,X,O,O
OLSJZTI,X,X,X,O,O
OLSJZIT,O,X,X,O,O
OLSZTIJ,O,X,X,O,O
OLSZTJI,O,X,X,O,O
OLSZITJ,O,X,X,O,O
OLSZIJT,O,X,X,O,O
OLSZJTI,X,X,X,O,O
OLSZJIT,O,X,X,O,O
OLZTIJS,X,O,O,O,O
OLZTISJ,X,O,X,O,O
OLZTJIS,X,O,O,O,O
OLZTJSI,X,O,X,O,O
OLZTSIJ,X,O,X,O,O
OLZTSJI,X,O,X,O,O
OLZITJS,X,O,O,O,O
OLZITSJ,X,O,X,O,O
OLZIJTS,X,O,O,O,O
OLZIJST,X,X,X,O,O
OLZISTJ,X,X,X,O,O
OLZISJT,X,X,X,O,O
OLZJTIS,X,O,O,O,O
OLZJTSI,X,O,X,O,O
OLZJITS,X,O,O,O,O
OLZJIST,X,X,X,O,O
OLZJSTI,X,X,X,O,O
OLZJSIT,X,X,X,O,O
OLZSTIJ,X,X,X,O,O
OLZSTJI,X,X,X,O,O
OLZSITJ,X,X,X,O,O
OLZSIJT,X,X,X,O,O
OLZSJTI,X,X,X,O,O
OLZSJIT,X,X,X,O,O
OJTILSZ,O,X,X,X,X
OJTILZS,X,X,X,O,X
OJTISLZ,O,X,X,X,X
OJTISZL,O,X,X,X,X
OJTIZLS,X,X,O,O,X
OJTIZSL,O,X,O,O,X
OJTLISZ,O,X,X,X,X
OJTLIZS,X,X,X,O,X
OJTLSIZ,O,X,X,X,X
OJTLSZI,O,X,X,X,X
OJTLZIS,X,X,X,O,X
OJTLZSI,X,X,X,O,X
OJTSILZ,O,X,X,X,X
OJTSIZL,O,X,X,X,X
OJTSLIZ,O,X,X,X,X
OJTSLZI,O,X,X,X,X
OJTSZIL,O,X,X,X,X
OJTSZLI,O,X,X,X,X
OJTZILS,X,X,O,O,X
OJTZISL,O,X,O,O,X
OJTZLIS,X,X,O,O,X
OJTZLSI,X,X,X,O,X
OJTZSIL,O,X,O,O,X
OJTZSLI,O,X,X,O,X
OJITLSZ,O,X,X,X,X
OJITLZS,X,X,X,O,X
OJITSLZ,O,X,X,X,X
OJITSZL,O,X,X,X,X
OJITZLS,X,X,O,O,X
OJITZSL,O,X,O,O,X
OJILTSZ,O,X,X,X,X
OJILTZS,X,X,X,O,O
OJILSTZ,O,X,X,X,X
OJILSZT,O,X,X,O,O
OJILZTS,X,O,O,O,O
OJILZST,X,X,X,O,O
OJISTLZ,O,X,X,X,X
OJISTZL,O,X,X,X,X
OJISLTZ,O,X,X,X,X
OJISLZT,O,X,X,O,X
OJISZTL,X,X,O,O,X
OJISZLT,O,X,X,O,X
OJIZTLS,X,O,O,O,O
OJIZTSL,O,O,O,O,X
OJIZLTS,X,O,O,O,O
OJIZLST,X,X,X,O,O
OJIZSTL,X,X,O,O,X
OJIZSLT,O,X,X,O,X
OJLTISZ,O,X,X,X,X
OJLTIZS,X,X,X,O,O
OJLTSIZ,O,X,X,X,X
OJLTSZI,O,X,X,X,X
OJLTZIS,X,X,X,O,O
OJLTZSI,X,X,X,O,O
OJLITSZ,O,X,X,X,X
OJLITZS,X,X,X,O,O
OJLISTZ,O,X,X,X,X
OJLISZT,O,X,X,O,O
OJLIZTS,X,O,O,O,O
OJLIZST,X,X,X,O,O
OJLSTIZ,O,X,X,X,X
OJLSTZI,X,X,X,X,X
OJLSITZ,O,X,X,X,X
OJLSIZT,O,X,X,O,O
OJLSZTI,X,X,X,O,O
OJLSZIT,O,X,X,O,O
OJLZTIS,X,O,O,O,O
OJLZTSI,X,O,X,O,O
OJLZITS,X,O,O,O,O
OJLZIST,X,X,X,O,O
OJLZSTI,X,X,X,O,O
OJLZSIT,X,X,X,O,O
OJSTILZ,O,X,X,X,X
OJSTIZL,O,X,X,X,X
OJSTLIZ,O,X,X,X,X
OJSTLZI,O,X,X,X,X
OJSTZIL,O,X,X,X,X
OJSTZLI,O,X,X,X,X
OJSITLZ,O,X,X,X,X
OJSITZL,O,X,X,X,X
OJSILTZ,O,X,X,X,X
OJSILZT,O,X,X,O,X
OJSIZTL,X,X,O,O,X
OJSIZLT,O,X,X,O,X
OJSLTIZ,O,X,X,X,X
OJSLTZI,O,X,X,X,X
OJSLITZ,O,X,X,X,X
OJSLIZT,O,X,X,O,X
OJSLZTI,X,X,X,O,X
OJSLZIT,O,X,X,O,X
OJSZTIL,X,X,O,O,X
OJSZTLI,X,X,X,O,X
OJSZITL,X,X,O,O,X
OJSZILT,O,X,X,O,X
OJSZLTI,X,X,X,O,X
OJSZLIT,O,X,X,O,X
OJZTILS,X,O,O,O,O
OJZTISL,O,O,O,O,X
OJZTLIS,X,O,O,O,O
OJZTLSI,X,O,X,O,O
OJZTSIL,O,O,O,O,X
OJZTSLI,O,O,X,O,X
OJZITLS,X,O,O,O,O
OJZITSL,O,O,O,O,X
OJZILTS,X,O,O,O,O
OJZILST,X,X,X,O,O
OJZISTL,X,X,O,O,X
OJZISLT,O,X,X,O,X
OJZLTIS,X,O,O,O,O
OJZLTSI,X,O,X,O,O
OJZLITS,X,O,O,O,O
OJZLIST,X,X,X,O,O
OJZLSTI,X,X,X,O,O
OJZLSIT,X,X,X,O,O
OJZSTIL,X,X,O,O,X
OJZSTLI,X,X,X,O,X
OJZSITL,X,X,O,O,X
OJZSILT,O,X,X,O,X
OJZSLTI,X,X,X,O,X
OJZSLIT,O,X,X,O,X
OSTILJZ,O,X,X,X,X
OSTILZJ,O,X,X,X,X
OSTIJLZ,O,X,X,X,X
OSTIJZL,O,X,X,X,X
OSTIZLJ,O,X,X,X,X
OSTIZJL,O,X,O,X,X
OSTLIJZ,O,X,X,X,X
OSTLIZJ,O,X,X,X,X
OSTLJIZ,O,X,X,X,X
OSTLJZI,O,X,X,X,X
OSTLZIJ,O,X,X,X,X
OSTLZJI,O,X,X,X,X
OSTJILZ,O,X,X,X,X
OSTJIZL,O,X,X,X,X
OSTJLIZ,O,X,X,X,X
OSTJLZI,O,X,X,X,X
OSTJZIL,O,X,X,X,X
OSTJZLI,O,X,X,X,X
OSTZILJ,O,X,X,X,X
OSTZIJL,O,X,O,X,X
OSTZLIJ,O,X,X,X,X
OSTZLJI,O,X,X,X,X
OSTZJIL,O,X,O,X,X
OSTZJLI,O,X,X,X,X
OSITLJZ,O,X,X,X,X
OSITLZJ,O,X,X,X,X
OSITJLZ,O,X,X,X,X
OSITJZL,O,X,X,X,X
OSITZLJ,O,X,X,X,X
OSITZJL,O,X,O,X,X
OSILTJZ,O,X,X,X,X
OSILTZJ,O,X,X,X,X
OSILJTZ,O,X,X,X,X
OSILJZT,O,X,X,O,X
OSILZTJ,O,X,X,O,X
OSILZJT,O,X,X,O,X
OSIJTLZ,O,X,X,X,X
OSIJTZL,O,X,X,X,X
OSIJLTZ,O,X,X,X,X
OSIJLZT,O,X,X,O,X
OSIJZTL,X,X,O,O,X
OSIJZLT,O,X,X,O,X
OSIZTLJ,O,X,X,O,X
OSIZTJL,O,X,O,O,X
OSIZLTJ,O,X,X,O,X
OSIZLJT,O,X,X,O,X
OSIZJTL,X,X,O,O,X
OSIZJLT,O,X,X,O,X
OSLTIJZ,O,X,X,X,X
OSLTIZJ,O,X,X,X,X
OSLTJIZ,O,X,X,X,X
OSLTJZI,O,X,X,X,X
OSLTZIJ,O,X,X,X,X
OSLTZJI,O,X,X,X,X
OSLITJZ,O,X,X,X,X
OSLITZJ,O,X,X,X,X
OSLIJTZ,O,X,X,X,X
OSLIJZT,O,X,X,O,X
OSLIZTJ,O,X,X,O,X
OSLIZJT,O,X,X,O,X
OSLJTIZ,O,X,X,X,X
OSLJTZI,O,X,X,X,X
OSLJITZ,O,X,X,X,X
OSLJIZT,O,X,X,O,X
OSLJZTI,X,X,X,O,X
OSLJZIT,O,X,X,O,X
OSLZTIJ,O,X,X,O,X
OSLZTJI,O,X,X,O,X
OSLZITJ,O,X,X,O,X
OSLZIJT,O,X,X,O,X
OSLZJTI,X,X,X,O,X
OSLZJIT,O,X,X,O,X
OSJTILZ,O,X,X,X,X
OSJTIZL,O,X,X,X,X
OSJTLIZ,O,X,X,X,X
OSJTLZI,O,X,X,X,X
OSJTZIL,O,X,X,X,X
OSJTZLI,O,X,X,X,X
OSJITLZ,O,X,X,X,X
OSJITZL,O,X,X,X,X
OSJILTZ,O,X,X,X,X
OSJILZT,O,X,X,O,X
OSJIZTL,X,X,O,O,X
OSJIZLT,O,X,X,O,X
OSJLTIZ,O,X,X,X,X
OSJLTZI,O,X,X,X,X
OSJLITZ,O,X,X,X,X
OSJLIZT,O,X,X,O,X
OSJLZTI,X,X,X,O,X
OSJLZIT,O,X,X,O,X
OSJZTIL,X,X,O,O,X
OSJZTLI,X,X,X,O,X
OSJZITL,X,X,O,O,X
OSJZILT,O,X,X,O,X
OSJZLTI,X,X,X,O,X
OSJZLIT,O,X,X,O,X
OSZTILJ,O,X,X,O,X
OSZTIJL,O,X,O,O,X
OSZTLIJ,O,X,X,O,X
OSZTLJI,O,X,X,O,X
OSZTJIL,O,X,O,O,X
OSZTJLI,O,X,X,O,X
OSZITLJ,O,X,X,O,X
OSZITJL,O,X,O,O,X
OSZILTJ,O,X,X,O,X
OSZILJT,O,X,X,O,X
OSZIJTL,X,X,O,O,X
OSZIJLT,O,X,X,O,X
OSZLTIJ,O,X,X,O,X
OSZLTJI,O,X,X,O,X
OSZLITJ,O,X,X,O,X
OSZLIJT,O,X,X,O,X
OSZLJTI,X,X,X,O,X
OSZLJIT,O,X,X,O,X
OSZJTIL,X,X,O,O,X
OSZJTLI,X,X,X,O,X
OSZJITL,X,X,O,O,X
OSZJILT,O,X,X,O,X
OSZJLTI,X,X,X,O,X
OSZJLIT,O,X,X,O,X
OZTILJS,X,O,O,O,O
OZTILSJ,X,O,X,O,O
OZTIJLS,X,O,O,O,O
OZTIJSL,O,O,O,O,X
OZTISLJ,O,O,X,O,X
OZTISJL,O,O,O,O,X
OZTLIJS,X,O,O,O,O
OZTLISJ,X,O,X,O,O
OZTLJIS,X,O,O,O,O
OZTLJSI,X,O,X,O,O
OZTLSIJ,X,O,X,O,O
OZTLSJI,X,O,X,O,O
OZTJILS,X,O,O,O,O
OZTJISL,O,O,O,O,X
OZTJLIS,X,O,O,O,O
OZTJLSI,X,O,X,O,O
OZTJSIL,O,O,O,O,X
OZTJSLI,O,O,X,O,X
OZTSILJ,O,O,X,O,X
OZTSIJL,O,O,O,O,X
OZTSLIJ,O,O,X,O,X
OZTSLJI,O,O,X,O,X
OZTSJIL,O,O,O,O,X
OZTSJLI,O,O,X,O,X
OZITLJS,X,O,O,O,O
OZITLSJ,X,O,X,O,O
OZITJLS,X,O,O,O,O
OZITJSL,O,O,O,O,X
OZITSLJ,O,O,X,O,X
OZITSJL,O,O,O,O,X
OZILTJS,X,O,O,O,O
OZILTSJ,X,O,X,O,O
OZILJTS,X,O,O,O,O
OZILJST,X,X,X,O,O
OZILSTJ,X,X,X,O,O
OZILSJT,X,X,X,O,O
OZIJTLS,X,O,O,O,O
OZIJTSL,O,O,O,O,X
OZIJLTS,X,O,O,O,O
OZIJLST,X,X,X,O,O
OZIJSTL,X,X,O,O,X
OZIJSLT,O,X,X,O,X
OZISTLJ,O,X,X,O,X
OZISTJL,O,X,O,O,X
OZISLTJ,O,X,X,O,X
OZISLJT,O,X,X,O,X
OZISJTL,X,X,O,O,X
OZISJLT,O,X,X,O,X
OZLTIJS,X,O,O,O,O
OZLTISJ,X,O,X,O,O
OZLTJIS,X,O,O,O,O
OZLTJSI,X,O,X,O,O
OZLTSIJ,X,O,X,O,O
OZLTSJI,X,O,X,O,O
OZLITJS,X,O,O,O,O
OZLITSJ,X,O,X,O,O
OZLIJTS,X,O,O,O,O
OZLIJST,X,X,X,O,O
OZLISTJ,X,X,X,O,O
OZLISJT,X,X,X,O,O
OZLJTIS,X,O,O,O,O
OZLJTSI,X,O,X,O,O
OZLJITS,X,O,O,O,O
OZLJIST,X,X,X,O,O
OZLJSTI,X,X,X,O,O
OZLJSIT,X,X,X,O,O
OZLSTIJ,X,X,X,O,O
OZLSTJI,X,X,X,O,O
OZLSITJ,X,X,X,O,O
OZLSIJT,X,X,X,O,O
OZLSJTI,X,X,X,O,O
OZLSJIT,X,X,X,O,O
OZJTILS,X,O,O,O,O
OZJTISL,O,O,O,O,X
OZJTLIS,X,O,O,O,O
OZJTLSI,X,O,X,O,O
OZJTSIL,O,O,O,O,X
OZJTSLI,O,O,X,O,X
OZJITLS,X,O,O,O,O
OZJITSL,O,O,O,O,X
OZJILTS,X,O,O,O,O
OZJILST,X,X,X,O,O
OZJISTL,X,X,O,O,X
OZJISLT,O,X,X,O,X
OZJLTIS,X,O,O,O,O
OZJLTSI,X,O,X,O,O
OZJLITS,X,O,O,O,O
OZJLIST,X,X,X,O,O
OZJLSTI,X,X,X,O,O
OZJLSIT,X,X,X,O,O
OZJSTIL,X,X,O,O,X
OZJSTLI,X,X,X,O,X
OZJSITL,X,X,O,O,X
OZJSILT,O,X,X,O,X
OZJSLTI,X,X,X,O,X
OZJSLIT,O,X,X,O,X
OZSTILJ,O,X,X,O,X
OZSTIJL,O,X,O,O,X
OZSTLIJ,O,X,X,O,X
OZSTLJI,O,X,X,O,X
OZSTJIL,O,X,O,O,X
OZSTJLI,O,X,X,O,X
OZSITLJ,O,X,X,O,X
OZSITJL,O,X,O,O,X
OZSILTJ,O,X,X,O,X
OZSILJT,O,X,X,O,X
OZSIJTL,X,X,O,O,X
OZSIJLT,O,X,X,O,X
OZSLTIJ,O,X,X,O,X
OZSLTJI,O,X,X,O,X
OZSLITJ,O,X,X,O,X
OZSLIJT,O,X,X,O,X
OZSLJTI,X,X,X,O,X
OZSLJIT,O,X,X,O,X
OZSJTIL,X,X,O,O,X
OZSJTLI,X,X,X,O,X
OZSJITL,X,X,O,O,X
OZSJILT,O,X,X,O,X
OZSJLTI,X,X,X,O,X
OZSJLIT,O,X,X,O,X
