sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
LSIZJTO,O,X,O,O,X,X,X,O,X,X,X,O,X
LSIZJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
LSIZOTJ,O,X,O,O,O,X,X,O,X,X,X,X,X
LSIZOJT,O,X,O,O,X,X,X,O,X,X,X,X,X
LSIOTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
LSIOTZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
LSIOJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LSIOJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LSIOZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LSIOZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LSJTIZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LSJTIOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LSJTZIO,X,X,O,O,O,X,X,X,O,X,X,O,X
LSJTZOI,X,X,O,O,O,X,X,X,O,X,X,O,X
LSJTOIZ,O,X,O,O,O,X,X,X,O,X,O,X,O
LSJTOZI,X,X,O,O,O,X,X,X,O,X,O,X,O
LSJITZO,X,X,O,O,O,X,X,X,O,X,X,X,X
LSJITOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
LSJIZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
LSJIZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSJIOTZ,O,X,X,O,O,X,X,X,O,O,X,X,X
LSJIOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSJZTIO,O,X,O,O,X,X,O,O,O,X,X,O,X
LSJZTOI,O,X,X,O,X,X,X,X,O,X,X,O,X
LSJZITO,O,X,O,O,X,X,O,O,O,X,X,O,X
LSJZIOT,O,X,O,O,X,X,O,O,O,X,X,X,X
LSJZOTI,O,X,X,O,X,X,X,X,X,X,X,O,X
LSJZOIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSJOTIZ,O,X,X,O,X,X,X,X,O,O,X,X,O
LSJOTZI,X,X,X,O,X,X,X,X,O,O,X,X,O
LSJOITZ,O,X,X,O,O,X,X,X,O,O,X,X,X
LSJOIZT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSJOZTI,X,X,X,O,X,X,X,X,X,X,X,O,X
LSJOZIT,O,X,O,O,X,X,X,X,O,X,X,X,X
LSZTIJO,O,O,O,O,O,X,O,O,X,X,X,O,X
LSZTIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LSZTJIO,O,O,O,O,O,X,O,O,X,X,X,O,X
LSZTJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LSZTOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LSZTOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LSZITJO,O,X,O,O,O,X,O,O,X,X,X,O,X
LSZITOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LSZIJTO,O,X,O,O,X,X,O,O,X,X,X,O,X
LSZIJOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LSZIOTJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LSZIOJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LSZJTIO,O,X,O,O,X,X,O,O,X,X,X,O,X
LSZJTOI,O,X,X,O,X,X,X,X,X,X,X,O,X
LSZJITO,O,X,O,O,X,X,O,O,X,X,X,O,X
LSZJIOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LSZJOTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LSZJOIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LSZOTIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LSZOTJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LSZOITJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LSZOIJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LSZOJTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LSZOJIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOTIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LSOTIZJ,X,O,O,X,O,X,X,X,X,X,X,X,O
LSOTJIZ,O,O,O,O,O,X,X,X,X,O,X,X,O
LSOTJZI,X,O,O,O,O,X,X,X,X,O,X,X,O
LSOTZIJ,X,O,O,O,O,X,X,X,X,X,X,X,O
LSOTZJI,X,O,O,O,O,X,X,X,X,X,X,X,O
LSOITJZ,O,X,X,X,O,X,X,X,X,X,X,X,O
LSOITZJ,X,X,X,X,O,X,X,X,X,X,X,X,O
LSOIJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LSOIJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LSOIZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LSOIZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LSOJTIZ,O,X,X,O,X,X,X,X,X,O,X,X,O
LSOJTZI,X,X,X,O,X,X,X,X,X,O,X,X,O
LSOJITZ,O,O,X,O,O,X,X,X,X,O,X,X,X
LSOJIZT,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOJZTI,X,O,X,O,X,X,X,X,X,X,X,O,X
LSOJZIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LSOZTIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LSOZTJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LSOZITJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LSOZIJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LSOZJTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LSOZJIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LZTIJSO,O,O,O,O,X,X,O,O,X,X,X,O,X
LZTIJOS,O,O,O,O,X,X,X,X,X,X,X,O,X
LZTISJO,O,O,O,O,O,X,O,O,X,X,X,O,X
LZTISOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LZTIOJS,O,O,X,O,X,X,X,X,X,X,X,X,X
LZTIOSJ,O,O,O,O,X,X,X,O,X,X,X,O,X
LZTJISO,O,O,O,O,O,X,O,O,X,X,X,O,X
LZTJIOS,O,O,O,O,X,X,X,X,X,X,X,O,X
LZTJSIO,O,O,O,O,O,X,O,O,X,X,X,O,X
LZTJSOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LZTJOIS,O,O,O,O,O,X,X,X,X,X,X,O,X
LZTJOSI,O,O,O,O,O,X,X,X,X,X,X,O,X
LZTSIJO,O,O,O,O,O,X,O,O,X,X,X,O,X
LZTSIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LZTSJIO,O,O,O,O,O,X,O,O,X,X,X,O,X
LZTSJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LZTSOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LZTSOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LZTOIJS,O,O,O,O,X,X,X,X,X,X,X,X,O
LZTOISJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LZTOJIS,O,O,O,O,O,X,X,X,X,X,X,O,O
LZTOJSI,O,O,O,O,O,X,X,X,X,X,X,O,O
LZTOSIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LZTOSJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LZITJSO,O,X,X,O,X,X,O,O,X,X,X,O,X
LZITJOS,O,X,X,O,X,X,X,X,X,X,X,O,X
LZITSJO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZITSOJ,O,O,O,O,X,X,X,O,X,X,X,O,X
LZITOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LZITOSJ,O,X,X,O,X,X,X,O,X,X,X,O,X
LZIJTSO,O,X,O,O,X,X,X,X,X,X,X,O,X
LZIJTOS,O,X,X,O,X,X,X,X,X,X,X,O,X
LZIJSTO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZIJSOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LZIJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LZIJOST,O,X,O,O,X,X,X,X,X,X,X,X,X
LZISTJO,O,X,O,O,O,X,O,O,X,X,X,O,X
LZISTOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LZISJTO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZISJOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LZISOTJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LZISOJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LZIOTJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LZIOTSJ,O,O,X,O,X,X,X,X,X,X,X,X,X
LZIOJTS,O,O,X,O,X,X,X,X,X,X,X,X,X
LZIOJST,O,O,X,O,X,X,X,X,X,X,X,X,X
LZIOSTJ,O,O,O,O,X,X,X,O,X,X,X,X,X
LZIOSJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LZJTISO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZJTIOS,O,X,X,O,X,X,X,X,X,X,X,O,X
LZJTSIO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZJTSOI,O,X,X,O,X,X,X,X,X,X,X,O,X
LZJTOIS,O,X,X,O,X,X,X,X,X,X,X,O,X
LZJTOSI,O,X,X,O,X,X,X,X,X,X,X,O,X
LZJITSO,O,X,O,O,X,X,X,X,X,X,X,O,X
LZJITOS,O,X,X,O,X,X,X,X,X,X,X,O,X
LZJISTO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZJISOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LZJIOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
LZJIOST,O,X,O,O,X,X,X,X,X,X,X,X,X
LZJSTIO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZJSTOI,O,X,X,O,X,X,X,X,X,X,X,O,X
LZJSITO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZJSIOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LZJSOTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZJSOIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LZJOTIS,O,O,X,O,X,X,X,X,X,X,X,O,X
LZJOTSI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZJOITS,O,O,X,O,X,X,X,X,X,X,X,X,X
LZJOIST,O,O,O,O,X,X,X,X,X,X,X,X,X
LZJOSTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZJOSIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LZSTIJO,O,O,O,O,O,X,O,O,X,X,X,O,X
LZSTIOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LZSTJIO,O,O,O,O,O,X,O,O,X,X,X,O,X
LZSTJOI,O,O,O,O,O,X,X,X,X,X,X,O,X
LZSTOIJ,O,O,O,O,O,X,X,O,X,X,X,O,O
LZSTOJI,O,O,O,O,O,X,X,X,X,X,X,O,O
LZSITJO,O,X,O,O,O,X,O,O,X,X,X,O,X
LZSITOJ,O,O,O,O,O,X,X,O,X,X,X,O,X
LZSIJTO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZSIJOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LZSIOTJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LZSIOJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LZSJTIO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZSJTOI,O,X,X,O,X,X,X,X,X,X,X,O,X
LZSJITO,O,X,O,O,X,X,O,O,X,X,X,O,X
LZSJIOT,O,O,O,O,X,X,O,O,X,X,X,X,X
LZSJOTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZSJOIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LZSOTIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LZSOTJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LZSOITJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LZSOIJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LZSOJTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZSOJIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LZOTIJS,O,O,X,O,X,X,X,X,X,X,X,X,O
LZOTISJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LZOTJIS,O,O,X,O,X,X,X,X,X,X,X,O,O
LZOTJSI,O,O,X,O,X,X,X,X,X,X,X,O,O
LZOTSIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LZOTSJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LZOITJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LZOITSJ,O,O,X,O,X,X,X,X,X,X,X,X,X
LZOIJTS,O,O,X,O,X,X,X,X,X,X,X,X,X
LZOIJST,O,O,X,O,X,X,X,X,X,X,X,X,X
LZOISTJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LZOISJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LZOJTIS,O,O,X,O,X,X,X,X,X,X,X,O,X
LZOJTSI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZOJITS,O,O,X,O,X,X,X,X,X,X,X,X,X
LZOJIST,O,O,O,O,X,X,X,X,X,X,X,X,X
LZOJSTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZOJSIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LZOSTIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LZOSTJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LZOSITJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LZOSIJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LZOSJTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LZOSJIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOTIJSZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LOTIJZS,X,O,X,X,O,X,X,X,X,X,X,X,O
LOTISJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LOTISZJ,X,O,O,X,O,X,X,X,X,X,X,X,O
LOTIZJS,X,X,O,X,X,X,X,X,X,X,X,X,O
LOTIZSJ,X,O,O,X,O,X,X,X,X,X,X,X,O
LOTJISZ,O,O,O,O,O,X,X,X,X,O,X,X,O
LOTJIZS,X,O,X,X,O,X,X,X,X,O,X,X,O
LOTJSIZ,O,O,O,O,O,X,X,X,X,O,X,X,O
LOTJSZI,X,O,O,O,O,X,X,X,X,O,X,X,O
LOTJZIS,X,O,O,O,O,X,X,X,X,O,X,X,O
LOTJZSI,X,O,O,O,O,X,X,X,X,O,X,X,O
LOTSIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LOTSIZJ,X,O,O,X,O,X,X,X,X,X,X,X,O
LOTSJIZ,O,O,O,O,O,X,X,X,X,O,X,X,O
LOTSJZI,X,O,O,O,O,X,X,X,X,O,X,X,O
LOTSZIJ,X,O,O,O,O,X,X,X,X,X,X,X,O
LOTSZJI,X,O,O,O,O,X,X,X,X,X,X,X,O
LOTZIJS,X,X,O,O,X,X,X,X,X,X,X,X,O
LOTZISJ,X,O,O,O,O,X,X,X,X,X,X,X,O
LOTZJIS,X,O,O,O,O,X,X,X,X,X,X,X,O
LOTZJSI,X,O,O,O,O,X,X,X,X,X,X,X,O
LOTZSIJ,X,O,O,O,O,X,X,X,X,X,X,X,O
LOTZSJI,X,O,O,O,O,X,X,X,X,X,X,X,O
LOITJSZ,O,X,X,X,X,X,X,X,X,X,X,X,O
LOITJZS,X,X,X,X,X,X,X,X,X,X,X,X,O
LOITSJZ,O,X,X,X,O,X,X,X,X,X,X,X,O
LOITSZJ,X,X,X,X,O,X,X,X,X,X,X,X,O
LOITZJS,X,X,X,X,X,X,X,X,X,X,X,X,O
LOITZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
LOIJTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
LOIJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X
LOIJSTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LOIJSZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LOIJZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
LOIJZST,O,X,X,O,X,X,X,X,X,X,X,X,X
LOISTJZ,O,X,X,X,O,X,X,X,X,X,X,X,O
LOISTZJ,X,X,X,X,O,X,X,X,X,X,X,X,O
LOISJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LOISJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LOISZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LOISZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LOIZTJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LOIZTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
LOIZJTS,O,X,X,O,X,X,X,X,X,X,X,X,X
LOIZJST,O,X,X,O,X,X,X,X,X,X,X,X,X
LOIZSTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LOIZSJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LOJTISZ,O,X,X,O,X,X,X,X,X,O,X,X,O
LOJTIZS,X,X,X,X,X,X,X,X,X,O,X,X,O
LOJTSIZ,O,X,X,O,X,X,X,X,X,O,X,X,O
LOJTSZI,X,X,X,O,X,X,X,X,X,O,X,X,O
LOJTZIS,X,X,X,O,X,X,X,X,X,O,X,X,O
LOJTZSI,X,X,X,O,X,X,X,X,X,O,X,X,O
LOJITSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
LOJITZS,X,X,X,X,X,X,X,X,X,X,X,X,X
LOJISTZ,O,O,X,O,O,X,X,X,X,O,X,X,X
LOJISZT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOJIZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
LOJIZST,O,X,X,O,X,X,X,X,X,X,X,X,X
LOJSTIZ,O,X,X,O,X,X,X,X,X,O,X,X,O
LOJSTZI,X,X,X,O,X,X,X,X,X,O,X,X,O
LOJSITZ,O,O,X,O,O,X,X,X,X,O,X,X,X
LOJSIZT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOJSZTI,X,O,X,O,X,X,X,X,X,X,X,O,X
LOJSZIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOJZTIS,X,O,X,O,X,X,X,X,X,X,X,O,X
LOJZTSI,X,O,X,O,X,X,X,X,X,X,X,O,X
LOJZITS,X,O,X,O,X,X,X,X,X,X,X,X,X
LOJZIST,O,O,O,O,X,X,X,X,X,X,X,X,X
LOJZSTI,X,O,X,O,X,X,X,X,X,X,X,O,X
LOJZSIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOSTIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
LOSTIZJ,X,O,O,X,O,X,X,X,X,X,X,X,O
LOSTJIZ,O,O,O,O,O,X,X,X,X,O,X,X,O
LOSTJZI,X,O,O,O,O,X,X,X,X,O,X,X,O
LOSTZIJ,X,O,O,O,O,X,X,X,X,X,X,X,O
LOSTZJI,X,O,O,O,O,X,X,X,X,X,X,X,O
LOSITJZ,O,X,X,X,O,X,X,X,X,X,X,X,O
LOSITZJ,X,X,X,X,O,X,X,X,X,X,X,X,O
LOSIJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
LOSIJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
LOSIZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
LOSIZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
LOSJTIZ,O,X,X,O,X,X,X,X,X,O,X,X,O
LOSJTZI,X,X,X,O,X,X,X,X,X,O,X,X,O
LOSJITZ,O,O,X,O,O,X,X,X,X,O,X,X,X
LOSJIZT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOSJZTI,X,O,X,O,X,X,X,X,X,X,X,O,X
LOSJZIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOSZTIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LOSZTJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LOSZITJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LOSZIJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LOSZJTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LOSZJIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOZTIJS,O,O,X,O,X,X,X,X,X,X,X,X,O
LOZTISJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LOZTJIS,O,O,X,O,X,X,X,X,X,X,X,O,O
LOZTJSI,O,O,X,O,X,X,X,X,X,X,X,O,O
LOZTSIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LOZTSJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LOZITJS,O,X,X,O,X,X,X,X,X,X,X,X,X
LOZITSJ,O,O,X,O,X,X,X,X,X,X,X,X,X
LOZIJTS,O,O,X,O,X,X,X,X,X,X,X,X,X
LOZIJST,O,O,X,O,X,X,X,X,X,X,X,X,X
LOZISTJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LOZISJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LOZJTIS,O,O,X,O,X,X,X,X,X,X,X,O,X
LOZJTSI,O,O,X,O,X,X,X,X,X,X,X,O,X
LOZJITS,O,O,X,O,X,X,X,X,X,X,X,X,X
LOZJIST,O,O,O,O,X,X,X,X,X,X,X,X,X
LOZJSTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LOZJSIT,O,O,O,O,X,X,X,X,X,X,X,X,X
LOZSTIJ,O,O,X,O,X,X,X,O,X,X,X,O,O
LOZSTJI,O,O,X,O,X,X,X,X,X,X,X,O,O
LOZSITJ,O,O,O,O,O,X,X,O,X,X,X,X,X
LOZSIJT,O,O,O,O,X,X,X,O,X,X,X,X,X
LOZSJTI,O,O,X,O,X,X,X,X,X,X,X,O,X
LOZSJIT,O,O,O,O,X,X,X,X,X,X,X,X,X
JTILSZO,O,O,X,X,O,X,X,X,O,X,X,X,X
JTILSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
JTILZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
JTILZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
JTILOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
JTILOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
JTISLZO,O,O,O,O,O,X,X,X,O,X,X,X,X
JTISLOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
JTISZLO,X,O,O,O,O,X,X,X,O,X,X,X,X
JTISZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
JTISOLZ,X,O,X,O,O,O,X,X,O,O,O,X,X
JTISOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
JTIZLSO,X,X,X,X,X,X,X,X,O,X,X,X,X
JTIZLOS,X,X,X,X,X,X,X,X,O,X,X,X,X
JTIZSLO,X,O,X,X,O,X,X,X,O,X,X,X,X
JTIZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X
JTIZOLS,X,X,X,X,X,O,X,X,X,X,X,X,X
JTIZOSL,X,X,X,X,X,O,X,X,X,X,X,X,X
JTIOLSZ,X,X,X,X,X,O,X,X,O,X,O,X,X
JTIOLZS,X,X,X,X,X,O,X,X,O,X,O,X,X
JTIOSLZ,X,O,X,X,O,O,X,X,O,X,O,X,X
JTIOSZL,X,X,X,X,X,O,X,X,X,X,O,X,X
JTIOZLS,X,X,X,X,X,O,X,X,X,X,O,X,X
JTIOZSL,X,X,X,X,X,O,X,X,X,X,O,X,X
JTLISZO,O,O,O,O,O,X,X,X,O,X,X,X,X
JTLISOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
JTLIZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
JTLIZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
JTLIOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
JTLIOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
JTLSIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
JTLSIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
JTLSZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
JTLSZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
JTLSOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
JTLSOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
JTLZISO,O,O,O,O,O,X,X,X,O,X,X,O,X
JTLZIOS,O,X,O,O,X,X,X,X,O,X,X,O,X
JTLZSIO,O,O,O,O,O,X,X,X,O,X,X,O,X
JTLZSOI,O,O,O,O,O,X,X,X,O,X,X,O,X
JTLZOIS,O,X,O,O,O,X,X,X,O,X,X,O,X
JTLZOSI,O,X,O,O,O,X,X,X,O,X,X,O,X
JTLOISZ,O,O,O,O,O,X,X,X,O,X,O,X,O
JTLOIZS,O,O,X,X,O,X,X,X,O,X,O,X,O
JTLOSIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
JTLOSZI,O,O,O,O,O,X,X,X,O,X,O,X,O
JTLOZIS,O,O,O,O,O,X,X,X,O,X,O,X,O
JTLOZSI,O,O,O,O,O,X,X,X,O,X,O,X,O
JTSILZO,O,O,O,O,O,X,X,X,O,X,X,X,X
JTSILOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
JTSIZLO,X,O,O,O,O,X,X,X,O,X,X,X,X
JTSIZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
JTSIOLZ,X,O,X,O,O,O,X,X,O,O,O,X,X
JTSIOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
JTSLIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
JTSLIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
JTSLZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
JTSLZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
JTSLOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
JTSLOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
JTSZILO,X,O,O,O,O,X,O,X,O,X,X,X,X
JTSZIOL,X,X,O,X,X,O,O,X,X,X,X,X,X
JTSZLIO,X,O,O,X,O,X,O,X,O,X,X,X,X
JTSZLOI,X,O,O,X,O,X,X,X,O,X,X,X,X
JTSZOIL,X,X,O,X,X,X,O,X,X,X,O,X,X
JTSZOLI,X,X,O,X,X,X,X,X,O,X,O,X,X
JTSOILZ,X,O,X,O,O,O,X,X,O,O,O,X,X
JTSOIZL,X,O,X,O,X,O,X,X,X,O,O,X,X
