sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
TJLSOIZ,O,X,X,X,X,O,X,X,X,X,X
TJLSOZI,O,X,X,X,X,O,X,X,X,X,X
TJLZISO,O,X,X,X,X,O,X,X,X,X,X
TJLZIOS,O,X,X,X,X,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,O,X,X,X,X,X
TJLZSOI,O,X,X,X,X,O,X,X,X,X,X
TJLZOIS,O,X,X,X,X,O,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,O,O,O,O,X,X
TJLOIZS,O,X,X,X,X,O,O,X,O,X,X
TJLOSIZ,X,X,X,X,X,X,X,O,X,X,X
TJLOSZI,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,O,X,X,X,X,O,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,O,X,X,X
TJSILOZ,X,X,O,X,O,X,X,O,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,O,X,X,O,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X,X,O,X,X,X
TJSLIOZ,O,X,O,X,O,O,X,O,X,X,X
TJSLZIO,O,X,X,X,X,O,X,O,X,X,X
TJSLZOI,O,X,X,X,X,O,X,X,X,X,X
TJSLOIZ,O,X,O,X,O,O,X,X,X,X,X
TJSLOZI,O,X,X,X,X,O,X,X,X,X,X
TJSZILO,O,X,X,X,X,O,X,O,X,X,X
TJSZIOL,O,X,X,X,X,O,X,O,X,X,X
TJSZLIO,O,X,X,X,X,O,X,O,X,X,X
TJSZLOI,O,X,X,X,X,O,X,X,X,X,X
TJSZOIL,O,X,X,X,X,O,X,O,X,X,X
TJSZOLI,O,X,X,X,X,O,X,O,X,X,X
TJSOILZ,X,X,O,X,O,X,X,O,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,X,O,O,X,O,X,X,X
TJSOLZI,O,X,X,X,X,O,X,O,X,X,X
TJSOZIL,O,X,X,X,X,O,X,O,X,X,X
TJSOZLI,O,X,X,X,X,O,X,O,X,X,X
TJZILSO,O,X,X,X,X,O,X,X,X,X,X
TJZILOS,O,X,X,X,X,O,X,X,X,X,X
TJZISLO,O,X,X,X,X,O,X,X,X,X,X
TJZISOL,O,X,X,X,X,O,X,X,X,X,X
TJZIOLS,O,X,X,X,X,O,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,O,X,X,X,X,X
TJZLIOS,O,X,X,X,X,O,X,X,X,X,X
TJZLSIO,O,X,X,X,X,O,X,X,X,X,X
TJZLSOI,O,X,X,X,X,O,X,X,X,X,X
TJZLOIS,O,X,X,X,X,O,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,O,X,X,X,X,X
TJZSIOL,O,X,X,X,X,O,X,X,X,X,X
TJZSLIO,O,X,X,X,X,O,X,X,X,X,X
TJZSLOI,O,X,X,X,X,O,X,X,X,X,X
TJZSOIL,O,X,X,X,X,O,X,X,X,X,X
TJZSOLI,O,X,X,X,X,O,X,X,X,X,X
TJZOILS,O,X,X,X,X,O,X,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,X,X,X,X,O,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,O,O,O,X,X
TJOILZS,X,X,X,X,X,X,O,X,O,X,X
TJOISLZ,X,X,O,X,O,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X,X,X,X
TJOLISZ,O,X,X,X,X,O,O,O,O,X,X
TJOLIZS,O,X,X,X,X,O,O,X,O,X,X
TJOLSIZ,X,X,X,X,X,X,X,O,X,X,X
TJOLSZI,X,X,X,X,X,X,X,O,X,X,X
TJOLZIS,O,X,X,X,X,O,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,O,X,X,O,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,O,X,X,O,X,X,X
TJOSLZI,X,X,X,X,X,X,X,O,X,X,X
TJOSZIL,X,X,X,X,X,X,X,O,X,X,X
TJOSZLI,X,X,X,X,X,X,X,O,X,X,X
TJOZILS,O,X,X,X,X,O,X,X,X,X,X
TJOZISL,X,X,X,X,X,X,X,X,X,X,X
TJOZLIS,O,X,X,X,X,O,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X,X,X,X
