sequence,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BfhB6hBTdBZjBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jei6IvhFGc?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBRdB3hBaoBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeO/IvhF8f?BzbBSiBZjB3hBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Je2/IvhFSh?BTdBZjB3fBUhBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8Jez7IvhFGd?BZjB3hB0kBikBlpB,v115@8gA8IeA8BeB8BeB8AeA8CeE8AeB8AeH8JeSBJvhFTd?BZjBlfBUhB/pBmpB
TJSLOZI,O,O,O,X,X,X,X
TJSZILO,O,O,O,X,X,O,X
TJSZIOL,O,O,O,X,X,O,X
TJSZLIO,O,O,O,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X
TJSZOIL,O,O,O,X,X,O,X
TJSZOLI,O,O,O,X,X,X,X
TJSOILZ,O,O,X,X,O,X,X
TJSOIZL,O,O,O,X,X,O,X
TJSOLIZ,O,O,O,X,O,X,X
TJSOLZI,O,O,O,X,X,X,X
TJSOZIL,O,O,O,X,X,O,X
TJSOZLI,O,O,O,X,X,X,X
TJZILSO,O,O,O,O,X,X,X
TJZILOS,O,O,O,O,O,X,X
TJZISLO,O,O,O,O,X,O,X
TJZISOL,O,O,O,O,X,O,X
TJZIOLS,O,O,O,O,O,X,X
TJZIOSL,O,O,X,O,X,X,X
TJZLISO,O,O,O,O,X,X,X
TJZLIOS,O,O,O,O,O,X,X
TJZLSIO,O,O,O,O,X,X,X
TJZLSOI,O,O,O,O,X,X,X
TJZLOIS,O,O,O,O,O,X,X
TJZLOSI,O,O,O,O,X,X,X
TJZSILO,O,O,O,O,X,O,X
TJZSIOL,O,O,O,O,X,O,X
TJZSLIO,O,O,O,O,X,X,X
TJZSLOI,O,O,O,O,X,X,X
TJZSOIL,O,O,O,O,X,O,X
TJZSOLI,O,O,O,O,X,X,X
TJZOILS,O,O,O,O,O,X,X
TJZOISL,O,O,X,O,X,X,X
TJZOLIS,O,O,O,O,O,X,X
TJZOLSI,O,O,O,O,X,X,X
TJZOSIL,O,O,O,O,X,X,X
TJZOSLI,O,O,O,O,X,X,X
TJOILSZ,X,X,X,X,O,X,X
TJOILZS,X,X,X,O,O,X,X
TJOISLZ,O,O,X,X,O,X,X
TJOISZL,O,O,X,X,X,X,X
TJOIZLS,O,O,X,O,O,X,X
TJOIZSL,O,O,X,O,X,X,X
TJOLISZ,X,X,X,X,O,X,X
TJOLIZS,X,X,O,O,O,X,X
TJOLSIZ,X,X,X,X,O,X,X
TJOLSZI,X,X,X,X,X,X,X
TJOLZIS,X,X,O,O,O,X,X
TJOLZSI,X,X,O,O,X,X,X
TJOSILZ,O,O,X,X,O,X,X
TJOSIZL,O,O,X,X,X,X,X
TJOSLIZ,O,O,X,X,O,X,X
TJOSLZI,O,O,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X
TJOZILS,O,O,O,O,O,X,X
TJOZISL,O,O,X,O,X,X,X
TJOZLIS,O,O,O,O,O,X,X
TJOZLSI,O,O,O,O,X,X,X
TJOZSIL,O,O,X,O,X,X,X
TJOZSLI,O,O,O,O,X,X,X
TSILJZO,O,O,O,X,X,X,X
TSILJOZ,O,O,O,X,O,X,O
TSILZJO,O,O,O,O,X,X,X
TSILZOJ,O,O,O,O,X,X,O
TSILOJZ,O,O,O,X,O,X,O
TSILOZJ,O,O,O,O,X,X,O
TSIJLZO,O,O,X,X,X,X,X
TSIJLOZ,O,O,X,X,O,X,O
TSIJZLO,O,O,O,X,X,O,X
TSIJZOL,O,O,O,X,X,O,X
TSIJOLZ,O,O,X,X,O,X,O
TSIJOZL,O,O,O,X,X,O,X
TSIZLJO,O,O,O,O,X,O,X
TSIZLOJ,O,O,O,O,X,O,O
TSIZJLO,O,O,O,O,X,O,X
TSIZJOL,O,O,O,O,X,O,X
TSIZOLJ,O,O,O,O,X,O,O
TSIZOJL,O,O,O,O,X,O,X
TSIOLJZ,O,O,O,X,O,X,O
TSIOLZJ,O,O,O,O,X,X,O
TSIOJLZ,O,O,X,X,O,X,O
TSIOJZL,O,O,O,X,X,O,X
TSIOZLJ,O,O,O,O,X,O,O
TSIOZJL,O,O,O,O,X,O,X
TSLIJZO,O,O,O,X,X,X,X
TSLIJOZ,O,O,O,X,O,X,O
TSLIZJO,O,O,O,O,X,X,X
TSLIZOJ,O,O,O,O,X,X,O
TSLIOJZ,O,O,O,X,O,X,O
TSLIOZJ,O,O,O,O,X,X,O
TSLJIZO,O,O,O,X,X,X,X
TSLJIOZ,O,O,O,X,O,X,O
TSLJZIO,O,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X
TSLJOIZ,O,O,O,X,O,X,O
TSLJOZI,O,O,O,X,X,X,X
TSLZIJO,O,O,O,O,X,X,X
TSLZIOJ,O,O,O,O,X,X,O
TSLZJIO,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,X,X,X
TSLZOIJ,O,O,O,O,X,X,O
TSLZOJI,O,O,O,O,X,X,X
TSLOIJZ,O,O,O,X,O,X,O
TSLOIZJ,O,O,O,O,X,X,O
TSLOJIZ,O,O,O,X,O,X,O
TSLOJZI,O,O,O,X,X,X,X
TSLOZIJ,O,O,O,O,X,X,O
TSLOZJI,O,O,O,O,X,X,X
TSJILZO,O,O,X,X,X,X,X
TSJILOZ,O,O,X,X,O,X,O
TSJIZLO,O,O,O,X,X,O,X
TSJIZOL,O,O,O,X,X,O,X
TSJIOLZ,O,O,X,X,O,X,O
TSJIOZL,O,O,O,X,X,O,X
TSJLIZO,O,O,O,X,X,X,X
TSJLIOZ,O,O,O,X,O,X,O
TSJLZIO,O,O,O,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X
TSJLOIZ,O,O,O,X,O,X,O
TSJLOZI,O,O,O,X,X,X,X
TSJZILO,O,O,O,X,X,O,X
TSJZIOL,O,O,O,X,X,O,X
TSJZLIO,O,O,O,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X
TSJZOIL,O,O,O,X,X,O,X
TSJZOLI,O,O,O,X,X,X,X
TSJOILZ,O,O,X,X,O,X,O
TSJOIZL,O,O,O,X,X,O,X
TSJOLIZ,O,O,O,X,O,X,O
TSJOLZI,O,O,O,X,X,X,X
TSJOZIL,O,O,O,X,X,O,X
TSJOZLI,O,O,O,X,X,X,X
TSZILJO,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,X,O,O
TSZIJLO,O,O,O,O,X,O,X
TSZIJOL,O,O,O,O,X,O,X
TSZIOLJ,O,O,O,O,X,O,O
TSZIOJL,O,O,O,O,X,O,X
TSZLIJO,O,O,O,O,X,X,X
TSZLIOJ,O,O,O,O,X,X,O
TSZLJIO,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,X,X,X
TSZLOIJ,O,O,O,O,X,X,O
TSZLOJI,O,O,O,O,X,X,X
TSZJILO,O,O,O,O,X,O,X
TSZJIOL,O,O,O,O,X,O,X
TSZJLIO,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,X,X,X
TSZJOIL,O,O,O,O,X,O,X
TSZJOLI,O,O,O,O,X,X,X
TSZOILJ,O,O,O,O,X,O,O
TSZOIJL,O,O,O,O,X,O,X
TSZOLIJ,O,O,O,O,X,X,O
TSZOLJI,O,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,O,X
