sequence,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFidB+jB?ZkBThB3iBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFOiBXeB?ZkBThBSoBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFXdB6jB?ZkB2mBziBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?/mBFiBCoBOsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Jex9IvhFifB/mB?FiBTjBcsBOpB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFTeBZkB?ihBWoBXiBFsB,v115@1gD8GeA8GeC8GeD8CeB8AeE8AeC8Je06IvhFViBZkB?/mBTjBOsBCtB
TSIOJZL,O,O,O,X,X,X,O
TSIOZLJ,X,O,O,O,X,X,X
TSIOZJL,O,O,O,X,X,X,O
TSLIJZO,X,O,O,O,X,O,X
TSLIJOZ,X,O,O,O,X,O,X
TSLIZJO,X,O,O,O,X,O,X
TSLIZOJ,X,O,O,O,X,X,X
TSLIOJZ,X,O,O,O,X,X,X
TSLIOZJ,X,O,O,O,O,X,X
TSLJIZO,X,O,O,O,X,O,X
TSLJIOZ,X,O,O,O,X,O,X
TSLJZIO,X,O,O,X,X,X,X
TSLJZOI,X,O,O,X,X,X,X
TSLJOIZ,X,O,O,O,X,O,X
TSLJOZI,X,O,O,X,O,X,X
TSLZIJO,X,O,X,O,X,X,X
TSLZIOJ,X,O,X,O,O,X,X
TSLZJIO,X,O,O,X,X,X,X
TSLZJOI,X,O,O,X,O,X,X
TSLZOIJ,X,X,O,O,O,X,X
TSLZOJI,X,O,O,X,O,X,X
TSLOIJZ,X,O,O,O,X,X,X
TSLOIZJ,X,O,O,O,O,X,X
TSLOJIZ,X,O,O,O,X,X,X
TSLOJZI,X,O,O,X,O,X,X
TSLOZIJ,X,X,O,O,O,X,X
TSLOZJI,X,O,O,X,O,X,X
TSJILZO,O,O,O,O,X,O,O
TSJILOZ,O,O,O,O,X,O,O
TSJIZLO,O,O,O,O,X,O,O
TSJIZOL,O,X,O,X,X,O,O
TSJIOLZ,O,X,O,X,X,O,O
TSJIOZL,O,X,O,X,X,O,O
TSJLIZO,O,O,O,O,X,O,O
TSJLIOZ,O,O,O,O,X,O,O
TSJLZIO,O,O,O,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X
TSJLOIZ,O,O,O,O,X,O,O
TSJLOZI,O,O,O,X,O,X,X
TSJZILO,O,X,O,X,X,X,O
TSJZIOL,O,X,O,X,X,X,O
TSJZLIO,O,O,O,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X
TSJZOIL,O,X,O,X,X,X,O
TSJZOLI,O,X,O,X,X,X,X
TSJOILZ,O,X,O,X,X,O,O
TSJOIZL,O,X,O,X,X,O,O
TSJOLIZ,O,X,O,X,X,O,O
TSJOLZI,O,X,O,X,O,X,X
TSJOZIL,O,X,O,X,X,X,O
TSJOZLI,O,X,O,X,X,X,X
TSZILJO,X,X,X,O,X,X,X
TSZILOJ,X,X,X,O,O,X,X
TSZIJLO,X,X,X,O,X,X,X
TSZIJOL,X,X,X,X,X,X,X
TSZIOLJ,X,X,X,O,O,X,X
TSZIOJL,X,X,X,X,O,X,X
TSZLIJO,X,O,X,O,X,X,X
TSZLIOJ,X,X,X,O,O,X,X
TSZLJIO,X,O,O,X,X,X,X
TSZLJOI,X,O,O,X,O,X,X
TSZLOIJ,X,X,O,O,O,X,X
TSZLOJI,X,O,O,X,O,X,X
TSZJILO,O,X,O,X,X,X,X
TSZJIOL,X,X,O,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,O,X,X
TSZJOIL,O,X,O,X,O,X,X
TSZJOLI,O,X,O,X,O,X,X
TSZOILJ,X,X,O,X,O,X,X
TSZOIJL,X,X,X,X,O,X,X
TSZOLIJ,X,O,O,X,O,X,X
TSZOLJI,X,O,O,X,O,X,X
TSZOJIL,O,X,O,X,O,X,X
TSZOJLI,O,O,O,X,O,X,X
TSOILJZ,X,O,O,O,X,X,X
TSOILZJ,X,O,O,O,O,X,X
TSOIJLZ,O,O,O,X,X,X,O
TSOIJZL,O,O,O,X,X,X,O
TSOIZLJ,X,O,O,O,X,X,X
TSOIZJL,O,O,O,X,X,X,O
TSOLIJZ,X,O,O,O,X,X,X
TSOLIZJ,X,O,O,O,O,X,X
TSOLJIZ,X,O,O,O,X,X,X
TSOLJZI,X,O,O,X,O,X,X
TSOLZIJ,X,O,O,O,O,X,X
TSOLZJI,X,O,O,X,O,X,X
TSOJILZ,O,O,O,X,X,X,O
TSOJIZL,O,O,O,X,X,X,O
TSOJLIZ,O,O,O,X,X,X,X
TSOJLZI,O,O,O,X,O,X,X
TSOJZIL,O,X,O,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X
TSOZILJ,X,X,O,X,O,X,X
TSOZIJL,X,X,O,X,O,X,X
TSOZLIJ,X,O,O,X,O,X,X
TSOZLJI,X,O,O,X,O,X,X
TSOZJIL,O,X,O,X,O,X,X
TSOZJLI,O,O,O,X,O,X,X
TZILJSO,O,O,O,X,X,O,X
TZILJOS,O,O,O,X,X,O,X
TZILSJO,X,O,O,X,X,O,X
TZILSOJ,X,O,O,X,X,X,X
TZILOJS,O,O,O,X,X,O,X
TZILOSJ,X,O,O,X,X,X,X
TZIJLSO,O,O,O,X,X,O,X
TZIJLOS,O,O,O,X,X,O,X
TZIJSLO,O,O,O,X,X,O,X
TZIJSOL,O,X,O,X,X,O,X
TZIJOLS,O,O,O,X,X,O,X
TZIJOSL,O,O,O,X,X,O,X
TZISLJO,X,O,O,X,X,O,X
TZISLOJ,X,O,O,X,X,X,X
TZISJLO,O,O,O,X,X,O,X
TZISJOL,O,X,O,X,X,O,X
TZISOLJ,X,O,O,X,X,X,X
TZISOJL,O,O,O,X,X,X,X
TZIOLJS,O,O,O,X,X,O,X
TZIOLSJ,X,O,O,X,X,X,X
TZIOJLS,O,O,O,X,X,O,X
TZIOJSL,O,O,O,X,X,O,X
TZIOSLJ,X,O,O,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X
